Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.51241	0.45584	0.63421	12.84140	0.6780	0.0528	0.7018	0.2982	40	17
0.49870	0.45584	0.54046	11.59740	0.5763	0.0497	0.6800	0.3200	34	16
0.49784	0.45449	0.54046	10.91520	0.5763	0.0528	0.6667	0.3333	34	17
0.49695	0.45184	0.54046	10.30881	0.5763	0.0559	0.6538	0.3462	34	18
0.49609	0.45116	0.54046	9.76624	0.5763	0.0590	0.6415	0.3585	34	19
0.49303	0.43897	0.54046	8.43448	0.5763	0.0683	0.6071	0.3929	34	22
0.49303	0.43897	0.54046	8.43448	0.5763	0.0683	0.6071	0.3929	34	22
0.48288	0.43549	0.54046	5.78838	0.5932	0.1025	0.5147	0.4853	35	33
0.47409	0.43549	0.53316	4.92946	0.4746	0.0963	0.4746	0.5254	28	31
0.47202	0.43549	0.51595	4.91186	0.4576	0.0932	0.4737	0.5263	27	30
0.46962	0.43549	0.50635	4.70484	0.4237	0.0901	0.4630	0.5370	25	29
0.46962	0.43549	0.50635	4.70484	0.4237	0.0901	0.4630	0.5370	25	29
0.46287	0.43246	0.50635	3.54745	0.4407	0.1242	0.3939	0.6061	26	40
0.44807	0.42952	0.49054	2.57721	0.2881	0.1118	0.3208	0.6792	17	36
0.44687	0.42667	0.47937	2.57721	0.2881	0.1118	0.3208	0.6792	17	36
0.44311	0.42521	0.47483	1.77004	0.2034	0.1149	0.2449	0.7551	12	37
0.44203	0.42207	0.47367	1.57984	0.1864	0.1180	0.2245	0.7755	11	38
0.43503	0.42125	0.47367	1.05631	0.2034	0.1925	0.1622	0.8378	12	62
0.43503	0.42125	0.47367	1.05631	0.2034	0.1925	0.1622	0.8378	12	62
0.43503	0.42125	0.47367	1.05631	0.2034	0.1925	0.1622	0.8378	12	62
0.43178	0.42125	0.46002	0.94097	0.1695	0.1801	0.1471	0.8529	10	58
0.43178	0.42125	0.46002	0.94097	0.1695	0.1801	0.1471	0.8529	10	58
0.43092	0.42125	0.45584	0.75278	0.1356	0.1801	0.1212	0.8788	8	58
0.43092	0.42125	0.45584	0.75278	0.1356	0.1801	0.1212	0.8788	8	58
0.43092	0.42125	0.45584	0.75278	0.1356	0.1801	0.1212	0.8788	8	58
0.43092	0.42125	0.45584	0.75278	0.1356	0.1801	0.1212	0.8788	8	58
0.42852	0.42125	0.45116	0.38983	0.0678	0.1739	0.0667	0.9333	4	56
0.34920	0.13040	0.43549	0.32855	0.3051	0.9286	0.0568	0.9432	18	299
