P	Target	Relationship
YBR136W	YBR236C	kinase
YBL088C	YBR236C	kinase
YBR136W	YKL112W	kinase
YBL088C	YKL112W	kinase
YBR136W	YKL112W	kinase
YBL088C	YKL112W	kinase
YBR136W	YKL112W	kinase
YBL088C	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YJR059W	YCR088W	kinase
YJR059W	YCR088W	kinase
YJR059W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
YBR160W	YCR088W	kinase
