/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_2
loss	sse	Lt	Lp
523.40177	521.78597	14.35504	10.97680
490.99118	489.85205	10.09721	10.86343
467.82273	466.69843	9.74240	11.43634
441.48039	440.09295	11.47699	12.65657
415.00482	413.17752	14.08658	14.58324
392.29957	390.02163	16.24692	16.62103
369.21576	366.40290	18.23229	18.95501
342.37284	338.83617	19.99849	21.97056
318.88212	314.64455	20.95357	24.58560
298.52158	293.88931	21.32321	25.97543
280.17950	275.38393	21.64562	26.58334
263.95577	258.96976	22.05085	27.20997
249.42845	244.22692	22.41584	27.89526
236.33983	230.95463	22.77976	28.44751
226.39502	220.88477	23.01693	28.86052
217.16381	211.52935	23.25935	29.27171
206.91185	201.14744	23.48755	29.75516
198.97070	193.10269	23.65669	30.15327
191.52543	185.53067	23.82900	30.59512
184.48488	178.39842	23.96789	30.97260
176.52783	170.34639	24.11626	31.39406
169.06206	162.77938	24.22758	31.80654
162.02297	155.65793	24.30708	32.17006
156.47428	150.03979	24.36645	32.44563
150.15527	143.63719	24.44827	32.75970
145.14309	138.58027	24.50990	32.96832
139.42987	132.81319	24.56069	33.19835
134.00925	127.34890	24.61606	33.38754
128.86143	122.16425	24.67319	33.54218
123.16697	116.44526	24.75193	33.66847
119.28808	112.55422	24.80730	33.74067
115.55461	108.82034	24.85472	33.79938
111.25246	104.53007	24.91280	33.85214
107.14874	100.43197	24.97650	33.90663
103.86018	97.15858	25.03545	33.92661
100.07379	93.39718	25.09181	33.95469
96.45067	89.79234	25.15431	33.96989
92.98418	86.35379	25.20400	33.97836
90.21799	83.59496	25.25498	34.00255
87.02153	80.42359	25.31466	34.02451
83.95906	77.38280	25.37373	34.03606
81.50252	74.94833	25.40950	34.03439
78.67388	72.14049	25.45544	34.05323
75.95791	69.45024	25.50577	34.05871
73.35244	66.86985	25.56300	34.06423
71.26271	64.79840	25.60724	34.07364
68.84346	62.40833	25.63828	34.08238
66.53226	60.11555	25.67867	34.10093
64.67035	58.27210	25.72069	34.10633
62.52377	56.14495	25.76497	34.12699
60.80904	54.43720	25.78879	34.14929
58.81822	52.46806	25.81115	34.18049
56.91123	50.57737	25.82934	34.21673
55.07584	48.76268	25.84413	34.24235
53.31035	47.01469	25.87701	34.25505
51.60948	45.33698	25.89041	34.26708
49.70427	43.46137	25.90946	34.27189
48.13881	41.92135	25.92832	34.27330
46.63110	40.43883	25.93923	34.27755
45.41895	39.24479	25.95416	34.28259
44.24153	38.09273	25.95470	34.27861
42.87899	36.75248	25.96463	34.27539
41.56284	35.46759	25.96744	34.26274
40.50301	34.42568	25.98318	34.25764
39.27514	33.22519	25.98156	34.25536
38.09246	32.06883	25.99248	34.24829
37.13884	31.14089	25.99119	34.24138
36.21422	30.23657	25.99292	34.24467
35.14377	29.19423	25.99115	34.23983
34.11173	28.18433	25.99602	34.23432
33.11945	27.22239	25.97740	34.22206
32.31917	26.44492	25.97506	34.21366
31.39330	25.55182	25.94818	34.20233
30.50099	24.68282	25.94239	34.18786
29.64040	23.85278	25.92900	34.16890
28.94858	23.18280	25.90989	34.16427
28.14403	22.40752	25.89265	34.14947
27.49796	21.78429	25.88534	34.13986
26.74688	21.05840	25.86284	34.13142
26.02452	20.36199	25.85926	34.11388
25.44005	19.80279	25.83611	34.10027
24.76118	19.15009	25.82618	34.07981
24.21532	18.62661	25.81302	34.06085
23.68413	18.11688	25.79820	34.04429
23.06611	17.52900	25.78303	34.01300
22.47049	16.95874	25.77033	33.98879
21.89543	16.41264	25.75589	33.95283
21.33944	15.88475	25.74295	33.92132
20.79959	15.37225	25.73773	33.88763
20.19651	14.79917	25.72143	33.84915
19.69808	14.33061	25.70553	33.81564
19.29369	13.94972	25.69311	33.78487
18.82478	13.51037	25.67880	33.74878
18.37440	13.08337	25.67426	33.71604
18.00829	12.74114	25.65249	33.68510
17.65437	12.41035	25.64698	33.65249
17.31070	12.08600	25.64537	33.61790
16.90897	11.71171	25.62902	33.57824
16.58572	11.41133	25.61947	33.54695
16.27303	11.12038	25.60759	33.51497
15.97010	10.83598	25.60358	33.48471
15.61971	10.50979	25.58135	33.45427
15.28076	10.19512	25.56687	33.41784
14.95387	9.89772	25.53786	33.38135
14.64139	9.60435	25.52980	33.34783
14.33799	9.32180	25.51543	33.31263
14.09317	9.09850	25.50184	33.27924
