kinase	target
AKL1	AIM10
ARK1	SEC2
BCK1	FYV11
CAK1	CDC13
CBK1	AST1
CDC15	AIM10
AKL1	CCT6
ARK1	YGR130C
BCK1	SCS2
CAK1	DRS1
CBK1	KRE30
CDC15	ANB1
AKL1	GND2
ARK1	YMR196W
BCK1	SHQ1
CAK1	POL30
CBK1	NBA1
CDC15	GRX1
AKL1	GSF2
BCK1	YJR097W
CBK1	SNL1
CDC15	GSY2
AKL1	GSY2
CBK1	SSD1
CDC15	RIM11
AKL1	LEU4
CBK1	SSE2
CDC15	RPP2B
AKL1	MVP1
CBK1	TRZ1
CDC15	YIG1
AKL1	PAN5
CBK1	WWM1
AKL1	POT1
CBK1	YDR132C
AKL1	RIB2
CBK1	YER067W
AKL1	RIM11
CBK1	YPT32
AKL1	RSC6
AKL1	SCP160
AKL1	SEC2
AKL1	SET5
AKL1	SKI8
AKL1	STI1
AKL1	TRZ1
AKL1	YBL055C
AKL1	YGR287C
AKL1	YHR214C-C
AKL1	YJR111C
AKL1	YLR392C
AKL1	YMR196W
CDC28	EAF6
CDC7	EAF6
CHK1	ASN1
CLA4	BUD16
CMK1	APT1
CMK2	ARC18
CDC28	MTD1
CDC7	TIF34
CHK1	DUT1
CLA4	DUT1
CMK1	ASC1
CMK2	ATG29
CDC28	RPL4A
CDC7	YKR047W
CHK1	EAF6
CLA4	EAF6
CMK1	BUD19
CMK2	AVT6
CDC28	TRP3
CHK1	EHT1
CLA4	ELP2
CMK1	CCT4
CMK2	BUD19
CDC28	YCR016W
CHK1	ELP2
CLA4	RPL4A
CMK1	CDA1
CMK2	CCT4
CDC28	YKL023W
CHK1	EMI2
CLA4	YJL070C
CMK1	CYB5
CMK2	CDA1
CDC28	ENO2
CDC7	YKL023W
CHK1	ERG20
CLA4	DBR1
CDC28	GAL10
CHK1	ERS1
CLA4	DSE3
CDC28	OYE3
CHK1	FIS1
CLA4	ERS1
CDC28	PHO13
CHK1	FSF1
CLA4	GRE3
CDC28	PRS1
CHK1	GRX4
CLA4	GRX4
CDC28	TIF34
CHK1	GSF2
CLA4	JIP5
CDC28	TRM112
CHK1	MES1
CLA4	LSM1
CDC28	TRP3
CHK1	NPL4
CLA4	MAG1
CDC28	UBA1
CHK1	PET122
CLA4	MRC1
CDC28	YKR047W
CHK1	PFK2
CLA4	MRP49
CDC28	PRE9
CDC7	MRP8
CDC28	RAS1
CDC7	MSN5
CDC28	RHR2
CDC7	NET1
CDC28	RNR4
CDC7	NUP53
CDC28	RPL27B
CDC7	OPY1
CDC28	RTR1
CDC7	OXA1
CDC28	SDL1
CDC7	PIR1
CDC28	SER1
CDC7	PSY2
CDC28	VPS21
CDC7	RAD2
CDC28	YBR099C
CDC7	RFC5
CDC28	YHR033W
CDC7	RHR2
CDC28	YJL175W
CDC7	RIM13
CDC28	YJR129C
CDC7	RPL17B
CDC28	YNR064C
CDC7	RPO26
CDC28	YPT32
CDC7	SDL1
CDC28	YPT7
CDC7	SGT1
CDC28	SOD2
CDC28	SPP1
CDC28	SYF1
CDC28	TUB4
CDC28	TVP18
CDC28	VMA13
CDC28	YBR071W
CDC28	YBR099C
CDC28	YBR220C
CDC28	YDR344C
CDC28	YEL028W
CDC28	YER128W
CDC28	YGR205W
CDC28	YIL032C
CDC28	YJL175W
CTK1	ARA2
CTK2	ABZ1
DBF2	BUD16
DBF20	BUD16
ELM1	DRS1
FMP48	MLS1
CTK1	CAR2
CTK2	ALA1
DBF2	EHT1
DBF20	YKR047W
ELM1	FRS1
FMP48	PEX19
CTK1	CCT6
CTK2	AML1
DBF2	ELP2
ELM1	MFT1
FMP48	RNR4
CTK1	CRZ1
CTK2	ARA2
DBF2	MTD1
ELM1	PRS1
FMP48	RPN10
CTK1	CSM3
CTK2	CDC11
DBF2	TRM112
ELM1	RNA1
FMP48	UBX2
CTK1	CVT19
CTK2	CLC1
DBF2	YKR041W
ELM1	RSC6
CTK1	FRS1
CTK2	CTA1
DBF2	YKR047W
ELM1	RTR1
CTK1	QRI1
CTK2	FYV11
ELM1	UBC8
CTK1	RDS2
CTK2	GLN1
ELM1	YCR064C
CTK1	RTR1
CTK2	PEX19
ELM1	YGR021W
CTK1	WWM1
CTK2	QRI1
ELM1	YJR097W
CTK1	YGR021W
CTK2	RNR4
CTK1	YJR070C
CTK2	RTR1
CTK1	YKR018C
CTK2	SHP1
CTK1	YPL077C
CTK2	TIF2
CTK1	YJR070C
CTK1	YKL091C
CTK1	YKR018C
CTK1	YNR064C
CTK1	YPL077C
FRK1	ANB1
FUS3	ADE17
GCN2	CDC55
GIN4	ANB1
HAL5	YCR016W
HRR25	ADO1
FRK1	CRZ1
FUS3	DIG2
GCN2	DST1
GIN4	ARP8
HRR25	ALD6
FRK1	CVT19
FUS3	ELP2
GCN2	MAK10
GIN4	COX4
HRR25	ARP8
FRK1	GCD1
FUS3	GAL10
GCN2	NOB1
GIN4	CRZ1
HRR25	ASN1
FRK1	GSY2
FUS3	MTD1
GCN2	RDS2
GIN4	DOT5
HRR25	BNA1
FRK1	NTA1
FUS3	TRP3
GCN2	RPB5
GIN4	GCD1
HRR25	BUD16
FRK1	RAD23
FUS3	YLR236C
GCN2	SKY1
GIN4	GRX1
HRR25	CHS1
FRK1	RIM11
GCN2	UBP6
GIN4	GSY2
HRR25	CPA2
FRK1	TIF2
GCN2	YBL055C
GIN4	HFD1
HRR25	CRZ1
FRK1	UBC8
GCN2	YOR309C
GIN4	MAK10
HRR25	DOG2
FRK1	WWM1
GCN2	YPR115W
GIN4	MDM36
HRR25	EAF6
FRK1	YBR053C
GIN4	MPD1
HRR25	ELP2
FRK1	YGR017W
GIN4	NUP53
HRR25	GAL10
FRK1	YIG1
GIN4	RDS2
HRR25	GIC2
FRK1	YJR097W
GIN4	RNA1
HRR25	GSY2
FRK1	YJR154W
GIN4	RPF1
HRR25	HSV2
FRK1	SAS10
GCN2	MCH5
FRK1	SEC13
