"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
"ORF name","Gene name","ORF name","Gene name",,,,,,
YBR059C,AKL1,YDL161W,ENT1,Phosphorylation,,,,,
YBR059C,AKL1,YLR206W,ENT2,Phosphorylation,,,,,
YNL020C,ARK1,YIR006C,PAN1,Phosphorylation,,,,,
YNL020C,ARK1,YBL007C,SLA1,Phosphorylation,,,,,
YJL095W,BCK1,YOR231W,MKK1,Phosphorylation,,,,,
YJL095W,BCK1,YPL140C,MKK2,Phosphorylation,,,,,
YGR188C,BUB1,YOR026W,BUB3,Phosphorylation,,,,,
YGR188C,BUB1,YPL153C,RAD53,Phosphorylation,,,,,
YGR188C,BUB1,YGL086W,MAD1,Phosphorylation,,,,,
YFL029C,CAK1,YBR160W,CDC28,Phosphorylation,,,,,
YFL029C,CAK1,YKL139W,CTK1,Phosphorylation,,,,,
YFL029C,CAK1,YJL106W,IME2,Phosphorylation,,,,,
YFL029C,CAK1,YDL108W,KIN28,Phosphorylation,,,,,
YFL029C,CAK1,YPR161C,SGV1,Phosphorylation,,,,,
YFL029C,CAK1,YPR054W,SMK1,Phosphorylation,,,,,
YAR019C,CDC15,YGR092W,DBF2,Phosphorylation,,,,,
YAR019C,CDC15,YIL106W,MOB1,Phosphorylation,,,,,
YBR160W,CDC28,YBL009W,ALK2,Phosphorylation,,,,,
YBR160W,CDC28,YKL185W,ASH1,Phosphorylation,,,,,
YBR160W,CDC28,YKL052C,ASK1,Phosphorylation,,,,,
YBR160W,CDC28,YKR099W,BAS1,Phosphorylation,,,,,
YBR160W,CDC28,YBR200W,BEM1,Phosphorylation,,,,,
YBR160W,CDC28,YPL115C,BEM3,Phosphorylation,,,,,
YBR160W,CDC28,YBL085W,BOI1,Phosphorylation,,,,,
YBR160W,CDC28,YKL022C,CDC16,Phosphorylation,,,,,
YBR160W,CDC28,YHR166C,CDC23,Phosphorylation,,,,,
YBR160W,CDC28,YBL084C,CDC27,Phosphorylation,,,,,
YBR160W,CDC28,YBR160W,CDC28,Phosphorylation,,,,,
YBR160W,CDC28,YLR314C,CDC3,Phosphorylation,,,,,
YBR160W,CDC28,YLR229C,CDC42,Phosphorylation,,,,,
YBR160W,CDC28,YDL126C,CDC48,Phosphorylation,,,,,
YBR160W,CDC28,YMR001C,CDC5,Phosphorylation,,,,,
YBR160W,CDC28,YJL194W,CDC6,Phosphorylation,,,,,
YBR160W,CDC28,YDL017W,CDC7,Phosphorylation,,,,,
YBR160W,CDC28,YGL003C,CDH1,Phosphorylation,,,,,
YBR160W,CDC28,YPL256C,CLN2,Phosphorylation,,,,,
YBR160W,CDC28,YGR092W,DBF2,Phosphorylation,,,,,
YBR160W,CDC28,YPR111W,DBF20,Phosphorylation,,,,,
YBR160W,CDC28,YKL213C,DOA1,Phosphorylation,,,,,
YBR160W,CDC28,YKL048C,ELM1,Phosphorylation,,,,,
YBR160W,CDC28,YPL101W,ELP4,Phosphorylation,,,,,
YBR160W,CDC28,YJL157C,FAR1,Phosphorylation,,,,,
YBR160W,CDC28,YLR238W,FAR10,Phosphorylation,,,,,
YBR160W,CDC28,YNL068C,FKH2,Phosphorylation,,,,,
YBR160W,CDC28,YBR020W,GAL1,Phosphorylation,,,,,
