loss	sse	Lp	epoch	time
2047520421.78133	2232238130.60992	14193.07296	0	2020-02-05T14:02:12.867
67329868.21942	73013410.95634	14197.57026	1	2020-02-05T14:27:24.589
62514397.76898	67752195.84454	14204.79728	2	2020-02-05T14:52:24.747
58658874.01388	63558324.62379	14212.47834	3	2020-02-05T15:16:08.38
54846623.25745	59418148.70730	14220.08691	4	2020-02-05T15:40:02.472
51142340.37371	55397796.10047	14227.42542	5	2020-02-05T16:04:44.502
47636616.09926	51594090.72708	14234.47296	6	2020-02-05T16:28:39.433
44382745.98902	48064197.75369	14241.20985	7	2020-02-05T16:52:04.999
41401995.38630	44830858.10546	14247.62778	8	2020-02-05T17:16:31.523
38694530.63272	41894081.67074	14253.74875	9	2020-02-05T17:41:21.689
36248100.23725	39240485.80312	14259.57105	10	2020-02-05T18:05:58.663
34043933.15946	36849659.25670	14265.12764	11	2020-02-05T18:30:35.352
32060487.21955	34698210.82833	14270.45367	12	2020-02-05T18:55:09.168
30275716.14467	32762217.61085	14275.56024	13	2020-02-05T19:20:04.107
28668364.63940	31018623.82575	14280.46936	14	2020-02-05T19:44:49.542
27218648.77017	29445974.33562	14285.20003	15	2020-02-05T20:09:41.102
25908562.98019	28024739.30940	14289.75838	16	2020-02-05T20:34:34.864
24721948.89762	26737395.08762	14294.16681	17	2020-02-05T20:59:42.775
23644444.41015	25568366.23925	14298.42129	18	2020-02-05T21:24:42.137
22663357.47979	24503894.73537	14302.53242	19	2020-02-05T21:49:38.331
21767518.02371	23531875.60195	14306.50756	20	2020-02-05T22:14:37.919
20947128.41505	22641684.24741	14310.35627	21	2020-02-05T22:39:21.5
20193597.45994	21824007.25875	14314.07448	22	2020-02-05T23:03:57.549
19499395.93673	21070683.99610	14317.67420	23	2020-02-05T23:28:41.047
18857928.99244	20374563.20484	14321.16161	24	2020-02-05T23:53:34.183
18263411.11626	19729374.46107	14324.53541	25	2020-02-06T00:18:46.088
17710765.42852	19129614.95258	14327.80927	26	2020-02-06T00:43:52.731
17195531.12674	18570450.42014	14330.98269	27	2020-02-06T01:08:55.365
16713785.02434	18047628.84470	14334.05513	28	2020-02-06T01:33:57.851
16262072.22668	17557405.75751	14337.03171	29	2020-02-06T01:59:14.324
15837347.04492	17096479.58965	14339.92339	30	2020-02-06T02:24:07.235
15436919.98538	16661935.71679	14342.73801	31	2020-02-06T02:49:27.878
15058415.91927	16251198.29415	14345.47219	32	2020-02-06T03:14:17.945
14699735.24250	15861988.66942	14348.13074	33	2020-02-06T03:38:57.81
14359017.71506	15492289.36460	14350.70923	34	2020-02-06T04:03:51.675
14034615.31261	15140312.87762	14353.21261	35	2020-02-06T04:28:38.231
13725067.83750	14804474.74814	14355.65074	36	2020-02-06T04:53:20.666
13429080.71197	14483370.22474	14358.01885	37	2020-02-06T05:18:13.735
13145505.02801	14175753.89557	14360.32208	38	2020-02-06T05:42:59.316
12873322.72876	13880522.01990	14362.57033	39	2020-02-06T06:07:40.632
12611631.94518	13596697.14090	14364.75917	40	2020-02-06T06:32:20.342
12359634.82789	13323414.63941	14366.89284	41	2020-02-06T06:56:44.679
12116625.95474	13059910.86102	14368.96689	42	2020-02-06T07:21:31.63
11881985.15332	12805512.81561	14370.98867	43	2020-02-06T07:46:06.044
11655165.96025	12559628.94366	14372.94655	44	2020-02-06T08:10:40.144
11435689.13532	12321740.70701	14374.84261	45	2020-02-06T08:35:29.572
11223136.63304	12091395.36197	14376.67413	46	2020-02-06T08:59:58.291
11017143.85392	11868199.11151	14378.44942	47	2020-02-06T09:24:25.054
10817395.22266	11651811.02168	14380.17638	48	2020-02-06T09:49:26.782
10623617.83274	11441937.36458	14381.85896	49	2020-02-06T10:14:31.93
10435577.46969	11238326.34473	14383.49961	50	2020-02-06T10:39:34.82
10253074.80614	11040763.28718	14385.08748	51	2020-02-06T11:04:09.668
10075940.46100	10849066.09684	14386.61537	52	2020-02-06T11:28:40.914
9904031.35389	10663080.93246	14388.08407	53	2020-02-06T11:53:20.222
9737226.82849	10482678.08124	14389.50885	54	2020-02-06T12:17:43.777
9575425.46387	10307748.07441	14390.88021	55	2020-02-06T12:41:22.868
9418538.66812	10138197.65313	14392.19299	56	2020-02-06T13:05:31.313
9266490.11712	9973946.01361	14393.45915	57	2020-02-06T13:30:42.004
9119211.11701	9814921.05906	14394.68358	58	2020-02-06T13:56:35.137
8976639.03095	9661055.79639	14395.85458	59	2020-02-06T14:22:44.18
8838712.49216	9512284.71690	14396.97754	60	2020-02-06T14:48:45.553
8705368.86246	9368540.31875	14398.05677	61	2020-02-06T15:15:59.118
8576539.81746	9229749.59631	14399.09110	62	2020-02-06T15:43:49.944
8452150.84767	9095830.86894	14400.08204	63	2020-02-06T16:09:50.496
8332117.49599	8966690.88390	14401.01790	64	2020-02-06T16:36:00.379
8216343.57012	8842222.22806	14401.89864	65	2020-02-06T17:02:11.232
8104719.05877	8722301.22096	14402.72902	66	2020-02-06T17:28:28.891
7997116.56454	8606786.18155	14403.52067	67	2020-02-06T17:55:15.571
7893391.02463	8495516.34544	14404.26778	68	2020-02-06T18:21:30.652
7793381.07080	8388311.65258	14404.97435	69	2020-02-06T18:47:26.042
7696908.46903	8284973.29555	14405.63941	70	2020-02-06T19:13:07.665
7603780.15716	8185285.19552	14406.26444	71	2020-02-06T19:39:00.479
7513790.82566	8089016.49917	14406.86202	72	2020-02-06T20:04:35.859
7426726.46822	7995925.11853	14407.43247	73	2020-02-06T20:30:22.587
7342366.72892	7905762.25183	14407.96047	74	2020-02-06T20:56:16.882
7260490.23478	7818277.78120	14408.45985	75	2020-02-06T21:22:17.442
7180879.92369	7733226.41735	14408.91659	76	2020-02-06T21:48:54.492
7103329.16272	7650374.29167	14409.35639	77	2020-02-06T22:15:11.557
7027647.88432	7569505.55554	14409.76750	78	2020-02-06T22:41:35.982
6953667.93153	7490428.40993	14410.14657	79	2020-02-06T23:07:17.93
6881246.85376	7412980.16786	14410.50473	80	2020-02-06T23:33:09.31
6810270.74821	7337030.79313	14410.85593	81	2020-02-06T23:58:41.919
6740656.64139	7262484.62296	14411.20745	82	2020-02-07T00:24:39.98
6672351.58692	7189280.03893	14411.55682	83	2020-02-07T00:50:56.318
