loss	sse	Lt	Lp	epoch	time
230823.78886	230261.15438	1735.62315	859.11687	1	2019-12-12T11:09:55.522
195192.47266	194188.46111	6058.17871	271.63228	4	2019-12-12T11:28:38.67
171021.47419	168624.78276	9624.14874	335.90725	7	2019-12-12T11:48:23.444
154632.48863	151462.56599	12100.25944	534.52077	10	2019-12-12T12:07:01.634
141919.76545	138392.74366	13956.73447	453.09632	13	2019-12-12T12:26:42.274
132232.67931	128070.92369	15486.78768	545.85146	16	2019-12-12T12:46:27.48
124330.57706	119675.45572	16754.32244	545.17660	19	2019-12-12T13:06:20.484
117724.08195	112751.73630	17797.65462	548.84239	22	2019-12-12T13:25:35.783
112168.32733	106992.58611	18653.74301	482.25341	25	2019-12-12T13:46:06.939
107512.31402	102106.13700	19354.48274	530.92993	28	2019-12-12T14:05:55.953
103491.16000	97916.89569	19930.04506	499.84991	31	2019-12-12T14:26:08.515
100053.45309	94301.16418	20410.06237	538.41850	34	2019-12-12T14:45:00.774
97052.82331	91149.11707	20814.72486	538.45197	37	2019-12-12T15:04:32.885
94435.24876	88385.22446	21158.90441	569.12236	40	2019-12-12T15:23:55.851
92105.42310	85952.50994	21453.42816	529.16000	43	2019-12-12T15:43:32.754
90077.01371	83803.50544	21705.53114	545.10740	46	2019-12-12T16:03:07.397
88283.89491	81900.40913	21920.84892	560.43465	49	2019-12-12T16:23:24.688
86702.27483	80208.82582	22104.07253	590.53227	52	2019-12-12T16:42:07.79
85286.28353	78700.81327	22260.52147	596.87958	55	2019-12-12T17:01:10.353
84024.38684	77348.42633	22395.22552	613.73342	58	2019-12-12T17:20:09.866
82873.06110	76130.77569	22512.23407	593.44841	61	2019-12-12T17:39:24.689
81844.36068	75030.58383	22614.64511	594.99936	64	2019-12-12T17:58:52.709
80910.10542	74031.23381	22704.72896	592.66273	67	2019-12-12T18:18:21.006
80082.56301	73122.18044	22784.63898	638.55854	70	2019-12-12T18:37:56.002
79313.21675	72292.31772	22855.92723	649.25566	73	2019-12-12T18:56:34.644
78596.74107	71531.87487	22919.49268	624.93127	76	2019-12-12T19:15:45.878
77938.66696	70833.27989	22977.08426	611.79857	79	2019-12-12T19:34:28.74
77352.27854	70189.05461	23029.64886	641.45727	82	2019-12-12T19:54:15.33
76799.72369	69593.67734	23077.77482	644.35071	85	2019-12-12T20:12:39.794
76295.31164	69042.34236	23122.23473	668.42394	88	2019-12-12T20:31:52.008
75820.68887	68529.53549	23163.62061	676.08355	91	2019-12-12T20:50:35.821
75369.06034	68051.90126	23202.38009	661.19331	94	2019-12-12T21:10:10.954
74947.46574	67605.95492	23239.43853	650.72294	97	2019-12-12T21:29:10.847
74563.31430	67188.39099	23274.51065	662.18852	100	2019-12-12T21:49:12.098
74198.06726	66795.87242	23307.48923	659.40850	103	2019-12-12T22:08:22.405
73872.29666	66428.61982	23338.81024	699.92549	106	2019-12-12T22:27:59.657
73549.89002	66082.38651	23368.84825	703.16871	109	2019-12-12T22:46:58.542
73236.84745	65755.63158	23397.15987	687.33235	112	2019-12-12T23:05:19.471
72936.75953	65448.26288	23424.04434	659.84246	115	2019-12-12T23:24:00.53
72670.15643	65157.66760	23449.55524	678.03288	118	2019-12-12T23:42:29.662
72411.00759	64882.21470	23473.85065	681.80307	121	2019-12-13T00:01:51.58
72173.73528	64621.11063	23497.37062	704.14945	124	2019-12-13T00:20:55.681
