test	value	p
any auc	0.550219758238724	1.07891878017729e-142
n_datasets cor	0.0584404871193863	1.77135907757635e-65
networkin STRING cor	0.0595825359699211	3.35957202310812e-25
invitro 0.25	198	7.33600023868902e-19
invitro 0.2	170	1.13234458394862e-18
known 0.2	111	1.91117348701795e-13
literature 0.2	87	1.01299811799845e-11
invitro 0.075	76	1.15415319719172e-11
known 0.25	124	1.18583045621118e-11
known 0.075	55	5.55269263475245e-11
literature 0.25	97	2.8618948645457e-10
known 0.05	41	6.72249016681437e-10
invitro 0.05	54	1.35816629540687e-09
networkin cor	0.0344595761495086	2.04078094901256e-09
gold4 auc	0.542816568763356	2.27107161149878e-08
known 0.025	25	2.59505913795627e-08
networkin_biogrid cor	0.0352843116991583	3.92917424455937e-08
literature 0.075	38	4.98628538334566e-07
invitro 0.025	30	5.53744061858983e-07
literature 0.05	29	7.19294126170182e-07
known 0.01	13	1.64047209296708e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.156342209186705	0.001239368748036
fasolo auc	0.607799924027617	0.00206956830167181
literature 0.01	6	0.0221312392167279
inhibition cor	-0.125244042703961	0.0787286660290496
catalysis cor	-0.0391234184169498	0.105615119268673
fiedler auc	0.520252858278534	0.126189836759128
known 0.01	8	0.141937056879018
known 0.075	48	0.255391501390297
phosphatase auc	0.542643854176861	0.271259922367985
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
activation cor	-0.0525011741396429	0.337338192315599
invitro 0.01	8	0.338341327518212
literature 0.025	7	0.389855014109989
undirected cor	0.00483769470419933	0.47012713670796
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
known 0.025	13	0.620911798863248
kinase auc	0.494370398301092	0.623685310006833
reaction cor	0.0159190408499471	0.632085157090656
EMAP cor	-0.0349522071209612	0.672162280745556
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.00304339108297204	0.840705575843843
invitro 0.25	172	0.903494232052604
expression cor	-0.0242667811692291	0.904368536181243
netphorest cor	-0.000997507708424845	0.905861295673806
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.453977593346871	0.999550351743713
biogrid auc	0.436867698920687	0.999867319941058
parca auc	0.399802250608986	0.999927518609365
gold1 auc	0.45820606070736	0.999955111506743
gold3 auc	0.379273906256254	0.999999917870861
