YFL057C	AAD16
YAL068C	PAU8
YAL067C	SEO1
YAL064C-A	TDA8
YAL063C	FLO9
YAL062W	GDH3
YAL061W	BDH2
YAL060W	BDH1
YAL059W	ECM1
YAL058W	CNE1
YAL056W	GPB2
YAL055W	PEX22
YAL054C	ACS1
YAL053W	FLC2
YAL051W	OAF1
YAL049C	AIM2
YAL048C	GEM1
YAL047C	SPC72
YAL046C	BOL3
YAL044W-A	BOL1
YAL044C	GCV3
YAL043C	PTA1
YAL042W	ERV46
YAL041W	CDC24
YAL040C	CLN3
YAL039C	CYC3
YAL038W	CDC19
YAL036C	RBG1
YAL035W	FUN12
YAL034W-A	MTW1
YAL034C	FUN19
YAL033W	POP5
YAL032C	PRP45
YAL031C	GIP4
YAL030W	SNC1
YAL029C	MYO4
YAL028W	FRT2
YAL027W	SAW1
HRA1	HRA1
YAL026C	DRS2
YAL025C	MAK16
YAL024C	LTE1
YAL023C	PMT2
YAL022C	FUN26
YAL021C	CCR4
YAL020C	ATS1
YAL019W	FUN30
YAL018C	LDS1
YAL017W	PSK1
YAL016W	TPD3
YAL015C	NTG1
YAL014C	SYN8
YAL013W	DEP1
YAL012W	CYS3
YAL011W	SWC3
YAL010C	MDM10
YAL009W	SPO7
YAL008W	FUN14
YAL007C	ERP2
tP(UGG)A	TRN1
YAL005C	SSA1
YAL003W	EFB1
snR18	SNR18
YAL002W	VPS8
YAL001C	TFC3
CEN1	CEN1
YAR002W	NUP60
YAR002C-A	ERP1
YAR003W	SWD1
YAR007C	RFA1
YAR008W	SEN34
ARS109	ARS101
tA(UGC)A	TGA1
YAR014C	BUD14
YAR015W	ADE1
YAR018C	KIN3
YAR019C	CDC15
ARS110	ARS110
YAR020C	PAU7
tL(CAA)A	SUP56
YAR027W	UIP3
YAR031W	PRM9
YAR033W	MST28
YAR035W	YAT1
YAR042W	SWH1
YAR050W	FLO1
YAR071W	PHO11
YAR073W	IMD1
YJL223C	PAU1
YJL222W	VTH2
YJL221C	IMA4
YJL219W	HXT9
YJL217W	REE1
YJL216C	IMA5
YJL214W	HXT8
YJL212C	OPT1
YJL210W	PEX2
YJL209W	CBP1
YJL208C	NUC1
YJL207C	LAA1
YJL205C	NCE101
YJL204C	RCY1
YJL203W	PRP21
YJL201W	ECM25
YJL200C	ACO2
YJL199C	MBB1
YJL198W	PHO90
YJL197W	UBP12
YJL196C	ELO1
YJL194W	CDC6
YJL192C	SOP4
YJL191W	RPS14B
YJL190C	RPS22A
YJL189W	RPL39
YJL188C	BUD19
YJL187C	SWE1
YJL186W	MNN5
YJL185C	ATG36
YJL184W	GON7
YJL183W	MNN11
YJL181W	RBH1
YJL180C	ATP12
YJL179W	PFD1
YJL178C	ATG27
YJL177W	RPL17B
YJL176C	SWI3
YJL174W	KRE9
YJL173C	RFA3
YJL172W	CPS1
YJL171C	TOH1
YJL170C	ASG7
YJL168C	SET2
YJL167W	ERG20
YJL166W	QCR8
YJL165C	HAL5
YJL164C	TPK1
YJL162C	JJJ2
YJL161W	FMP33
YJL160C	PIR5
YJL159W	HSP150
YJL158C	CIS3
YJL157C	FAR1
YJL156C	SSY5
YJL155C	FBP26
YJL154C	VPS35
YJL153C	INO1
YJL151C	SNA3
YJL149W	DAS1
snR128	SNR128
snR190	SNR190
YJL148W	RPA34
YJL147C	MRX5
YJL146W	IDS2
YJL145W	SFH5
YJL143W	TIM17
YJL142C	IRC9
YJL141C	YAK1
YJL140W	RPB4
YJL139C	YUR1
YJL138C	TIF2
YJL137C	GLG2
YJL136C	RPS21B
YJL134W	LCB3
YJL133W	MRS3
YJL131C	AIM23
YJL130C	URA2
YJL129C	TRK1
YJL128C	PBS2
YJL127C	SPT10
YJL126W	NIT2
YJL125C	GCD14
YJL124C	LSM1
YJL123C	MTC1
YJL122W	ALB1
YJL121C	RPE1
YJL117W	PHO86
YJL116C	NCA3
YJL115W	ASF1
YJL112W	MDV1
YJL111W	CCT7
YJL110C	GZF3
YJL109C	UTP10
YJL108C	PRM10
YJL106W	IME2
YJL105W	SET4
YJL104W	PAM16
snR37	SNR37
YJL103C	GSM1
YJL102W	MEF2
YJL101C	GSH1
YJL100W	LSB6
YJL099W	CHS6
YJL098W	SAP185
YJL097W	PHS1
YJL096W	MRPL49
ETC3	ETC3
YJL095W	BCK1
YJL094C	KHA1
YJL093C	TOK1
YJL092W	SRS2
YJL091C	GWT1
YJL090C	DPB11
YJL089W	SIP4
YJL088W	ARG3
YJL087C	TRL1
YJL085W	EXO70
YJL084C	ALY2
YJL083W	TAX4
YJL082W	IML2
YJL081C	ARP4
YJL080C	SCP160
YJL079C	PRY1
YJL078C	PRY3
YJL077C	ICS3
YJL076W	NET1
YJL075C	APQ13
YJL074C	SMC3
YJL073W	JEM1
YJL072C	PSF2
YJL071W	ARG2
YJL069C	UTP18
YJL066C	MPM1
YJL065C	DLS1
YJL063C	MRPL8
YJL062W-A	COA3
YJL062W	LAS21
YJL061W	NUP82
YJL060W	BNA3
YJL059W	YHC3
YJL058C	BIT61
YJL057C	IKS1
YJL056C	ZAP1
YJL054W	TIM54
YJL053W	PEP8
YJL052W	TDH1
YJL051W	IRC8
YJL050W	MTR4
YJL049W	CHM7
YJL048C	UBX6
snR60	SNR60
YJL047C	RTT101
YJL046W	AIM22
tY(GUA)J1	SUP7
YJL044C	GYP6
YJL042W	MHP1
YJL041W	NSP1
YJL039C	NUP192
YJL038C	LOH1
YJL037W	IRC18
YJL036W	SNX4
YJL035C	TAD2
YJL034W	KAR2
YJL033W	HCA4
YJL031C	BET4
YJL030W	MAD2
YJL029C	VPS53
tM(CAU)J1	EMT5
YJL026W	RNR2
YJL025W	RRN7
YJL024C	APS3
YJL023C	PET130
YJL020C	BBC1
YJL019W	MPS3
YJL016W	TPH3
YJL014W	CCT3
YJL013C	MAD3
YJL012C	VTC4
YJL011C	RPC17
YJL010C	NOP9
YJL008C	CCT8
tM(CAU)J2	EMT3
YJL006C	CTK2
tL(UAA)J	SUP51
YJL005W	CYR1
YJL004C	SYS1
YJL003W	COX16
YJL002C	OST1
YJL001W	PRE3
CEN10	CEN10
YJR001W	AVT1
YJR002W	MPP10
YJR003C	MRX12
YJR004C	SAG1
YJR005W	APL1
YJR005C-A	LSO1
YJR006W	POL31
YJR007W	SUI2
YJR008W	MHO1
YJR009C	TDH2
YJR010W	MET3
YJR010C-A	SPC1
YJR013W	GPI14
YJR014W	TMA22
YJR016C	ILV3
YJR017C	ESS1
YJR019C	TES1
YJR021C	REC107
YJR022W	LSM8
YJR024C	MDE1
YJR025C	BNA1
YJR030C	RBH2
YJR031C	GEA1
YJR032W	CPR7
YJR033C	RAV1
YJR034W	PET191
YJR035W	RAD26
YJR036C	HUL4
YJR040W	GEF1
YJR041C	URB2
YJR042W	NUP85
YJR043C	POL32
tM(CAU)J3	IMT3
YJR044C	VPS55
YJR045C	SSC1
YJR046W	TAH11
YJR047C	ANB1
YJR048W	CYC1
YJR049C	UTR1
YJR050W	ISY1
YJR051W	OSM1
tG(GCC)J2	SUF23
YJR052W	RAD7
YJR053W	BFA1
YJR054W	KCH1
tR(CCU)J	HSX1
YJR055W	HIT1
tY(GUA)J2	SUP4
YJR057W	CDC8
YJR058C	APS2
YJR059W	PTK2
YJR060W	CBF1
YJR062C	NTA1
YJR063W	RPA12
YJR064W	CCT5
YJR065C	ARP3
YJR066W	TOR1
YJR067C	YAE1
YJR068W	RFC2
YJR069C	HAM1
YJR070C	LIA1
YJR072C	NPA3
YJR073C	OPI3
YJR074W	MOG1
YJR075W	HOC1
YJR076C	CDC11
YJR077C	MIR1
YJR078W	BNA2
YJR080C	AIM24
YJR082C	EAF6
YJR083C	ACF4
YJR086W	STE18
YJR088C	EMC2
YJR089W	BIR1
YJR090C	GRR1
YJR091C	JSN1
YJR092W	BUD4
YJR093C	FIP1
YJR094C	IME1
IRT1	IRT1
YJR094W-A	RPL43B
YJR095W	SFC1
YJR097W	JJJ3
YJR099W	YUH1
YJR100C	AIM25
