KP_reg	p.value	estimate	sign	KP
YAL009W	4.22883425418754e-12	0.00903256676611354	1	YAL009W
YAR018C	2.55526850649753e-15	0.0110635892008893	1	YAL009W
YBL009W	1.89964219678052e-13	0.00968840841706078	1	YAL009W
YBL016W	4.91040954175305e-13	0.00953015828328275	1	YAL009W
YBL056W	6.42710011013806e-09	0.00990123097034474	1	YAL009W
YBL088C	1.28480212156314e-09	0.00842638594581501	1	YAL009W
YBR028C	4.39843514465795e-09	0.00798889352520986	1	YAL009W
YBR059C	7.32936325632102e-14	0.0111634426979136	1	YAL009W
YBR097W	4.78669871334406e-14	0.0105953832364162	1	YAL009W
YBR125C	1.68220347527598e-10	0.00918801611175986	1	YAL009W
YBR274W	5.35269201370335e-08	0.00907089968029816	1	YAL009W
YBR276C	3.16133954049964e-11	0.0112946400630633	1	YAL009W
YCL024W	1.64061557035317e-11	0.00901183989242148	1	YAL009W
YCR008W	8.5966751349479e-11	0.00813811709162153	1	YAL009W
YCR073C	4.04941976795713e-11	0.0115946924714705	1	YAL009W
YCR079W	0.000208427542669953	0.0150812028650583	1	YAL009W
YCR091W	6.28476461951133e-14	0.0108581252006879	1	YAL009W
YDL006W	4.51031028744818e-12	0.0087472396898264	1	YAL009W
YDL025C	4.84689568036099e-07	0.00830326516032115	1	YAL009W
YDL047W	7.67649138268034e-11	0.0083656445404026	1	YAL009W
YDL079C	8.98237349636658e-11	0.00878712690287844	1	YAL009W
YDL101C	2.7723347443137e-13	0.00922611493937901	1	YAL009W
YDL127W	4.5766763792349e-14	0.0113288119071467	1	YAL009W
YDL134C	1.72941249483665e-10	0.00875934979040767	1	YAL009W
YDL159W	8.20036597393769e-13	0.00948708800654939	1	YAL009W
YDL188C	6.84462055969533e-10	0.00853157586732632	1	YAL009W
YDL214C	6.95350043994675e-15	0.010681109756717	1	YAL009W
YDL230W	1.55521039600371e-11	0.00860334252473307	1	YAL009W
YDR028C	2.27794925168586e-09	0.00760695339079632	1	YAL009W
