KP	Target	p
YAL009W	YAL051W	0.660832348578316
YAL009W	YBL005W	0.86483639150511
YAL009W	YBL008W	0.0730871471631193
YAL009W	YBL021C	0.232899018923871
YAL009W	YBL054W	0.573716146401638
YAL009W	YBL103C	0.87481380938759
YAL009W	YBR033W	0.876922180871785
YAL009W	YBR049C	0.20888648099171
YAL009W	YBR083W	0.997774742357384
YAL009W	YBR112C	0.0535218236120379
YAL009W	YBR150C	0.0332950898930478
YAL009W	YBR182C	0.378157414421082
YAL009W	YBR239C	0.525526682670097
YAL009W	YBR240C	0.882002344422349
YAL009W	YBR297W	0.759773920225756
YAL009W	YCL055W	0.137073832958448
YAL009W	YCR065W	0.826180998298012
YAL009W	YCR084C	0.0815498911677487
YAL009W	YCR106W	0.916268787170899
YAL009W	YDL020C	0.870612646601461
YAL009W	YDL048C	0.983939090733754
YAL009W	YDL056W	0.00783756309297083
YAL009W	YDL106C	0.00377835704835584
YAL009W	YDL170W	0.967226929336618
YAL009W	YDR009W	0.955353240037325
YAL009W	YDR026C	0.579119273036069
YAL009W	YDR034C	0.965300008848822
YAL009W	YDR043C	1.88673910485578e-05
YAL009W	YDR049W	0.937655932157174
YAL009W	YDR123C	0.102137930371559
YAL009W	YDR146C	0.709244066474687
YAL009W	YDR174W	0.539333148801406
YAL009W	YDR207C	0.000150226969527981
YAL009W	YDR213W	0.852364209644448
YAL009W	YDR216W	0.810335628142037
YAL009W	YDR253C	0.98265470006966
YAL009W	YDR259C	0.0105167466814738
YAL009W	YDR266C	0.968829484530321
YAL009W	YDR277C	0.00239082303818726
YAL009W	YDR310C	0.967510045641961
YAL009W	YDR421W	0.810180157301631
YAL009W	YDR423C	0.984271151547359
YAL009W	YDR451C	0.927917136073735
YAL009W	YDR463W	0.469818186392811
YAL009W	YDR501W	0.0815041918674859
YAL009W	YDR520C	0.706036344953911
YAL009W	YEL009C	8.26394633375825e-05
YAL009W	YER028C	0.999453650046346
YAL009W	YER040W	0.1692720205997
YAL009W	YER045C	0.97031728604965
YAL009W	YER051W	0.700997848729066
YAL009W	YER068W	0.601684458929516
YAL009W	YER088C	0.067638399454838
YAL009W	YER109C	2.61686954021792e-06
YAL009W	YER111C	8.6259497286968e-08
YAL009W	YER130C	0.951048728065851
YAL009W	YER161C	0.73737503072596
YAL009W	YER169W	0.399471333374983
YAL009W	YER184C	0.99296768951711
YAL009W	YFL021W	0.483154235568143
YAL009W	YFL031W	0.999097877224512
YAL009W	YFL044C	0.997411606901687
YAL009W	YFL052W	0.534473833597564
YAL009W	YFR034C	0.0500128203625398
YAL009W	YGL013C	0.976756369214349
YAL009W	YGL035C	0.541278669042568
YAL009W	YGL071W	0.770942628319416
YAL009W	YGL073W	0.000158476664355385
YAL009W	YGL096W	0.695665357820278
YAL009W	YGL131C	0.942393819469066
YAL009W	YGL162W	0.00188489212311863
YAL009W	YGL166W	0.0216017434773499
YAL009W	YGL181W	0.720726496660573
YAL009W	YGL192W	0.833413192588597
YAL009W	YGL197W	0.952177714036281
YAL009W	YGL209W	0.965695116201333
YAL009W	YGL237C	0.705112026194541
YAL009W	YGL252C	0.890441411436287
YAL009W	YGL254W	0.788832623412816
YAL009W	YGR044C	0.842647458020095
YAL009W	YGR067C	0.130250256858419
YAL009W	YGR089W	0.135358529426574
YAL009W	YGR097W	0.925118810125087
YAL009W	YGR249W	0.660999017102733
YAL009W	YGR288W	0.761391731619184
YAL009W	YHL009C	0.981396068717797
YAL009W	YHL020C	0.997223564029427
YAL009W	YHL027W	0.816021414217145
YAL009W	YHR006W	0.999757705977462
YAL009W	YHR084W	0.500703082193837
YAL009W	YHR124W	0.924372002755166
YAL009W	YHR178W	0.171776215855835
YAL009W	YHR206W	2.89322422553458e-10
YAL009W	YIL036W	0.98956345441324
YAL009W	YIL101C	0.199876655734701
YAL009W	YIL119C	0.48721979604955
YAL009W	YIL122W	0.555254418260159
YAL009W	YIL128W	0.997749721031094
YAL009W	YIL131C	0.0551495799405679
YAL009W	YIR017C	0.996845733476125
YAL009W	YIR018W	0.863516092374041
YAL009W	YIR023W	0.00932007854672028
YAL009W	YIR033W	0.0168006829381168
YAL009W	YJL056C	0.994880972413772
YAL009W	YJL089W	0.97901544073559
YAL009W	YJL103C	0.0249979201129725
YAL009W	YJL110C	0.97598048967602
YAL009W	YJL127C	0.894775881267539
YAL009W	YJL206C	0.999184837306183
YAL009W	YJR060W	0.00254513625538842
YAL009W	YJR094C	0.107345355398046
YAL009W	YJR127C	0.728902573467002
YAL009W	YJR140C	0.534714949878093
YAL009W	YJR147W	0.933058044635964
YAL009W	YKL005C	0.502188123529511
YAL009W	YKL015W	0.104611874050452
YAL009W	YKL020C	0.420521966250912
YAL009W	YKL032C	0.653669821776885
YAL009W	YKL038W	0.524181118135105
YAL009W	YKL043W	0.160618905654846
YAL009W	YKL062W	0.187136279474402
YAL009W	YKL072W	0.725855319915109
YAL009W	YKL109W	0.748391277034046
YAL009W	YKL112W	0.325385085935419
YAL009W	YKL185W	4.27752874156133e-07
YAL009W	YKL222C	0.419887466121875
YAL009W	YKR034W	0.99725382511306
YAL009W	YKR064W	0.39496634244766
YAL009W	YKR099W	0.70238067861976
YAL009W	YLR013W	0.999171340180369
YAL009W	YLR014C	0.71568914561394
YAL009W	YLR098C	0.947682359722815
YAL009W	YLR131C	0.00749269087828222
YAL009W	YLR176C	0.34437008486834
YAL009W	YLR182W	0.000308244280491981
YAL009W	YLR183C	0.0482809879992345
YAL009W	YLR228C	0.531034179744766
YAL009W	YLR256W	0.00828826583314894
YAL009W	YLR266C	0.374946415011136
YAL009W	YLR278C	0.361983178274963
YAL009W	YLR403W	0.410499947747983
YAL009W	YLR451W	0.0495474745130202
YAL009W	YML007W	0.00797411692613137
YAL009W	YML027W	0.936385118463849
YAL009W	YML051W	0.737865830595878
YAL009W	YML076C	0.53686816767454
YAL009W	YML081W	0.907246152979729
YAL009W	YML099C	0.863028448558031
YAL009W	YML113W	0.999200338986352
YAL009W	YMR016C	0.0741707606650939
YAL009W	YMR019W	0.732549738162003
YAL009W	YMR021C	0.758262595845872
YAL009W	YMR037C	0.000151208640172975
YAL009W	YMR042W	0.0573984160174923
YAL009W	YMR043W	0.0800520982133804
YAL009W	YMR053C	0.994295939393068
YAL009W	YMR070W	0.505644956890421
YAL009W	YMR075W	0.578602413650836
YAL009W	YMR164C	0.826741996992877
YAL009W	YMR172W	6.74205113160924e-08
YAL009W	YMR182C	0.998341650901288
YAL009W	YMR280C	0.20303232213807
YAL009W	YNL027W	0.919094862460127
YAL009W	YNL068C	4.28056086417092e-05
YAL009W	YNL139C	0.876648670291269
YAL009W	YNL167C	0.0111766118996091
YAL009W	YNL199C	0.420342131865219
YAL009W	YNL216W	0.068410551883151
YAL009W	YNL257C	0.572881427600945
YAL009W	YNL309W	0.753018035059099
YAL009W	YNL314W	0.328194382091527
YAL009W	YNR063W	0.118824409067959
YAL009W	YOL028C	0.0776930279375943
YAL009W	YOL067C	0.85260092301616
YAL009W	YOL089C	0.985781589687988
YAL009W	YOL108C	3.12567915050354e-05
YAL009W	YOL116W	0.829265626692778
YAL009W	YOR028C	6.0449227138147e-06
YAL009W	YOR032C	0.7111519652526
YAL009W	YOR038C	0.0987300811949189
YAL009W	YOR113W	0.000475280055466539
YAL009W	YOR140W	0.785344788369047
YAL009W	YOR162C	0.97855263224511
YAL009W	YOR229W	0.90223924384748
YAL009W	YOR230W	0.95418213492868
YAL009W	YOR337W	0.0187292950700139
YAL009W	YOR344C	0.633000031949108
YAL009W	YOR358W	0.00172731348739309
YAL009W	YOR363C	0.735754055505782
YAL009W	YOR380W	0.757922323906689
YAL009W	YPL038W	0.412788965863723
YAL009W	YPL049C	0.715432872232682
YAL009W	YPL075W	0.696840867645852
YAL009W	YPL089C	0.542346298563322
YAL009W	YPL133C	7.70543485512311e-11
YAL009W	YPL139C	0.979128280400143
YAL009W	YPL177C	0.751106464161354
YAL009W	YPL202C	0.888504170443716
YAL009W	YPL230W	0.65286632204212
YAL009W	YPL248C	0.999426098990445
YAL009W	YPR008W	0.817687924757767
YAL009W	YPR009W	0.655108171193616
YAL009W	YPR022C	0.0781459929115779
YAL009W	YPR065W	0.000347141072603798
YAL009W	YPR196W	0.998576078961308
YAL009W	YPR199C	0.989690457845722
YAL017W	YAL051W	0.767174538035111
YAL017W	YBL005W	0.832880501734944
YAL017W	YBL008W	0.015464885818596
YAL017W	YBL021C	0.917987581420564
YAL017W	YBL054W	0.790802074185518
YAL017W	YBL103C	0.552727180382259
YAL017W	YBR033W	0.818342662714228
YAL017W	YBR049C	0.422365208720072
YAL017W	YBR083W	0.921387257476735
YAL017W	YBR112C	0.0474472080140825
YAL017W	YBR150C	0.969797579792448
YAL017W	YBR182C	0.300649502187812
YAL017W	YBR239C	0.399915965727544
YAL017W	YBR240C	0.839948950605568
YAL017W	YBR297W	0.987743367381552
YAL017W	YCL055W	0.146254011244204
YAL017W	YCR065W	0.883689669084971
YAL017W	YCR084C	0.272435019242269
YAL017W	YCR106W	0.66153276874586
YAL017W	YDL020C	0.50582462601531
YAL017W	YDL048C	0.936138441541163
YAL017W	YDL056W	0.705567541526704
YAL017W	YDL106C	0.13171962903233
YAL017W	YDL170W	0.991437506781946
YAL017W	YDR009W	0.681619356977454
YAL017W	YDR026C	0.481680701806945
YAL017W	YDR034C	0.970794141798773
YAL017W	YDR043C	0.00179673375405949
YAL017W	YDR049W	0.98120635798819
YAL017W	YDR123C	0.398185088343125
YAL017W	YDR146C	0.629206232114915
YAL017W	YDR174W	0.565076238836083
YAL017W	YDR207C	0.000373493019057723
YAL017W	YDR213W	0.680351056969913
YAL017W	YDR216W	0.999728676623031
YAL017W	YDR253C	0.489985331814624
YAL017W	YDR259C	0.00564476822293123
YAL017W	YDR266C	0.978359781173437
YAL017W	YDR277C	0.031641767330278
YAL017W	YDR310C	0.934188274326959
YAL017W	YDR421W	0.690865610615848
YAL017W	YDR423C	0.375214278220849
YAL017W	YDR451C	0.473643813661245
YAL017W	YDR463W	0.790274150573397
YAL017W	YDR501W	0.605477190975921
YAL017W	YDR520C	0.675358770192166
YAL017W	YEL009C	0.0198966256212799
YAL017W	YER028C	0.940501047287511
YAL017W	YER040W	0.839711559439588
YAL017W	YER045C	0.690067755650646
YAL017W	YER051W	0.668925819685628
YAL017W	YER068W	0.889425206791392
YAL017W	YER088C	0.0119129953254925
YAL017W	YER109C	6.03146368622251e-05
YAL017W	YER111C	0.00165891655428908
YAL017W	YER130C	0.91208650110537
YAL017W	YER161C	0.607916684714781
YAL017W	YER169W	0.769920730635819
YAL017W	YER184C	0.69320926044871
YAL017W	YFL021W	0.56210935093649
YAL017W	YFL031W	0.992145745969419
YAL017W	YFL044C	0.689151792932464
YAL017W	YFL052W	0.51814428545265
YAL017W	YFR034C	0.699698638246343
YAL017W	YGL013C	0.848269680931535
YAL017W	YGL035C	0.508662314253333
YAL017W	YGL071W	0.695992833470286
YAL017W	YGL073W	4.95874952614343e-05
YAL017W	YGL096W	0.384793699956842
YAL017W	YGL131C	0.789953547550732
YAL017W	YGL162W	0.0697322649229754
YAL017W	YGL166W	0.409272680823974
YAL017W	YGL181W	0.916298247432489
YAL017W	YGL192W	0.78983063713281
YAL017W	YGL197W	0.939599835840337
YAL017W	YGL209W	0.99686418539642
YAL017W	YGL237C	0.574350139375882
YAL017W	YGL252C	0.663864647806983
YAL017W	YGL254W	0.993807065245066
YAL017W	YGR044C	0.505262418885494
YAL017W	YGR067C	0.706686959031638
YAL017W	YGR089W	0.42533011932309
YAL017W	YGR097W	0.979441925365287
YAL017W	YGR249W	0.777989930053117
YAL017W	YGR288W	0.750888264240401
YAL017W	YHL009C	0.491961959166171
YAL017W	YHL020C	0.877521429447893
YAL017W	YHL027W	0.234873228545902
YAL017W	YHR006W	0.885684631318755
YAL017W	YHR084W	0.106071386561933
YAL017W	YHR124W	0.418071609356665
YAL017W	YHR178W	0.980739833303986
YAL017W	YHR206W	1.17992767801404e-05
YAL017W	YIL036W	0.998292598742551
YAL017W	YIL101C	0.0429196269855939
YAL017W	YIL119C	0.721897547255147
YAL017W	YIL122W	0.180391470434275
YAL017W	YIL128W	0.999107254689914
YAL017W	YIL131C	0.140527053767838
YAL017W	YIR017C	0.611775048513329
YAL017W	YIR018W	0.457835489993937
YAL017W	YIR023W	0.0294454132669759
YAL017W	YIR033W	0.00823946539548384
YAL017W	YJL056C	0.882697720250045
YAL017W	YJL089W	0.741995149030774
YAL017W	YJL103C	0.290102966665881
YAL017W	YJL110C	0.993621877230589
YAL017W	YJL127C	0.888935572656516
YAL017W	YJL206C	0.97187093854327
YAL017W	YJR060W	0.00122040631224338
YAL017W	YJR094C	0.677295589837605
YAL017W	YJR127C	0.637798378121058
YAL017W	YJR140C	0.993180289658668
YAL017W	YJR147W	0.888916920670449
YAL017W	YKL005C	0.565377323541999
YAL017W	YKL015W	3.03386151196147e-05
YAL017W	YKL020C	0.491422582689863
YAL017W	YKL032C	0.106581684676399
YAL017W	YKL038W	0.0437129952145242
YAL017W	YKL043W	0.137227442750553
YAL017W	YKL062W	0.283314872900433
YAL017W	YKL072W	0.573273809376454
YAL017W	YKL109W	0.974998903865831
YAL017W	YKL112W	0.237514403495318
YAL017W	YKL185W	6.54037338896039e-05
YAL017W	YKL222C	0.898221550567843
YAL017W	YKR034W	0.999357740445406
YAL017W	YKR064W	0.278511615344118
YAL017W	YKR099W	0.888199576876147
YAL017W	YLR013W	0.986515458900626
YAL017W	YLR014C	0.953303522482648
YAL017W	YLR098C	0.980493909950549
YAL017W	YLR131C	0.0764888169610805
YAL017W	YLR176C	0.564771805180774
YAL017W	YLR182W	0.0343008318464244
YAL017W	YLR183C	0.250123695713254
YAL017W	YLR228C	0.765064646067073
YAL017W	YLR256W	0.596047783614405
YAL017W	YLR266C	0.155599673276649
YAL017W	YLR278C	0.305003159767346
YAL017W	YLR403W	0.404526355944554
YAL017W	YLR451W	0.423246216764637
YAL017W	YML007W	0.40398202639755
YAL017W	YML027W	0.966883479567356
YAL017W	YML051W	0.967459188724636
YAL017W	YML076C	0.0456521220622313
YAL017W	YML081W	0.6770033988265
YAL017W	YML099C	0.856610013918776
YAL017W	YML113W	0.997746152387414
YAL017W	YMR016C	0.195192549506456
YAL017W	YMR019W	0.859745964492236
YAL017W	YMR021C	0.847558564548913
YAL017W	YMR037C	0.00601863073891691
YAL017W	YMR042W	0.0491963735874812
YAL017W	YMR043W	0.635725798562581
YAL017W	YMR053C	0.99280668993911
YAL017W	YMR070W	0.76973181899108
YAL017W	YMR075W	0.671137659273513
YAL017W	YMR164C	0.400551307395209
YAL017W	YMR172W	0.0147988387600005
YAL017W	YMR182C	0.993749214166928
YAL017W	YMR280C	0.0702682163019522
YAL017W	YNL027W	0.953168014881826
YAL017W	YNL068C	0.00866826851753555
YAL017W	YNL139C	0.580198125540835
YAL017W	YNL167C	0.000772869409650275
YAL017W	YNL199C	0.531460548758885
YAL017W	YNL216W	0.263377622808784
YAL017W	YNL257C	0.861373908714672
YAL017W	YNL309W	0.768785760830616
YAL017W	YNL314W	0.231839199320432
YAL017W	YNR063W	0.611050962688473
YAL017W	YOL028C	0.029905082146334
YAL017W	YOL067C	0.955106063732218
YAL017W	YOL089C	0.993529601854316
YAL017W	YOL108C	1.45566366399333e-07
YAL017W	YOL116W	0.615720242566442
YAL017W	YOR028C	1.28777269021447e-05
YAL017W	YOR032C	0.775639191150947
YAL017W	YOR038C	0.245652404252724
YAL017W	YOR113W	0.00387131836011291
YAL017W	YOR140W	0.046107420427888
YAL017W	YOR162C	0.997569139721426
YAL017W	YOR229W	0.682413936565266
YAL017W	YOR230W	0.969794563756461
YAL017W	YOR337W	0.217133935225004
YAL017W	YOR344C	0.692879895419737
YAL017W	YOR358W	0.0965545726805965
YAL017W	YOR363C	0.879458054661114
YAL017W	YOR380W	0.617065144256088
YAL017W	YPL038W	0.781131081594898
YAL017W	YPL049C	0.427240979775693
YAL017W	YPL075W	0.853920885098288
YAL017W	YPL089C	0.385961118740467
YAL017W	YPL133C	1.5938760153874e-06
YAL017W	YPL139C	0.977714266348467
YAL017W	YPL177C	0.113177457717027
YAL017W	YPL202C	0.521164068462571
YAL017W	YPL230W	0.255863544760591
YAL017W	YPL248C	0.99894071847325
YAL017W	YPR008W	0.60484864293297
YAL017W	YPR009W	0.289817617776922
YAL017W	YPR022C	0.365306522349683
YAL017W	YPR065W	0.00768444729520456
YAL017W	YPR196W	0.542553060850846
YAL017W	YPR199C	0.937155090023254
YAR018C	YAL051W	0.353823927891115
YAR018C	YBL005W	0.847173907841987
YAR018C	YBL008W	0.658533854522912
YAR018C	YBL021C	0.433002675605607
YAR018C	YBL054W	0.984892410182983
YAR018C	YBL103C	0.544607522847146
YAR018C	YBR033W	0.940497897587115
YAR018C	YBR049C	0.949406077852131
YAR018C	YBR083W	0.196605659635234
YAR018C	YBR112C	0.131316501196171
YAR018C	YBR150C	0.262417029164043
YAR018C	YBR182C	0.248609598052589
YAR018C	YBR239C	0.942961886948454
YAR018C	YBR240C	0.931257933308719
YAR018C	YBR297W	0.981628884292738
YAR018C	YCL055W	0.175934401654243
