TF	p	sign	KP
YAL051W	6.94430307607985e-06	-1	YBL016W
YBL005W	0.429719760307334	-1	YBL016W
YBL008W	0.917348728044589	1	YBL016W
YBL021C	0.876698202840678	1	YBL016W
YBL054W	0.830907040865452	-1	YBL016W
YBL103C	0.369225272522551	-1	YBL016W
YBR033W	0.668079719251197	1	YBL016W
YBR049C	0.867988505126077	1	YBL016W
YBR083W	2.96405890731705e-11	1	YBL016W
YBR112C	0.435752955926967	-1	YBL016W
YBR150C	0.379260760004704	-1	YBL016W
YBR182C	0.0162012666854554	1	YBL016W
YBR239C	0.237947783170212	1	YBL016W
YBR240C	0.35358812216715	-1	YBL016W
YBR297W	0.5351718483394	-1	YBL016W
YCL055W	0.346223657336076	-1	YBL016W
YCR065W	0.399662594578085	1	YBL016W
YCR084C	0.00832450360485897	1	YBL016W
YCR106W	0.219979707934431	1	YBL016W
YDL020C	0.867116652793436	-1	YBL016W
YDL048C	0.0530268436774066	1	YBL016W
YDL056W	0.0102763063755496	-1	YBL016W
YDL106C	0.0375957300587462	-1	YBL016W
YDL170W	0.601715745922878	1	YBL016W
YDR009W	0.845795444361914	1	YBL016W
YDR026C	0.522455550396451	-1	YBL016W
YDR034C	0.319678910804901	-1	YBL016W
YDR043C	0.0137741759027664	-1	YBL016W
YDR049W	0.782618948604929	1	YBL016W
YDR123C	1.23225015589713e-11	-1	YBL016W
YDR146C	0.205089375025681	1	YBL016W
YDR174W	0.199957291007217	1	YBL016W
YDR207C	0.00108682864956977	-1	YBL016W
YDR213W	0.309921143467514	-1	YBL016W
YDR216W	0.186024389854085	-1	YBL016W
YDR253C	1.04259058947897e-07	-1	YBL016W
YDR259C	4.01165268888807e-12	1	YBL016W
YDR266C	0.750785272661803	1	YBL016W
YDR277C	0.00105720257237534	-1	YBL016W
YDR310C	0.971217310817338	-1	YBL016W
YDR421W	0.789770521541086	1	YBL016W
YDR423C	0.00181521875794694	-1	YBL016W
YDR451C	0.241277932626927	1	YBL016W
YDR463W	0.18060372148852	1	YBL016W
YDR501W	0.00984958343772827	1	YBL016W
YDR520C	0.987697967926394	-1	YBL016W
YEL009C	0.401586372834146	-1	YBL016W
YER028C	0.99019607129858	1	YBL016W
YER040W	0.367804371118781	-1	YBL016W
YER045C	0.473207650866336	1	YBL016W
YER051W	0.916770315573121	1	YBL016W
YER068W	0.744851204836185	1	YBL016W
YER088C	0.0102278947543402	-1	YBL016W
YER109C	1.71461192896776e-07	-1	YBL016W
YER111C	1.28302371101031e-06	1	YBL016W
YER130C	0.922107072166064	1	YBL016W
YER161C	0.808588398746209	1	YBL016W
YER169W	0.957154509031816	1	YBL016W
YER184C	0.936822184161249	1	YBL016W
YFL021W	0.593646603390441	-1	YBL016W
YFL031W	0.921719912615418	-1	YBL016W
YFL044C	0.99705321461308	1	YBL016W
YFL052W	0.9999441017437	1	YBL016W
YFR034C	0.108814964608318	-1	YBL016W
YGL013C	0.0958668751471501	1	YBL016W
YGL035C	0.399960405572988	-1	YBL016W
YGL071W	0.734388289577028	1	YBL016W
YGL073W	0.000271472208741995	-1	YBL016W
YGL096W	0.447701029788049	1	YBL016W
YGL131C	0.125644724956673	-1	YBL016W
