TF	p	sign	KP
YAL051W	0.161293725848668	-1	YBR274W
YBL005W	0.143098272207443	-1	YBR274W
YBL008W	0.320250590394114	1	YBR274W
YBL021C	0.664670331042232	-1	YBR274W
YBL054W	0.532320741552832	1	YBR274W
YBL103C	0.705598721985496	-1	YBR274W
YBR033W	0.946933758537929	1	YBR274W
YBR049C	0.156396751925115	1	YBR274W
YBR083W	0.149811144731179	1	YBR274W
YBR112C	0.245840522092801	1	YBR274W
YBR150C	0.374452148399221	1	YBR274W
YBR182C	0.973807874609104	1	YBR274W
YBR239C	0.6174264109202	1	YBR274W
YBR240C	0.922148450701717	-1	YBR274W
YBR297W	0.209431141767924	-1	YBR274W
YCL055W	0.416814331515274	1	YBR274W
YCR065W	0.785226130246965	1	YBR274W
YCR084C	0.83597939669087	1	YBR274W
YCR106W	0.302339346572457	1	YBR274W
YDL020C	0.711601274237701	-1	YBR274W
YDL048C	0.99606952148697	1	YBR274W
YDL056W	0.374297851393693	-1	YBR274W
YDL106C	0.111508455858325	-1	YBR274W
YDL170W	0.972654264012948	1	YBR274W
YDR009W	0.936994198982079	1	YBR274W
YDR026C	0.899359762499667	1	YBR274W
YDR034C	0.962351757393351	-1	YBR274W
YDR043C	0.00295578475776075	-1	YBR274W
YDR049W	0.660173205023717	1	YBR274W
YDR123C	4.24951494916348e-05	-1	YBR274W
YDR146C	0.980778361083177	-1	YBR274W
YDR174W	0.551491729169318	-1	YBR274W
YDR207C	0.000354910326939821	-1	YBR274W
YDR213W	0.815195012566045	1	YBR274W
YDR216W	0.00440178795557998	-1	YBR274W
YDR253C	0.0670265860810759	-1	YBR274W
YDR259C	7.3842129104564e-06	-1	YBR274W
YDR266C	0.671536426192008	1	YBR274W
YDR277C	0.0132715820059224	-1	YBR274W
YDR310C	0.99999420713314	1	YBR274W
YDR421W	0.872790135169188	1	YBR274W
YDR423C	0.0248154556466465	1	YBR274W
YDR451C	0.294219387465896	1	YBR274W
YDR463W	0.964520565182075	1	YBR274W
YDR501W	0.652542200484965	-1	YBR274W
YDR520C	0.535177456585247	1	YBR274W
YEL009C	0.798680404815105	1	YBR274W
YER028C	0.996305956811297	1	YBR274W
YER040W	0.363317750405855	-1	YBR274W
YER045C	0.325078547547265	-1	YBR274W
YER051W	0.722075627231254	1	YBR274W
YER068W	0.442663219997443	1	YBR274W
YER088C	0.0388841771719756	1	YBR274W
YER109C	0.00126086548189179	-1	YBR274W
YER111C	0.00253933230251797	-1	YBR274W
YER130C	0.751519261539367	1	YBR274W
YER161C	0.947280042104135	1	YBR274W
YER169W	0.909342348834835	-1	YBR274W
YER184C	0.839073666676245	-1	YBR274W
YFL021W	0.0918032857068994	-1	YBR274W
YFL031W	0.743434067296668	-1	YBR274W
YFL044C	0.755446767664143	-1	YBR274W
YFL052W	0.735063918774671	1	YBR274W
YFR034C	0.0134003567618601	1	YBR274W
YGL013C	0.958031152189127	1	YBR274W
YGL035C	0.202844501153213	-1	YBR274W
YGL071W	0.862756992109325	1	YBR274W
YGL073W	0.00731473219360527	-1	YBR274W
YGL096W	0.874079745058349	-1	YBR274W
YGL131C	0.940036891405376	-1	YBR274W
YGL162W	0.148283418908213	1	YBR274W
YGL166W	0.459196484596129	1	YBR274W
YGL181W	0.991688259692294	1	YBR274W
YGL192W	0.950172414159452	-1	YBR274W
YGL197W	0.946622275675057	1	YBR274W
YGL209W	0.693087491559545	-1	YBR274W
YGL237C	0.23085362783851	-1	YBR274W
YGL252C	0.0793031650690626	-1	YBR274W
YGL254W	0.613071807562304	-1	YBR274W
YGR044C	0.406788340118536	1	YBR274W
YGR067C	0.478713963441322	1	YBR274W
YGR089W	0.673787532380185	1	YBR274W
YGR097W	0.832186701843814	1	YBR274W
YGR249W	0.887779247123315	-1	YBR274W
YGR288W	0.995905206500653	-1	YBR274W
YHL009C	0.795924279838253	1	YBR274W
YHL020C	0.977731119723624	1	YBR274W
YHL027W	0.27646528120117	1	YBR274W
YHR006W	0.910035186033775	1	YBR274W
YHR084W	0.00151655398215079	-1	YBR274W
YHR124W	0.00707102203968215	-1	YBR274W
YHR178W	0.214694871807432	-1	YBR274W
YHR206W	0.00140928632354844	-1	YBR274W
YIL036W	0.978045052026429	-1	YBR274W
YIL101C	0.265148250108021	-1	YBR274W
YIL119C	0.962004750431972	1	YBR274W
YIL122W	0.330778592845634	1	YBR274W
YIL128W	0.997891851650899	1	YBR274W
YIL131C	0.000735565717692134	-1	YBR274W
YIR017C	0.440161607601841	-1	YBR274W
YIR018W	0.290087379465068	-1	YBR274W
YIR023W	0.251004800294298	-1	YBR274W
YIR033W	0.00303035011887843	1	YBR274W
YJL056C	0.991276343989399	-1	YBR274W
YJL089W	0.920265270521434	1	YBR274W
YJL103C	0.064784860638233	-1	YBR274W
YJL110C	0.986192313604487	1	YBR274W
YJL127C	0.694035661937058	1	YBR274W
YJL206C	0.938279820212036	1	YBR274W
YJR060W	0.00360262303951102	1	YBR274W
YJR094C	0.150211250686623	-1	YBR274W
YJR127C	0.828200659248466	-1	YBR274W
YJR140C	0.931109856354814	-1	YBR274W
YJR147W	0.81264630492898	1	YBR274W
YKL005C	0.7461427492803	1	YBR274W
YKL015W	0.163322185877941	-1	YBR274W
YKL020C	3.58417477507759e-07	-1	YBR274W
YKL032C	0.104514689897279	-1	YBR274W
YKL038W	0.1865441040972	1	YBR274W
YKL043W	0.203905181532462	-1	YBR274W
YKL062W	0.0241502707867422	-1	YBR274W
YKL072W	0.809923689228735	1	YBR274W
YKL109W	0.861626534175129	1	YBR274W
YKL112W	0.0499609196002202	1	YBR274W
YKL185W	0.0106527349998084	-1	YBR274W
YKL222C	0.89245406561055	1	YBR274W
YKR034W	0.924730651634828	1	YBR274W
YKR064W	0.92037455446756	1	YBR274W
YKR099W	0.972435268461918	1	YBR274W
YLR013W	0.999993106786948	-1	YBR274W
YLR014C	0.0877797715341738	1	YBR274W
YLR098C	0.796241119952606	1	YBR274W
YLR131C	0.116487935892753	-1	YBR274W
YLR176C	0.0226006972190527	-1	YBR274W
YLR182W	0.0362761306666653	-1	YBR274W
YLR183C	0.105305682732609	-1	YBR274W
YLR228C	0.208354321931395	-1	YBR274W
YLR256W	0.000535348160250517	-1	YBR274W
YLR266C	0.233620777502928	1	YBR274W
YLR278C	0.858953094488823	1	YBR274W
YLR403W	0.985936154991056	1	YBR274W
YLR451W	0.581137626199048	1	YBR274W
YML007W	3.02745633776205e-05	1	YBR274W
YML027W	0.429088856808372	1	YBR274W
YML051W	0.963538958609855	1	YBR274W
YML076C	0.888897319312433	1	YBR274W
YML081W	0.568047911517243	1	YBR274W
YML099C	0.93193617255105	1	YBR274W
YML113W	0.999929490116701	1	YBR274W
YMR016C	0.000669858715661296	-1	YBR274W
YMR019W	0.9473930452361	1	YBR274W
YMR021C	0.70470987782247	1	YBR274W
YMR037C	9.49210480317045e-07	-1	YBR274W
YMR042W	0.1903064876537	1	YBR274W
YMR043W	0.256010057748268	1	YBR274W
YMR053C	0.979780706759438	-1	YBR274W
YMR070W	0.301187771671487	-1	YBR274W
YMR075W	0.563251946404537	1	YBR274W
YMR164C	0.557137188881179	-1	YBR274W
YMR172W	1.29782713942888e-07	-1	YBR274W
YMR182C	0.999966105071376	1	YBR274W
YMR280C	0.652205108533207	1	YBR274W
YNL027W	0.0120788840073419	-1	YBR274W
YNL068C	0.0153531208189947	-1	YBR274W
YNL139C	0.582603702896036	1	YBR274W
YNL167C	1.35654863053445e-08	-1	YBR274W
YNL199C	0.984644100897462	1	YBR274W
YNL216W	0.094999557903557	1	YBR274W
YNL257C	0.958077059388606	1	YBR274W
YNL309W	0.0995948087986012	-1	YBR274W
YNL314W	0.125240695817797	1	YBR274W
YNR063W	0.850818025501725	1	YBR274W
YOL028C	0.139336785325172	-1	YBR274W
YOL067C	0.911164791718519	1	YBR274W
YOL089C	0.686018765128813	-1	YBR274W
YOL108C	9.40245675708318e-05	1	YBR274W
YOL116W	0.498445762859231	-1	YBR274W
YOR028C	0.0149449477689728	-1	YBR274W
YOR032C	0.929230725431113	-1	YBR274W
YOR038C	0.850539535460286	-1	YBR274W
YOR113W	0.152267433233788	1	YBR274W
YOR140W	0.543374491271359	1	YBR274W
YOR162C	0.384224280552407	-1	YBR274W
YOR229W	0.635855450694896	1	YBR274W
YOR230W	0.910897296133224	-1	YBR274W
YOR337W	0.00319738581527623	-1	YBR274W
YOR344C	0.585286762533172	-1	YBR274W
YOR358W	0.627550403917179	-1	YBR274W
YOR363C	0.0986999773783662	-1	YBR274W
YOR380W	0.735154380801383	1	YBR274W
YPL038W	0.996472462797882	1	YBR274W
YPL049C	0.940734266577699	1	YBR274W
YPL075W	0.989413813283072	-1	YBR274W
YPL089C	0.564563562550983	1	YBR274W
YPL133C	1.48006387004395e-09	-1	YBR274W
YPL139C	0.811219319989487	-1	YBR274W
YPL177C	0.733830845932485	1	YBR274W
YPL202C	0.990466212948253	-1	YBR274W
YPL230W	0.129114563564246	1	YBR274W
YPL248C	0.999748495138974	1	YBR274W
YPR008W	0.887425850088017	-1	YBR274W
YPR009W	0.283660926324336	-1	YBR274W
YPR022C	0.78455655268283	1	YBR274W
YPR065W	0.0525104032835101	-1	YBR274W
YPR196W	0.81538105378672	1	YBR274W
YPR199C	0.988046984435034	1	YBR274W
