TF	p	sign	KP
YAL051W	0.00146242491325374	1	YBR276C
YBL005W	0.289491019896303	-1	YBR276C
YBL008W	0.684565352001538	1	YBR276C
YBL021C	0.0815643417821307	-1	YBR276C
YBL054W	0.806997896064255	1	YBR276C
YBL103C	0.866748178201276	1	YBR276C
YBR033W	0.597447856116994	-1	YBR276C
YBR049C	0.0257382428641477	-1	YBR276C
YBR083W	0.0494535851395854	1	YBR276C
YBR112C	0.306442415690226	1	YBR276C
YBR150C	0.0603589735587114	1	YBR276C
YBR182C	0.478248327715497	1	YBR276C
YBR239C	0.910144881103159	-1	YBR276C
YBR240C	0.988770282950415	-1	YBR276C
YBR297W	0.45875501405861	1	YBR276C
YCL055W	0.690551166623315	1	YBR276C
YCR065W	0.327833034739012	1	YBR276C
YCR084C	0.0524638793698715	-1	YBR276C
YCR106W	0.15355003551958	-1	YBR276C
YDL020C	0.210245700334062	1	YBR276C
YDL048C	0.89211722281403	-1	YBR276C
YDL056W	0.328974193762118	1	YBR276C
YDL106C	3.65837188743567e-05	1	YBR276C
YDL170W	0.942334546745238	-1	YBR276C
YDR009W	0.570446895973371	-1	YBR276C
YDR026C	0.107592559857991	-1	YBR276C
YDR034C	0.594944393672079	1	YBR276C
YDR043C	0.000718349104402304	1	YBR276C
YDR049W	0.207862259586089	-1	YBR276C
YDR123C	4.05564008349926e-06	1	YBR276C
YDR146C	0.504497068105715	1	YBR276C
YDR174W	0.743877078601211	1	YBR276C
YDR207C	0.012960504288312	1	YBR276C
YDR213W	0.131757649516267	-1	YBR276C
YDR216W	0.00163000044088093	-1	YBR276C
YDR253C	0.00308733394006813	-1	YBR276C
YDR259C	1.95670605854281e-06	1	YBR276C
YDR266C	0.675361304719253	-1	YBR276C
YDR277C	0.00632727401859545	1	YBR276C
YDR310C	0.979060886712818	-1	YBR276C
YDR421W	0.810221925186902	1	YBR276C
YDR423C	0.00244792584781947	-1	YBR276C
YDR451C	0.717571784487769	-1	YBR276C
YDR463W	0.54070657978323	-1	YBR276C
YDR501W	0.186719969829824	-1	YBR276C
YDR520C	0.740612120729315	-1	YBR276C
YEL009C	0.0570020028442702	-1	YBR276C
YER028C	0.994101532658227	1	YBR276C
YER040W	0.329747150709226	1	YBR276C
YER045C	0.541873673832943	-1	YBR276C
YER051W	0.425000314050761	-1	YBR276C
YER068W	0.967403076277018	1	YBR276C
YER088C	0.000528356759965716	-1	YBR276C
YER109C	0.0034785518251018	1	YBR276C
YER111C	0.119775710766542	1	YBR276C
YER130C	0.155201717330369	-1	YBR276C
YER161C	0.938088455186584	-1	YBR276C
YER169W	0.197672841080607	-1	YBR276C
YER184C	0.895192268670277	-1	YBR276C
YFL021W	0.324104692516094	1	YBR276C
YFL031W	0.870053845541986	-1	YBR276C
YFL044C	0.970607296379311	-1	YBR276C
YFL052W	0.916152458667936	1	YBR276C
YFR034C	0.351336879405791	1	YBR276C
YGL013C	0.028271823876464	1	YBR276C
YGL035C	0.430443979919133	-1	YBR276C
YGL071W	0.137675570091539	-1	YBR276C
YGL073W	0.00341738046747783	1	YBR276C
YGL096W	0.916764225259939	-1	YBR276C
YGL131C	0.949512364166871	1	YBR276C
YGL162W	0.0672897333799969	1	YBR276C
YGL166W	0.461041334672937	1	YBR276C
YGL181W	0.230621536480574	1	YBR276C
YGL192W	0.945488810846809	-1	YBR276C
YGL197W	0.628473134241185	-1	YBR276C
YGL209W	0.648857009420643	-1	YBR276C
YGL237C	0.135733957170116	-1	YBR276C
YGL252C	0.0809260028409819	-1	YBR276C
YGL254W	0.302508348703792	-1	YBR276C
YGR044C	0.555517157710632	1	YBR276C
YGR067C	0.63178532271005	-1	YBR276C
YGR089W	0.436199185225396	-1	YBR276C
YGR097W	0.951239858833217	-1	YBR276C
YGR249W	0.130671769772544	-1	YBR276C
YGR288W	0.762005928736973	1	YBR276C
YHL009C	0.336307018729317	1	YBR276C
YHL020C	0.966848841452992	-1	YBR276C
YHL027W	0.0126658053669222	-1	YBR276C
YHR006W	0.870763549863868	-1	YBR276C
YHR084W	1.74637958693777e-07	1	YBR276C
YHR124W	2.87144362719989e-06	-1	YBR276C
YHR178W	0.0582169897243094	-1	YBR276C
YHR206W	0.00013801354390913	1	YBR276C
YIL036W	0.37358511481579	1	YBR276C
YIL101C	0.0876186167866488	1	YBR276C
YIL119C	0.691342782626196	-1	YBR276C
YIL122W	0.0618866675696851	-1	YBR276C
YIL128W	0.999594044577616	1	YBR276C
YIL131C	4.43344133097735e-07	1	YBR276C
YIR017C	0.387834427813898	-1	YBR276C
YIR018W	0.0029786849889151	-1	YBR276C
YIR023W	0.155941692764514	1	YBR276C
YIR033W	0.0413299399597061	-1	YBR276C
YJL056C	0.850526693739785	-1	YBR276C
YJL089W	0.906077558907901	-1	YBR276C
YJL103C	0.355950805297857	-1	YBR276C
YJL110C	0.999641541978036	-1	YBR276C
YJL127C	0.943391916118909	-1	YBR276C
YJL206C	0.1047376592462	-1	YBR276C
YJR060W	0.26642495987866	1	YBR276C
YJR094C	0.6481281074248	1	YBR276C
YJR127C	0.329386543879168	-1	YBR276C
YJR140C	0.785272327359658	-1	YBR276C
YJR147W	0.494292948884005	-1	YBR276C
YKL005C	0.839971346069668	-1	YBR276C
YKL015W	0.166331047809271	-1	YBR276C
YKL020C	4.95773227782562e-07	1	YBR276C
YKL032C	0.000318817829258586	1	YBR276C
YKL038W	0.351591567138236	1	YBR276C
YKL043W	0.102194279731269	1	YBR276C
YKL062W	0.0133461556657983	1	YBR276C
YKL072W	0.355178627999081	1	YBR276C
YKL109W	0.291866970904241	-1	YBR276C
YKL112W	0.139538222039608	1	YBR276C
YKL185W	2.80755887345426e-06	1	YBR276C
YKL222C	0.921998786047771	-1	YBR276C
YKR034W	0.59838560755391	-1	YBR276C
YKR064W	0.929944242896715	1	YBR276C
YKR099W	0.635541368326692	-1	YBR276C
YLR013W	0.979763947840528	1	YBR276C
YLR014C	0.77695613710412	1	YBR276C
YLR098C	0.645928940952483	-1	YBR276C
YLR131C	0.00141317332249082	1	YBR276C
YLR176C	0.18562743775065	-1	YBR276C
YLR182W	0.159250916575734	1	YBR276C
YLR183C	0.0244701133891007	-1	YBR276C
YLR228C	0.862185153847167	-1	YBR276C
YLR256W	8.83925388511568e-07	1	YBR276C
YLR266C	0.471413984747131	1	YBR276C
YLR278C	0.480614576854422	-1	YBR276C
YLR403W	0.0222903504224101	-1	YBR276C
YLR451W	0.418368447822489	-1	YBR276C
YML007W	0.000285945511941964	1	YBR276C
YML027W	0.529364426270739	1	YBR276C
YML051W	0.384496729077378	-1	YBR276C
YML076C	0.869344197767818	1	YBR276C
YML081W	0.857915885417227	1	YBR276C
YML099C	0.770875407765661	-1	YBR276C
YML113W	0.999994800822824	1	YBR276C
YMR016C	0.00340859184603796	1	YBR276C
YMR019W	0.458511693810722	1	YBR276C
YMR021C	0.771775869226978	1	YBR276C
YMR037C	2.32997595755167e-11	1	YBR276C
YMR042W	0.079590143621999	-1	YBR276C
YMR043W	0.0562522976402594	-1	YBR276C
YMR053C	0.959997121913355	-1	YBR276C
YMR070W	0.0223028675393069	1	YBR276C
YMR075W	0.618854321644157	1	YBR276C
YMR164C	0.403103501410589	-1	YBR276C
YMR172W	4.54123416954046e-06	-1	YBR276C
YMR182C	0.569493245836599	1	YBR276C
YMR280C	0.163745216868027	-1	YBR276C
YNL027W	0.000886281968732375	1	YBR276C
YNL068C	6.17894686667817e-07	1	YBR276C
YNL139C	0.923541385354633	-1	YBR276C
YNL167C	1.33870990424669e-10	1	YBR276C
YNL199C	0.193056410074896	-1	YBR276C
YNL216W	0.00564879821623464	1	YBR276C
YNL257C	0.946692042178177	1	YBR276C
YNL309W	0.608568188817686	-1	YBR276C
YNL314W	0.53663708206499	-1	YBR276C
YNR063W	0.766005952988552	1	YBR276C
YOL028C	0.0526340242876976	1	YBR276C
YOL067C	0.792930278887358	-1	YBR276C
YOL089C	0.961129946375742	-1	YBR276C
YOL108C	5.31651901296818e-05	1	YBR276C
YOL116W	0.629391122075219	1	YBR276C
YOR028C	0.000161500172632762	1	YBR276C
YOR032C	0.778395473962344	-1	YBR276C
YOR038C	0.678573594466426	-1	YBR276C
YOR113W	0.00156351397588519	1	YBR276C
YOR140W	0.585038620822122	1	YBR276C
YOR162C	0.142139415950804	1	YBR276C
YOR229W	0.640162668656552	-1	YBR276C
YOR230W	0.915302723171705	-1	YBR276C
YOR337W	0.009613040282852	1	YBR276C
YOR344C	0.502833057695734	-1	YBR276C
YOR358W	0.00481843401872889	-1	YBR276C
YOR363C	0.00147056667343522	1	YBR276C
YOR380W	0.889669349649421	-1	YBR276C
YPL038W	0.616713056427373	-1	YBR276C
YPL049C	0.974962530421441	1	YBR276C
YPL075W	0.511479430497411	1	YBR276C
YPL089C	0.803782478013816	1	YBR276C
YPL133C	0.000127278580787292	1	YBR276C
YPL139C	0.906914211801564	-1	YBR276C
YPL177C	0.552516406310625	-1	YBR276C
YPL202C	0.865592350395235	-1	YBR276C
YPL230W	0.881146930386817	-1	YBR276C
YPL248C	0.999589859586066	1	YBR276C
YPR008W	0.828726662026446	1	YBR276C
YPR009W	0.671289554600837	1	YBR276C
YPR022C	0.65167196324372	-1	YBR276C
YPR065W	0.0283756224972778	1	YBR276C
YPR196W	0.872225658802857	-1	YBR276C
