TF	p	sign	KP
YAL051W	0.0343993856068676	1	YCR073C
YBL005W	0.39901694124636	-1	YCR073C
YBL008W	0.373871848530608	1	YCR073C
YBL021C	0.00492069590058022	-1	YCR073C
YBL054W	0.70636126479741	-1	YCR073C
YBL103C	0.381451868238472	1	YCR073C
YBR033W	0.475495495705509	-1	YCR073C
YBR049C	0.655003705963783	1	YCR073C
YBR083W	0.3510407162196	1	YCR073C
YBR112C	0.575141098613106	1	YCR073C
YBR150C	0.959181100764035	-1	YCR073C
YBR182C	0.907529107236281	1	YCR073C
YBR239C	0.252869452685851	-1	YCR073C
YBR240C	0.85587570090419	1	YCR073C
YBR297W	0.360317727011903	-1	YCR073C
YCL055W	0.259989918144029	1	YCR073C
YCR065W	0.254818896237833	1	YCR073C
YCR084C	0.57607620167527	1	YCR073C
YCR106W	0.158957461293923	-1	YCR073C
YDL020C	0.804241040349921	1	YCR073C
YDL048C	0.843083851430926	1	YCR073C
YDL056W	0.0631428160478069	-1	YCR073C
YDL106C	0.0517645458660278	-1	YCR073C
YDL170W	0.672068574032057	-1	YCR073C
YDR009W	0.844723208793046	-1	YCR073C
YDR026C	0.739133112030422	-1	YCR073C
YDR034C	0.932900594668167	-1	YCR073C
YDR043C	0.0126314120488884	1	YCR073C
YDR049W	0.965729967365941	-1	YCR073C
YDR123C	1.6034406377257e-06	1	YCR073C
YDR146C	0.582536375120382	1	YCR073C
YDR174W	0.466557825224243	-1	YCR073C
YDR207C	0.00319781459042908	-1	YCR073C
YDR213W	0.981290837013019	-1	YCR073C
YDR216W	0.339529474357118	-1	YCR073C
YDR253C	0.160351004271272	1	YCR073C
YDR259C	0.00139838283265134	1	YCR073C
YDR266C	0.629380063646764	-1	YCR073C
YDR277C	0.0430996742807891	-1	YCR073C
YDR310C	0.994408360495193	-1	YCR073C
YDR421W	0.783250392592325	-1	YCR073C
YDR423C	0.0105930698343687	-1	YCR073C
YDR451C	0.845009426220826	1	YCR073C
YDR463W	0.851846031805379	-1	YCR073C
YDR501W	0.523706575377464	-1	YCR073C
YDR520C	0.979492716433827	-1	YCR073C
YEL009C	0.321880621975073	1	YCR073C
YER028C	0.986124759637652	1	YCR073C
YER040W	0.177031364810715	-1	YCR073C
YER045C	0.992008835939562	-1	YCR073C
YER051W	0.793694091749511	-1	YCR073C
YER068W	0.362210366095983	-1	YCR073C
YER088C	0.0372409461386113	1	YCR073C
YER109C	0.00375742629735912	-1	YCR073C
YER111C	0.000304687160910599	1	YCR073C
YER130C	0.945598644827975	-1	YCR073C
YER161C	0.949903998096112	-1	YCR073C
YER169W	0.961047500190694	-1	YCR073C
YER184C	0.991753500273537	-1	YCR073C
YFL021W	0.178576244309033	-1	YCR073C
YFL031W	0.988136345271384	-1	YCR073C
YFL044C	0.658540265894171	-1	YCR073C
YFL052W	0.322659166810873	-1	YCR073C
YFR034C	0.158132149239562	1	YCR073C
YGL013C	0.867069336774223	1	YCR073C
YGL035C	0.742142787448212	-1	YCR073C
YGL071W	0.920780999566864	1	YCR073C
YGL073W	0.0258505394946953	1	YCR073C
YGL096W	0.577132626606435	-1	YCR073C
YGL131C	0.922914466081488	1	YCR073C
YGL162W	0.374783020929982	1	YCR073C
YGL166W	0.931381691541415	1	YCR073C
YGL181W	0.95091413353341	1	YCR073C
YGL192W	0.934578299400136	-1	YCR073C
YGL197W	0.802456310859506	-1	YCR073C
YGL209W	0.988482973440508	-1	YCR073C
YGL237C	0.1114101659804	-1	YCR073C
YGL252C	0.410049307036817	-1	YCR073C
YGL254W	0.781004564367478	-1	YCR073C
YGR044C	0.918318323955447	1	YCR073C
YGR067C	0.377152455290254	-1	YCR073C
YGR089W	0.105124142278341	-1	YCR073C
YGR097W	0.987290682910059	1	YCR073C
YGR249W	0.375709593362143	-1	YCR073C
YGR288W	0.853028472139746	-1	YCR073C
YHL009C	0.193193055265897	-1	YCR073C
YHL020C	0.995117929887821	-1	YCR073C
YHL027W	0.176049822806147	-1	YCR073C
YHR006W	0.982940908756986	-1	YCR073C
YHR084W	0.000259733914044812	1	YCR073C
YHR124W	0.00232004009554667	-1	YCR073C
YHR178W	0.230338348103129	1	YCR073C
YHR206W	5.62829258129208e-06	-1	YCR073C
YIL036W	0.861381825444226	-1	YCR073C
YIL101C	0.0267102875904722	1	YCR073C
YIL119C	0.630081053741445	-1	YCR073C
YIL122W	0.0436733694675324	-1	YCR073C
YIL128W	0.986930148479561	1	YCR073C
YIL131C	0.0023688991659073	-1	YCR073C
YIR017C	0.597630953913823	-1	YCR073C
YIR018W	0.100485731951995	1	YCR073C
YIR023W	0.0670022520123052	1	YCR073C
YIR033W	0.139494009157044	1	YCR073C
YJL056C	0.904517959073091	-1	YCR073C
YJL089W	0.958453531235167	-1	YCR073C
YJL103C	0.425044348994217	1	YCR073C
YJL110C	0.962091718651357	-1	YCR073C
YJL127C	0.419423790087209	-1	YCR073C
YJL206C	0.993292426498689	-1	YCR073C
YJR060W	0.00193442128673488	1	YCR073C
YJR094C	0.346231518270098	-1	YCR073C
YJR127C	0.939899648458133	-1	YCR073C
YJR140C	0.948092743096845	-1	YCR073C
YJR147W	0.739872409095174	-1	YCR073C
YKL005C	0.497819603617254	-1	YCR073C
YKL015W	0.134416570720998	1	YCR073C
YKL020C	6.54000067715335e-09	-1	YCR073C
YKL032C	0.0735477606938264	-1	YCR073C
YKL038W	0.36048039497471	1	YCR073C
YKL043W	0.147943102016393	1	YCR073C
YKL062W	0.00384996822531669	1	YCR073C
YKL072W	0.418447427939521	1	YCR073C
YKL109W	0.830369601411125	-1	YCR073C
YKL112W	0.734974373449241	1	YCR073C
YKL185W	0.00955997545957521	1	YCR073C
YKL222C	0.491870040518829	-1	YCR073C
YKR034W	0.992065418042914	-1	YCR073C
YKR064W	0.319355226580577	-1	YCR073C
YKR099W	0.941533115305388	-1	YCR073C
YLR013W	0.958497041636061	1	YCR073C
YLR014C	0.834887660051043	-1	YCR073C
YLR098C	0.801848460734731	-1	YCR073C
YLR131C	0.00238725742619818	-1	YCR073C
YLR176C	0.0936595192113416	-1	YCR073C
YLR182W	0.00363817147339501	-1	YCR073C
YLR183C	0.507729967235912	-1	YCR073C
YLR228C	0.382661903692618	-1	YCR073C
YLR256W	0.000323245464399702	-1	YCR073C
YLR266C	0.261533441270031	1	YCR073C
YLR278C	0.690800834144215	-1	YCR073C
YLR403W	0.0506312930060581	1	YCR073C
YLR451W	0.589994867500244	1	YCR073C
YML007W	0.00398833396794447	-1	YCR073C
YML027W	0.900906554225093	-1	YCR073C
YML051W	0.92133294439544	-1	YCR073C
YML076C	0.634839350662369	-1	YCR073C
YML081W	0.865190196022031	1	YCR073C
YML099C	0.608440354383036	-1	YCR073C
YML113W	0.99359843215273	-1	YCR073C
YMR016C	2.93756961096274e-05	1	YCR073C
YMR019W	0.603793690707234	-1	YCR073C
YMR021C	0.272333489393895	1	YCR073C
YMR037C	2.32779636113684e-09	-1	YCR073C
YMR042W	0.436890505084211	1	YCR073C
YMR043W	0.114803729151489	1	YCR073C
YMR053C	0.96868106142133	-1	YCR073C
YMR070W	0.720252729619499	1	YCR073C
YMR075W	0.679456374032922	1	YCR073C
YMR164C	0.823825348890724	-1	YCR073C
YMR172W	0.000122092260765441	-1	YCR073C
YMR182C	0.942031756534842	1	YCR073C
YMR280C	0.682334411349815	1	YCR073C
YNL027W	0.0236890962987764	-1	YCR073C
YNL068C	0.00299805166129707	-1	YCR073C
YNL139C	0.807388490502537	1	YCR073C
YNL167C	6.48022506567085e-05	-1	YCR073C
YNL199C	0.852612749110448	-1	YCR073C
YNL216W	0.000400325829208847	1	YCR073C
YNL257C	0.150381749942609	-1	YCR073C
YNL309W	0.133231019954127	-1	YCR073C
YNL314W	0.704682416163522	1	YCR073C
YNR063W	0.211445351321919	-1	YCR073C
YOL028C	0.0356060472110973	-1	YCR073C
YOL067C	0.976315859337146	1	YCR073C
YOL089C	0.973925888885052	-1	YCR073C
YOL108C	0.000289791315668159	1	YCR073C
YOL116W	0.510251159170604	-1	YCR073C
YOR028C	0.0535058628250837	1	YCR073C
YOR032C	0.866851353393026	-1	YCR073C
YOR038C	0.965717206351114	-1	YCR073C
