TF	p	sign	KP
YAL051W	0.939975173541577	1	YCR079W
YBL005W	0.0148065047295034	-1	YCR079W
YBL008W	0.103054686044213	-1	YCR079W
YBL021C	0.16037013119877	-1	YCR079W
YBL054W	0.816066050746125	1	YCR079W
YBL103C	0.345729055025404	1	YCR079W
YBR033W	0.852938794427769	1	YCR079W
YBR049C	0.166764260482631	-1	YCR079W
YBR083W	0.268630088972351	-1	YCR079W
YBR112C	0.573652905790597	1	YCR079W
YBR150C	0.225313062402321	-1	YCR079W
YBR182C	0.276722518447318	-1	YCR079W
YBR239C	0.844237524861366	1	YCR079W
YBR240C	0.81652350014727	1	YCR079W
YBR297W	0.073248091858785	-1	YCR079W
YCL055W	0.537468359460455	1	YCR079W
YCR065W	0.718513462749867	-1	YCR079W
YCR084C	0.35760910197671	-1	YCR079W
YCR106W	0.556356304873547	1	YCR079W
YDL020C	0.487679602815263	1	YCR079W
YDL048C	0.774051743415227	1	YCR079W
YDL056W	0.279858365481924	-1	YCR079W
YDL106C	0.76806903664925	-1	YCR079W
YDL170W	0.202155993534899	1	YCR079W
YDR009W	0.822780958527969	1	YCR079W
YDR026C	0.132185058507873	-1	YCR079W
YDR034C	0.537468359460455	1	YCR079W
YDR043C	0.92251143806049	1	YCR079W
YDR049W	0.597657230550292	1	YCR079W
YDR123C	0.850306737702528	-1	YCR079W
YDR146C	0.88242229040024	1	YCR079W
YDR174W	0.537468359460455	1	YCR079W
YDR207C	0.567405175938632	1	YCR079W
YDR213W	0.479847375927363	-1	YCR079W
YDR216W	0.111063022397985	-1	YCR079W
YDR253C	0.496073508361942	-1	YCR079W
YDR259C	0.525178254516142	1	YCR079W
YDR266C	0.451703889114149	1	YCR079W
YDR277C	0.78843675866773	1	YCR079W
YDR310C	0.122186981412588	1	YCR079W
YDR421W	0.0629308975590404	-1	YCR079W
YDR423C	0.881872430900653	1	YCR079W
YDR451C	0.0108686660189692	1	YCR079W
YDR463W	0.877945631229675	1	YCR079W
YDR501W	0.0178998443662244	-1	YCR079W
YDR520C	0.744948076902761	1	YCR079W
YEL009C	0.167900078801698	1	YCR079W
YER028C	0.710117806805245	1	YCR079W
YER040W	0.583317202879466	-1	YCR079W
YER045C	0.73674870426563	1	YCR079W
YER051W	0.529973371436317	1	YCR079W
YER068W	0.851528167730232	1	YCR079W
YER088C	0.0385920308870525	1	YCR079W
YER109C	0.836129103391653	1	YCR079W
YER111C	0.235469178930079	-1	YCR079W
YER130C	0.274914652835894	1	YCR079W
YER161C	0.791189908273496	1	YCR079W
YER169W	0.521228317636617	-1	YCR079W
YER184C	0.218704794288603	-1	YCR079W
YFL021W	0.130834196549045	1	YCR079W
YFL031W	0.304602446629355	1	YCR079W
YFL044C	0.420848072088275	-1	YCR079W
YFL052W	0.56288618782807	-1	YCR079W
YFR034C	0.00050586391031546	-1	YCR079W
YGL013C	0.899602868352948	1	YCR079W
YGL035C	0.058361377562073	-1	YCR079W
YGL071W	0.50108470033058	1	YCR079W
YGL073W	0.74605789917204	-1	YCR079W
YGL096W	0.239314149069904	1	YCR079W
YGL131C	0.273063369107273	1	YCR079W
YGL162W	0.554500744073145	-1	YCR079W
YGL166W	0.611505325682384	1	YCR079W
YGL181W	0.849383094988213	1	YCR079W
YGL192W	0.479478847674216	1	YCR079W
YGL197W	0.809985736154351	1	YCR079W
YGL209W	0.468905727078699	-1	YCR079W
YGL237C	0.144619923903908	-1	YCR079W
YGL252C	0.522436683710509	1	YCR079W
YGL254W	0.157628730988801	-1	YCR079W
YGR044C	0.00752146148048814	-1	YCR079W
YGR067C	0.198194253095658	-1	YCR079W
YGR089W	0.465144426578373	-1	YCR079W
YGR097W	0.348793255153221	1	YCR079W
YGR249W	0.00698879398556864	-1	YCR079W
YGR288W	0.772229485054317	1	YCR079W
YHL009C	0.0043399456833872	1	YCR079W
YHL020C	0.0937599909155544	-1	YCR079W
YHL027W	0.887512514609329	1	YCR079W
YHR006W	0.398847584556189	1	YCR079W
YHR084W	0.535012926094953	1	YCR079W
YHR124W	0.616911938411916	-1	YCR079W
YHR178W	0.592841963756984	-1	YCR079W
YHR206W	0.636670779317074	-1	YCR079W
YIL036W	0.830858396135779	1	YCR079W
YIL101C	0.574915895917832	1	YCR079W
YIL119C	0.522937625456411	-1	YCR079W
YIL122W	0.19516626986143	-1	YCR079W
YIL128W	0.758845464158159	1	YCR079W
YIL131C	0.177852377657911	1	YCR079W
YIR017C	0.348219508989361	-1	YCR079W
YIR018W	0.495405488827909	-1	YCR079W
YIR023W	0.145464402290158	-1	YCR079W
YIR033W	0.607550229827347	1	YCR079W
YJL056C	0.0774761590923807	-1	YCR079W
YJL089W	0.84535707852623	1	YCR079W
YJL103C	0.592265605011702	1	YCR079W
YJL110C	0.844237524861366	1	YCR079W
YJL127C	0.24678132520291	-1	YCR079W
YJL206C	0.0233609879974198	1	YCR079W
YJR060W	0.337349520275364	-1	YCR079W
YJR094C	0.292332000891589	1	YCR079W
YJR127C	0.816066050746125	1	YCR079W
YJR140C	0.820132249983659	1	YCR079W
YJR147W	0.84609825368293	1	YCR079W
YKL005C	0.344615902393129	-1	YCR079W
YKL015W	0.578539952872609	-1	YCR079W
YKL020C	0.962062653744953	1	YCR079W
YKL032C	0.236047534919982	-1	YCR079W
YKL038W	0.391549515405697	-1	YCR079W
YKL043W	0.767196071382059	-1	YCR079W
YKL062W	0.749975443605561	-1	YCR079W
YKL072W	0.775853038421833	1	YCR079W
YKL109W	0.638649058029395	-1	YCR079W
YKL112W	0.141630427499677	1	YCR079W
YKL185W	0.286967218033287	-1	YCR079W
YKL222C	0.241299605446668	1	YCR079W
YKR034W	0.144322125243169	1	YCR079W
YKR064W	0.620304672739618	-1	YCR079W
YKR099W	0.518394144396126	-1	YCR079W
YLR013W	0.834930440193874	1	YCR079W
YLR014C	0.493076772378839	-1	YCR079W
YLR098C	0.285462939961969	-1	YCR079W
YLR131C	0.0664544160949282	-1	YCR079W
YLR176C	0.442493463177164	-1	YCR079W
YLR182W	0.0179116166155408	-1	YCR079W
YLR183C	0.924633624543279	1	YCR079W
YLR228C	0.0109414042099751	-1	YCR079W
YLR256W	0.72390156302512	-1	YCR079W
YLR266C	0.522436683710509	1	YCR079W
YLR278C	0.26270935377173	-1	YCR079W
YLR403W	0.738904163818264	-1	YCR079W
YLR451W	0.621166403903992	-1	YCR079W
YML007W	0.778661922390084	1	YCR079W
YML027W	0.00460454207433765	-1	YCR079W
YML051W	0.456789204441243	-1	YCR079W
YML076C	0.186124954606342	-1	YCR079W
YML081W	0.769144538310201	1	YCR079W
YML099C	0.00570014709036676	-1	YCR079W
YML113W	0.264413209353924	1	YCR079W
YMR016C	0.0297860849589904	-1	YCR079W
YMR019W	0.53275919411058	-1	YCR079W
YMR021C	0.466669756578033	-1	YCR079W
YMR037C	0.633474788623127	-1	YCR079W
YMR042W	0.014859524966106	-1	YCR079W
YMR043W	0.000332735692416874	-1	YCR079W
YMR053C	0.853986740934476	1	YCR079W
YMR070W	0.0711336630470708	-1	YCR079W
YMR075W	0.772839261960074	1	YCR079W
YMR164C	0.498833780795925	1	YCR079W
YMR172W	0.677809433116078	1	YCR079W
YMR182C	0.843862245443696	1	YCR079W
YMR280C	0.649000278957255	1	YCR079W
YNL027W	0.472675588239558	-1	YCR079W
YNL068C	0.0541998366926425	-1	YCR079W
YNL139C	0.276837691961328	-1	YCR079W
YNL167C	0.778101911659235	-1	YCR079W
YNL199C	0.0349231304687451	-1	YCR079W
YNL216W	0.638845523593377	1	YCR079W
YNL257C	0.0385414046968354	-1	YCR079W
YNL309W	0.0958272107248848	-1	YCR079W
YNL314W	0.0854382246797648	1	YCR079W
YNR063W	0.581442478110404	-1	YCR079W
YOL028C	0.904366017686768	1	YCR079W
YOL067C	0.891618860953316	1	YCR079W
YOL089C	0.0988306944821301	1	YCR079W
YOL108C	0.618508805329132	-1	YCR079W
YOL116W	0.350518066748351	-1	YCR079W
YOR028C	0.818091519433317	-1	YCR079W
YOR032C	0.00201235855542577	-1	YCR079W
YOR038C	0.785685037164404	1	YCR079W
YOR113W	0.156690191426993	1	YCR079W
YOR140W	0.864015377524304	1	YCR079W
YOR162C	0.964012574066845	1	YCR079W
YOR229W	0.179227176399617	1	YCR079W
YOR230W	0.155780813445206	1	YCR079W
YOR337W	0.618987256229707	1	YCR079W
YOR344C	0.00864740562324274	1	YCR079W
YOR358W	0.212624237981286	-1	YCR079W
YOR363C	0.681238577988627	-1	YCR079W
YOR380W	0.563885404730363	-1	YCR079W
YPL038W	0.498961971255233	-1	YCR079W
YPL049C	0.264845281891036	-1	YCR079W
YPL075W	0.823217706921268	1	YCR079W
YPL089C	0.381907142765941	-1	YCR079W
YPL133C	0.774051743415227	1	YCR079W
YPL139C	0.884594660721688	1	YCR079W
YPL177C	0.00858703001412014	-1	YCR079W
YPL202C	0.661781002367721	-1	YCR079W
YPL230W	0.830444581077248	1	YCR079W
YPL248C	0.568801414173321	-1	YCR079W
YPR008W	0.711923385470664	1	YCR079W
YPR009W	0.0962504212621541	1	YCR079W
YPR022C	0.646693471389746	-1	YCR079W
YPR065W	0.329424062525983	-1	YCR079W
YPR196W	0.78680184131797	1	YCR079W
YPR199C	0.331176315090936	1	YCR079W
