TF	p	sign	KP
YAL051W	0.00669666054757117	-1	YDL127W
YBL005W	0.475490473428095	1	YDL127W
YBL008W	0.376530253417023	1	YDL127W
YBL021C	0.320275595217987	1	YDL127W
YBL054W	0.60150645818895	1	YDL127W
YBL103C	0.0506066568174337	-1	YDL127W
YBR033W	0.519708793627393	1	YDL127W
YBR049C	0.536664088102477	1	YDL127W
YBR083W	0.602843750807909	-1	YDL127W
YBR112C	0.223285477047791	-1	YDL127W
YBR150C	0.0539164208176145	1	YDL127W
YBR182C	0.326474761348274	1	YDL127W
YBR239C	0.615977814181952	1	YDL127W
YBR240C	0.651513268159175	-1	YDL127W
YBR297W	0.748541522076533	-1	YDL127W
YCL055W	0.8722986885258	1	YDL127W
YCR065W	0.39320871267067	-1	YDL127W
YCR084C	0.0014623267085816	1	YDL127W
YCR106W	0.321439699568005	1	YDL127W
YDL020C	0.837714517992495	1	YDL127W
YDL048C	0.75211771604635	1	YDL127W
YDL056W	0.500409117671648	1	YDL127W
YDL106C	2.72845780984957e-05	1	YDL127W
YDL170W	0.501254188928184	1	YDL127W
YDR009W	0.968264138886465	1	YDL127W
YDR026C	0.654243029014003	1	YDL127W
YDR034C	0.766720531712525	-1	YDL127W
YDR043C	2.18778448705037e-06	-1	YDL127W
YDR049W	0.275308580656724	1	YDL127W
YDR123C	3.63248733349311e-08	-1	YDL127W
YDR146C	0.100339005822578	-1	YDL127W
YDR174W	0.164159862898956	-1	YDL127W
YDR207C	0.00789368712787112	-1	YDL127W
YDR213W	0.320093851994882	1	YDL127W
YDR216W	0.00369224926517583	-1	YDL127W
YDR253C	0.000103218401573423	-1	YDL127W
YDR259C	1.36761790263135e-08	-1	YDL127W
YDR266C	0.943300777371889	1	YDL127W
YDR277C	0.0195564264959006	-1	YDL127W
YDR310C	0.954121123000885	1	YDL127W
YDR421W	0.829072950517276	1	YDL127W
YDR423C	0.0213568320922203	-1	YDL127W
YDR451C	0.583041162114131	-1	YDL127W
YDR463W	0.600813720501584	1	YDL127W
YDR501W	0.0581758809662073	1	YDL127W
YDR520C	0.842638211358838	-1	YDL127W
YEL009C	0.0414958485648527	-1	YDL127W
YER028C	0.98082806148936	-1	YDL127W
YER040W	0.159858452386867	1	YDL127W
YER045C	0.798028175980522	1	YDL127W
YER051W	0.550227771607836	1	YDL127W
YER068W	0.624239590562376	1	YDL127W
YER088C	0.00351831062123691	-1	YDL127W
YER109C	6.25083157998566e-05	-1	YDL127W
YER111C	0.00109935794212835	-1	YDL127W
YER130C	0.409665139771219	1	YDL127W
YER161C	0.920302944349574	1	YDL127W
YER169W	0.211742449908481	1	YDL127W
YER184C	0.599756160224524	-1	YDL127W
YFL021W	0.960449630350448	-1	YDL127W
YFL031W	0.957641726744302	1	YDL127W
YFL044C	0.9551932843484	1	YDL127W
YFL052W	0.852320199676623	1	YDL127W
YFR034C	0.139281453889074	-1	YDL127W
YGL013C	0.0207556142191655	1	YDL127W
YGL035C	0.146118327354959	-1	YDL127W
YGL071W	0.0168543780590212	-1	YDL127W
YGL073W	0.000174247107787042	-1	YDL127W
YGL096W	0.783412133037	-1	YDL127W
YGL131C	0.927529113002695	-1	YDL127W
YGL162W	0.001965366801769	-1	YDL127W
YGL166W	0.265079541665219	-1	YDL127W
YGL181W	0.790040404233405	1	YDL127W
YGL192W	0.992966763676677	1	YDL127W
YGL197W	0.415345436381021	1	YDL127W
YGL209W	0.9453488033072	1	YDL127W
YGL237C	0.952294555579285	1	YDL127W
YGL252C	0.418124351015526	-1	YDL127W
YGL254W	0.930375614480422	1	YDL127W
YGR044C	0.954857896468143	1	YDL127W
YGR067C	0.903843962458608	-1	YDL127W
YGR089W	0.578949482254869	1	YDL127W
YGR097W	0.907784454578221	1	YDL127W
YGR249W	0.129307412925277	1	YDL127W
YGR288W	0.900194710705868	-1	YDL127W
YHL009C	0.753454943411678	-1	YDL127W
YHL020C	0.9906157394211	1	YDL127W
YHL027W	0.0542790930994023	1	YDL127W
YHR006W	0.403121555060568	1	YDL127W
YHR084W	7.20828742607395e-09	-1	YDL127W
YHR124W	5.08957259470665e-07	-1	YDL127W
YHR178W	0.00221758647411525	-1	YDL127W
YHR206W	3.13829968543467e-05	-1	YDL127W
YIL036W	0.442278729810379	1	YDL127W
YIL101C	0.00475130829021421	-1	YDL127W
YIL119C	0.452198366235958	1	YDL127W
YIL122W	0.781566649622724	1	YDL127W
YIL128W	0.989608013312745	1	YDL127W
YIL131C	4.20244368415625e-07	1	YDL127W
YIR017C	0.849101994685038	-1	YDL127W
YIR018W	0.0166268066257384	-1	YDL127W
YIR023W	0.00315678062565158	-1	YDL127W
YIR033W	0.00698312337995232	1	YDL127W
YJL056C	0.918712287542799	1	YDL127W
YJL089W	0.995786951202317	1	YDL127W
YJL103C	0.336699625091063	-1	YDL127W
YJL110C	0.973416488728887	1	YDL127W
YJL127C	0.991350897896338	1	YDL127W
YJL206C	0.416523919385617	1	YDL127W
YJR060W	0.0622787825834229	-1	YDL127W
YJR094C	0.509516198365018	1	YDL127W
YJR127C	0.908648553356831	1	YDL127W
YJR140C	0.829750451097614	1	YDL127W
YJR147W	0.745402617589592	1	YDL127W
YKL005C	0.886617068913595	1	YDL127W
YKL015W	7.41862476266199e-06	-1	YDL127W
YKL020C	1.43284968878875e-09	-1	YDL127W
YKL032C	0.000410285338050107	-1	YDL127W
YKL038W	0.808608802926154	-1	YDL127W
YKL043W	0.014657135264974	-1	YDL127W
YKL062W	5.41582513752849e-06	-1	YDL127W
YKL072W	0.985673620920121	1	YDL127W
YKL109W	0.856854055029057	1	YDL127W
YKL112W	0.0697945894244197	-1	YDL127W
YKL185W	0.000471136255153404	-1	YDL127W
YKL222C	0.965323781947642	-1	YDL127W
YKR034W	0.999743014278617	1	YDL127W
YKR064W	0.940552281127404	1	YDL127W
YKR099W	0.911005353865062	1	YDL127W
YLR013W	0.958640524556191	1	YDL127W
YLR014C	0.651859244392799	1	YDL127W
YLR098C	0.997400108297274	1	YDL127W
YLR131C	0.0270035253803051	1	YDL127W
YLR176C	0.860053395897089	1	YDL127W
YLR182W	0.00198243206164057	-1	YDL127W
YLR183C	0.582328115210711	-1	YDL127W
YLR228C	0.530191398990217	1	YDL127W
YLR256W	3.27924865041014e-06	-1	YDL127W
YLR266C	0.788160166287456	-1	YDL127W
YLR278C	0.954778333344593	1	YDL127W
YLR403W	0.0516762316364136	1	YDL127W
YLR451W	0.466973085929168	1	YDL127W
YML007W	0.00400589198202878	1	YDL127W
YML027W	0.748521801933823	1	YDL127W
YML051W	0.955588810377666	1	YDL127W
YML076C	0.630578273546406	1	YDL127W
YML081W	0.278713406270732	1	YDL127W
YML099C	0.994075992090476	1	YDL127W
YML113W	0.996343941641012	1	YDL127W
YMR016C	1.03812774483844e-05	-1	YDL127W
YMR019W	0.793148929989985	1	YDL127W
YMR021C	0.633017207943769	-1	YDL127W
YMR037C	8.57090268597338e-16	-1	YDL127W
YMR042W	0.221589459418489	1	YDL127W
YMR043W	0.0543934451432387	1	YDL127W
YMR053C	0.592773427676135	1	YDL127W
YMR070W	0.0698312917193058	1	YDL127W
YMR075W	0.490642389923853	-1	YDL127W
YMR164C	0.383062109495922	1	YDL127W
YMR172W	4.12482069937124e-07	-1	YDL127W
YMR182C	0.865556986390974	1	YDL127W
YMR280C	0.582296976244273	-1	YDL127W
YNL027W	0.000261166141845274	-1	YDL127W
YNL068C	2.80950191890758e-05	1	YDL127W
YNL139C	0.906134794321842	1	YDL127W
YNL167C	6.46955402913526e-07	-1	YDL127W
YNL199C	0.356018660226015	-1	YDL127W
YNL216W	7.22084414947008e-07	-1	YDL127W
YNL257C	0.971815058260252	1	YDL127W
YNL309W	0.231607119094254	1	YDL127W
YNL314W	0.42699960060092	1	YDL127W
YNR063W	0.831985228611336	1	YDL127W
YOL028C	0.287179566987304	-1	YDL127W
YOL067C	0.490825836849854	1	YDL127W
YOL089C	0.753387158087515	1	YDL127W
YOL108C	6.16487379597914e-05	-1	YDL127W
YOL116W	0.323084321263632	1	YDL127W
YOR028C	7.07854035569804e-05	-1	YDL127W
YOR032C	0.886775903657956	1	YDL127W
YOR038C	0.342364999071784	1	YDL127W
YOR113W	0.00941470078094419	1	YDL127W
YOR140W	0.271904950463671	1	YDL127W
YOR162C	7.26919257941171e-05	-1	YDL127W
YOR229W	0.985445384902022	-1	YDL127W
YOR230W	0.583600037026799	1	YDL127W
YOR337W	0.402912737815004	-1	YDL127W
YOR344C	0.0837032867840104	-1	YDL127W
YOR358W	0.00547392495172934	1	YDL127W
YOR363C	0.375452864455964	-1	YDL127W
YOR380W	0.936002168324861	1	YDL127W
YPL038W	0.818694392147355	-1	YDL127W
YPL049C	0.980850018214082	-1	YDL127W
YPL075W	0.552887224786681	-1	YDL127W
YPL089C	0.221123306906175	1	YDL127W
YPL133C	2.37823901129514e-05	-1	YDL127W
YPL139C	0.996405939132502	1	YDL127W
YPL177C	0.513680053885381	1	YDL127W
YPL202C	0.0256475723025305	-1	YDL127W
YPL230W	0.670070689083037	-1	YDL127W
YPL248C	0.999832889492888	1	YDL127W
YPR008W	0.840312846180068	1	YDL127W
YPR009W	0.892904630366316	-1	YDL127W
YPR022C	0.975335919676771	1	YDL127W
YPR065W	0.000242057914848982	1	YDL127W
YPR196W	0.736240091577306	1	YDL127W
YPR199C	0.99698315728043	1	YDL127W
