TF	p	sign	KP
YAL051W	2.77358373648044e-08	1	YDL134C
YBL005W	0.278184966900068	-1	YDL134C
YBL008W	0.375779513158894	-1	YDL134C
YBL021C	0.819135933076799	-1	YDL134C
YBL054W	0.80560353691326	-1	YDL134C
YBL103C	0.0872842505284987	1	YDL134C
YBR033W	0.975161008695875	-1	YDL134C
YBR049C	0.509897402740113	-1	YDL134C
YBR083W	0.416842616506589	1	YDL134C
YBR112C	0.147736491002921	1	YDL134C
YBR150C	0.576225019286364	1	YDL134C
YBR182C	0.425588743135999	1	YDL134C
YBR239C	0.160726149503963	1	YDL134C
YBR240C	0.52975292854738	-1	YDL134C
YBR297W	0.999607200348243	1	YDL134C
YCL055W	0.656387071858403	1	YDL134C
YCR065W	0.349362834048136	1	YDL134C
YCR084C	0.219199736202837	-1	YDL134C
YCR106W	0.326003007636555	-1	YDL134C
YDL020C	0.705729340746002	1	YDL134C
YDL048C	0.327174571919219	1	YDL134C
YDL056W	0.253798967026087	1	YDL134C
YDL106C	0.00478307158056182	1	YDL134C
YDL170W	0.903060194531166	-1	YDL134C
YDR009W	0.69240892043684	-1	YDL134C
YDR026C	0.438882621424631	-1	YDL134C
YDR034C	0.367182786919602	1	YDL134C
YDR043C	0.00179327506720101	1	YDL134C
YDR049W	0.974081929277974	-1	YDL134C
YDR123C	4.08297564702438e-12	1	YDL134C
YDR146C	0.662533357119348	1	YDL134C
YDR174W	0.10816090653424	1	YDL134C
YDR207C	3.297487993914e-07	1	YDL134C
YDR213W	0.954748182065289	-1	YDL134C
YDR216W	0.00345496846581303	1	YDL134C
YDR253C	0.000572403262011183	1	YDL134C
YDR259C	9.0943900047208e-09	1	YDL134C
YDR266C	0.924950925093577	-1	YDL134C
YDR277C	0.0167118396433716	1	YDL134C
YDR310C	0.953330365442543	-1	YDL134C
YDR421W	0.741628692447322	-1	YDL134C
YDR423C	0.000190447641408794	1	YDL134C
YDR451C	0.375346242607928	-1	YDL134C
YDR463W	0.776826462310691	-1	YDL134C
YDR501W	0.0701137919372679	1	YDL134C
YDR520C	0.583709808438532	-1	YDL134C
YEL009C	0.0273954702485667	1	YDL134C
YER028C	0.980197056263189	1	YDL134C
YER040W	0.638319961308322	1	YDL134C
YER045C	0.398178211251012	-1	YDL134C
YER051W	0.840484626469165	-1	YDL134C
YER068W	0.33587354189888	-1	YDL134C
YER088C	0.0313504944629387	1	YDL134C
YER109C	0.000148628168175353	1	YDL134C
YER111C	0.000531622685610721	1	YDL134C
YER130C	0.962937201723343	-1	YDL134C
YER161C	0.85020754395416	-1	YDL134C
YER169W	0.147898182914487	1	YDL134C
YER184C	0.883292776243242	-1	YDL134C
YFL021W	0.676524041426275	1	YDL134C
YFL031W	0.970557762092859	-1	YDL134C
YFL044C	0.979928081541249	-1	YDL134C
YFL052W	0.658347986357072	-1	YDL134C
YFR034C	0.00104897543820347	1	YDL134C
YGL013C	0.414634576270365	1	YDL134C
YGL035C	0.69622724918556	1	YDL134C
YGL071W	0.537358333915275	-1	YDL134C
YGL073W	0.0040495292448227	1	YDL134C
YGL096W	0.791057728181284	1	YDL134C
YGL131C	0.824096428594312	1	YDL134C
YGL162W	0.000153206595388861	1	YDL134C
YGL166W	0.675675652762449	1	YDL134C
YGL181W	0.758579815148494	1	YDL134C
YGL192W	0.987031896776266	-1	YDL134C
YGL197W	0.564890105870586	-1	YDL134C
YGL209W	0.790292083552458	-1	YDL134C
YGL237C	0.488418751750911	1	YDL134C
YGL252C	0.130853121795604	1	YDL134C
YGL254W	0.941981271461691	-1	YDL134C
YGR044C	0.714078711093295	-1	YDL134C
YGR067C	0.742516352190423	1	YDL134C
YGR089W	0.734235182606416	-1	YDL134C
YGR097W	0.893541291630002	-1	YDL134C
YGR249W	0.279721644394137	-1	YDL134C
YGR288W	0.996793253957361	1	YDL134C
YHL009C	0.987923359666968	-1	YDL134C
YHL020C	0.757444786697868	-1	YDL134C
YHL027W	0.473245497224874	1	YDL134C
YHR006W	0.994941547712253	-1	YDL134C
YHR084W	1.39226936201195e-08	1	YDL134C
YHR124W	1.18284853998211e-06	1	YDL134C
YHR178W	0.013125326132596	1	YDL134C
YHR206W	6.34335710253023e-09	1	YDL134C
YIL036W	0.707325456285969	1	YDL134C
YIL101C	0.0249443818693652	1	YDL134C
YIL119C	0.826180227370933	-1	YDL134C
YIL122W	0.586703680945743	-1	YDL134C
YIL128W	0.996406836352081	-1	YDL134C
YIL131C	0.000858758142457468	1	YDL134C
YIR017C	0.997676347092979	-1	YDL134C
YIR018W	0.000153297894636184	1	YDL134C
YIR023W	0.0100863638857476	1	YDL134C
YIR033W	0.374057933286222	-1	YDL134C
YJL056C	0.600321204571589	-1	YDL134C
YJL089W	0.796008757679794	1	YDL134C
YJL103C	0.0190083067067519	1	YDL134C
YJL110C	0.999416131563689	-1	YDL134C
YJL127C	0.797558874957058	-1	YDL134C
YJL206C	0.927288273805659	-1	YDL134C
YJR060W	0.0653591159381386	1	YDL134C
YJR094C	0.326399110753403	1	YDL134C
YJR127C	0.993162535436756	-1	YDL134C
YJR140C	0.848354808995263	-1	YDL134C
YJR147W	0.764330329729775	-1	YDL134C
YKL005C	0.982141211270275	-1	YDL134C
YKL015W	0.161560758416117	1	YDL134C
YKL020C	8.28291464751266e-16	1	YDL134C
YKL032C	8.57577775842469e-05	1	YDL134C
YKL038W	0.69260802974013	-1	YDL134C
YKL043W	0.00251617828719744	1	YDL134C
YKL062W	1.17498591659354e-06	1	YDL134C
YKL072W	0.63149117054986	-1	YDL134C
YKL109W	0.65420136972555	1	YDL134C
YKL112W	0.0257166369016765	1	YDL134C
YKL185W	1.63839751390952e-11	1	YDL134C
YKL222C	0.786863114444313	-1	YDL134C
YKR034W	0.973979121874445	-1	YDL134C
YKR064W	0.858778633326861	-1	YDL134C
YKR099W	0.545974631055334	-1	YDL134C
YLR013W	0.547597817307215	1	YDL134C
YLR014C	0.901948625238954	-1	YDL134C
YLR098C	0.612044074853713	-1	YDL134C
YLR131C	0.000217484138363255	1	YDL134C
YLR176C	0.613179562848753	-1	YDL134C
YLR182W	0.00473811022785851	1	YDL134C
YLR183C	0.74091250881027	1	YDL134C
YLR228C	0.944507699322283	-1	YDL134C
YLR256W	2.53580255074294e-06	1	YDL134C
YLR266C	0.299536242033343	-1	YDL134C
YLR278C	0.357235235869323	-1	YDL134C
YLR403W	0.030388738505176	-1	YDL134C
YLR451W	0.305338841902466	-1	YDL134C
YML007W	0.00121404207309772	1	YDL134C
YML027W	0.578592797228068	-1	YDL134C
YML051W	0.827860026320947	-1	YDL134C
YML076C	0.408970006700028	-1	YDL134C
YML081W	0.987146399194167	-1	YDL134C
YML099C	0.306390743451071	-1	YDL134C
YML113W	0.982332060679874	-1	YDL134C
YMR016C	5.09095387826741e-07	1	YDL134C
YMR019W	0.0737002829480653	-1	YDL134C
YMR021C	0.859520183113692	-1	YDL134C
YMR037C	1.25035774104585e-15	1	YDL134C
YMR042W	0.176232552230796	1	YDL134C
YMR043W	0.055660562500472	1	YDL134C
YMR053C	0.792145074887797	-1	YDL134C
YMR070W	0.187681046936074	1	YDL134C
YMR075W	0.17754347036459	-1	YDL134C
YMR164C	0.884154800141507	-1	YDL134C
YMR172W	4.51138859947914e-10	1	YDL134C
YMR182C	0.817713512188143	1	YDL134C
YMR280C	0.393362579270784	1	YDL134C
YNL027W	0.00400018269800961	1	YDL134C
YNL068C	0.000138111593943055	1	YDL134C
YNL139C	0.890904705282463	-1	YDL134C
YNL167C	1.63813659519349e-10	1	YDL134C
YNL199C	0.513397879876092	-1	YDL134C
YNL216W	4.83594828804941e-05	1	YDL134C
YNL257C	0.508154792058772	-1	YDL134C
YNL309W	0.538271081666098	-1	YDL134C
YNL314W	0.617303174187969	-1	YDL134C
YNR063W	0.597009349395942	-1	YDL134C
