TF	p	sign	KP
YAL051W	7.70017579766733e-09	-1	YDR122W
YBL005W	0.327173683642934	-1	YDR122W
YBL008W	0.0237913909238971	1	YDR122W
YBL021C	0.366746009099147	1	YDR122W
YBL054W	0.969287386741526	-1	YDR122W
YBL103C	0.781549704788803	-1	YDR122W
YBR033W	0.981423287581676	-1	YDR122W
YBR049C	0.799864658184417	-1	YDR122W
YBR083W	0.000576888605871552	-1	YDR122W
YBR112C	0.522806285838478	1	YDR122W
YBR150C	0.670512467168882	-1	YDR122W
YBR182C	0.025555709581327	1	YDR122W
YBR239C	0.192793106912601	-1	YDR122W
YBR240C	0.9531819617591	-1	YDR122W
YBR297W	0.942811035573174	-1	YDR122W
YCL055W	0.0028436170011344	-1	YDR122W
YCR065W	0.0262985490153946	-1	YDR122W
YCR084C	6.35562777446586e-07	1	YDR122W
YCR106W	0.978503149432777	-1	YDR122W
YDL020C	0.999779408227352	1	YDR122W
YDL048C	0.940563608481117	-1	YDR122W
YDL056W	0.360122390930123	1	YDR122W
YDL106C	0.0185357413512797	1	YDR122W
YDL170W	0.628530771905939	-1	YDR122W
YDR009W	0.987787473755887	-1	YDR122W
YDR026C	0.885150162682121	-1	YDR122W
YDR034C	0.527868010514394	-1	YDR122W
YDR043C	7.95816818382937e-05	1	YDR122W
YDR049W	0.997648628305858	-1	YDR122W
YDR123C	1.00098735087483e-17	1	YDR122W
YDR146C	0.764245635115914	1	YDR122W
YDR174W	0.0986244763339043	1	YDR122W
YDR207C	6.09506926969543e-07	1	YDR122W
YDR213W	0.910137788775347	1	YDR122W
YDR216W	0.114083371057281	-1	YDR122W
YDR253C	3.21853998503574e-08	1	YDR122W
YDR259C	6.63132116606578e-23	1	YDR122W
YDR266C	0.979320703591598	-1	YDR122W
YDR277C	0.0102969379153874	-1	YDR122W
YDR310C	0.436327549827585	-1	YDR122W
YDR421W	0.835281258093842	1	YDR122W
YDR423C	0.000171193860695063	-1	YDR122W
YDR451C	0.838107633893964	-1	YDR122W
YDR463W	0.947090958495698	-1	YDR122W
YDR501W	0.176701583321251	1	YDR122W
YDR520C	0.616005040643404	-1	YDR122W
YEL009C	0.012692594392692	-1	YDR122W
YER028C	0.972362719272146	-1	YDR122W
YER040W	0.0164804434436134	1	YDR122W
YER045C	0.951919042348007	1	YDR122W
YER051W	0.904836252223071	-1	YDR122W
YER068W	0.854593529866753	1	YDR122W
YER088C	0.013050590329791	-1	YDR122W
YER109C	4.48636528449406e-05	1	YDR122W
YER111C	9.48375368658883e-06	1	YDR122W
YER130C	0.997130810371444	1	YDR122W
YER161C	0.949700056190218	1	YDR122W
YER169W	0.726617699988473	-1	YDR122W
YER184C	0.986300462825019	1	YDR122W
YFL021W	0.171313913142618	-1	YDR122W
YFL031W	0.918352093170588	-1	YDR122W
YFL044C	0.999947059832409	-1	YDR122W
YFL052W	0.937347786585102	1	YDR122W
YFR034C	0.50691038789221	-1	YDR122W
YGL013C	0.15775499531338	1	YDR122W
YGL035C	0.178439149317937	-1	YDR122W
YGL071W	0.568827373396777	-1	YDR122W
YGL073W	9.50810837892363e-07	1	YDR122W
YGL096W	0.951855458538758	-1	YDR122W
YGL131C	0.948321474115103	-1	YDR122W
YGL162W	4.29310937108021e-05	-1	YDR122W
YGL166W	0.115589958429186	-1	YDR122W
YGL181W	0.882970143153146	1	YDR122W
YGL192W	0.90852196253099	1	YDR122W
YGL197W	0.992466381431562	-1	YDR122W
YGL209W	0.989965985446921	-1	YDR122W
YGL237C	0.0226822350009094	1	YDR122W
YGL252C	0.718029679155731	-1	YDR122W
YGL254W	0.792321148384253	1	YDR122W
YGR044C	0.0463116040300485	1	YDR122W
YGR067C	0.994616499233277	-1	YDR122W
YGR089W	0.875622799043367	-1	YDR122W
YGR097W	0.98268775640802	-1	YDR122W
YGR249W	0.604279532313311	-1	YDR122W
YGR288W	0.65649565502123	1	YDR122W
YHL009C	0.538657855939917	-1	YDR122W
YHL020C	0.874887510025641	-1	YDR122W
YHL027W	0.344959723120324	-1	YDR122W
YHR006W	0.997514121009661	1	YDR122W
YHR084W	1.97582870599266e-20	-1	YDR122W
YHR124W	1.61817948409273e-08	-1	YDR122W
YHR178W	0.499908908047742	-1	YDR122W
YHR206W	4.0200316403989e-17	-1	YDR122W
YIL036W	0.996650748608661	1	YDR122W
YIL101C	0.00259428943870167	1	YDR122W
YIL119C	0.921354620728421	1	YDR122W
YIL122W	0.296294159428581	-1	YDR122W
YIL128W	0.998232518101346	-1	YDR122W
YIL131C	9.00344442999878e-10	1	YDR122W
YIR017C	0.802619561591772	-1	YDR122W
YIR018W	1.93448715088106e-07	1	YDR122W
YIR023W	0.00260450840753698	1	YDR122W
YIR033W	0.0492648773955476	-1	YDR122W
YJL056C	0.711981126674743	1	YDR122W
YJL089W	0.337901135902981	-1	YDR122W
YJL103C	0.280435081757177	1	YDR122W
YJL110C	0.998834983433145	-1	YDR122W
YJL127C	0.428395184381211	1	YDR122W
YJL206C	0.993554561141672	-1	YDR122W
YJR060W	0.000416010040125009	1	YDR122W
YJR094C	0.621036212047231	1	YDR122W
YJR127C	0.908121058137069	-1	YDR122W
YJR140C	0.994445527468048	1	YDR122W
YJR147W	0.801717503875152	-1	YDR122W
YKL005C	0.999795116670072	-1	YDR122W
YKL015W	3.63262255798333e-05	-1	YDR122W
YKL020C	4.19153671267733e-16	1	YDR122W
YKL032C	6.41501891046396e-06	-1	YDR122W
YKL038W	0.390332716990841	-1	YDR122W
YKL043W	1.07217090535554e-05	-1	YDR122W
