TF	p	sign	KP
YAL051W	1.52135320053011e-09	-1	YDR507C
YBL005W	0.868105077308013	1	YDR507C
YBL008W	0.682636729638181	1	YDR507C
YBL021C	0.0829466789131527	-1	YDR507C
YBL054W	0.988492874264849	1	YDR507C
YBL103C	0.74880431308977	1	YDR507C
YBR033W	0.815760515803314	-1	YDR507C
YBR049C	0.737072307722488	1	YDR507C
YBR083W	0.0719194050159394	1	YDR507C
YBR112C	0.131237081144618	1	YDR507C
YBR150C	0.0183446452720322	1	YDR507C
YBR182C	0.00126242459395972	1	YDR507C
YBR239C	0.581848730517703	-1	YDR507C
YBR240C	0.999751314859241	1	YDR507C
YBR297W	0.902707253509432	-1	YDR507C
YCL055W	0.74936929686202	1	YDR507C
YCR065W	0.271233866278864	1	YDR507C
YCR084C	0.000624267814533253	1	YDR507C
YCR106W	0.944018394833142	-1	YDR507C
YDL020C	0.970958188756051	1	YDR507C
YDL048C	0.855552935146219	1	YDR507C
YDL056W	0.374726225066759	1	YDR507C
YDL106C	8.61060838808792e-05	1	YDR507C
YDL170W	0.969476290183117	-1	YDR507C
YDR009W	0.953014147010963	-1	YDR507C
YDR026C	0.959203288043775	1	YDR507C
YDR034C	0.605527131591216	1	YDR507C
YDR043C	1.11716910148162e-05	-1	YDR507C
YDR049W	0.749857244001342	-1	YDR507C
YDR123C	3.76921705991684e-16	-1	YDR507C
YDR146C	0.435459819933573	-1	YDR507C
YDR174W	0.270619662637883	1	YDR507C
YDR207C	3.53721635754542e-09	-1	YDR507C
YDR213W	0.925635273390584	-1	YDR507C
YDR216W	0.0957098779994617	-1	YDR507C
YDR253C	3.52732037678334e-08	1	YDR507C
YDR259C	1.4190381474052e-14	1	YDR507C
YDR266C	0.9357826373488	-1	YDR507C
YDR277C	0.000173530440643052	-1	YDR507C
YDR310C	0.756032113968184	1	YDR507C
YDR421W	0.974116637335416	-1	YDR507C
YDR423C	0.00129128981155347	-1	YDR507C
YDR451C	0.991394412660746	-1	YDR507C
YDR463W	0.361476651815844	1	YDR507C
YDR501W	0.161029760696729	-1	YDR507C
YDR520C	0.962126045106247	1	YDR507C
YEL009C	0.106561350120116	1	YDR507C
YER028C	0.880035508274292	-1	YDR507C
YER040W	0.0883285766547388	-1	YDR507C
YER045C	0.866430942650727	1	YDR507C
YER051W	0.993623470531406	-1	YDR507C
YER068W	0.878854301633601	1	YDR507C
YER088C	0.0367903728279823	-1	YDR507C
YER109C	4.18386050416838e-07	-1	YDR507C
YER111C	6.46042200097659e-09	-1	YDR507C
YER130C	0.736698532200329	-1	YDR507C
YER161C	0.127767076939025	-1	YDR507C
YER169W	0.102802409551064	-1	YDR507C
YER184C	0.836332606216089	-1	YDR507C
YFL021W	0.809092311130607	1	YDR507C
YFL031W	0.896631801644046	-1	YDR507C
YFL044C	0.999472313905143	-1	YDR507C
YFL052W	0.99866300611325	1	YDR507C
YFR034C	0.192990418829709	-1	YDR507C
YGL013C	0.0712079445511349	1	YDR507C
YGL035C	0.359752967319826	-1	YDR507C
YGL071W	0.75252821079812	1	YDR507C
YGL073W	0.000315096702066362	1	YDR507C
YGL096W	0.511927794174975	1	YDR507C
YGL131C	0.58851767929408	1	YDR507C
YGL162W	3.67291984343076e-05	-1	YDR507C
YGL166W	0.611431194632616	1	YDR507C
YGL181W	0.217312461816946	-1	YDR507C
YGL192W	0.997405166741535	-1	YDR507C
YGL197W	0.976655372208512	-1	YDR507C
YGL209W	0.996519155817882	-1	YDR507C
YGL237C	0.0303863891827119	-1	YDR507C
YGL252C	0.157684227564526	-1	YDR507C
YGL254W	0.385923413803175	1	YDR507C
YGR044C	0.127402746689413	1	YDR507C
YGR067C	0.997732834903691	-1	YDR507C
YGR089W	0.952642021022351	-1	YDR507C
YGR097W	0.893264988965202	1	YDR507C
YGR249W	0.148694924590447	-1	YDR507C
YGR288W	0.163394063741904	1	YDR507C
YHL009C	0.849768792146528	1	YDR507C
YHL020C	0.842472854584323	1	YDR507C
YHL027W	0.445592071800536	-1	YDR507C
YHR006W	0.895047805752467	-1	YDR507C
YHR084W	7.78983643337702e-19	1	YDR507C
YHR124W	4.26666410108034e-11	-1	YDR507C
YHR178W	0.0137004731076091	-1	YDR507C
YHR206W	1.26954823338753e-16	-1	YDR507C
YIL036W	0.916093648490029	1	YDR507C
YIL101C	0.000315658828788238	-1	YDR507C
YIL119C	0.958215935423843	-1	YDR507C
YIL122W	0.572430665525664	-1	YDR507C
YIL128W	0.994510587626585	1	YDR507C
YIL131C	1.74387028773553e-06	1	YDR507C
YIR017C	0.631983553668758	1	YDR507C
YIR018W	3.54761338660405e-07	-1	YDR507C
YIR023W	0.000313322109443008	1	YDR507C
YIR033W	0.170898665833713	-1	YDR507C
YJL056C	0.776631035496512	1	YDR507C
YJL089W	0.889412700826351	-1	YDR507C
YJL103C	0.13998073950325	-1	YDR507C
YJL110C	0.999606039915469	-1	YDR507C
YJL127C	0.899084933295309	1	YDR507C
YJL206C	0.883653621824819	-1	YDR507C
YJR060W	0.000759389080242909	1	YDR507C
YJR094C	0.583230889632135	1	YDR507C
YJR127C	0.643887236329923	-1	YDR507C
YJR140C	0.658021703561511	1	YDR507C
YJR147W	0.873185419072546	1	YDR507C
YKL005C	0.75301582584752	1	YDR507C
YKL015W	0.012518510006879	1	YDR507C
YKL020C	1.19121615986261e-16	1	YDR507C
YKL032C	0.00014984027404654	-1	YDR507C
YKL038W	0.221915796799112	-1	YDR507C
YKL043W	2.84259553450262e-06	1	YDR507C
YKL062W	5.89744926510144e-11	1	YDR507C
YKL072W	0.66335083963546	1	YDR507C
YKL109W	0.264513901217481	-1	YDR507C
YKL112W	0.382158836809534	1	YDR507C
YKL185W	1.18820688811868e-12	-1	YDR507C
YKL222C	0.999907545277792	1	YDR507C
YKR034W	0.994189248594558	1	YDR507C
YKR064W	0.999929051135306	1	YDR507C
YKR099W	0.311977582280779	1	YDR507C
YLR013W	0.0275005884215435	1	YDR507C
YLR014C	0.997405777865016	-1	YDR507C
YLR098C	0.927027625627661	-1	YDR507C
YLR131C	0.00140530234943695	1	YDR507C
YLR176C	0.674917602676334	1	YDR507C
YLR182W	0.000277611281940613	1	YDR507C
YLR183C	0.0425262097213424	1	YDR507C
YLR228C	0.549094177178959	-1	YDR507C
YLR256W	2.94561078212921e-10	-1	YDR507C
YLR266C	0.377746494489924	1	YDR507C
YLR278C	0.971187577557022	1	YDR507C
YLR403W	0.000164088195472844	1	YDR507C
YLR451W	0.00562887911752085	1	YDR507C
YML007W	0.000706743876134687	1	YDR507C
YML027W	0.78184805657601	-1	YDR507C
YML051W	0.403026787405715	-1	YDR507C
YML076C	0.91649880655994	1	YDR507C
YML081W	0.709532790093022	1	YDR507C
YML099C	0.99063201864147	1	YDR507C
