TF	p	sign	KP
YAL051W	0.0582502316302371	1	YER075C
YBL005W	0.448874070431489	1	YER075C
YBL008W	0.722017108682036	-1	YER075C
YBL021C	0.407307572907925	-1	YER075C
YBL054W	0.826268531940143	-1	YER075C
YBL103C	0.255837099565522	1	YER075C
YBR033W	0.969532232752785	-1	YER075C
YBR049C	0.262704168119816	-1	YER075C
YBR083W	0.000532330811963231	1	YER075C
YBR112C	0.569019748378993	1	YER075C
YBR150C	0.491053733297101	-1	YER075C
YBR182C	0.249772265664385	-1	YER075C
YBR239C	0.589538269072512	-1	YER075C
YBR240C	0.975906973736928	1	YER075C
YBR297W	0.998477184816814	1	YER075C
YCL055W	0.2557180493069	1	YER075C
YCR065W	0.20172383663312	-1	YER075C
YCR084C	0.0556338693014716	-1	YER075C
YCR106W	0.123146162728888	-1	YER075C
YDL020C	0.338080982231806	1	YER075C
YDL048C	0.924044957007162	1	YER075C
YDL056W	0.510569032916876	1	YER075C
YDL106C	0.000587829870164704	1	YER075C
YDL170W	0.962230892813281	1	YER075C
YDR009W	0.966599911663781	-1	YER075C
YDR026C	0.255454913961724	-1	YER075C
YDR034C	0.44079416717457	-1	YER075C
YDR043C	0.00287982176194581	1	YER075C
YDR049W	0.447359186252281	-1	YER075C
YDR123C	1.2254431716469e-10	1	YER075C
YDR146C	0.528764197990044	1	YER075C
YDR174W	0.233954618333012	-1	YER075C
YDR207C	0.000688014161590314	1	YER075C
YDR213W	0.196490288442484	-1	YER075C
YDR216W	0.156688572016564	1	YER075C
YDR253C	6.09647720877123e-05	-1	YER075C
YDR259C	3.08510152496892e-12	-1	YER075C
YDR266C	0.454520724803204	-1	YER075C
YDR277C	0.0963339960644037	1	YER075C
YDR310C	0.992185118295612	-1	YER075C
YDR421W	0.527385738222314	-1	YER075C
YDR423C	0.0577440392139766	1	YER075C
YDR451C	0.313618110602307	1	YER075C
YDR463W	0.61668771544218	-1	YER075C
YDR501W	0.655481373668566	1	YER075C
YDR520C	0.979748504633268	-1	YER075C
YEL009C	0.00471792413379902	-1	YER075C
YER028C	0.998211316374999	1	YER075C
YER040W	0.0990979908185212	-1	YER075C
YER045C	0.642358051273497	-1	YER075C
YER051W	0.750796856902044	-1	YER075C
YER068W	0.876671348292342	-1	YER075C
YER088C	0.0899305929725286	-1	YER075C
YER109C	0.000317600796586683	-1	YER075C
YER111C	0.0012776146612172	1	YER075C
YER130C	0.381536640043238	-1	YER075C
YER161C	0.473375742791252	-1	YER075C
YER169W	0.123037674143802	1	YER075C
YER184C	0.988850072512977	1	YER075C
YFL021W	0.768965273351177	1	YER075C
YFL031W	0.999907491339045	1	YER075C
YFL044C	0.953818941614419	-1	YER075C
YFL052W	0.976316790654891	1	YER075C
YFR034C	0.0187844921488811	-1	YER075C
YGL013C	0.00664276066014539	-1	YER075C
YGL035C	0.746251842101089	1	YER075C
YGL071W	0.414955399295512	1	YER075C
YGL073W	1.51445424973904e-08	1	YER075C
YGL096W	0.893397174954189	1	YER075C
YGL131C	0.800609838911659	1	YER075C
YGL162W	0.0685007370764618	-1	YER075C
YGL166W	0.837909512361679	1	YER075C
YGL181W	0.938139412586528	1	YER075C
YGL192W	0.995516373599847	1	YER075C
YGL197W	0.868716304187538	-1	YER075C
YGL209W	0.984179048151956	1	YER075C
YGL237C	0.616479871042231	-1	YER075C
YGL252C	0.58920849858307	1	YER075C
YGL254W	0.896364024155534	1	YER075C
YGR044C	0.0497667914431188	-1	YER075C
YGR067C	0.851387506992549	1	YER075C
YGR089W	0.841246679719916	1	YER075C
YGR097W	0.680130116837103	-1	YER075C
YGR249W	0.525556687316334	-1	YER075C
YGR288W	0.90555876780397	1	YER075C
YHL009C	0.608043043067231	1	YER075C
YHL020C	0.86200540007439	1	YER075C
YHL027W	0.586493718815696	1	YER075C
YHR006W	0.913541788841637	-1	YER075C
YHR084W	4.27654606503741e-13	1	YER075C
YHR124W	8.7388820470075e-05	1	YER075C
YHR178W	0.247825599607374	-1	YER075C
YHR206W	1.29987002099634e-12	1	YER075C
YIL036W	0.757693155439983	1	YER075C
YIL101C	0.0400031784828466	1	YER075C
YIL119C	0.995382274484227	-1	YER075C
YIL122W	0.0247389606071266	-1	YER075C
YIL128W	0.996166788166579	-1	YER075C
