TF	p	sign	KP
YAL051W	7.11005049934913e-10	-1	YER123W
YBL005W	0.302721443126576	-1	YER123W
YBL008W	0.768677858073508	-1	YER123W
YBL021C	0.871978742993032	-1	YER123W
YBL054W	0.999207780531486	1	YER123W
YBL103C	0.192659801999929	1	YER123W
YBR033W	0.974530429093218	1	YER123W
YBR049C	0.09015232830155	-1	YER123W
YBR083W	0.0549557481002855	1	YER123W
YBR112C	0.102362203197848	-1	YER123W
YBR150C	0.197192689197631	-1	YER123W
YBR182C	0.145924487164477	-1	YER123W
YBR239C	0.0502873904945185	-1	YER123W
YBR240C	0.800581549186665	1	YER123W
YBR297W	0.745196437023232	1	YER123W
YCL055W	0.755689436613555	-1	YER123W
YCR065W	0.0163196863535554	1	YER123W
YCR084C	0.000692291442631307	-1	YER123W
YCR106W	0.798308724937782	1	YER123W
YDL020C	0.950336761923284	-1	YER123W
YDL048C	0.721361748210535	1	YER123W
YDL056W	0.0038569994044822	1	YER123W
YDL106C	4.70416875406838e-05	1	YER123W
YDL170W	0.708920395446697	1	YER123W
YDR009W	0.97245997338978	1	YER123W
YDR026C	0.618669074767052	1	YER123W
YDR034C	0.650634339392384	-1	YER123W
YDR043C	0.0015055345582669	1	YER123W
YDR049W	0.775780515055714	1	YER123W
YDR123C	3.14022389350383e-14	-1	YER123W
YDR146C	0.621081594291671	-1	YER123W
YDR174W	0.187845692104275	-1	YER123W
YDR207C	5.13106562356519e-06	-1	YER123W
YDR213W	0.959426225920288	-1	YER123W
YDR216W	0.132165584817939	1	YER123W
YDR253C	1.96051639937962e-08	1	YER123W
YDR259C	1.65501887789318e-12	1	YER123W
YDR266C	0.868562960993173	1	YER123W
YDR277C	0.00837168262002313	-1	YER123W
YDR310C	0.967006460151181	1	YER123W
YDR421W	0.967302800015664	1	YER123W
YDR423C	0.000938475600238447	1	YER123W
YDR451C	0.623902302298508	1	YER123W
YDR463W	0.155908434253488	1	YER123W
YDR501W	0.138037158157	-1	YER123W
YDR520C	0.848372541833525	-1	YER123W
YEL009C	2.47767876305646e-10	1	YER123W
YER028C	0.999892187607874	-1	YER123W
YER040W	0.00548160151260052	1	YER123W
YER045C	0.887767059555204	1	YER123W
YER051W	0.76770098412574	1	YER123W
YER068W	0.644449366945809	1	YER123W
YER088C	0.0181653435864833	-1	YER123W
YER109C	0.000310489226634987	-1	YER123W
YER111C	0.000299846414960007	1	YER123W
YER130C	0.804936457699606	1	YER123W
YER161C	0.831237472336576	1	YER123W
YER169W	0.161427271340176	1	YER123W
YER184C	0.691425149345224	1	YER123W
YFL021W	0.125298835183872	1	YER123W
YFL031W	0.991391599390667	1	YER123W
YFL044C	0.998316869168857	1	YER123W
YFL052W	0.680438652019963	1	YER123W
YFR034C	0.0219187364478264	1	YER123W
YGL013C	0.54889490235398	-1	YER123W
YGL035C	0.485322625608314	-1	YER123W
YGL071W	0.22334844067728	-1	YER123W
YGL073W	3.02344305188775e-05	1	YER123W
YGL096W	0.331345688366559	1	YER123W
YGL131C	0.785680796393813	-1	YER123W
YGL162W	0.0121881507113725	-1	YER123W
YGL166W	0.131342231814179	-1	YER123W
YGL181W	0.951705140466158	1	YER123W
YGL192W	0.95675054380644	-1	YER123W
YGL197W	0.984214914375727	1	YER123W
YGL209W	0.929854616220857	-1	YER123W
YGL237C	0.179529056139009	-1	YER123W
YGL252C	0.0986559177528034	1	YER123W
YGL254W	0.980559409276654	-1	YER123W
YGR044C	0.806359989540948	-1	YER123W
YGR067C	0.997586351769292	-1	YER123W
YGR089W	0.847040059968056	-1	YER123W
YGR097W	0.98427474668538	-1	YER123W
YGR249W	0.0345289307864324	-1	YER123W
YGR288W	0.308897418666365	-1	YER123W
YHL009C	0.944842663044061	1	YER123W
YHL020C	0.865678734944677	-1	YER123W
YHL027W	0.553055752756426	1	YER123W
YHR006W	0.96527665844547	-1	YER123W
YHR084W	1.78441911062522e-08	1	YER123W
YHR124W	6.23138140556412e-15	-1	YER123W
YHR178W	0.0763526225617894	-1	YER123W
YHR206W	1.78526673493289e-10	1	YER123W
YIL036W	0.552054415324355	-1	YER123W
YIL101C	0.00329331593710973	1	YER123W
YIL119C	0.607300459507326	1	YER123W
YIL122W	0.491545714655811	-1	YER123W
YIL128W	0.999707517840337	1	YER123W
YIL131C	6.54382363192038e-06	-1	YER123W
YIR017C	0.654464952501953	1	YER123W
YIR018W	0.0198247976596861	-1	YER123W
YIR023W	3.46080812111267e-08	-1	YER123W
YIR033W	0.186239573318071	1	YER123W
YJL056C	0.714846507261607	-1	YER123W
YJL089W	0.866714382644278	-1	YER123W
YJL103C	0.5795658087527	-1	YER123W
YJL110C	0.985758342764512	1	YER123W
YJL127C	0.383443611422941	-1	YER123W
YJL206C	0.933924883350583	-1	YER123W
YJR060W	1.38341851633625e-05	1	YER123W
YJR094C	0.13539361917415	1	YER123W
YJR127C	0.653360104866751	-1	YER123W
YJR140C	0.353004172619878	-1	YER123W
YJR147W	0.856203397595544	-1	YER123W
