TF	p	sign	KP
YAL051W	0.00649590871657612	1	YFL029C
YBL005W	0.626448745260089	-1	YFL029C
YBL008W	0.0181769307183185	-1	YFL029C
YBL021C	0.983436391306077	1	YFL029C
YBL054W	0.909170128072465	-1	YFL029C
YBL103C	0.148714846661255	1	YFL029C
YBR033W	0.904626847595492	-1	YFL029C
YBR049C	0.788792743499593	-1	YFL029C
YBR083W	0.000356832540199884	1	YFL029C
YBR112C	0.132314669073548	1	YFL029C
YBR150C	0.595430448982203	-1	YFL029C
YBR182C	0.00258625561187846	1	YFL029C
YBR239C	0.391755903858143	1	YFL029C
YBR240C	0.992832641928412	1	YFL029C
YBR297W	0.941983315318079	1	YFL029C
YCL055W	0.126619694875637	1	YFL029C
YCR065W	0.211219813105587	1	YFL029C
YCR084C	0.166214668807078	1	YFL029C
YCR106W	0.867288685000065	-1	YFL029C
YDL020C	0.985310933621953	-1	YFL029C
YDL048C	0.399189746610761	1	YFL029C
YDL056W	0.0330671880399462	1	YFL029C
YDL106C	0.0412717883143935	1	YFL029C
YDL170W	0.774348299368027	1	YFL029C
YDR009W	0.992748770531197	-1	YFL029C
YDR026C	0.945817802875489	-1	YFL029C
YDR034C	0.00138140736077936	1	YFL029C
YDR043C	0.00102516786858552	1	YFL029C
YDR049W	0.91561231177605	-1	YFL029C
YDR123C	2.04353088866089e-15	1	YFL029C
YDR146C	0.526825661507748	1	YFL029C
YDR174W	0.0387729660831772	-1	YFL029C
YDR207C	1.0010284172002e-07	1	YFL029C
YDR213W	0.985280619770885	-1	YFL029C
YDR216W	0.0418101625756064	1	YFL029C
YDR253C	4.46293576846332e-06	1	YFL029C
YDR259C	4.99854344349323e-13	1	YFL029C
YDR266C	0.931036747774334	-1	YFL029C
YDR277C	0.00779252703363344	1	YFL029C
YDR310C	0.00343144681821322	1	YFL029C
YDR421W	0.229029175310983	1	YFL029C
YDR423C	0.00277213317325657	1	YFL029C
YDR451C	0.891390249165917	-1	YFL029C
YDR463W	0.420583273752728	1	YFL029C
YDR501W	0.490076208082252	1	YFL029C
YDR520C	0.948269212619629	-1	YFL029C
YEL009C	8.1609521913806e-07	1	YFL029C
YER028C	0.824046850026969	1	YFL029C
YER040W	8.98361982972134e-06	1	YFL029C
YER045C	0.960224421014259	-1	YFL029C
YER051W	0.871140670567287	-1	YFL029C
YER068W	0.964101147876224	-1	YFL029C
YER088C	0.226108554045731	-1	YFL029C
YER109C	0.00123344430088113	1	YFL029C
YER111C	1.92164665974511e-07	1	YFL029C
YER130C	0.987466882939815	-1	YFL029C
YER161C	0.15092232076907	-1	YFL029C
YER169W	0.98769370469072	1	YFL029C
YER184C	0.993673100966509	1	YFL029C
YFL021W	0.481170912552777	1	YFL029C
YFL031W	0.964260197001115	1	YFL029C
YFL044C	0.99234248919034	-1	YFL029C
YFL052W	0.790922766825985	-1	YFL029C
YFR034C	0.208396101316384	1	YFL029C
YGL013C	0.951129434034041	1	YFL029C
YGL035C	0.304410119187625	1	YFL029C
YGL071W	0.878971060299658	-1	YFL029C
YGL073W	0.06091088846297	-1	YFL029C
YGL096W	0.622384954663424	1	YFL029C
YGL131C	0.642221053090374	1	YFL029C
YGL162W	6.14971272247945e-05	1	YFL029C
YGL166W	0.549216757844192	1	YFL029C
YGL181W	0.965076268921896	1	YFL029C
YGL192W	0.969527599561454	-1	YFL029C
YGL197W	0.907449194182812	-1	YFL029C
YGL209W	0.999679086067392	-1	YFL029C
YGL237C	0.0715096129272035	1	YFL029C
YGL252C	0.0935447005972181	1	YFL029C
YGL254W	0.910524785013768	-1	YFL029C
YGR044C	0.00728213982510892	-1	YFL029C
YGR067C	0.768985222092127	-1	YFL029C
YGR089W	0.817338003390211	-1	YFL029C
YGR097W	0.999077698021822	-1	YFL029C
YGR249W	0.979452214811176	1	YFL029C
YGR288W	0.827683920683548	1	YFL029C
YHL009C	0.831569321791268	1	YFL029C
YHL020C	0.618225597225149	-1	YFL029C
YHL027W	0.528363183565346	1	YFL029C
YHR006W	0.686114809851377	-1	YFL029C
YHR084W	1.00213384691143e-22	1	YFL029C
YHR124W	3.41775325453203e-14	1	YFL029C
YHR178W	0.60621720290837	1	YFL029C
YHR206W	2.78847580380441e-13	1	YFL029C
YIL036W	0.867763253316187	1	YFL029C
YIL101C	0.0698420288178117	1	YFL029C
YIL119C	0.719007135882315	-1	YFL029C
YIL122W	0.188471327307675	-1	YFL029C
YIL128W	0.999277960208965	1	YFL029C
YIL131C	2.54296689590969e-05	-1	YFL029C
YIR017C	0.915846537748532	-1	YFL029C
YIR018W	0.000102406038155781	1	YFL029C
YIR023W	1.24028066858822e-05	1	YFL029C
YIR033W	0.416000780347216	-1	YFL029C
YJL056C	0.0714290302525504	1	YFL029C
YJL089W	0.872108364291631	1	YFL029C
YJL103C	0.102718690502992	1	YFL029C
YJL110C	0.976515137652889	-1	YFL029C
YJL127C	0.417325670285241	-1	YFL029C
YJL206C	0.998106147618129	-1	YFL029C
YJR060W	0.000273549627557822	-1	YFL029C
YJR094C	0.865718944314519	1	YFL029C
YJR127C	0.997416138742926	-1	YFL029C
YJR140C	0.827697051213553	-1	YFL029C
YJR147W	0.999580271963694	1	YFL029C
YKL005C	0.857497318068909	-1	YFL029C
YKL015W	0.000315374929272445	1	YFL029C
YKL020C	2.83811577582952e-28	1	YFL029C
YKL032C	1.68902930311625e-05	1	YFL029C
YKL038W	0.911982400758993	-1	YFL029C
YKL043W	0.00128953416981387	1	YFL029C
YKL062W	9.17260425014171e-14	1	YFL029C
YKL072W	0.579016156385504	-1	YFL029C
YKL109W	0.907348416279609	1	YFL029C
YKL112W	0.0899523277023475	-1	YFL029C
YKL185W	4.70047231014754e-07	1	YFL029C
YKL222C	0.828110471533966	-1	YFL029C
YKR034W	0.779081405200983	1	YFL029C
YKR064W	0.854342920239535	-1	YFL029C
YKR099W	0.12618098442254	-1	YFL029C
YLR013W	0.511449834475577	1	YFL029C
YLR014C	0.892319269804271	-1	YFL029C
YLR098C	0.765670831834657	-1	YFL029C
YLR131C	0.0199738837959624	1	YFL029C
YLR176C	0.394942681553186	-1	YFL029C
YLR182W	3.09597438973028e-07	-1	YFL029C
YLR183C	0.0809254055748933	1	YFL029C
YLR228C	0.565846793838792	1	YFL029C
YLR256W	2.91777273363865e-05	1	YFL029C
YLR266C	0.488035485649461	-1	YFL029C
YLR278C	0.529818026799936	-1	YFL029C
YLR403W	0.00137385645374466	-1	YFL029C
YLR451W	0.0102746797868889	-1	YFL029C
YML007W	1.67200678515815e-05	1	YFL029C
YML027W	0.484136895255744	1	YFL029C
YML051W	0.989674680654722	-1	YFL029C
YML076C	0.354923189534809	-1	YFL029C
YML081W	0.25376309014456	-1	YFL029C
YML099C	0.231248701499577	-1	YFL029C
YML113W	0.997717991712133	1	YFL029C
YMR016C	2.48004031008423e-08	1	YFL029C
YMR019W	0.969823549085554	-1	YFL029C
YMR021C	0.239690261108393	-1	YFL029C
YMR037C	7.92058341014135e-17	1	YFL029C
YMR042W	0.00125360870574642	-1	YFL029C
YMR043W	0.0167606759843659	1	YFL029C
YMR053C	0.999975134959801	1	YFL029C
YMR070W	0.49469178583952	1	YFL029C
YMR075W	0.997844754765925	-1	YFL029C
YMR164C	0.223549295500355	-1	YFL029C
YMR172W	6.34045972276548e-11	1	YFL029C
YMR182C	0.468495374470086	1	YFL029C
YMR280C	0.000180165523176149	1	YFL029C
YNL027W	0.0318711643955769	1	YFL029C
