TF	p	sign	KP
YAL051W	0.00179808152525842	1	YFR014C
YBL005W	0.217053672331327	-1	YFR014C
YBL008W	0.604201662312244	1	YFR014C
YBL021C	0.208991827037976	-1	YFR014C
YBL054W	0.569286406734495	-1	YFR014C
YBL103C	0.688344249902498	1	YFR014C
YBR033W	0.74560999938219	1	YFR014C
YBR049C	0.28296245740982	-1	YFR014C
YBR083W	0.802381735821052	1	YFR014C
YBR112C	0.0989037618756053	1	YFR014C
YBR150C	0.357736624548643	1	YFR014C
YBR182C	0.976756343903018	1	YFR014C
YBR239C	0.431610194432157	-1	YFR014C
YBR240C	0.760754907665726	1	YFR014C
YBR297W	0.531588642810034	-1	YFR014C
YCL055W	0.37086581362217	-1	YFR014C
YCR065W	0.415705113802603	-1	YFR014C
YCR084C	0.942703168383278	1	YFR014C
YCR106W	0.585714092359185	1	YFR014C
YDL020C	0.910070895396791	1	YFR014C
YDL048C	0.989390215531534	1	YFR014C
YDL056W	0.427443983447985	-1	YFR014C
YDL106C	0.420673084366737	1	YFR014C
YDL170W	0.818592667583709	1	YFR014C
YDR009W	0.549343652015549	-1	YFR014C
YDR026C	0.263136271236364	-1	YFR014C
YDR034C	0.541259714856904	-1	YFR014C
YDR043C	0.264559154759461	1	YFR014C
YDR049W	0.885999239561663	1	YFR014C
YDR123C	1.14905635910774e-05	1	YFR014C
YDR146C	0.905186686316685	1	YFR014C
YDR174W	0.492022780456816	-1	YFR014C
YDR207C	0.00409208197767933	1	YFR014C
YDR213W	0.660120895578588	1	YFR014C
YDR216W	0.487759653906134	-1	YFR014C
YDR253C	0.00538143548708088	1	YFR014C
YDR259C	0.126299511236419	1	YFR014C
YDR266C	0.812144218870445	1	YFR014C
YDR277C	0.233516369225134	1	YFR014C
YDR310C	0.980805652758484	-1	YFR014C
YDR421W	0.662130676143053	-1	YFR014C
YDR423C	0.39166179866168	-1	YFR014C
YDR451C	0.681624202146978	-1	YFR014C
YDR463W	0.511431945074913	1	YFR014C
YDR501W	0.0263173025607031	1	YFR014C
YDR520C	0.919709897142025	-1	YFR014C
YEL009C	0.480893845284803	1	YFR014C
YER028C	0.981544905296783	1	YFR014C
YER040W	0.28121769849871	1	YFR014C
YER045C	0.918808099440509	1	YFR014C
YER051W	0.757060219901154	-1	YFR014C
YER068W	0.484918185428438	-1	YFR014C
YER088C	0.0110356421378129	-1	YFR014C
YER109C	0.129117494207706	1	YFR014C
YER111C	0.241453301037431	1	YFR014C
YER130C	0.912578697226478	1	YFR014C
YER161C	0.847580972534861	-1	YFR014C
YER169W	0.983669674946561	1	YFR014C
YER184C	0.973947871071703	-1	YFR014C
YFL021W	0.622378676430484	1	YFR014C
YFL031W	0.913920255389213	-1	YFR014C
YFL044C	0.969359783464489	-1	YFR014C
YFL052W	0.612377831624035	-1	YFR014C
YFR034C	0.313120022616837	1	YFR014C
YGL013C	0.659146894985746	1	YFR014C
YGL035C	0.83440699777126	-1	YFR014C
YGL071W	0.518183487242845	1	YFR014C
YGL073W	0.0225417016111388	1	YFR014C
YGL096W	0.279950048999629	1	YFR014C
YGL131C	0.857575154605273	1	YFR014C
YGL162W	0.301849832137118	-1	YFR014C
YGL166W	0.387638868814617	-1	YFR014C
YGL181W	0.979751347169922	-1	YFR014C
YGL192W	0.743473967819055	-1	YFR014C
YGL197W	0.539907064033674	-1	YFR014C
YGL209W	0.667560497568062	-1	YFR014C
YGL237C	0.318913811916422	-1	YFR014C
YGL252C	0.389407335758216	-1	YFR014C
YGL254W	0.93093715496048	1	YFR014C
YGR044C	0.968553029729555	1	YFR014C
YGR067C	0.665360179134109	-1	YFR014C
YGR089W	0.397435629327009	-1	YFR014C
YGR097W	0.942466527902619	1	YFR014C
YGR249W	0.85241871692957	1	YFR014C
YGR288W	0.720805868559319	1	YFR014C
YHL009C	0.520959233078557	-1	YFR014C
YHL020C	0.889010970070057	-1	YFR014C
YHL027W	0.791919877931033	1	YFR014C
YHR006W	0.724760522699258	-1	YFR014C
YHR084W	2.12690503668299e-05	1	YFR014C
YHR124W	0.00048311795023968	1	YFR014C
YHR178W	0.586674548565407	1	YFR014C
YHR206W	0.00265142583058042	1	YFR014C
YIL036W	0.980156053170346	1	YFR014C
YIL101C	0.0346852925273725	1	YFR014C
YIL119C	0.537834013715077	-1	YFR014C
YIL122W	0.64551848725495	1	YFR014C
YIL128W	0.986143265675729	1	YFR014C
YIL131C	0.02963141511969	-1	YFR014C
YIR017C	0.374432688525915	-1	YFR014C
YIR018W	0.0616511689118719	1	YFR014C
YIR023W	0.11851249789092	1	YFR014C
YIR033W	0.57815908992793	1	YFR014C
YJL056C	0.956873208455264	1	YFR014C
YJL089W	0.546724720108902	1	YFR014C
YJL103C	0.415517324001964	1	YFR014C
YJL110C	0.949624439380888	1	YFR014C
YJL127C	0.526242382106578	-1	YFR014C
YJL206C	0.986330982003104	-1	YFR014C
YJR060W	0.169691280121318	1	YFR014C
YJR094C	0.34151334896869	1	YFR014C
YJR127C	0.859493680367691	-1	YFR014C
YJR140C	0.833949003325046	1	YFR014C
YJR147W	0.640232322942086	1	YFR014C
YKL005C	0.513374001766485	-1	YFR014C
YKL015W	0.372845871636414	1	YFR014C
YKL020C	0.00107821233682628	1	YFR014C
YKL032C	0.0236898051196614	1	YFR014C
YKL038W	0.232800207266752	-1	YFR014C
YKL043W	0.181818820963603	1	YFR014C
YKL062W	0.0150399957498669	1	YFR014C
YKL072W	0.823343273222992	-1	YFR014C
YKL109W	0.594330601003159	-1	YFR014C
YKL112W	0.0129879469749902	-1	YFR014C
YKL185W	0.0018058411637985	1	YFR014C
YKL222C	0.738847947308235	-1	YFR014C
YKR034W	0.497173470191711	1	YFR014C
YKR064W	0.403008547173013	-1	YFR014C
YKR099W	0.631799091810891	-1	YFR014C
YLR013W	0.775654219125908	1	YFR014C
YLR014C	0.31670455320668	-1	YFR014C
YLR098C	0.574104123558689	1	YFR014C
YLR131C	0.269925715217944	1	YFR014C
YLR176C	0.0899486992832736	-1	YFR014C
YLR182W	0.351153796253448	-1	YFR014C
YLR183C	0.158406535897616	-1	YFR014C
YLR228C	0.513130588750419	-1	YFR014C
YLR256W	0.00232409114092484	-1	YFR014C
YLR266C	0.402539782222815	-1	YFR014C
YLR278C	0.201389586268683	-1	YFR014C
YLR403W	0.733689447947591	1	YFR014C
YLR451W	0.570075006518036	1	YFR014C
YML007W	0.000563688553075054	1	YFR014C
YML027W	0.933393046320563	1	YFR014C
YML051W	0.562613961302846	-1	YFR014C
YML076C	0.49584110175495	-1	YFR014C
YML081W	0.936085568003336	1	YFR014C
YML099C	0.758743422763692	1	YFR014C
YML113W	0.943197468035348	1	YFR014C
YMR016C	0.0920011401000706	1	YFR014C
YMR019W	0.698246639473907	1	YFR014C
YMR021C	0.344490014098381	1	YFR014C
YMR037C	1.41498890992467e-08	1	YFR014C
YMR042W	0.688155388225633	1	YFR014C
YMR043W	0.237081496265391	1	YFR014C
YMR053C	0.507045228595862	1	YFR014C
YMR070W	0.695373643627978	1	YFR014C
YMR075W	0.942383853217409	-1	YFR014C
YMR164C	0.807585435087819	-1	YFR014C
YMR172W	0.0140742192294069	-1	YFR014C
YMR182C	0.685477853270723	1	YFR014C
YMR280C	0.121392655471441	-1	YFR014C
YNL027W	0.0449718334279177	1	YFR014C
YNL068C	0.00668745144862182	1	YFR014C
YNL139C	0.636108866320201	-1	YFR014C
YNL167C	0.0159538128656375	1	YFR014C
YNL199C	0.868684428004086	-1	YFR014C
YNL216W	0.00193938506986062	1	YFR014C
YNL257C	0.302768044810425	-1	YFR014C
YNL309W	0.806271409419391	-1	YFR014C
YNL314W	0.377030220866281	1	YFR014C
YNR063W	0.802770079721641	1	YFR014C
YOL028C	0.088842998556388	1	YFR014C
YOL067C	0.877638311687193	1	YFR014C
YOL089C	0.872762031649819	1	YFR014C
YOL108C	0.000421478707286509	1	YFR014C
YOL116W	0.128406055049295	-1	YFR014C
YOR028C	0.115288686975102	1	YFR014C
YOR032C	0.98447226427199	-1	YFR014C
YOR038C	0.673717234843122	1	YFR014C
YOR113W	0.461641065235717	1	YFR014C
YOR140W	0.912770553734534	-1	YFR014C
YOR162C	0.73010549819108	1	YFR014C
