TF	p	sign	KP
YAL051W	0.000479990652970001	-1	YGL021W
YBL005W	0.558350195368272	1	YGL021W
YBL008W	0.0642159044348628	1	YGL021W
YBL021C	0.264999239597155	-1	YGL021W
YBL054W	0.569007977725871	1	YGL021W
YBL103C	0.912851460942497	-1	YGL021W
YBR033W	0.670498766494709	1	YGL021W
YBR049C	0.159792249433281	-1	YGL021W
YBR083W	0.0549746378529004	-1	YGL021W
YBR112C	0.307633097788923	-1	YGL021W
YBR150C	0.338439945086556	-1	YGL021W
YBR182C	0.196866947842364	1	YGL021W
YBR239C	0.330927452856724	1	YGL021W
YBR240C	0.998971448633686	1	YGL021W
YBR297W	0.341167646885652	-1	YGL021W
YCL055W	0.114186899892704	-1	YGL021W
YCR065W	0.362400219306652	1	YGL021W
YCR084C	0.341177160020991	1	YGL021W
YCR106W	0.443540558545665	1	YGL021W
YDL020C	0.996480435468701	-1	YGL021W
YDL048C	0.902554123232589	-1	YGL021W
YDL056W	0.000937720774139992	-1	YGL021W
YDL106C	0.202393035880593	-1	YGL021W
YDL170W	0.951260205048101	-1	YGL021W
YDR009W	0.890466807644363	1	YGL021W
YDR026C	0.14722614328587	-1	YGL021W
YDR034C	0.452747089522752	-1	YGL021W
YDR043C	0.000128784802554462	1	YGL021W
YDR049W	0.850204167470087	1	YGL021W
YDR123C	2.80107342479054e-15	-1	YGL021W
YDR146C	0.770249136249653	-1	YGL021W
YDR174W	0.437193548041203	-1	YGL021W
YDR207C	0.000165660966687317	-1	YGL021W
YDR213W	0.979275743718921	1	YGL021W
YDR216W	0.0246747776799611	-1	YGL021W
YDR253C	0.000141782576976795	-1	YGL021W
YDR259C	4.54412611733661e-09	-1	YGL021W
YDR266C	0.817985576498509	1	YGL021W
YDR277C	4.10266408484465e-05	-1	YGL021W
YDR310C	0.999738849128172	-1	YGL021W
YDR421W	0.752981518511857	1	YGL021W
YDR423C	5.39602276710655e-05	1	YGL021W
YDR451C	0.0959446582330202	1	YGL021W
YDR463W	0.947916587706113	-1	YGL021W
YDR501W	0.237877767586457	-1	YGL021W
YDR520C	0.929617182850088	1	YGL021W
YEL009C	0.125588910606162	1	YGL021W
YER028C	0.999546118622653	1	YGL021W
YER040W	0.242878625657906	-1	YGL021W
YER045C	0.902609765239829	1	YGL021W
YER051W	0.834865115552123	1	YGL021W
YER068W	0.114637291050108	1	YGL021W
