TF	p	sign	KP
YAL051W	0.000268926792773577	-1	YGL124C
YBL005W	0.32848948929884	-1	YGL124C
YBL008W	0.620367569476177	1	YGL124C
YBL021C	0.103320082799827	-1	YGL124C
YBL054W	0.575588759966866	1	YGL124C
YBL103C	0.761672667798079	1	YGL124C
YBR033W	0.402857428714898	1	YGL124C
YBR049C	0.0697480274573285	-1	YGL124C
YBR083W	0.015445250212423	1	YGL124C
YBR112C	0.109300042620222	1	YGL124C
YBR150C	0.209029275261509	1	YGL124C
YBR182C	0.284603382926088	1	YGL124C
YBR239C	0.0259695289583864	1	YGL124C
YBR240C	0.575049402505501	1	YGL124C
YBR297W	0.807934738264322	-1	YGL124C
YCL055W	0.25228221911275	1	YGL124C
YCR065W	0.0687432422252016	-1	YGL124C
YCR084C	0.0919920881265416	1	YGL124C
YCR106W	0.574671808635951	1	YGL124C
YDL020C	0.80320381742443	1	YGL124C
YDL048C	0.42077922615441	1	YGL124C
YDL056W	0.0346592936612432	-1	YGL124C
YDL106C	0.00558129162298494	-1	YGL124C
YDL170W	0.563951949992591	1	YGL124C
YDR009W	0.616571969175522	1	YGL124C
YDR026C	0.946860594754562	-1	YGL124C
YDR034C	0.860950631183981	1	YGL124C
YDR043C	8.93710938963223e-05	-1	YGL124C
YDR049W	0.828685322260745	1	YGL124C
YDR123C	3.2147855662276e-16	1	YGL124C
YDR146C	0.537565379394132	-1	YGL124C
YDR174W	0.156218756681909	1	YGL124C
YDR207C	1.23328278756387e-05	-1	YGL124C
YDR213W	0.582851868844392	1	YGL124C
YDR216W	0.120815921553492	-1	YGL124C
YDR253C	1.93654657618202e-06	1	YGL124C
YDR259C	2.23220731229471e-07	1	YGL124C
YDR266C	0.559062662807882	1	YGL124C
YDR277C	0.000595479577672229	-1	YGL124C
YDR310C	0.872549429013492	1	YGL124C
YDR421W	0.449367722962883	1	YGL124C
YDR423C	7.75514315987694e-06	-1	YGL124C
YDR451C	0.769372687375297	1	YGL124C
YDR463W	0.0550504645183668	-1	YGL124C
YDR501W	0.445103239865885	-1	YGL124C
YDR520C	0.822946079129247	-1	YGL124C
YEL009C	1.81530278828716e-05	1	YGL124C
YER028C	0.851139230962108	1	YGL124C
YER040W	5.57122397671561e-05	-1	YGL124C
YER045C	0.69095692051953	1	YGL124C
YER051W	0.261466908381686	1	YGL124C
YER068W	0.829401311013905	1	YGL124C
YER088C	0.0244904331188103	-1	YGL124C
YER109C	3.1943092306368e-06	1	YGL124C
YER111C	0.000275831973527897	-1	YGL124C
YER130C	0.843960926362724	1	YGL124C
YER161C	0.913663569428651	1	YGL124C
YER169W	0.829621348716259	1	YGL124C
YER184C	0.80008389403829	1	YGL124C
YFL021W	0.0774241218960812	-1	YGL124C
YFL031W	0.869838520051122	1	YGL124C
YFL044C	0.898116486706474	-1	YGL124C
YFL052W	0.960179931892668	1	YGL124C
YFR034C	5.59965644627025e-06	1	YGL124C
YGL013C	0.699738670622741	1	YGL124C
YGL035C	0.732757799442982	1	YGL124C
YGL071W	0.505314907458818	-1	YGL124C
YGL073W	0.0552706440170306	1	YGL124C
YGL096W	0.403514724106905	1	YGL124C
YGL131C	0.860690302203955	1	YGL124C
YGL162W	0.000255828739828877	-1	YGL124C
YGL166W	0.951352868599479	1	YGL124C
YGL181W	0.901679824208962	-1	YGL124C
YGL192W	0.936469859114175	1	YGL124C
YGL197W	0.599265241975763	1	YGL124C
YGL209W	0.869569983945764	1	YGL124C
YGL237C	0.00903288370758758	-1	YGL124C
YGL252C	0.490101356323862	1	YGL124C
YGL254W	0.944470483184897	1	YGL124C
YGR044C	0.49410813044344	1	YGL124C
YGR067C	0.792779692371224	-1	YGL124C
YGR089W	0.957586980769253	1	YGL124C
YGR097W	0.978762141437575	1	YGL124C
YGR249W	0.44075354654359	-1	YGL124C
YGR288W	0.824969931718394	-1	YGL124C
YHL009C	0.950334385473073	1	YGL124C
YHL020C	0.977163012145368	1	YGL124C
YHL027W	0.130990679026455	-1	YGL124C
YHR006W	0.996717057606171	-1	YGL124C
YHR084W	9.86006175460673e-17	1	YGL124C
YHR124W	1.1028838621591e-11	-1	YGL124C
YHR178W	0.0155102847151018	1	YGL124C
YHR206W	8.19314069066625e-09	-1	YGL124C
YIL036W	0.710327394525317	1	YGL124C
YIL101C	0.0318285554710965	-1	YGL124C
YIL119C	0.940561345301917	1	YGL124C
YIL122W	0.177106046641529	-1	YGL124C
YIL128W	0.999522947920925	1	YGL124C
YIL131C	2.2081521100056e-07	-1	YGL124C
YIR017C	0.318688794515443	1	YGL124C
YIR018W	0.0332659173792195	1	YGL124C
YIR023W	6.58815243113944e-05	1	YGL124C
YIR033W	0.0526142072103885	1	YGL124C
YJL056C	0.918562067808117	1	YGL124C
YJL089W	0.998698323030427	1	YGL124C
YJL103C	0.918102069300865	-1	YGL124C
YJL110C	0.993828359049478	-1	YGL124C
YJL127C	0.747530279081941	1	YGL124C
YJL206C	0.955708176198481	1	YGL124C
YJR060W	3.5147717932055e-05	1	YGL124C
YJR094C	0.65519616751158	-1	YGL124C
YJR127C	0.864785807644139	-1	YGL124C
YJR140C	0.903529670494759	1	YGL124C
YJR147W	0.993121598727847	-1	YGL124C
YKL005C	0.964679693492739	1	YGL124C
YKL015W	0.000820165692247027	-1	YGL124C
YKL020C	1.31676249205258e-11	-1	YGL124C
YKL032C	0.00949809885006355	-1	YGL124C
YKL038W	0.793456004105523	1	YGL124C
YKL043W	2.37168862892988e-06	1	YGL124C
YKL062W	6.04837596496713e-07	-1	YGL124C
YKL072W	0.779511491360135	1	YGL124C
YKL109W	0.186268396076447	-1	YGL124C
YKL112W	0.363242052214457	1	YGL124C
YKL185W	2.38147190309214e-06	-1	YGL124C
YKL222C	0.960953040300862	1	YGL124C
YKR034W	0.974092531049133	1	YGL124C
YKR064W	0.958974777584995	1	YGL124C
YKR099W	0.0240016635461799	-1	YGL124C
YLR013W	0.774953100339337	1	YGL124C
YLR014C	0.187036217261128	1	YGL124C
YLR098C	0.993233678480516	1	YGL124C
YLR131C	0.00474045289277397	1	YGL124C
YLR176C	0.00865765785224274	1	YGL124C
YLR182W	0.000511197181682129	-1	YGL124C
YLR183C	0.0148529916229381	-1	YGL124C
YLR228C	0.409149922010251	-1	YGL124C
YLR256W	4.77766971726440e-11	-1	YGL124C
YLR266C	0.189142521639179	1	YGL124C
YLR278C	0.930253726840779	1	YGL124C
YLR403W	0.0531708170793303	1	YGL124C
YLR451W	0.0112619331032418	1	YGL124C
YML007W	3.40038758839593e-08	-1	YGL124C
YML027W	0.597228465612372	1	YGL124C
YML051W	0.436530461584049	1	YGL124C
YML076C	0.872687277510022	1	YGL124C
YML081W	0.68994562436637	1	YGL124C
YML099C	0.699300541387006	1	YGL124C
YML113W	0.999005284729684	1	YGL124C
YMR016C	5.3443936465005e-10	-1	YGL124C
YMR019W	0.940108128438289	1	YGL124C
YMR021C	0.943205900658318	1	YGL124C
YMR037C	2.13376900445461e-19	-1	YGL124C
YMR042W	0.000587810131380476	1	YGL124C
YMR043W	0.0135867713880683	-1	YGL124C
YMR053C	0.999656581713396	-1	YGL124C
YMR070W	0.0306328896755851	1	YGL124C
YMR075W	0.919831310765718	1	YGL124C
YMR164C	0.68875135483539	-1	YGL124C
YMR172W	0.00131005172277825	-1	YGL124C
YMR182C	0.829975319300749	1	YGL124C
YMR280C	0.494402721287534	1	YGL124C
YNL027W	0.497832175191346	-1	YGL124C
YNL068C	1.70697551362453e-07	-1	YGL124C
YNL139C	0.812448791196664	1	YGL124C
YNL167C	8.89566787376458e-08	-1	YGL124C
YNL199C	0.271217034129288	1	YGL124C
YNL216W	4.80841743721145e-06	1	YGL124C
YNL257C	0.959643947964479	1	YGL124C
YNL309W	0.450949294753501	-1	YGL124C
YNL314W	0.294911899840466	-1	YGL124C
YNR063W	0.952072999235962	1	YGL124C
YOL028C	0.185032110058647	-1	YGL124C
YOL067C	0.84417216155942	1	YGL124C
YOL089C	0.656204847551077	1	YGL124C
YOL108C	8.57341685359650e-11	1	YGL124C
YOL116W	0.305739889290099	1	YGL124C
YOR028C	3.37972922529748e-11	1	YGL124C
YOR032C	0.836730728897383	1	YGL124C
YOR038C	0.267261445566374	1	YGL124C
YOR113W	0.0159625622454379	-1	YGL124C
YOR140W	0.983669257667851	1	YGL124C
YOR162C	0.0197848658796858	1	YGL124C
YOR229W	0.846405289392645	-1	YGL124C
YOR230W	0.922135261364244	1	YGL124C
YOR337W	0.00136321192815347	-1	YGL124C
YOR344C	0.194611658781483	1	YGL124C
YOR358W	0.0066994646569399	-1	YGL124C
YOR363C	0.0760948784640691	1	YGL124C
YOR380W	0.947851630955572	-1	YGL124C
YPL038W	0.549731946188343	1	YGL124C
YPL049C	0.427295998054873	1	YGL124C
YPL075W	0.953332326393461	1	YGL124C
YPL089C	0.469264073436749	1	YGL124C
YPL133C	2.24309142040558e-06	-1	YGL124C
YPL139C	0.947535328038908	1	YGL124C
