TF	p	sign	KP
YAL051W	0.150239198529638	-1	YGR092W
YBL005W	0.923662824130272	1	YGR092W
YBL008W	0.492331187223151	1	YGR092W
YBL021C	0.152054687144551	-1	YGR092W
YBL054W	0.743331980340262	1	YGR092W
YBL103C	0.431353355037736	1	YGR092W
YBR033W	0.946540435185583	1	YGR092W
YBR049C	2.60932186557373e-06	1	YGR092W
YBR083W	0.671487250662785	-1	YGR092W
YBR112C	0.638288635321185	1	YGR092W
YBR150C	0.797421078919211	1	YGR092W
YBR182C	0.480614815786896	-1	YGR092W
YBR239C	0.937463246400578	1	YGR092W
YBR240C	0.835376075145306	1	YGR092W
YBR297W	0.199520013331302	-1	YGR092W
YCL055W	0.73287634388917	1	YGR092W
YCR065W	0.259167566356456	1	YGR092W
YCR084C	0.0675016277750789	1	YGR092W
YCR106W	0.998110321756514	1	YGR092W
YDL020C	6.72123190891618e-05	1	YGR092W
YDL048C	0.999889988595929	-1	YGR092W
YDL056W	0.324306733610144	-1	YGR092W
YDL106C	1.22812713710506e-15	1	YGR092W
YDL170W	0.999922351011308	-1	YGR092W
YDR009W	0.999834587242201	-1	YGR092W
YDR026C	0.885395286011401	1	YGR092W
YDR034C	1.48686747205517e-06	-1	YGR092W
YDR043C	0.990007831966627	1	YGR092W
YDR049W	0.999704102064017	1	YGR092W
YDR123C	3.44719304339465e-11	-1	YGR092W
YDR146C	0.509325399258532	-1	YGR092W
YDR174W	0.0884801736850435	1	YGR092W
YDR207C	0.181591638633746	1	YGR092W
YDR213W	0.954283333508309	1	YGR092W
YDR216W	0.904307883014361	-1	YGR092W
YDR253C	0.0102522948971086	-1	YGR092W
YDR259C	1.93876083023964e-08	-1	YGR092W
YDR266C	0.997787947609632	1	YGR092W
YDR277C	0.0378448766567047	-1	YGR092W
YDR310C	0.818716147887321	1	YGR092W
YDR421W	0.697145284837164	-1	YGR092W
YDR423C	0.00127637942161918	1	YGR092W
YDR451C	0.719283058706263	-1	YGR092W
YDR463W	0.368086629676053	1	YGR092W
YDR501W	0.581588330548737	-1	YGR092W
YDR520C	0.803960749192095	1	YGR092W
YEL009C	2.46838266685872e-12	1	YGR092W
YER028C	0.99344674256412	1	YGR092W
YER040W	0.0166252802194782	-1	YGR092W
YER045C	0.898447842579301	1	YGR092W
YER051W	0.997804798230235	1	YGR092W
YER068W	0.702065505986778	1	YGR092W
YER088C	0.0495397041138976	-1	YGR092W
YER109C	0.714628939883027	1	YGR092W
YER111C	0.159920832507544	-1	YGR092W
YER130C	0.999471471714818	1	YGR092W
YER161C	0.00433425484953817	-1	YGR092W
YER169W	0.124832863977375	1	YGR092W
YER184C	0.988842336770674	1	YGR092W
YFL021W	0.432616624169112	-1	YGR092W
YFL031W	0.611606774917577	1	YGR092W
YFL044C	0.998525981309978	1	YGR092W
YFL052W	0.979484736496293	1	YGR092W
YFR034C	0.183178171065898	1	YGR092W
YGL013C	0.620174245929839	-1	YGR092W
YGL035C	0.455230905395338	1	YGR092W
YGL071W	0.0250261432917941	1	YGR092W
YGL073W	4.35636955962578e-06	1	YGR092W
YGL096W	0.746839339296676	-1	YGR092W
YGL131C	0.848453665269328	-1	YGR092W
YGL162W	0.784132222693054	-1	YGR092W
YGL166W	0.00875506917125779	-1	YGR092W
YGL181W	0.833262989722213	1	YGR092W
YGL192W	0.999060273449363	1	YGR092W
YGL197W	0.9996102622716	1	YGR092W
YGL209W	0.922151445487405	1	YGR092W
YGL237C	0.396581205033691	-1	YGR092W
