TF	p	sign	KP
YAL051W	0.208818210199122	-1	YGR188C
YBL005W	0.810585498466954	1	YGR188C
YBL008W	0.478422121017409	1	YGR188C
YBL021C	0.135081116810104	1	YGR188C
YBL054W	0.840781078529989	-1	YGR188C
YBL103C	0.375921133816386	-1	YGR188C
YBR033W	0.95138664258018	1	YGR188C
YBR049C	1.14523119682505e-06	-1	YGR188C
YBR083W	0.61167618328141	-1	YGR188C
YBR112C	0.609333746472351	1	YGR188C
YBR150C	0.767304023992849	1	YGR188C
YBR182C	0.403475025202778	-1	YGR188C
YBR239C	0.94510516859894	-1	YGR188C
YBR240C	0.859460550689639	-1	YGR188C
YBR297W	0.155291604051757	-1	YGR188C
YCL055W	0.735996079648556	1	YGR188C
YCR065W	0.32737216184157	1	YGR188C
YCR084C	0.0642881566432864	-1	YGR188C
YCR106W	0.998172872933409	1	YGR188C
YDL020C	9.95522969570098e-05	1	YGR188C
YDL048C	0.999937544388914	-1	YGR188C
YDL056W	0.249893116120813	-1	YGR188C
YDL106C	2.09883445905835e-14	-1	YGR188C
YDL170W	0.99933485503564	-1	YGR188C
YDR009W	0.999892137506919	1	YGR188C
YDR026C	0.801309203424846	1	YGR188C
YDR034C	8.43261406753136e-07	-1	YGR188C
YDR043C	0.995261163160633	1	YGR188C
YDR049W	0.999402765158536	1	YGR188C
YDR123C	7.55941595235797e-11	-1	YGR188C
YDR146C	0.59538002367719	1	YGR188C
YDR174W	0.115582653641579	1	YGR188C
YDR207C	0.196760418961924	-1	YGR188C
YDR213W	0.929771493213068	1	YGR188C
YDR216W	0.843001163195469	-1	YGR188C
YDR253C	0.00560321045532337	-1	YGR188C
YDR259C	6.71707442324716e-08	1	YGR188C
YDR266C	0.995173322756766	1	YGR188C
YDR277C	0.0528964680474787	-1	YGR188C
YDR310C	0.806937864960039	1	YGR188C
YDR421W	0.672586953810128	-1	YGR188C
YDR423C	0.00350595670897185	1	YGR188C
YDR451C	0.654076269767964	-1	YGR188C
YDR463W	0.400537297337759	1	YGR188C
YDR501W	0.47022792079499	-1	YGR188C
YDR520C	0.791279984778849	-1	YGR188C
YEL009C	2.2083202941458e-12	1	YGR188C
YER028C	0.995026353442	1	YGR188C
YER040W	0.0152510402508649	-1	YGR188C
YER045C	0.910659359989955	1	YGR188C
YER051W	0.994646212551428	1	YGR188C
YER068W	0.749705478476321	1	YGR188C
YER088C	0.032648847554706	-1	YGR188C
YER109C	0.769148241780096	1	YGR188C
YER111C	0.138673855640325	-1	YGR188C
YER130C	0.99854768649342	1	YGR188C
YER161C	0.00621752279122503	-1	YGR188C
YER169W	0.145011202674708	1	YGR188C
YER184C	0.98258428982847	1	YGR188C
YFL021W	0.439698455064457	-1	YGR188C
YFL031W	0.587466448371691	-1	YGR188C
YFL044C	0.998219778973134	1	YGR188C
YFL052W	0.970615103201883	-1	YGR188C
YFR034C	0.0814088685593934	1	YGR188C
YGL013C	0.661049341333156	-1	YGR188C
YGL035C	0.474985979554053	-1	YGR188C
YGL071W	0.0142598355165246	-1	YGR188C
YGL073W	9.97141452527865e-06	1	YGR188C
YGL096W	0.637419029175645	-1	YGR188C
YGL131C	0.775384078366535	-1	YGR188C
YGL162W	0.823179562838688	1	YGR188C
YGL166W	0.00751537978019008	-1	YGR188C
YGL181W	0.853732046178847	-1	YGR188C
YGL192W	0.997679102002517	-1	YGR188C
YGL197W	0.998811703177049	-1	YGR188C
YGL209W	0.891260120142343	-1	YGR188C
YGL237C	0.322444191446467	-1	YGR188C
YGL252C	0.00583431872406264	-1	YGR188C
YGL254W	0.469065831264074	1	YGR188C
YGR044C	0.132259598447125	1	YGR188C
YGR067C	0.645576357032795	-1	YGR188C
YGR089W	0.898840913476226	-1	YGR188C
YGR097W	0.99278110105966	-1	YGR188C
YGR249W	0.354471932927275	1	YGR188C
YGR288W	0.441447272580158	-1	YGR188C
YHL009C	0.652912636829339	1	YGR188C
YHL020C	0.695092770205289	-1	YGR188C
YHL027W	0.999934481743631	-1	YGR188C
YHR006W	0.128487551506646	1	YGR188C
YHR084W	1.56372229004067e-08	-1	YGR188C
YHR124W	0.000342295680929332	-1	YGR188C
YHR178W	0.130144558616132	1	YGR188C
YHR206W	1.64318021479465e-06	-1	YGR188C
YIL036W	0.896107724391344	-1	YGR188C
YIL101C	0.322737670732237	1	YGR188C
YIL119C	0.859932421193677	-1	YGR188C
YIL122W	0.58254751982496	-1	YGR188C
YIL128W	0.999574542051753	-1	YGR188C
YIL131C	2.71982905507232e-10	-1	YGR188C
YIR017C	0.666989010092319	-1	YGR188C
YIR018W	0.0724620394037638	-1	YGR188C
YIR023W	0.00163048635423941	-1	YGR188C
YIR033W	0.287136521217301	-1	YGR188C
YJL056C	0.0748951260654414	1	YGR188C
YJL089W	0.980266179458314	1	YGR188C
YJL103C	0.000518136642895266	-1	YGR188C
YJL110C	0.999840860230352	-1	YGR188C
YJL127C	0.97194543621987	-1	YGR188C
YJL206C	0.96593823105539	1	YGR188C
YJR060W	4.04763049058934e-05	-1	YGR188C
YJR094C	0.917096530322436	1	YGR188C
YJR127C	0.462522688940684	-1	YGR188C
YJR140C	0.505768281401872	-1	YGR188C
YJR147W	0.992714750258646	1	YGR188C
YKL005C	0.776351468002207	1	YGR188C
YKL015W	0.0514248005419078	-1	YGR188C
YKL020C	1.06756240783198e-08	-1	YGR188C
YKL032C	0.106218325455573	-1	YGR188C
YKL038W	0.550720536223447	1	YGR188C
YKL043W	0.0032596116922189	-1	YGR188C
YKL062W	1.9543468951492e-12	-1	YGR188C
YKL072W	0.998253746143177	1	YGR188C
YKL109W	0.779558262103685	-1	YGR188C
YKL112W	2.82732848564027e-19	1	YGR188C
YKL185W	0.281476136733938	-1	YGR188C
YKL222C	0.799412822113864	-1	YGR188C
YKR034W	0.996192706384475	-1	YGR188C
YKR064W	0.915888245819876	-1	YGR188C
YKR099W	0.0825303412443241	-1	YGR188C
YLR013W	0.0765158402642599	-1	YGR188C
YLR014C	0.768413655805233	-1	YGR188C
YLR098C	0.997862455138466	-1	YGR188C
YLR131C	0.0428957782640835	-1	YGR188C
YLR176C	0.566506499679023	1	YGR188C
YLR182W	0.000176005934608983	-1	YGR188C
YLR183C	0.169345834576461	1	YGR188C
YLR228C	0.446021500393254	-1	YGR188C
YLR256W	0.00381365849955271	-1	YGR188C
YLR266C	0.642296660420843	1	YGR188C
YLR278C	0.608931284510417	-1	YGR188C
YLR403W	2.77936724937461e-05	1	YGR188C
YLR451W	1.16230698710836e-07	-1	YGR188C
YML007W	7.23475840027367e-05	-1	YGR188C
YML027W	0.838198240845049	-1	YGR188C
YML051W	0.967754777143902	1	YGR188C
YML076C	0.949026010983775	-1	YGR188C
YML081W	0.746051100597329	1	YGR188C
YML099C	0.824984019743866	-1	YGR188C
YML113W	0.995447700026641	-1	YGR188C
YMR016C	0.010039372022249	-1	YGR188C
YMR019W	0.750112694796228	1	YGR188C
YMR021C	0.0873341678685451	-1	YGR188C
YMR037C	6.36083578109028e-22	-1	YGR188C
YMR042W	0.00927062780511576	1	YGR188C
YMR043W	0.940468982438835	-1	YGR188C
YMR053C	0.988728728401905	1	YGR188C
YMR070W	0.0296077749302326	1	YGR188C
YMR075W	0.9959486476858	-1	YGR188C
YMR164C	0.521136055716777	-1	YGR188C
YMR172W	8.94095330033929e-09	-1	YGR188C
YMR182C	0.813970154320639	-1	YGR188C
YMR280C	0.078969899346569	1	YGR188C
YNL027W	0.0350471442377845	-1	YGR188C
YNL068C	2.95534902800395e-28	-1	YGR188C
YNL139C	0.269383343071748	-1	YGR188C
YNL167C	0.000310131635686446	-1	YGR188C
YNL199C	6.04633097997891e-05	1	YGR188C
YNL216W	1.18459681066414e-06	-1	YGR188C
YNL257C	0.985925268670761	1	YGR188C
YNL309W	0.953048376050616	1	YGR188C
YNL314W	0.846156168880498	-1	YGR188C
YNR063W	0.788590440293241	-1	YGR188C
YOL028C	0.0500325555269935	-1	YGR188C
YOL067C	0.987432771677608	1	YGR188C
YOL089C	0.364505632198255	-1	YGR188C
YOL108C	5.64496118773736e-06	-1	YGR188C
YOL116W	0.00247034854048295	-1	YGR188C
YOR028C	0.00067681990411097	-1	YGR188C
YOR032C	0.203981829799011	1	YGR188C
YOR038C	0.103216730497741	1	YGR188C
YOR113W	0.0779355518974221	-1	YGR188C
YOR140W	0.727208675579838	1	YGR188C
YOR162C	5.04374738929551e-11	1	YGR188C
YOR229W	0.804746865025875	-1	YGR188C
YOR230W	0.99904257939904	1	YGR188C
YOR337W	0.118207272314051	1	YGR188C
YOR344C	0.0645401717741009	1	YGR188C
YOR358W	0.00129209878049797	-1	YGR188C
YOR363C	0.305288771490082	-1	YGR188C
YOR380W	0.957160883687643	1	YGR188C
YPL038W	4.08326395205254e-05	-1	YGR188C
YPL049C	0.723037786329461	-1	YGR188C
YPL075W	8.20596808875093e-05	1	YGR188C
YPL089C	0.963656686301785	-1	YGR188C
YPL133C	0.0576658575868273	-1	YGR188C
YPL139C	0.999947542715923	-1	YGR188C
YPL177C	0.0399266708999064	1	YGR188C
YPL202C	0.761275111862159	1	YGR188C
YPL230W	0.864337486254328	1	YGR188C
YPL248C	0.998825959957175	-1	YGR188C
YPR008W	0.981491987512997	-1	YGR188C
YPR009W	0.973800223070813	-1	YGR188C
YPR022C	0.852931657288498	-1	YGR188C
YPR065W	0.0601195332579674	-1	YGR188C
YPR196W	0.998991642049796	1	YGR188C
YPR199C	0.969447380233996	-1	YGR188C
