TF	p	sign	KP
YAL051W	5.05823066421798e-05	-1	YHR076W
YBL005W	0.392205573160599	1	YHR076W
YBL008W	0.458865103976442	1	YHR076W
YBL021C	0.0912482396365125	-1	YHR076W
YBL054W	0.687934192556512	1	YHR076W
YBL103C	0.10636311495644	1	YHR076W
YBR033W	0.994067257967239	1	YHR076W
YBR049C	0.0108502701560122	1	YHR076W
YBR083W	0.292780071551148	-1	YHR076W
YBR112C	0.240218279790803	1	YHR076W
YBR150C	0.285999531559419	1	YHR076W
YBR182C	0.468232239785455	-1	YHR076W
YBR239C	0.649128752573893	1	YHR076W
YBR240C	0.846584451360057	1	YHR076W
YBR297W	0.925453156122429	-1	YHR076W
YCL055W	0.939318660881188	-1	YHR076W
YCR065W	0.427140319413799	-1	YHR076W
YCR084C	0.11154985499789	1	YHR076W
YCR106W	0.718393797113909	1	YHR076W
YDL020C	0.913260620678135	1	YHR076W
YDL048C	0.925124395421479	-1	YHR076W
YDL056W	0.00581434904071676	-1	YHR076W
YDL106C	0.0043991665894518	-1	YHR076W
YDL170W	0.964832151780355	1	YHR076W
YDR009W	0.967325672243033	1	YHR076W
YDR026C	0.509968161838505	1	YHR076W
YDR034C	0.370925281089399	1	YHR076W
YDR043C	0.00222522212841386	1	YHR076W
YDR049W	0.954760025368959	1	YHR076W
YDR123C	1.78448417848483e-15	-1	YHR076W
YDR146C	0.7870813996291	-1	YHR076W
YDR174W	0.584536991976529	1	YHR076W
YDR207C	5.28542452444851e-06	-1	YHR076W
YDR213W	0.955667214399092	1	YHR076W
YDR216W	0.0929400988662053	-1	YHR076W
YDR253C	0.000191211483343952	1	YHR076W
YDR259C	3.09264605751185e-09	-1	YHR076W
YDR266C	0.953630633504623	1	YHR076W
YDR277C	0.00240286298001209	-1	YHR076W
YDR310C	0.999292257450898	-1	YHR076W
YDR421W	0.886141117285369	1	YHR076W
YDR423C	0.0739711454435439	1	YHR076W
YDR451C	0.753611321832219	1	YHR076W
YDR463W	0.490590706027851	1	YHR076W
YDR501W	0.0931377543130854	-1	YHR076W
YDR520C	0.977835605658377	1	YHR076W
YEL009C	0.000321619504828001	1	YHR076W
YER028C	0.9980182452397	1	YHR076W
YER040W	0.0455486771322323	-1	YHR076W
YER045C	0.851701519406283	1	YHR076W
YER051W	0.773322420891708	1	YHR076W
YER068W	0.419947903825287	1	YHR076W
YER088C	0.130203614619004	-1	YHR076W
YER109C	9.2830462794642e-05	-1	YHR076W
YER111C	0.00131529615149422	-1	YHR076W
YER130C	0.99518521067703	1	YHR076W
YER161C	0.44326350317167	1	YHR076W
YER169W	0.770264132832703	1	YHR076W
YER184C	0.942535791681959	1	YHR076W
YFL021W	0.126311322328915	1	YHR076W
YFL031W	0.951157954239588	-1	YHR076W
YFL044C	0.949382549174006	1	YHR076W
YFL052W	0.422053400530153	1	YHR076W
YFR034C	0.0510927131446497	1	YHR076W
YGL013C	0.475558240479551	1	YHR076W
YGL035C	0.0146607431060795	1	YHR076W
YGL071W	0.148246395604927	1	YHR076W
YGL073W	0.00128096310995257	1	YHR076W
YGL096W	0.634432162529927	-1	YHR076W
YGL131C	0.436545483452182	1	YHR076W
YGL162W	0.000796231887025248	1	YHR076W
YGL166W	0.0301996721478944	1	YHR076W
YGL181W	0.930617570443892	-1	YHR076W
YGL192W	0.990145230272946	1	YHR076W
YGL197W	0.951622796291	1	YHR076W
YGL209W	0.857810812525929	1	YHR076W
YGL237C	0.00029302800775173	-1	YHR076W
YGL252C	0.193981784982058	-1	YHR076W
YGL254W	0.372192143371032	1	YHR076W
YGR044C	0.166752001175438	-1	YHR076W
YGR067C	0.640762774894093	-1	YHR076W
YGR089W	0.374450126220884	1	YHR076W
YGR097W	0.616207290663497	1	YHR076W
YGR249W	0.605825754194205	-1	YHR076W
YGR288W	0.888344606492788	-1	YHR076W
YHL009C	0.958259270758714	1	YHR076W
YHL020C	0.311827912796435	1	YHR076W
YHL027W	0.941235452061402	1	YHR076W
YHR006W	0.986767882896259	-1	YHR076W
YHR084W	2.11649074791979e-06	-1	YHR076W
YHR124W	2.06871817571382e-09	-1	YHR076W
YHR178W	0.0827812923910872	1	YHR076W
YHR206W	2.08825116108511e-13	-1	YHR076W
YIL036W	0.914825432277264	1	YHR076W
YIL101C	0.050062636262638	-1	YHR076W
YIL119C	0.864660357631704	1	YHR076W
YIL122W	0.0527012816175672	-1	YHR076W
YIL128W	0.999129586226579	1	YHR076W
YIL131C	2.50615816026956e-09	-1	YHR076W
YIR017C	0.940346089443985	1	YHR076W
YIR018W	0.00142190431099724	-1	YHR076W
YIR023W	0.000164718316253774	1	YHR076W
YIR033W	0.283660680757976	-1	YHR076W
YJL056C	0.99444631134948	1	YHR076W
YJL089W	0.761203221932355	1	YHR076W
YJL103C	0.0470545760043612	-1	YHR076W
YJL110C	0.997690354851808	1	YHR076W
YJL127C	0.370754815788414	1	YHR076W
YJL206C	0.997727195099241	1	YHR076W
YJR060W	0.000113292709694199	1	YHR076W
YJR094C	0.502768449533148	1	YHR076W
YJR127C	0.341474286880968	-1	YHR076W
YJR140C	0.749518180559018	1	YHR076W
YJR147W	0.956152121019696	1	YHR076W
YKL005C	0.938077771098822	1	YHR076W
YKL015W	0.00756539611258002	-1	YHR076W
YKL020C	3.20948214222025e-07	-1	YHR076W
YKL032C	0.0241629609897582	-1	YHR076W
YKL038W	0.179798106693614	1	YHR076W
YKL043W	0.00139924971287408	-1	YHR076W
YKL062W	6.33738178027436e-07	-1	YHR076W
YKL072W	0.999218715862668	1	YHR076W
YKL109W	0.177049359517642	1	YHR076W
YKL112W	0.0122986248078828	1	YHR076W
YKL185W	3.34600013331148e-06	-1	YHR076W
YKL222C	0.745222471175326	1	YHR076W
YKR034W	0.995009857589553	1	YHR076W
YKR064W	0.521066366062732	1	YHR076W
YKR099W	0.0264976836320828	1	YHR076W
YLR013W	0.999952239168827	-1	YHR076W
YLR014C	0.462456404378902	1	YHR076W
YLR098C	0.94015410629284	1	YHR076W
YLR131C	0.0137676782995277	-1	YHR076W
YLR176C	0.416100871819698	1	YHR076W
YLR182W	8.25937117510407e-06	-1	YHR076W
YLR183C	0.0224243730621298	-1	YHR076W
YLR228C	0.287070600855084	-1	YHR076W
YLR256W	1.09913865033298e-05	-1	YHR076W
YLR266C	0.352839064255337	1	YHR076W
YLR278C	0.191085578371836	1	YHR076W
YLR403W	0.350360027317383	-1	YHR076W
YLR451W	0.073027228939758	-1	YHR076W
YML007W	7.78727267554008e-09	1	YHR076W
YML027W	0.488801232023517	-1	YHR076W
YML051W	0.966347118178352	1	YHR076W
YML076C	0.352207669955593	1	YHR076W
YML081W	0.79019134295151	1	YHR076W
YML099C	0.856419948911587	1	YHR076W
YML113W	0.999284809040755	1	YHR076W
YMR016C	0.000321536441890069	-1	YHR076W
YMR019W	0.959754133994561	1	YHR076W
YMR021C	0.64594188906557	1	YHR076W
YMR037C	4.95912853597002e-23	-1	YHR076W
YMR042W	0.0210623154286362	1	YHR076W
YMR043W	0.000340326023127657	-1	YHR076W
YMR053C	0.968878788525106	1	YHR076W
YMR070W	0.109691512072834	1	YHR076W
YMR075W	0.990482339166005	1	YHR076W
YMR164C	0.26206571071921	1	YHR076W
YMR172W	1.99135634596038e-08	-1	YHR076W
YMR182C	0.934766834066053	-1	YHR076W
YMR280C	0.343864950541738	-1	YHR076W
YNL027W	0.0013658075089614	-1	YHR076W
YNL068C	5.59287959114306e-09	-1	YHR076W
YNL139C	0.700639313161489	1	YHR076W
YNL167C	1.81571826991309e-08	-1	YHR076W
YNL199C	0.0596147219404997	1	YHR076W
YNL216W	0.00260730971932261	-1	YHR076W
YNL257C	0.952673747564695	1	YHR076W
YNL309W	0.0683815001369365	-1	YHR076W
YNL314W	0.194561450822664	1	YHR076W
YNR063W	0.569146167846055	1	YHR076W
YOL028C	0.00868213397949391	1	YHR076W
YOL067C	0.907408505560261	1	YHR076W
YOL089C	0.726299449764449	1	YHR076W
YOL108C	2.96163335661721e-10	1	YHR076W
YOL116W	0.219878289796116	-1	YHR076W
YOR028C	0.00018792858978488	-1	YHR076W
YOR032C	0.550465873637813	1	YHR076W
YOR038C	0.646820755953366	1	YHR076W
YOR113W	0.104778410705552	-1	YHR076W
YOR140W	0.976305551414797	1	YHR076W
YOR162C	0.00238769622996629	1	YHR076W
YOR229W	0.999473299379629	1	YHR076W
YOR230W	0.871861910573102	1	YHR076W
YOR337W	0.000313547797750151	-1	YHR076W
YOR344C	0.119476465293552	1	YHR076W
YOR358W	0.00102013097451724	-1	YHR076W
YOR363C	0.0477227180416713	-1	YHR076W
YOR380W	0.28411424764245	1	YHR076W
YPL038W	0.215617103305888	1	YHR076W
YPL049C	0.884734214933834	-1	YHR076W
YPL075W	0.796665190061738	1	YHR076W
YPL089C	0.202081329163375	1	YHR076W
YPL133C	4.41237734141782e-11	-1	YHR076W
YPL139C	0.999998597377902	1	YHR076W
YPL177C	0.134330413228133	1	YHR076W
YPL202C	0.996020101639407	-1	YHR076W
YPL230W	0.36355304819052	1	YHR076W
YPL248C	0.999953256639791	1	YHR076W
YPR008W	0.978444642709221	1	YHR076W
YPR009W	0.454785775329113	-1	YHR076W
YPR022C	0.323867264498903	1	YHR076W
YPR065W	3.51559889061788e-05	1	YHR076W
YPR196W	0.993448707593212	1	YHR076W
YPR199C	0.988696691212002	1	YHR076W
