TF	p	sign	KP
YAL051W	0.000156918502569854	1	YHR082C
YBL005W	0.215671609075557	-1	YHR082C
YBL008W	0.580477049407467	1	YHR082C
YBL021C	0.383127400751515	-1	YHR082C
YBL054W	0.83031106717595	1	YHR082C
YBL103C	0.716284654485564	1	YHR082C
YBR033W	0.955995602310503	-1	YHR082C
YBR049C	0.99778070974042	1	YHR082C
YBR083W	0.0680989807579354	1	YHR082C
YBR112C	0.244626248346463	1	YHR082C
YBR150C	0.438135328300489	-1	YHR082C
YBR182C	0.0215419298184484	-1	YHR082C
YBR239C	0.821776477619721	1	YHR082C
YBR240C	0.966845421566038	1	YHR082C
YBR297W	0.849875297314042	1	YHR082C
YCL055W	0.877583358312769	-1	YHR082C
YCR065W	0.096674875610221	-1	YHR082C
YCR084C	0.235505962565479	1	YHR082C
YCR106W	0.803019082736094	-1	YHR082C
YDL020C	0.994463666033382	1	YHR082C
YDL048C	0.894826857219896	1	YHR082C
YDL056W	0.269615969773133	-1	YHR082C
YDL106C	0.0640746302893226	1	YHR082C
YDL170W	0.771629048808683	-1	YHR082C
YDR009W	0.999348582826904	-1	YHR082C
YDR026C	0.966491168646294	1	YHR082C
YDR034C	0.411292544230036	1	YHR082C
YDR043C	0.0002543090081038	1	YHR082C
YDR049W	0.930021996726323	-1	YHR082C
YDR123C	2.27195082842604e-13	1	YHR082C
YDR146C	0.479582147946902	-1	YHR082C
YDR174W	0.559454316832922	-1	YHR082C
YDR207C	0.0020896097163946	1	YHR082C
YDR213W	0.956423184465611	-1	YHR082C
YDR216W	0.312787020409976	-1	YHR082C
YDR253C	0.000144600961892975	1	YHR082C
YDR259C	1.29565029044202e-09	-1	YHR082C
YDR266C	0.959621073780355	-1	YHR082C
YDR277C	0.000171345020707596	-1	YHR082C
YDR310C	0.972421373889806	1	YHR082C
YDR421W	0.859788979284803	-1	YHR082C
YDR423C	8.71529308463945e-06	1	YHR082C
YDR451C	0.949318803171595	-1	YHR082C
YDR463W	0.969894243610315	1	YHR082C
YDR501W	0.358684209191877	-1	YHR082C
YDR520C	0.91813153257215	-1	YHR082C
YEL009C	8.93137377339385e-09	1	YHR082C
YER028C	0.994723702910508	1	YHR082C
YER040W	0.0108638917123804	-1	YHR082C
YER045C	0.866971454623535	1	YHR082C
YER051W	0.858385239579546	-1	YHR082C
YER068W	0.926757583797324	1	YHR082C
YER088C	0.040691633176125	-1	YHR082C
YER109C	0.000333178418908964	-1	YHR082C
YER111C	0.0407393550294728	-1	YHR082C
YER130C	0.983798612419044	-1	YHR082C
YER161C	0.980599011536213	1	YHR082C
YER169W	0.919527040080888	-1	YHR082C
YER184C	0.914639786633822	-1	YHR082C
YFL021W	0.24617188215889	1	YHR082C
YFL031W	0.936232012727733	-1	YHR082C
YFL044C	0.918093507650787	-1	YHR082C
YFL052W	0.979892909156361	-1	YHR082C
YFR034C	0.193555257635681	1	YHR082C
YGL013C	0.786157105184781	-1	YHR082C
YGL035C	0.727873399112021	1	YHR082C
YGL071W	0.996430075204224	1	YHR082C
YGL073W	0.0528774334967112	1	YHR082C
YGL096W	0.156172301613313	-1	YHR082C
YGL131C	0.996018121720014	-1	YHR082C
YGL162W	0.0158586420432759	1	YHR082C
YGL166W	0.641868704713526	1	YHR082C
YGL181W	0.978970131940814	-1	YHR082C
YGL192W	0.94560657238674	-1	YHR082C
YGL197W	0.992068305686646	-1	YHR082C
YGL209W	0.947101471203277	-1	YHR082C
YGL237C	0.00346441392092865	-1	YHR082C
YGL252C	0.318749880362897	-1	YHR082C
YGL254W	0.956111532927352	-1	YHR082C
YGR044C	0.121972512841827	-1	YHR082C
YGR067C	0.872896669209128	-1	YHR082C
YGR089W	0.852630751801765	-1	YHR082C
YGR097W	0.991806931721444	1	YHR082C
YGR249W	0.541416445940578	-1	YHR082C
YGR288W	0.384922149340333	-1	YHR082C
YHL009C	0.718403562898883	1	YHR082C
YHL020C	0.983546424146279	1	YHR082C
YHL027W	0.503643976847259	-1	YHR082C
YHR006W	0.984394700733533	1	YHR082C
YHR084W	3.63830728572429e-08	1	YHR082C
YHR124W	5.96439506879245e-12	-1	YHR082C
YHR178W	0.00638243682966129	-1	YHR082C
YHR206W	1.19884151420712e-13	-1	YHR082C
YIL036W	0.977722147302364	-1	YHR082C
YIL101C	3.63507721483084e-05	-1	YHR082C
YIL119C	0.863498682428451	-1	YHR082C
YIL122W	0.688252669944392	-1	YHR082C
YIL128W	0.996932558807645	-1	YHR082C
YIL131C	9.89936423831069e-06	-1	YHR082C
YIR017C	0.609116339280921	1	YHR082C
YIR018W	0.000742746748308469	-1	YHR082C
YIR023W	0.00102576219785939	1	YHR082C
YIR033W	0.238775855616259	1	YHR082C
YJL056C	0.914220559963103	-1	YHR082C
YJL089W	0.885123254537534	1	YHR082C
YJL103C	0.0347040616532176	-1	YHR082C
YJL110C	0.999259584841768	-1	YHR082C
YJL127C	0.907495639309268	1	YHR082C
YJL206C	0.999510789411609	1	YHR082C
YJR060W	1.45506628702181e-05	1	YHR082C
YJR094C	0.538682463668364	1	YHR082C
YJR127C	0.840165423827644	-1	YHR082C
YJR140C	0.986983328562024	-1	YHR082C
YJR147W	0.886971045641395	-1	YHR082C
YKL005C	0.99973217876393	1	YHR082C
YKL015W	4.27424687645997e-05	1	YHR082C
YKL020C	2.59562251736344e-12	1	YHR082C
YKL032C	0.0045720086543427	-1	YHR082C
YKL038W	0.4278605080729	1	YHR082C
YKL043W	0.08906137592967	1	YHR082C
YKL062W	3.90724319914372e-07	1	YHR082C
YKL072W	0.998576927967009	1	YHR082C
YKL109W	0.135549779044701	-1	YHR082C
YKL112W	0.223253418846952	1	YHR082C
YKL185W	1.98165734215975e-05	1	YHR082C
YKL222C	0.884611275521989	-1	YHR082C
YKR034W	0.926713267841601	-1	YHR082C
YKR064W	0.966949862281759	-1	YHR082C
YKR099W	0.855709121122257	1	YHR082C
YLR013W	0.229049251636403	-1	YHR082C
YLR014C	0.877499652602833	-1	YHR082C
YLR098C	0.778326403383497	-1	YHR082C
YLR131C	0.0766488213861337	-1	YHR082C
YLR176C	0.00946441718331791	1	YHR082C
YLR182W	0.0391758278996924	-1	YHR082C
YLR183C	0.380814581301257	1	YHR082C
YLR228C	0.451092986508305	-1	YHR082C
YLR256W	2.60771861263153e-09	-1	YHR082C
YLR266C	0.836732210939863	-1	YHR082C
YLR278C	0.907359518001773	-1	YHR082C
YLR403W	0.039596674430437	-1	YHR082C
YLR451W	0.364107562422104	-1	YHR082C
YML007W	0.000211375190071918	1	YHR082C
YML027W	0.984286352869184	-1	YHR082C
YML051W	0.999967056362894	-1	YHR082C
YML076C	0.787124014301083	1	YHR082C
YML081W	0.28268343706172	1	YHR082C
YML099C	0.820313890614868	1	YHR082C
YML113W	0.995620249331419	-1	YHR082C
YMR016C	1.21750998068341e-07	-1	YHR082C
YMR019W	0.855266702521223	-1	YHR082C
YMR021C	0.321014686211047	1	YHR082C
YMR037C	1.10065752155622e-17	-1	YHR082C
YMR042W	0.0241989659331142	1	YHR082C
YMR043W	0.0622397855238164	-1	YHR082C
YMR053C	0.982949422720156	-1	YHR082C
YMR070W	0.391987257569678	-1	YHR082C
YMR075W	0.930956866961631	1	YHR082C
YMR164C	0.366965728875214	-1	YHR082C
YMR172W	1.99511637105023e-10	-1	YHR082C
YMR182C	0.556229655058697	-1	YHR082C
YMR280C	0.341273009140085	1	YHR082C
YNL027W	0.000112056365609317	-1	YHR082C
YNL068C	3.66729852193615e-07	-1	YHR082C
YNL139C	0.819534412576952	1	YHR082C
YNL167C	2.13753545233681e-10	-1	YHR082C
YNL199C	0.996073162148274	1	YHR082C
YNL216W	3.88010412007517e-06	-1	YHR082C
YNL257C	0.992729390884818	-1	YHR082C
YNL309W	0.88577933546205	-1	YHR082C
YNL314W	0.264576642022721	1	YHR082C
YNR063W	0.825581366159007	-1	YHR082C
YOL028C	0.00648828918438184	1	YHR082C
YOL067C	0.999459809878354	1	YHR082C
YOL089C	0.787541816025957	-1	YHR082C
YOL108C	7.93883384629169e-13	1	YHR082C
YOL116W	0.197011174783193	-1	YHR082C
YOR028C	3.00601153175151e-09	1	YHR082C
YOR032C	0.523962885584475	-1	YHR082C
YOR038C	0.166764534928492	1	YHR082C
YOR113W	0.0315316175322258	-1	YHR082C
YOR140W	0.809837772308835	1	YHR082C
YOR162C	0.133467384436044	-1	YHR082C
YOR229W	0.949756105987551	1	YHR082C
YOR230W	0.68265794213913	1	YHR082C
YOR337W	0.117959918855916	-1	YHR082C
YOR344C	0.33072542428531	1	YHR082C
YOR358W	0.00799927270466297	-1	YHR082C
YOR363C	0.339166559037501	-1	YHR082C
YOR380W	0.924694050934138	-1	YHR082C
YPL038W	0.796182676366989	1	YHR082C
YPL049C	0.96579777530631	-1	YHR082C
YPL075W	0.893385477062783	1	YHR082C
YPL089C	0.909214384988697	-1	YHR082C
YPL133C	1.87533603179515e-12	-1	YHR082C
YPL139C	0.992400140639442	-1	YHR082C
YPL177C	0.332722936241292	-1	YHR082C
YPL202C	0.695420970360874	1	YHR082C
YPL230W	0.955316677093653	-1	YHR082C
YPL248C	0.999896317250979	-1	YHR082C
YPR008W	0.981397206201116	-1	YHR082C
YPR009W	0.812425958890204	-1	YHR082C
YPR022C	0.701157561416843	-1	YHR082C
YPR065W	0.00993910209026921	-1	YHR082C
YPR196W	0.572481082926669	-1	YHR082C
YPR199C	0.955802764937661	1	YHR082C
