TF	p	sign	KP
YAL051W	0.00741494204920031	-1	YIL095W
YBL005W	0.9460677439002	1	YIL095W
YBL008W	0.276921539639159	1	YIL095W
YBL021C	0.0905809480201957	-1	YIL095W
YBL054W	0.705378981363706	-1	YIL095W
YBL103C	0.978051133957182	-1	YIL095W
YBR033W	0.980612519848709	-1	YIL095W
YBR049C	0.0920156596684939	-1	YIL095W
YBR083W	0.0235147781843605	-1	YIL095W
YBR112C	0.0849511638479581	1	YIL095W
YBR150C	0.165529068529875	1	YIL095W
YBR182C	0.0114994084030519	1	YIL095W
YBR239C	0.881874732715688	-1	YIL095W
YBR240C	0.753372630651138	1	YIL095W
YBR297W	0.695452767924128	-1	YIL095W
YCL055W	0.0216244548331187	1	YIL095W
YCR065W	0.0296903519702986	-1	YIL095W
YCR084C	0.0148851574534044	1	YIL095W
YCR106W	0.811607049566246	-1	YIL095W
YDL020C	0.880075817611961	-1	YIL095W
YDL048C	0.636749235805537	-1	YIL095W
YDL056W	0.0676103386504536	-1	YIL095W
YDL106C	0.00437742774842089	-1	YIL095W
YDL170W	0.724267371145518	-1	YIL095W
YDR009W	0.877697290871436	-1	YIL095W
YDR026C	0.681360884315742	1	YIL095W
YDR034C	0.223752516147827	-1	YIL095W
YDR043C	0.00316927854301048	-1	YIL095W
YDR049W	0.710694156437313	1	YIL095W
YDR123C	9.26050514855461e-14	-1	YIL095W
YDR146C	0.751193154793214	-1	YIL095W
YDR174W	0.0656586761721319	1	YIL095W
YDR207C	8.20455057830044e-05	-1	YIL095W
YDR213W	0.358913544942966	-1	YIL095W
YDR216W	0.00589641498589258	-1	YIL095W
YDR253C	0.0117611085909616	-1	YIL095W
YDR259C	1.5122079113945e-09	1	YIL095W
YDR266C	0.494868734916417	1	YIL095W
YDR277C	0.048340041799031	-1	YIL095W
YDR310C	0.904685749666063	1	YIL095W
YDR421W	0.0980659588077248	1	YIL095W
YDR423C	0.0150378013932947	1	YIL095W
YDR451C	0.221763956021907	-1	YIL095W
YDR463W	0.585006666957268	-1	YIL095W
YDR501W	0.612044264269938	1	YIL095W
YDR520C	0.967373281165671	1	YIL095W
YEL009C	0.21612621203147	1	YIL095W
YER028C	0.989471377614491	-1	YIL095W
YER040W	0.235048538919499	1	YIL095W
YER045C	0.961130377962081	1	YIL095W
YER051W	0.909236454530487	-1	YIL095W
YER068W	0.450029425572641	1	YIL095W
YER088C	0.00231919161581179	-1	YIL095W
YER109C	4.43596604391746e-05	-1	YIL095W
YER111C	6.21144172504362e-05	-1	YIL095W
YER130C	0.68919911204964	-1	YIL095W
YER161C	0.274593103804939	-1	YIL095W
YER169W	0.173878160128098	1	YIL095W
YER184C	0.906986478189136	1	YIL095W
YFL021W	0.639850461701049	1	YIL095W
YFL031W	0.793583351586826	1	YIL095W
YFL044C	0.999851552996228	1	YIL095W
YFL052W	0.916952386643267	1	YIL095W
YFR034C	0.156587236186449	1	YIL095W
YGL013C	0.335546830881213	1	YIL095W
YGL035C	0.252630862681928	1	YIL095W
YGL071W	0.544921025752778	-1	YIL095W
YGL073W	0.00209855943062033	-1	YIL095W
YGL096W	0.250206225734484	1	YIL095W
YGL131C	0.992463048458744	-1	YIL095W
YGL162W	0.000339795391374839	-1	YIL095W
YGL166W	0.186954164143772	-1	YIL095W
YGL181W	0.509618641993941	-1	YIL095W
YGL192W	0.999973961166191	-1	YIL095W
YGL197W	0.994676299904501	-1	YIL095W
YGL209W	0.762969985297759	1	YIL095W
YGL237C	0.168894886522302	1	YIL095W
YGL252C	0.327561802462637	-1	YIL095W
YGL254W	0.820912881034086	1	YIL095W
YGR044C	0.00083047721912555	1	YIL095W
YGR067C	0.982808841284373	1	YIL095W
YGR089W	0.94455243214363	1	YIL095W
YGR097W	0.993952115541551	-1	YIL095W
YGR249W	0.460486265508323	1	YIL095W
YGR288W	0.204789603395466	-1	YIL095W
YHL009C	0.329104451130013	1	YIL095W
YHL020C	0.115386461002995	-1	YIL095W
YHL027W	0.614409708095814	1	YIL095W
YHR006W	0.996625420345094	-1	YIL095W
YHR084W	3.61410760617367e-11	-1	YIL095W
YHR124W	1.06805908126984e-05	1	YIL095W
YHR178W	0.476570689119942	1	YIL095W
YHR206W	3.76206497721822e-12	-1	YIL095W
YIL036W	0.968787382620631	1	YIL095W
YIL101C	0.0299671035722398	-1	YIL095W
YIL119C	0.837018597750253	1	YIL095W
YIL122W	0.613031599546446	-1	YIL095W
YIL128W	0.997732083258764	-1	YIL095W
YIL131C	1.27290308804822e-08	-1	YIL095W
YIR017C	0.676800171207665	-1	YIL095W
YIR018W	0.00146480311992077	1	YIL095W
YIR023W	0.0194048076900273	1	YIL095W
YIR033W	0.000456757558573727	-1	YIL095W
YJL056C	0.640839760942651	-1	YIL095W
YJL089W	0.87985934064942	-1	YIL095W
YJL103C	0.450691176090921	1	YIL095W
YJL110C	0.998488990153861	-1	YIL095W
YJL127C	0.799335044765618	1	YIL095W
YJL206C	0.940479065205015	-1	YIL095W
YJR060W	0.000836417331400101	-1	YIL095W
YJR094C	0.73057154550435	1	YIL095W
YJR127C	0.876569104964324	1	YIL095W
YJR140C	0.763432833638172	1	YIL095W
YJR147W	0.806473108721523	1	YIL095W
YKL005C	0.36324136016562	1	YIL095W
YKL015W	0.130709911106899	-1	YIL095W
YKL020C	1.70118925659199e-09	1	YIL095W
YKL032C	0.0033884900697826	1	YIL095W
YKL038W	0.661570213653843	1	YIL095W
YKL043W	1.18961965498207e-05	1	YIL095W
YKL062W	2.68333841502246e-06	-1	YIL095W
YKL072W	0.690956571372588	-1	YIL095W
YKL109W	0.734030691594258	1	YIL095W
YKL112W	0.0124855658346535	-1	YIL095W
YKL185W	1.59838582531193e-05	-1	YIL095W
YKL222C	0.999750222063657	1	YIL095W
YKR034W	0.9997510790644	1	YIL095W
YKR064W	0.911022245046249	1	YIL095W
YKR099W	0.688198547874238	1	YIL095W
YLR013W	0.595111095979842	1	YIL095W
YLR014C	0.407426196148496	-1	YIL095W
YLR098C	0.947532323577239	1	YIL095W
YLR131C	0.00845433343511218	1	YIL095W
YLR176C	0.412267185713221	-1	YIL095W
YLR182W	2.52867545350804e-05	-1	YIL095W
YLR183C	0.0984121569535726	-1	YIL095W
YLR228C	0.00925914102934083	-1	YIL095W
YLR256W	9.60324429169523e-08	-1	YIL095W
YLR266C	0.135130883972109	-1	YIL095W
YLR278C	0.681163721736627	1	YIL095W
YLR403W	5.28267517573401e-06	1	YIL095W
YLR451W	0.000903015086799252	1	YIL095W
YML007W	0.00181074773762478	1	YIL095W
YML027W	0.576353352360564	-1	YIL095W
YML051W	0.834070556519341	-1	YIL095W
YML076C	0.847781089447199	1	YIL095W
YML081W	0.519001589926683	-1	YIL095W
YML099C	0.962491875168623	1	YIL095W
YML113W	0.999135615913822	-1	YIL095W
YMR016C	2.00278460096283e-08	1	YIL095W
YMR019W	0.660162669666053	1	YIL095W
YMR021C	0.433351828562117	-1	YIL095W
YMR037C	1.83328840131156e-19	-1	YIL095W
YMR042W	0.0242068360476169	-1	YIL095W
YMR043W	0.0665586390236176	-1	YIL095W
YMR053C	0.919409546150235	1	YIL095W
YMR070W	0.00794580616650785	1	YIL095W
YMR075W	0.535739612135	1	YIL095W
YMR164C	0.626778211050745	1	YIL095W
YMR172W	2.67471133427505e-05	-1	YIL095W
YMR182C	0.813445317419696	1	YIL095W
YMR280C	0.274491782060446	1	YIL095W
YNL027W	0.00748006992583176	-1	YIL095W
YNL068C	1.03775568220119e-14	-1	YIL095W
YNL139C	0.462006042570588	-1	YIL095W
YNL167C	4.83018661301712e-12	-1	YIL095W
YNL199C	0.0530975258703666	1	YIL095W
YNL216W	8.91393163769049e-09	1	YIL095W
YNL257C	0.644169119806581	-1	YIL095W
YNL309W	0.0872686301274569	1	YIL095W
YNL314W	0.197580473152841	1	YIL095W
YNR063W	0.925520268796407	1	YIL095W
