TF	p	sign	KP
YAL051W	0.00238952019906908	1	YJL095W
YBL005W	0.674442282283362	1	YJL095W
YBL008W	0.537145645966162	1	YJL095W
YBL021C	0.0544245660057106	-1	YJL095W
YBL054W	0.85953507751872	1	YJL095W
YBL103C	0.846413765194651	1	YJL095W
YBR033W	0.883768718139598	-1	YJL095W
YBR049C	0.659851808321722	1	YJL095W
YBR083W	0.0029940312487887	-1	YJL095W
YBR112C	0.0831158856810699	1	YJL095W
YBR150C	0.792765225169641	-1	YJL095W
YBR182C	0.852203122601699	1	YJL095W
YBR239C	0.595130088558508	1	YJL095W
YBR240C	0.926402562703409	-1	YJL095W
YBR297W	0.0722204608330189	-1	YJL095W
YCL055W	0.659220773280395	1	YJL095W
YCR065W	0.690323110891355	1	YJL095W
YCR084C	0.182621007342217	1	YJL095W
YCR106W	0.218122630009176	-1	YJL095W
YDL020C	0.998722535922522	1	YJL095W
YDL048C	0.992106851492644	1	YJL095W
YDL056W	0.000157885801525389	-1	YJL095W
YDL106C	0.0436584485324734	-1	YJL095W
YDL170W	0.722044967880368	1	YJL095W
YDR009W	0.95452402426628	-1	YJL095W
YDR026C	0.833655105154529	-1	YJL095W
YDR034C	0.890250809640736	-1	YJL095W
YDR043C	0.000146342752696199	1	YJL095W
YDR049W	0.758616719428133	-1	YJL095W
YDR123C	8.45532577236627e-11	1	YJL095W
YDR146C	0.393893668366662	1	YJL095W
YDR174W	0.866789761697224	-1	YJL095W
YDR207C	0.00093756945179419	-1	YJL095W
YDR213W	0.825915831672418	1	YJL095W
YDR216W	0.188591276222932	-1	YJL095W
YDR253C	0.049459496298024	1	YJL095W
YDR259C	3.68742232728544e-05	-1	YJL095W
YDR266C	0.332891022049603	-1	YJL095W
YDR277C	0.0895911644083041	1	YJL095W
YDR310C	0.998815583157793	-1	YJL095W
YDR421W	0.899414990043355	1	YJL095W
YDR423C	0.0188144111482337	-1	YJL095W
YDR451C	0.782378118013285	1	YJL095W
YDR463W	0.996739361052613	1	YJL095W
YDR501W	0.141085280338735	-1	YJL095W
YDR520C	0.452087467006003	-1	YJL095W
YEL009C	0.285038227166818	1	YJL095W
YER028C	0.999603473129271	1	YJL095W
YER040W	0.00383535473234503	-1	YJL095W
YER045C	0.746142168835941	1	YJL095W
YER051W	0.940961077576193	-1	YJL095W
YER068W	0.616003650745933	1	YJL095W
YER088C	0.0509965595285212	1	YJL095W
YER109C	1.15271187041146e-05	-1	YJL095W
YER111C	3.43387625893412e-06	-1	YJL095W
YER130C	0.671819868752076	1	YJL095W
YER161C	0.987739603972206	1	YJL095W
YER169W	0.989121591709678	-1	YJL095W
YER184C	0.991535345217926	-1	YJL095W
YFL021W	0.604540511933188	-1	YJL095W
YFL031W	0.981677592245562	-1	YJL095W
YFL044C	0.964540006576411	1	YJL095W
YFL052W	0.907124257754622	-1	YJL095W
YFR034C	0.100242949526582	1	YJL095W
YGL013C	0.846435037420878	1	YJL095W
YGL035C	0.683595294032427	-1	YJL095W
YGL071W	0.999991092309456	1	YJL095W
YGL073W	0.00440442395742496	1	YJL095W
YGL096W	0.847243805632425	-1	YJL095W
YGL131C	0.973906568437762	1	YJL095W
YGL162W	0.000587101086994278	1	YJL095W
YGL166W	0.7804165235763	1	YJL095W
YGL181W	0.986944208106665	1	YJL095W
YGL192W	0.984649160198478	-1	YJL095W
YGL197W	0.994954467556127	1	YJL095W
YGL209W	0.951867125601629	1	YJL095W
YGL237C	0.116328778000168	-1	YJL095W
YGL252C	0.0981829620849655	-1	YJL095W
YGL254W	0.790280778813046	-1	YJL095W
YGR044C	0.799369180838307	1	YJL095W
YGR067C	0.641454667573142	-1	YJL095W
YGR089W	0.483832121863706	-1	YJL095W
YGR097W	0.988911549272197	-1	YJL095W
YGR249W	0.280648788886062	-1	YJL095W
YGR288W	0.811006499260017	1	YJL095W
YHL009C	0.478844499892114	1	YJL095W
YHL020C	0.997828758722784	-1	YJL095W
YHL027W	0.0588831246641048	-1	YJL095W
YHR006W	0.959909818507663	-1	YJL095W
YHR084W	1.17061362195027e-08	-1	YJL095W
YHR124W	4.34623587760013e-06	-1	YJL095W
YHR178W	0.398025826151621	-1	YJL095W
YHR206W	2.43999812194773e-08	-1	YJL095W
YIL036W	0.980143006130107	-1	YJL095W
YIL101C	0.00846262106760923	1	YJL095W
YIL119C	0.733022433924466	-1	YJL095W
YIL122W	0.591568843008925	-1	YJL095W
YIL128W	0.999664498037115	-1	YJL095W
YIL131C	4.17639591971665e-05	-1	YJL095W
YIR017C	0.793524568408856	1	YJL095W
YIR018W	0.00357439162513579	1	YJL095W
YIR023W	0.00607424743634342	-1	YJL095W
YIR033W	0.199472508190359	1	YJL095W
YJL056C	0.989397663105294	1	YJL095W
YJL089W	0.99174284658076	1	YJL095W
YJL103C	0.234895841820003	-1	YJL095W
YJL110C	0.999095715335748	1	YJL095W
YJL127C	0.622290120750562	-1	YJL095W
YJL206C	0.993359995293266	-1	YJL095W
YJR060W	0.00834059425791852	1	YJL095W
YJR094C	0.230978437764402	-1	YJL095W
YJR127C	0.474525411820421	-1	YJL095W
YJR140C	0.997138277941049	-1	YJL095W
YJR147W	0.549827566531654	-1	YJL095W
YKL005C	0.778859720924339	-1	YJL095W
YKL015W	0.0671627201250396	1	YJL095W
YKL020C	3.57926067986855e-07	-1	YJL095W
YKL032C	0.00379920609743171	-1	YJL095W
YKL038W	0.799858262848289	1	YJL095W
YKL043W	0.00613559202433097	-1	YJL095W
YKL062W	0.000578337304986387	-1	YJL095W
YKL072W	0.939214782826284	1	YJL095W
YKL109W	0.404220126312583	-1	YJL095W
YKL112W	0.100712593645141	1	YJL095W
YKL185W	2.84296041642483e-09	-1	YJL095W
YKL222C	0.983003168559045	-1	YJL095W
YKR034W	0.994683007462383	1	YJL095W
YKR064W	0.82860354270243	-1	YJL095W
YKR099W	0.630567384932698	1	YJL095W
YLR013W	0.996154485963785	1	YJL095W
YLR014C	0.484385777324301	1	YJL095W
YLR098C	0.784193571356555	-1	YJL095W
YLR131C	0.00279377340208832	1	YJL095W
YLR176C	0.0814026764917449	-1	YJL095W
YLR182W	4.25018256277791e-05	-1	YJL095W
YLR183C	0.537642835532222	-1	YJL095W
YLR228C	0.579933832826797	-1	YJL095W
YLR256W	2.22515550389929e-07	-1	YJL095W
YLR266C	0.205498356170859	1	YJL095W
YLR278C	0.69609346137631	-1	YJL095W
YLR403W	0.921972694575425	-1	YJL095W
YLR451W	0.925585435713856	1	YJL095W
YML007W	0.0105991375192129	1	YJL095W
YML027W	0.491258553771331	-1	YJL095W
YML051W	0.954261662740869	-1	YJL095W
YML076C	0.926415641806879	1	YJL095W
