TF	p	sign	KP
YAL051W	0.00166853277686033	-1	YJL164C
YBL005W	0.568881270679125	-1	YJL164C
YBL008W	0.717159210524652	1	YJL164C
YBL021C	0.181510800508926	-1	YJL164C
YBL054W	0.791055023580022	-1	YJL164C
YBL103C	0.895495857717141	-1	YJL164C
YBR033W	0.465483043844362	-1	YJL164C
YBR049C	0.198742907289914	1	YJL164C
YBR083W	0.253307356750593	1	YJL164C
YBR112C	0.553335259818674	1	YJL164C
YBR150C	0.331532617003812	-1	YJL164C
YBR182C	0.641364717086083	1	YJL164C
YBR239C	0.674393257349798	1	YJL164C
YBR240C	0.891492946166271	-1	YJL164C
YBR297W	0.199616190926232	-1	YJL164C
YCL055W	0.959872533569023	-1	YJL164C
YCR065W	0.383498984795852	1	YJL164C
YCR084C	0.667739487159814	1	YJL164C
YCR106W	0.559261810381084	-1	YJL164C
YDL020C	0.999897264187969	1	YJL164C
YDL048C	0.829482316649201	1	YJL164C
YDL056W	0.0556990023525412	-1	YJL164C
YDL106C	0.0763221620707502	-1	YJL164C
YDL170W	0.534676025136585	-1	YJL164C
YDR009W	0.687261737396638	1	YJL164C
YDR026C	0.964564606965347	1	YJL164C
YDR034C	0.564170920864805	-1	YJL164C
YDR043C	0.122049654740259	-1	YJL164C
YDR049W	0.880433282318391	-1	YJL164C
YDR123C	8.03746639068436e-06	-1	YJL164C
YDR146C	0.532518237043238	1	YJL164C
YDR174W	0.00534425999981428	1	YJL164C
YDR207C	0.00114457779909595	-1	YJL164C
YDR213W	0.867183250254684	1	YJL164C
YDR216W	0.144721822855029	-1	YJL164C
YDR253C	0.0457251627497783	-1	YJL164C
YDR259C	8.77495449567912e-07	-1	YJL164C
YDR266C	0.794614815490383	-1	YJL164C
YDR277C	0.000987871350622859	1	YJL164C
YDR310C	0.998806488384071	1	YJL164C
YDR421W	0.871948118118908	1	YJL164C
YDR423C	0.0342261162817736	-1	YJL164C
YDR451C	0.427195961608402	-1	YJL164C
YDR463W	0.992456968863722	-1	YJL164C
YDR501W	0.0437345521946182	-1	YJL164C
YDR520C	0.85456584571103	1	YJL164C
YEL009C	0.0290786477772811	-1	YJL164C
YER028C	0.998865823703092	1	YJL164C
YER040W	0.191371109002369	-1	YJL164C
YER045C	0.744975511901034	-1	YJL164C
YER051W	0.876338265119694	-1	YJL164C
YER068W	0.594847394255506	1	YJL164C
YER088C	0.00794862576726211	-1	YJL164C
YER109C	0.00986185469965666	-1	YJL164C
YER111C	0.000152076474308824	1	YJL164C
YER130C	0.868635777499158	-1	YJL164C
YER161C	0.857861753181482	1	YJL164C
