TF	p	sign	KP
YAL051W	3.26352223934584e-06	-1	YJR066W
YBL005W	0.0414283705957472	-1	YJR066W
YBL008W	0.920727357722079	1	YJR066W
YBL021C	0.680564402566396	1	YJR066W
YBL054W	0.969066739991051	1	YJR066W
YBL103C	0.243806117674009	1	YJR066W
YBR033W	0.538190454956841	1	YJR066W
YBR049C	0.0316956445020425	-1	YJR066W
YBR083W	0.217892349601029	-1	YJR066W
YBR112C	0.535469890408459	1	YJR066W
YBR150C	0.28864339885904	1	YJR066W
YBR182C	0.959567306883567	-1	YJR066W
YBR239C	0.585543770528857	-1	YJR066W
YBR240C	0.355881937538576	-1	YJR066W
YBR297W	0.704517947767491	-1	YJR066W
YCL055W	0.0500691163317363	-1	YJR066W
YCR065W	0.49323191978536	1	YJR066W
YCR084C	0.794763761806134	1	YJR066W
YCR106W	0.450954798624698	1	YJR066W
YDL020C	0.852843366858079	-1	YJR066W
YDL048C	0.961845348778037	1	YJR066W
YDL056W	0.0149708869937236	-1	YJR066W
YDL106C	0.0203053967215529	-1	YJR066W
YDL170W	0.886014362317207	1	YJR066W
YDR009W	0.725167109800279	1	YJR066W
YDR026C	0.455117370454969	1	YJR066W
YDR034C	0.184890193146862	1	YJR066W
YDR043C	0.213027014821317	1	YJR066W
YDR049W	0.840924946764224	1	YJR066W
YDR123C	6.00992728797402e-09	-1	YJR066W
YDR146C	0.878661265810737	-1	YJR066W
YDR174W	0.0146807461750732	1	YJR066W
YDR207C	0.00015797489932369	-1	YJR066W
YDR213W	0.829078677293273	1	YJR066W
YDR216W	0.129040466966705	-1	YJR066W
YDR253C	0.000274698880514982	1	YJR066W
YDR259C	2.15055783405547e-08	-1	YJR066W
YDR266C	0.499502600155399	1	YJR066W
YDR277C	0.330312948420731	-1	YJR066W
YDR310C	0.977693302562287	-1	YJR066W
YDR421W	0.97166519779894	1	YJR066W
YDR423C	2.158668976674e-05	1	YJR066W
YDR451C	0.249914567960199	-1	YJR066W
YDR463W	0.77068252593968	1	YJR066W
YDR501W	0.197206684339471	1	YJR066W
YDR520C	0.286448590657791	1	YJR066W
YEL009C	0.00254879344874915	1	YJR066W
YER028C	0.998720692556732	1	YJR066W
YER040W	0.120202090459115	1	YJR066W
YER045C	0.913281326023657	1	YJR066W
YER051W	0.756409693975299	1	YJR066W
YER068W	0.844056700653364	1	YJR066W
YER088C	0.506056535199095	1	YJR066W
YER109C	0.0221746582025383	1	YJR066W
YER111C	0.000863662604082021	-1	YJR066W
YER130C	0.883873113807712	1	YJR066W
YER161C	0.982201620657736	1	YJR066W
YER169W	0.890695518356292	1	YJR066W
YER184C	0.999885708123892	1	YJR066W
YFL021W	0.25416908970016	1	YJR066W
YFL031W	0.995616406618431	1	YJR066W
YFL044C	0.999150862098734	1	YJR066W
YFL052W	0.786871159849684	-1	YJR066W
YFR034C	0.302699612640739	-1	YJR066W
YGL013C	0.62408489773755	-1	YJR066W
YGL035C	0.953440463706502	-1	YJR066W
YGL071W	0.470347909862524	-1	YJR066W
YGL073W	0.0036814703353766	-1	YJR066W
YGL096W	0.929014285735508	-1	YJR066W
YGL131C	0.989067098303315	-1	YJR066W
YGL162W	0.0185197281420632	-1	YJR066W
YGL166W	0.771752102690884	-1	YJR066W
YGL181W	0.786156824640379	-1	YJR066W
YGL192W	0.996411135940395	1	YJR066W
YGL197W	0.930079791979519	1	YJR066W
YGL209W	0.992942393601027	1	YJR066W
YGL237C	0.100839329663598	1	YJR066W
YGL252C	0.606193418562341	1	YJR066W
YGL254W	0.553428638327088	1	YJR066W
YGR044C	0.604982076757969	1	YJR066W
YGR067C	0.60362381710232	1	YJR066W
YGR089W	0.302943542978557	-1	YJR066W
YGR097W	0.986956637941599	1	YJR066W
YGR249W	0.213132692739656	1	YJR066W
YGR288W	0.986720411681374	-1	YJR066W
YHL009C	0.682353759057717	1	YJR066W
YHL020C	0.683607063267179	1	YJR066W
YHL027W	0.160702602953959	-1	YJR066W
YHR006W	0.938663441029638	1	YJR066W
YHR084W	8.73773491067975e-11	-1	YJR066W
YHR124W	1.20366411444833e-08	-1	YJR066W
YHR178W	0.0084141200842134	-1	YJR066W
YHR206W	5.70836332270065e-09	-1	YJR066W
YIL036W	0.98553790068265	1	YJR066W
YIL101C	0.0861009604049457	-1	YJR066W
YIL119C	0.812662529128379	1	YJR066W
YIL122W	0.534888454662263	-1	YJR066W
YIL128W	0.999069737760645	1	YJR066W
YIL131C	0.000306856004605385	-1	YJR066W
YIR017C	0.783198672371962	-1	YJR066W
YIR018W	0.169843465481791	-1	YJR066W
YIR023W	0.000427125625352594	-1	YJR066W
YIR033W	0.559567290387979	-1	YJR066W
YJL056C	0.669843557249643	1	YJR066W
YJL089W	0.883552901359731	-1	YJR066W
YJL103C	0.677044886921061	-1	YJR066W
YJL110C	0.999472727033783	1	YJR066W
YJL127C	0.796707276982832	1	YJR066W
YJL206C	0.890927449071148	1	YJR066W
YJR060W	0.00410053096083699	1	YJR066W
YJR094C	0.0171446947524107	1	YJR066W
YJR127C	0.758605482091799	1	YJR066W
YJR140C	0.996735084615097	1	YJR066W
YJR147W	0.978185918454096	1	YJR066W
YKL005C	0.989716239292814	1	YJR066W
YKL015W	0.369609718712326	-1	YJR066W
YKL020C	2.30701287446301e-06	-1	YJR066W
YKL032C	0.00759098002393068	-1	YJR066W
YKL038W	0.765409474682757	-1	YJR066W
YKL043W	0.0542451671813637	-1	YJR066W
YKL062W	1.9546617732171e-05	-1	YJR066W
YKL072W	0.828999816068968	1	YJR066W
YKL109W	0.99945321559445	1	YJR066W
YKL112W	0.0106039818923868	1	YJR066W
YKL185W	1.28180924308779e-06	-1	YJR066W
YKL222C	0.84682421646895	-1	YJR066W
YKR034W	0.959260680755206	1	YJR066W
YKR064W	0.980465020462063	1	YJR066W
YKR099W	0.99464487623614	1	YJR066W
YLR013W	0.994299235974042	-1	YJR066W
YLR014C	0.558324373581146	1	YJR066W
YLR098C	0.82023873998958	-1	YJR066W
YLR131C	0.0451897786401737	-1	YJR066W
YLR176C	0.310171181004315	1	YJR066W
YLR182W	0.000479215493517798	-1	YJR066W
YLR183C	0.0423479108624842	1	YJR066W
YLR228C	0.429333711356033	1	YJR066W
YLR256W	1.25687658972997e-05	-1	YJR066W
YLR266C	0.171742299011929	1	YJR066W
YLR278C	0.918326852655158	1	YJR066W
YLR403W	0.0855009173738545	-1	YJR066W
YLR451W	0.517862493714361	-1	YJR066W
YML007W	2.52392529615906e-06	-1	YJR066W
YML027W	0.793069422307589	1	YJR066W
YML051W	0.906112026930791	1	YJR066W
YML076C	0.838759571371489	-1	YJR066W
