TF	p	sign	KP
YAL051W	0.000707789869413405	-1	YKL025C
YBL005W	0.271539272977709	1	YKL025C
YBL008W	0.409666650966037	1	YKL025C
YBL021C	0.229986155503908	1	YKL025C
YBL054W	0.348241478109442	1	YKL025C
YBL103C	0.739592316111614	1	YKL025C
YBR033W	0.710471641730068	1	YKL025C
YBR049C	0.256115186937437	1	YKL025C
YBR083W	0.525972578834572	-1	YKL025C
YBR112C	0.108071681908004	-1	YKL025C
YBR150C	0.0190286172424529	1	YKL025C
YBR182C	0.676278616928014	-1	YKL025C
YBR239C	0.24239909222621	1	YKL025C
YBR240C	0.702871636985107	1	YKL025C
YBR297W	0.290559040032361	-1	YKL025C
YCL055W	0.846959772020118	-1	YKL025C
YCR065W	0.110003845403159	-1	YKL025C
YCR084C	0.885319419450394	-1	YKL025C
YCR106W	0.101141378049232	1	YKL025C
YDL020C	0.219478980455309	1	YKL025C
YDL048C	0.955378370467094	-1	YKL025C
YDL056W	0.22311975979388	1	YKL025C
YDL106C	0.00292472074158619	-1	YKL025C
YDL170W	0.774656601767559	1	YKL025C
YDR009W	0.962112116021599	1	YKL025C
YDR026C	0.990690809951909	1	YKL025C
YDR034C	0.159987645282911	-1	YKL025C
YDR043C	0.017221482469898	-1	YKL025C
YDR049W	0.452780235331501	1	YKL025C
YDR123C	2.9245445320339e-08	-1	YKL025C
YDR146C	0.844330491377751	-1	YKL025C
YDR174W	0.020517158534576	1	YKL025C
YDR207C	0.0514544919595849	-1	YKL025C
YDR213W	0.456827656417945	1	YKL025C
YDR216W	0.650644422687902	-1	YKL025C
YDR253C	0.000331794355794164	-1	YKL025C
YDR259C	0.000337851642076222	-1	YKL025C
YDR266C	0.574993828224245	1	YKL025C
YDR277C	8.48825024724302e-06	-1	YKL025C
YDR310C	0.99788011492493	1	YKL025C
YDR421W	0.569355389955508	-1	YKL025C
YDR423C	0.0380869597741844	1	YKL025C
YDR451C	0.588467137876922	1	YKL025C
YDR463W	0.424358765381686	1	YKL025C
YDR501W	0.889831573284849	-1	YKL025C
YDR520C	0.981581761737967	-1	YKL025C
YEL009C	0.524472768395934	1	YKL025C
YER028C	0.972168609530524	1	YKL025C
YER040W	0.759777938434551	-1	YKL025C
YER045C	0.332776535729004	1	YKL025C
YER051W	0.838902652530677	1	YKL025C
YER068W	0.910642325404018	1	YKL025C
YER088C	0.136186065346045	-1	YKL025C
YER109C	0.14953885731193	-1	YKL025C
YER111C	0.000608218493563672	-1	YKL025C
YER130C	0.408331047604419	1	YKL025C
YER161C	0.953470822874325	1	YKL025C
YER169W	0.182716634391698	-1	YKL025C
YER184C	0.998148890449895	1	YKL025C
YFL021W	0.0494417394650879	1	YKL025C
YFL031W	0.709337369103283	-1	YKL025C
YFL044C	0.995516576337852	1	YKL025C
YFL052W	0.960388516056932	1	YKL025C
YFR034C	0.142036416963248	-1	YKL025C
YGL013C	0.302121640855915	1	YKL025C
YGL035C	0.544574036085772	1	YKL025C
YGL071W	0.609886479581112	1	YKL025C
YGL073W	0.0189312210557581	-1	YKL025C
YGL096W	0.689203183543776	-1	YKL025C
YGL131C	0.999195339690156	-1	YKL025C
YGL162W	0.0128999572560409	-1	YKL025C
YGL166W	0.160297828675525	-1	YKL025C
YGL181W	0.896842501795342	1	YKL025C
YGL192W	0.591228733151168	1	YKL025C
YGL197W	0.463295028057301	1	YKL025C
YGL209W	0.916328846610569	1	YKL025C
YGL237C	0.491581108949945	-1	YKL025C
YGL252C	0.276835462738681	-1	YKL025C
YGL254W	0.863507193300344	1	YKL025C
YGR044C	0.47224518037867	1	YKL025C
YGR067C	0.878899358064961	1	YKL025C
YGR089W	0.792891905340728	1	YKL025C
YGR097W	0.886300494983009	1	YKL025C
YGR249W	0.108767570141153	1	YKL025C
YGR288W	0.784228814774328	-1	YKL025C
YHL009C	0.778043570467318	1	YKL025C
YHL020C	0.876906830381247	-1	YKL025C
YHL027W	0.282750164945812	1	YKL025C
YHR006W	0.968559433046743	1	YKL025C
YHR084W	3.33631795803122e-05	-1	YKL025C
YHR124W	1.54823789170843e-06	-1	YKL025C
YHR178W	0.00408775502782506	1	YKL025C
YHR206W	1.57919819152308e-06	-1	YKL025C
YIL036W	0.816323275174365	1	YKL025C
YIL101C	0.248170411320372	-1	YKL025C
YIL119C	0.865105901929234	1	YKL025C
YIL122W	0.26737122871705	1	YKL025C
YIL128W	0.998919265060227	1	YKL025C
YIL131C	1.15598539303416e-05	-1	YKL025C
YIR017C	0.871871727932879	1	YKL025C
YIR018W	0.574479666732135	-1	YKL025C
YIR023W	0.229996039959673	-1	YKL025C
YIR033W	0.0308798668454359	-1	YKL025C
YJL056C	0.77946213674694	1	YKL025C
YJL089W	0.70360676424013	1	YKL025C
YJL103C	0.0788560388585418	-1	YKL025C
YJL110C	0.902805126301617	1	YKL025C
YJL127C	0.811805186858077	1	YKL025C
YJL206C	0.816546002921028	1	YKL025C
YJR060W	0.00286141662017675	-1	YKL025C
YJR094C	0.569508135771229	1	YKL025C
YJR127C	0.481661440124659	-1	YKL025C
YJR140C	0.955759973125547	1	YKL025C
YJR147W	0.762521138539992	1	YKL025C
YKL005C	0.946321908932724	1	YKL025C
YKL015W	0.241888618399359	-1	YKL025C
YKL020C	7.66353481805699e-05	-1	YKL025C
YKL032C	0.00312258063402537	-1	YKL025C
YKL038W	0.538516186681415	1	YKL025C
YKL043W	0.0996088060224732	-1	YKL025C
YKL062W	0.00348742899985887	-1	YKL025C
YKL072W	0.805597794298179	1	YKL025C
YKL109W	0.488352200191003	1	YKL025C
YKL112W	0.530680568235092	-1	YKL025C
YKL185W	7.09847432381534e-06	-1	YKL025C
YKL222C	0.740402101647213	1	YKL025C
YKR034W	0.983697580149079	1	YKL025C
YKR064W	0.986963344181018	1	YKL025C
YKR099W	0.969925867748297	1	YKL025C
YLR013W	0.927980346727529	-1	YKL025C
YLR014C	0.0855310673941671	-1	YKL025C
YLR098C	0.997514323834162	1	YKL025C
YLR131C	0.0253256692973533	-1	YKL025C
YLR176C	0.262499668780032	-1	YKL025C
YLR182W	0.000632027919565483	-1	YKL025C
YLR183C	0.186042261619366	-1	YKL025C
YLR228C	0.441518250684865	-1	YKL025C
YLR256W	0.00785795892245737	-1	YKL025C
YLR266C	0.245818495662243	-1	YKL025C
YLR278C	0.702879331264533	-1	YKL025C
YLR403W	0.040488240945183	1	YKL025C
YLR451W	0.816778024987399	1	YKL025C
YML007W	0.0270648968014468	1	YKL025C
YML027W	0.767015892660649	1	YKL025C
YML051W	0.955454424646801	1	YKL025C
YML076C	0.997277925376178	1	YKL025C
YML081W	0.788481729889068	-1	YKL025C
YML099C	0.478438533613823	1	YKL025C
YML113W	0.999994364760804	1	YKL025C
YMR016C	0.0729673403831199	-1	YKL025C
YMR019W	0.786832649738693	1	YKL025C
YMR021C	0.654205370067995	-1	YKL025C
YMR037C	2.53075672923551e-08	-1	YKL025C
YMR042W	0.0574168357393912	1	YKL025C
YMR043W	0.000433530461496886	-1	YKL025C
YMR053C	0.630456779215788	1	YKL025C
YMR070W	0.431033179700561	-1	YKL025C
YMR075W	0.987837771149734	1	YKL025C
YMR164C	0.108438281821957	-1	YKL025C
YMR172W	0.00023870833161026	-1	YKL025C
YMR182C	0.95744760115875	-1	YKL025C
YMR280C	0.965228107926376	-1	YKL025C
YNL027W	0.00509575216313143	-1	YKL025C
YNL068C	4.28753773121063e-06	-1	YKL025C
YNL139C	0.305398799795242	1	YKL025C
YNL167C	0.00360478502193347	-1	YKL025C
YNL199C	0.415486704323451	-1	YKL025C
YNL216W	0.0174094733072107	-1	YKL025C
YNL257C	0.963085741197898	1	YKL025C
YNL309W	0.0665465981614368	-1	YKL025C
YNL314W	0.265844910974163	1	YKL025C
YNR063W	0.979213751453564	1	YKL025C
YOL028C	0.47855651038448	1	YKL025C
YOL067C	0.409191630196401	1	YKL025C
YOL089C	0.775151933162038	1	YKL025C
YOL108C	8.76637904526843e-09	-1	YKL025C
YOL116W	0.472907217816627	-1	YKL025C
YOR028C	0.0321278235213022	-1	YKL025C
YOR032C	0.824193815728448	1	YKL025C
YOR038C	0.751902595786124	1	YKL025C
YOR113W	0.30996341469442	-1	YKL025C
YOR140W	0.279032916907674	1	YKL025C
YOR162C	0.060040715244575	-1	YKL025C
YOR229W	0.736434258156444	1	YKL025C
YOR230W	0.879967649834197	1	YKL025C
