TF	p	sign	KP
YAL051W	0.00311049888351888	1	YKL139W
YBL005W	0.516155535248772	-1	YKL139W
YBL008W	0.542767210551572	-1	YKL139W
YBL021C	0.415581519389439	-1	YKL139W
YBL054W	0.37686642154876	1	YKL139W
YBL103C	0.28576571217559	1	YKL139W
YBR033W	0.74858260836429	1	YKL139W
YBR049C	0.999870620132497	-1	YKL139W
YBR083W	0.00195281425053456	1	YKL139W
YBR112C	0.0942303637978286	-1	YKL139W
YBR150C	0.346931919079421	-1	YKL139W
YBR182C	0.000990065395373508	-1	YKL139W
YBR239C	0.388838514270627	-1	YKL139W
YBR240C	0.454451717506213	1	YKL139W
YBR297W	0.542144839727872	1	YKL139W
YCL055W	0.134436373571899	1	YKL139W
YCR065W	0.506508252641218	1	YKL139W
YCR084C	0.113741578064371	-1	YKL139W
YCR106W	0.206379286751024	-1	YKL139W
YDL020C	0.25680457756602	1	YKL139W
YDL048C	0.0628179103803889	1	YKL139W
YDL056W	0.579735376286284	1	YKL139W
YDL106C	0.029968858029273	1	YKL139W
YDL170W	0.173307553089933	1	YKL139W
YDR009W	0.528204489367852	1	YKL139W
YDR026C	0.414381623669038	-1	YKL139W
YDR034C	0.0909513569400181	1	YKL139W
YDR043C	0.00247184382655494	-1	YKL139W
YDR049W	0.60012054043952	1	YKL139W
YDR123C	9.77829640885727e-05	-1	YKL139W
YDR146C	0.228617316075222	1	YKL139W
YDR174W	0.135119336589058	-1	YKL139W
YDR207C	0.0208543331902445	1	YKL139W
YDR213W	0.416810445590296	-1	YKL139W
YDR216W	0.0243267825732341	1	YKL139W
YDR253C	0.000492799534041698	1	YKL139W
YDR259C	3.30472959659472e-08	-1	YKL139W
YDR266C	0.248901778598019	-1	YKL139W
YDR277C	0.413121704792906	1	YKL139W
YDR310C	0.625525334679175	-1	YKL139W
YDR421W	0.342994830812981	-1	YKL139W
YDR423C	5.44246500156535e-06	1	YKL139W
YDR451C	0.195298695078839	1	YKL139W
YDR463W	0.377875487470259	1	YKL139W
YDR501W	0.211419106514783	-1	YKL139W
YDR520C	0.572991194249156	-1	YKL139W
YEL009C	6.88516235802159e-05	1	YKL139W
YER028C	0.298196443347981	1	YKL139W
YER040W	0.0311325058394171	1	YKL139W
YER045C	0.626623442577973	-1	YKL139W
YER051W	0.513291222212409	-1	YKL139W
YER068W	0.969296783923828	-1	YKL139W
YER088C	0.0634685614542217	-1	YKL139W
YER109C	0.195671842625529	-1	YKL139W
YER111C	0.010153488874989	1	YKL139W
YER130C	0.490255051436208	1	YKL139W
YER161C	0.491235638183537	-1	YKL139W
YER169W	0.10147132471928	1	YKL139W
YER184C	0.981172994392331	1	YKL139W
YFL021W	0.128015340126665	1	YKL139W
YFL031W	0.737225770727318	1	YKL139W
YFL044C	0.92778971891659	-1	YKL139W
YFL052W	0.383825853074924	-1	YKL139W
YFR034C	0.401917502055975	1	YKL139W
YGL013C	0.26589233538905	1	YKL139W
YGL035C	0.232075852746046	1	YKL139W
YGL071W	0.525345854792245	1	YKL139W
YGL073W	0.00408340804811543	1	YKL139W
YGL096W	0.048139970161177	1	YKL139W
YGL131C	0.30010757914835	1	YKL139W
YGL162W	0.000276455988002875	1	YKL139W
YGL166W	0.960311984263918	1	YKL139W
YGL181W	0.249365484730994	1	YKL139W
YGL192W	0.544559923482483	-1	YKL139W
YGL197W	0.130497552831213	1	YKL139W
YGL209W	0.645035397784884	1	YKL139W
YGL237C	0.779057161282784	1	YKL139W
YGL252C	0.691112098710016	1	YKL139W
YGL254W	0.423189920743622	-1	YKL139W
YGR044C	0.0141400012816997	-1	YKL139W
YGR067C	0.718583676944349	-1	YKL139W
YGR089W	0.981861765585519	-1	YKL139W
YGR097W	0.459928751390595	-1	YKL139W
YGR249W	0.247159713141087	-1	YKL139W
YGR288W	0.141163928716255	1	YKL139W
YHL009C	0.305843577610857	1	YKL139W
YHL020C	0.0927949093016565	-1	YKL139W
YHL027W	0.00867430225417841	1	YKL139W
YHR006W	0.844472857625325	-1	YKL139W
YHR084W	2.63206069505554e-11	1	YKL139W
YHR124W	0.000195287239005471	1	YKL139W
YHR178W	0.301717698711534	-1	YKL139W
YHR206W	5.57862338170268e-07	1	YKL139W
YIL036W	0.240672499660669	1	YKL139W
YIL101C	0.000628765766898588	1	YKL139W
YIL119C	0.844403672261511	-1	YKL139W
YIL122W	0.83413420893609	1	YKL139W
YIL128W	0.477715311286575	1	YKL139W
YIL131C	0.182252022449445	-1	YKL139W
YIR017C	0.850819540959472	1	YKL139W
YIR018W	0.00638560890436941	1	YKL139W
YIR023W	0.02816842132725	1	YKL139W
YIR033W	0.290563288840155	-1	YKL139W
YJL056C	0.152454846884743	-1	YKL139W
YJL089W	0.799138573587235	-1	YKL139W
YJL103C	0.556986822509878	-1	YKL139W
YJL110C	0.196844341022166	1	YKL139W
YJL127C	0.277279381998542	-1	YKL139W
YJL206C	0.947565152399879	1	YKL139W
YJR060W	0.0937505420890433	-1	YKL139W
YJR094C	0.200497340553611	-1	YKL139W
YJR127C	0.976974434824651	-1	YKL139W
YJR140C	0.26787542898129	-1	YKL139W
YJR147W	0.650307044312146	1	YKL139W
YKL005C	0.985465461045084	-1	YKL139W
YKL015W	0.0574535972367772	1	YKL139W
YKL020C	3.70201721625555e-10	1	YKL139W
YKL032C	0.0249724886540647	1	YKL139W
YKL038W	0.536545586784351	-1	YKL139W
YKL043W	0.0921312082283635	1	YKL139W
YKL062W	1.46856026842191e-07	1	YKL139W
YKL072W	0.149532052578634	-1	YKL139W
YKL109W	0.956028995105926	1	YKL139W
YKL112W	0.999618000940511	-1	YKL139W
YKL185W	0.0519321325505585	1	YKL139W
YKL222C	0.998254977339519	1	YKL139W
YKR034W	0.178227753945874	1	YKL139W
YKR064W	0.674467232358463	-1	YKL139W
YKR099W	0.267366703723966	-1	YKL139W
YLR013W	0.455609260338793	-1	YKL139W
YLR014C	0.303885387229566	-1	YKL139W
YLR098C	0.362208107888789	-1	YKL139W
YLR131C	0.832645867729689	1	YKL139W
YLR176C	0.0480682531820373	1	YKL139W
YLR182W	0.21103147614495	1	YKL139W
YLR183C	0.435965736281064	-1	YKL139W
YLR228C	0.199766964094659	-1	YKL139W
YLR256W	0.385459186590229	1	YKL139W
YLR266C	0.370927480679934	-1	YKL139W
YLR278C	0.767967648417115	-1	YKL139W
YLR403W	0.00550030966122727	-1	YKL139W
YLR451W	0.108895552883551	-1	YKL139W
YML007W	0.000100544881314033	-1	YKL139W
YML027W	0.208739262185212	1	YKL139W
YML051W	0.675471312084156	-1	YKL139W
YML076C	0.179660659542791	-1	YKL139W
YML081W	0.620973928917265	-1	YKL139W
YML099C	0.503139484797226	-1	YKL139W
YML113W	0.875878320870808	1	YKL139W
YMR016C	1.00528386533168e-07	1	YKL139W
YMR019W	0.870362468851053	-1	YKL139W
YMR021C	0.799167241275817	-1	YKL139W
YMR037C	1.83411331733365e-08	1	YKL139W
YMR042W	0.378431350396435	-1	YKL139W
YMR043W	0.0979654440868247	1	YKL139W
YMR053C	0.688325942818053	1	YKL139W
YMR070W	0.415744445334381	1	YKL139W
YMR075W	0.921792315643833	1	YKL139W
YMR164C	0.580655221391416	-1	YKL139W
YMR172W	6.66792809396272e-07	1	YKL139W
YMR182C	0.697530475906579	1	YKL139W
YMR280C	0.862040188283859	-1	YKL139W
YNL027W	0.00208252629512588	1	YKL139W
YNL068C	0.0177044954076264	-1	YKL139W
YNL139C	0.179038851394243	-1	YKL139W
YNL167C	9.83323192466235e-05	1	YKL139W
YNL199C	0.23397699259397	-1	YKL139W
YNL216W	8.0138610132549e-05	-1	YKL139W
YNL257C	0.416708525698203	-1	YKL139W
YNL309W	0.0983713112167237	1	YKL139W
YNL314W	0.10854049274436	1	YKL139W
YNR063W	0.726223029796348	-1	YKL139W
YOL028C	0.0247308833042301	1	YKL139W
YOL067C	0.01435348417859	1	YKL139W
YOL089C	0.429650767210622	-1	YKL139W
YOL108C	0.000137944279361065	-1	YKL139W
YOL116W	0.0032385480620936	-1	YKL139W
YOR028C	4.00212688762604e-07	1	YKL139W
YOR032C	0.573243201341553	-1	YKL139W
YOR038C	0.252523116387322	-1	YKL139W
YOR113W	0.0718625226801945	-1	YKL139W
YOR140W	0.313641950671586	-1	YKL139W
YOR162C	0.138218757777914	-1	YKL139W
YOR229W	0.921343460530622	-1	YKL139W
YOR230W	0.506831933856734	1	YKL139W
YOR337W	0.111658938329301	1	YKL139W
YOR344C	0.464307836240776	1	YKL139W
YOR358W	0.652451715534755	-1	YKL139W
YOR363C	0.0253761285625591	1	YKL139W
YOR380W	0.740108700057611	-1	YKL139W
YPL038W	0.0358691095670488	-1	YKL139W
YPL049C	0.536699305986131	1	YKL139W
YPL075W	0.824916802268826	-1	YKL139W
YPL089C	0.23291515882831	1	YKL139W
YPL133C	0.00806330130164253	1	YKL139W
YPL139C	0.322161881953869	1	YKL139W
YPL177C	0.0863656750624956	-1	YKL139W
YPL202C	0.489503968176194	1	YKL139W
YPL230W	0.326784255176245	-1	YKL139W
YPL248C	0.812013620521961	-1	YKL139W
YPR008W	0.266796260030546	1	YKL139W
YPR009W	0.0271585162848393	-1	YKL139W
YPR022C	0.578335797855499	-1	YKL139W
YPR065W	0.00502662247577125	-1	YKL139W
YPR196W	0.196243109050238	1	YKL139W
YPR199C	0.42016797706084	1	YKL139W
