TF	p	sign	KP
YAL051W	1.20628249466859e-06	-1	YLL010C
YBL005W	0.442679723284402	1	YLL010C
YBL008W	0.398780333225771	1	YLL010C
YBL021C	0.328619064367613	-1	YLL010C
YBL054W	0.232845882597841	1	YLL010C
YBL103C	0.874411517151724	1	YLL010C
YBR033W	0.905774097254414	1	YLL010C
YBR049C	0.196791056742011	1	YLL010C
YBR083W	0.0309788090197741	-1	YLL010C
YBR112C	0.00337476851972116	1	YLL010C
YBR150C	0.63286344374772	-1	YLL010C
YBR182C	0.642372334405256	1	YLL010C
YBR239C	0.592616530617488	1	YLL010C
YBR240C	0.976374584328768	1	YLL010C
YBR297W	0.327099003916398	-1	YLL010C
YCL055W	0.143818308213431	1	YLL010C
YCR065W	0.030292927459704	1	YLL010C
YCR084C	0.21257845514084	1	YLL010C
YCR106W	0.945086212153761	1	YLL010C
YDL020C	0.999565500807197	1	YLL010C
YDL048C	0.93422040810692	1	YLL010C
YDL056W	0.00258049039443193	-1	YLL010C
YDL106C	0.00125407754508942	-1	YLL010C
YDL170W	0.994417725845317	1	YLL010C
YDR009W	0.969562866237147	1	YLL010C
YDR026C	0.375103811872161	1	YLL010C
YDR034C	0.4338456988848	1	YLL010C
YDR043C	1.04564928965506e-05	-1	YLL010C
YDR049W	0.999476103930231	1	YLL010C
YDR123C	1.68735193663019e-15	-1	YLL010C
YDR146C	0.834652122754108	-1	YLL010C
YDR174W	0.34633950856071	-1	YLL010C
YDR207C	9.95096253120515e-05	-1	YLL010C
YDR213W	0.99852469874089	1	YLL010C
YDR216W	0.0325227711484799	-1	YLL010C
YDR253C	0.000338275555287184	1	YLL010C
YDR259C	6.75028370233414e-11	-1	YLL010C
YDR266C	0.981617169593985	1	YLL010C
YDR277C	0.00149181318989381	-1	YLL010C
YDR310C	0.946003398265458	1	YLL010C
YDR421W	0.73205409512143	1	YLL010C
YDR423C	0.0126946669846938	1	YLL010C
YDR451C	0.632573280536267	1	YLL010C
YDR463W	0.94858825000018	-1	YLL010C
YDR501W	0.258772550949053	-1	YLL010C
YDR520C	0.710721974432863	-1	YLL010C
YEL009C	0.000541455504694785	1	YLL010C
YER028C	0.999959655205811	1	YLL010C
YER040W	0.053067191785022	-1	YLL010C
YER045C	0.73768051785073	1	YLL010C
YER051W	0.965538033259845	1	YLL010C
YER068W	0.130471078276077	1	YLL010C
YER088C	0.0681897420548747	-1	YLL010C
YER109C	8.78224694184387e-07	-1	YLL010C
YER111C	2.29491705501417e-05	-1	YLL010C
YER130C	0.998436541476457	1	YLL010C
YER161C	0.303575284572075	1	YLL010C
YER169W	0.980239748794141	-1	YLL010C
YER184C	0.981954730974216	1	YLL010C
YFL021W	0.737925025357891	-1	YLL010C
YFL031W	0.984003198022471	-1	YLL010C
YFL044C	0.898321526307314	1	YLL010C
YFL052W	0.965328951270138	1	YLL010C
YFR034C	0.000440547250591403	1	YLL010C
YGL013C	0.872382910713863	-1	YLL010C
YGL035C	0.420844981909121	1	YLL010C
YGL071W	0.841637235569047	1	YLL010C
YGL073W	0.024248308949255	1	YLL010C
YGL096W	0.194090004029639	-1	YLL010C
YGL131C	0.950181480463427	1	YLL010C
YGL162W	0.000698742607992965	1	YLL010C
YGL166W	0.685510921667774	1	YLL010C
YGL181W	0.88290034163317	1	YLL010C
YGL192W	0.97855741404728	1	YLL010C
YGL197W	0.994070646227428	1	YLL010C
YGL209W	0.994828355268165	1	YLL010C
YGL237C	0.0297277015349251	-1	YLL010C
YGL252C	0.0467705845585998	-1	YLL010C
YGL254W	0.998685913386253	1	YLL010C
YGR044C	0.455051585644466	-1	YLL010C
YGR067C	0.991083603270791	-1	YLL010C
YGR089W	0.982461329979322	1	YLL010C
YGR097W	0.984985900474939	1	YLL010C
YGR249W	0.356023261813631	-1	YLL010C
YGR288W	0.603661121163029	-1	YLL010C
YHL009C	0.911458681866968	1	YLL010C
YHL020C	0.99188687358359	-1	YLL010C
