TF	p	sign	KP
YAL051W	0.000931062804854053	1	YLR096W
YBL005W	0.761897383652315	1	YLR096W
YBL008W	0.252208466763239	1	YLR096W
YBL021C	0.554786147900819	-1	YLR096W
YBL054W	0.963556366395672	-1	YLR096W
YBL103C	0.579674233896421	-1	YLR096W
YBR033W	0.477866593011271	-1	YLR096W
YBR049C	0.114655503530152	-1	YLR096W
YBR083W	0.135482032203962	-1	YLR096W
YBR112C	0.350109966430014	1	YLR096W
YBR150C	0.1663821927763	-1	YLR096W
YBR182C	0.461763934166419	1	YLR096W
YBR239C	0.755499338199047	-1	YLR096W
YBR240C	0.969251549689408	-1	YLR096W
YBR297W	0.599370549222209	1	YLR096W
YCL055W	0.0159739695163689	-1	YLR096W
YCR065W	0.269387188507166	1	YLR096W
YCR084C	0.103444650756023	1	YLR096W
YCR106W	0.684213360297786	-1	YLR096W
YDL020C	0.957773057486599	1	YLR096W
YDL048C	0.387224823089402	-1	YLR096W
YDL056W	0.787355482838216	1	YLR096W
YDL106C	0.00264018790388212	-1	YLR096W
YDL170W	0.91179644681774	-1	YLR096W
YDR009W	0.845780113771764	-1	YLR096W
YDR026C	0.7636470007279	-1	YLR096W
YDR034C	0.553235447798156	-1	YLR096W
YDR043C	0.00946710440731307	-1	YLR096W
YDR049W	0.686165406380999	-1	YLR096W
YDR123C	2.55196835841151e-10	1	YLR096W
YDR146C	0.450177043545721	1	YLR096W
YDR174W	0.127077188740902	1	YLR096W
YDR207C	0.00632788963905649	1	YLR096W
YDR213W	0.3905505651889	-1	YLR096W
YDR216W	0.684757701255642	1	YLR096W
YDR253C	9.516783809687e-06	1	YLR096W
YDR259C	2.53459598263003e-11	1	YLR096W
YDR266C	0.308677370640399	-1	YLR096W
YDR277C	9.7204495804426e-08	1	YLR096W
YDR310C	0.998901221924986	-1	YLR096W
YDR421W	0.140443004562075	-1	YLR096W
YDR423C	0.0082697715111103	1	YLR096W
YDR451C	0.869444287828359	-1	YLR096W
YDR463W	0.534524981275692	-1	YLR096W
YDR501W	0.487285778218089	-1	YLR096W
YDR520C	0.942231336354519	1	YLR096W
YEL009C	0.00133051360835236	1	YLR096W
YER028C	0.999544124907551	1	YLR096W
YER040W	0.076377242681565	-1	YLR096W
YER045C	0.641209945069465	1	YLR096W
YER051W	0.903178072359581	-1	YLR096W
YER068W	0.343450710790918	1	YLR096W
YER088C	0.0262845589402635	1	YLR096W
YER109C	0.00262741723133211	-1	YLR096W
YER111C	0.00174769276172845	1	YLR096W
YER130C	0.758594604220587	-1	YLR096W
YER161C	0.154902673362038	-1	YLR096W
YER169W	0.502700418867953	-1	YLR096W
YER184C	0.970355042460855	1	YLR096W
YFL021W	0.733798960029421	-1	YLR096W
YFL031W	0.661632386876478	-1	YLR096W
YFL044C	0.876371372781725	-1	YLR096W
YFL052W	0.972259361476312	-1	YLR096W
YFR034C	0.658063876927974	1	YLR096W
YGL013C	0.876264359179948	1	YLR096W
YGL035C	0.289615344767344	-1	YLR096W
YGL071W	0.640484318625706	-1	YLR096W
YGL073W	0.000230785347038153	1	YLR096W
YGL096W	0.686661288028407	1	YLR096W
YGL131C	0.882854521220466	1	YLR096W
YGL162W	0.0312340637816732	-1	YLR096W
YGL166W	0.00832041628670407	-1	YLR096W
YGL181W	0.997596437427673	-1	YLR096W
YGL192W	0.994584838598835	-1	YLR096W
YGL197W	0.473601954259253	-1	YLR096W
YGL209W	0.975356108436509	-1	YLR096W
YGL237C	0.366697272101184	-1	YLR096W
YGL252C	0.88329639780625	1	YLR096W
YGL254W	0.0915450636802081	-1	YLR096W
YGR044C	0.321478365955685	1	YLR096W
YGR067C	0.90826675903111	-1	YLR096W
YGR089W	0.928511478457938	-1	YLR096W
YGR097W	0.968452812347888	-1	YLR096W
YGR249W	0.773859551667155	-1	YLR096W
YGR288W	0.161739893962174	1	YLR096W
YHL009C	0.937218469277621	1	YLR096W
YHL020C	0.843533925176513	-1	YLR096W
