TF	p	sign	KP
YAL051W	0.000677386017463142	-1	YLR361C
YBL005W	0.583835885990846	-1	YLR361C
YBL008W	0.166667001329079	-1	YLR361C
YBL021C	0.4413858476208	-1	YLR361C
YBL054W	0.73523771897274	1	YLR361C
YBL103C	0.291157913236518	1	YLR361C
YBR033W	0.219155291922083	-1	YLR361C
YBR049C	0.00605369982479751	1	YLR361C
YBR083W	0.545444330928397	-1	YLR361C
YBR112C	0.432714626688757	-1	YLR361C
YBR150C	0.209046590026127	1	YLR361C
YBR182C	0.368830890869508	1	YLR361C
YBR239C	0.129587872314319	-1	YLR361C
YBR240C	0.990930679079065	-1	YLR361C
YBR297W	0.398696956191731	-1	YLR361C
YCL055W	0.209704004543334	-1	YLR361C
YCR065W	0.419268555961776	1	YLR361C
YCR084C	0.786461290705267	1	YLR361C
YCR106W	0.554285324542553	-1	YLR361C
YDL020C	0.889618830414381	1	YLR361C
YDL048C	0.993923653571499	-1	YLR361C
YDL056W	0.628023774403365	-1	YLR361C
YDL106C	0.000327808645343044	-1	YLR361C
YDL170W	0.971960081555184	-1	YLR361C
YDR009W	0.803478459223829	1	YLR361C
YDR026C	0.698755979329129	-1	YLR361C
YDR034C	0.708085091861392	1	YLR361C
YDR043C	0.008896273134638	-1	YLR361C
YDR049W	0.510729253787146	-1	YLR361C
YDR123C	7.37485298332653e-08	1	YLR361C
YDR146C	0.284375624721086	-1	YLR361C
YDR174W	0.0364248933965599	-1	YLR361C
YDR207C	0.0537439887072612	-1	YLR361C
YDR213W	0.86728194654596	1	YLR361C
YDR216W	0.0339886878568664	-1	YLR361C
YDR253C	0.000178798237274201	-1	YLR361C
YDR259C	0.00185853277838392	-1	YLR361C
YDR266C	0.731681528465571	-1	YLR361C
YDR277C	0.00138133100115573	-1	YLR361C
YDR310C	0.997763341827273	1	YLR361C
YDR421W	0.772358093079903	-1	YLR361C
YDR423C	0.0126678865403799	-1	YLR361C
YDR451C	0.0773056347679513	1	YLR361C
YDR463W	0.967684693741386	-1	YLR361C
YDR501W	0.181828384410683	-1	YLR361C
YDR520C	0.834811020563587	1	YLR361C
YEL009C	0.00333323367790132	1	YLR361C
YER028C	0.998466191309616	-1	YLR361C
YER040W	0.253927581213197	-1	YLR361C
YER045C	0.766675490870165	1	YLR361C
YER051W	0.508533881674809	1	YLR361C
YER068W	0.964665774580544	1	YLR361C
YER088C	0.0225242432521817	-1	YLR361C
YER109C	0.000237851955085956	-1	YLR361C
YER111C	0.00914899115249653	-1	YLR361C
YER130C	0.339953924888583	-1	YLR361C
YER161C	0.888034083554614	1	YLR361C
YER169W	0.647869334100124	-1	YLR361C
YER184C	0.992794017620323	1	YLR361C
YFL021W	0.623754585404606	-1	YLR361C
YFL031W	0.999146626227542	-1	YLR361C
YFL044C	0.986695072179129	1	YLR361C
YFL052W	0.556587541725404	1	YLR361C
YFR034C	0.35375907220549	1	YLR361C
YGL013C	0.126626228233765	-1	YLR361C
YGL035C	0.448966836570504	-1	YLR361C
YGL071W	0.351557160215842	-1	YLR361C
YGL073W	8.11688759458691e-05	1	YLR361C
YGL096W	0.982269576527689	-1	YLR361C
YGL131C	0.994649947327278	-1	YLR361C
YGL162W	0.144528239707734	-1	YLR361C
YGL166W	0.500041204565375	1	YLR361C
YGL181W	0.77881457197324	-1	YLR361C
YGL192W	0.819772481094819	-1	YLR361C
YGL197W	0.868675846236015	-1	YLR361C
YGL209W	0.993155587321762	-1	YLR361C
YGL237C	0.498267988787847	-1	YLR361C
YGL252C	0.0514822563668948	-1	YLR361C
YGL254W	0.993691302638863	-1	YLR361C
YGR044C	0.396190800716501	1	YLR361C
YGR067C	0.94514317975071	1	YLR361C
YGR089W	0.669764345365058	1	YLR361C
YGR097W	0.999587142040955	-1	YLR361C
YGR249W	0.150203426858957	-1	YLR361C
YGR288W	0.773875427542589	1	YLR361C
YHL009C	0.815432188412069	-1	YLR361C
YHL020C	0.977949989493933	1	YLR361C
YHL027W	0.976160687870557	-1	YLR361C
YHR006W	0.798114467744694	-1	YLR361C
YHR084W	9.94186956650802e-05	-1	YLR361C
YHR124W	6.75489762804239e-06	-1	YLR361C
YHR178W	0.153684143903618	-1	YLR361C
YHR206W	4.75428282583807e-05	-1	YLR361C
YIL036W	0.754792599821716	-1	YLR361C
YIL101C	0.363452998291395	-1	YLR361C
YIL119C	0.810308751939584	-1	YLR361C
YIL122W	0.365936474652325	-1	YLR361C
YIL128W	0.999639959482566	-1	YLR361C
YIL131C	6.8209032383249e-10	-1	YLR361C
YIR017C	0.584518158021949	-1	YLR361C
YIR018W	0.00383696001154663	1	YLR361C
YIR023W	0.00236781545737498	-1	YLR361C
YIR033W	0.0219468327717741	1	YLR361C
YJL056C	0.894693263492616	1	YLR361C
YJL089W	0.998797983261975	-1	YLR361C
YJL103C	0.100692038081479	-1	YLR361C
YJL110C	0.999520421302358	-1	YLR361C
YJL127C	0.958434366409429	1	YLR361C
YJL206C	0.924921551326617	1	YLR361C
YJR060W	1.29202156043473e-05	-1	YLR361C
YJR094C	0.166604458565164	-1	YLR361C
YJR127C	0.811612720236521	1	YLR361C
YJR140C	0.928209128502084	1	YLR361C
YJR147W	0.922493318836767	1	YLR361C
YKL005C	0.646636180819129	1	YLR361C
YKL015W	0.23093820955225	1	YLR361C
YKL020C	8.03039970981936e-07	-1	YLR361C
YKL032C	0.00533287098041162	-1	YLR361C
YKL038W	0.848930693085328	-1	YLR361C
YKL043W	0.0776012434638123	-1	YLR361C
YKL062W	0.00988028196837601	-1	YLR361C
YKL072W	0.729679498722046	1	YLR361C
YKL109W	0.18311555517324	-1	YLR361C
YKL112W	0.0182795653048227	1	YLR361C
YKL185W	1.39450050564786e-05	-1	YLR361C
YKL222C	0.974544977329606	1	YLR361C
YKR034W	0.949846960490912	-1	YLR361C
YKR064W	0.44065209194729	1	YLR361C
YKR099W	0.956755391015896	1	YLR361C
YLR013W	0.449926334492274	1	YLR361C
YLR014C	0.447995221518259	1	YLR361C
YLR098C	0.69438154024463	-1	YLR361C
YLR131C	0.00178470574590754	-1	YLR361C
YLR176C	0.709294049782842	-1	YLR361C
YLR182W	0.0106887284873332	-1	YLR361C
YLR183C	0.198079456508473	-1	YLR361C
YLR228C	0.548644947118826	-1	YLR361C
YLR256W	9.85357013076259e-06	-1	YLR361C
YLR266C	0.0576257975563345	1	YLR361C
YLR278C	0.43819586041341	1	YLR361C
YLR403W	0.167159959486656	1	YLR361C
YLR451W	0.289276954897535	1	YLR361C
YML007W	0.0250109685792242	-1	YLR361C
YML027W	0.903280063752159	-1	YLR361C
YML051W	0.992723077249861	-1	YLR361C
YML076C	0.726427613041745	1	YLR361C
YML081W	0.714163939311777	1	YLR361C
YML099C	0.957696785533312	-1	YLR361C
YML113W	0.999722530095231	-1	YLR361C
YMR016C	0.0193974025132626	-1	YLR361C
YMR019W	0.747694027777713	1	YLR361C
YMR021C	0.293662773390849	1	YLR361C
YMR037C	1.09230724268794e-10	-1	YLR361C
YMR042W	0.00209838830406375	1	YLR361C
YMR043W	0.0243969156401212	-1	YLR361C
YMR053C	0.997043739933139	1	YLR361C
YMR070W	0.305175320238224	1	YLR361C
YMR075W	0.817366527128481	1	YLR361C
