TF	p	sign	KP
YAL051W	0.000827653329765584	1	YML016C
YBL005W	0.605704909852072	-1	YML016C
YBL008W	0.621129827720101	-1	YML016C
YBL021C	0.622775497878171	-1	YML016C
YBL054W	0.968367092240966	-1	YML016C
YBL103C	0.907725940739687	-1	YML016C
YBR033W	0.996246362338873	-1	YML016C
YBR049C	0.0293010374977679	1	YML016C
YBR083W	0.00190009272744584	1	YML016C
YBR112C	0.0889785236007579	1	YML016C
YBR150C	0.431055838612679	-1	YML016C
YBR182C	0.505978470568219	1	YML016C
YBR239C	0.81900454135022	-1	YML016C
YBR240C	0.884085491062234	-1	YML016C
YBR297W	0.0382435797283275	1	YML016C
YCL055W	0.311060479390007	-1	YML016C
YCR065W	0.146111319123089	1	YML016C
YCR084C	0.00599245974701969	-1	YML016C
YCR106W	0.640776559819295	-1	YML016C
YDL020C	0.713842996439961	1	YML016C
YDL048C	0.592638871502739	-1	YML016C
YDL056W	0.00967490094108536	1	YML016C
YDL106C	0.00161810687489563	1	YML016C
YDL170W	0.823233038177992	-1	YML016C
YDR009W	0.999193818812259	-1	YML016C
YDR026C	0.891826670817824	1	YML016C
YDR034C	0.267863917358743	1	YML016C
YDR043C	4.83680183884748e-09	1	YML016C
YDR049W	0.982527877400267	-1	YML016C
YDR123C	1.65408777889693e-16	1	YML016C
YDR146C	0.481885936268748	1	YML016C
YDR174W	0.111233908871444	1	YML016C
YDR207C	1.48936485607162e-05	-1	YML016C
YDR213W	0.683374667082018	-1	YML016C
YDR216W	0.235632760360541	-1	YML016C
YDR253C	2.38817489848015e-12	-1	YML016C
YDR259C	1.84281547620021e-11	1	YML016C
YDR266C	0.870734123268335	-1	YML016C
YDR277C	0.000875625252315157	1	YML016C
YDR310C	0.712494169872899	-1	YML016C
YDR421W	0.973737204529568	-1	YML016C
YDR423C	0.122256353988709	-1	YML016C
YDR451C	0.445391823186008	1	YML016C
YDR463W	0.796290787419712	-1	YML016C
YDR501W	0.0819430279647426	-1	YML016C
YDR520C	0.998929201810609	-1	YML016C
YEL009C	0.00102697198543153	1	YML016C
YER028C	0.966550190656352	-1	YML016C
YER040W	0.111881117819771	1	YML016C
YER045C	0.963396094167342	-1	YML016C
YER051W	0.944167176047364	-1	YML016C
YER068W	0.98511327307617	1	YML016C
YER088C	0.0474014419446562	1	YML016C
YER109C	0.000267729784834048	-1	YML016C
YER111C	2.91725682131527e-07	1	YML016C
YER130C	0.975364171758195	-1	YML016C
YER161C	0.706631273416395	-1	YML016C
YER169W	0.956464594046766	-1	YML016C
YER184C	0.861000767734707	-1	YML016C
YFL021W	0.114792829482551	1	YML016C
YFL031W	0.794214582764572	-1	YML016C
YFL044C	0.966684154857509	-1	YML016C
YFL052W	0.964116611068298	-1	YML016C
YFR034C	0.00580947545447946	1	YML016C
YGL013C	0.916691778471597	-1	YML016C
YGL035C	0.344560252234465	-1	YML016C
YGL071W	0.176943724376448	1	YML016C
YGL073W	0.0162196335850059	1	YML016C
YGL096W	0.423828928184594	1	YML016C
YGL131C	0.69294148428535	-1	YML016C
YGL162W	0.000596986397876735	1	YML016C
YGL166W	0.957457097011396	1	YML016C
YGL181W	0.650432650202417	1	YML016C
YGL192W	0.997038344019576	-1	YML016C
YGL197W	0.936867825756907	-1	YML016C
YGL209W	0.983896524205681	-1	YML016C
YGL237C	0.556092474073406	1	YML016C
YGL252C	0.576223767911706	1	YML016C
YGL254W	0.686427700783029	-1	YML016C
YGR044C	0.292523370392639	-1	YML016C
YGR067C	0.886526113251698	-1	YML016C
YGR089W	0.983422369574865	-1	YML016C
YGR097W	0.999793827228521	-1	YML016C
YGR249W	0.306295992550089	-1	YML016C
YGR288W	0.526389021620454	1	YML016C
YHL009C	0.757791048400016	1	YML016C
YHL020C	0.593927257168987	-1	YML016C
YHL027W	0.5266668293741	-1	YML016C
YHR006W	0.985839987317314	-1	YML016C
YHR084W	2.40582735642368e-12	1	YML016C
YHR124W	8.55453362895563e-12	-1	YML016C
YHR178W	0.375659402193438	-1	YML016C
YHR206W	5.84339128528903e-19	-1	YML016C
YIL036W	0.725071453505223	-1	YML016C
YIL101C	0.000592618846794055	1	YML016C
YIL119C	0.979023451438518	-1	YML016C
YIL122W	0.0257021030078692	-1	YML016C
YIL128W	0.999960316698352	1	YML016C
YIL131C	9.6444749297665e-07	1	YML016C
YIR017C	0.31574470778262	-1	YML016C
YIR018W	0.646825162678165	1	YML016C
YIR023W	0.00369007822241466	1	YML016C
YIR033W	0.0754508161445158	-1	YML016C
YJL056C	0.617265677055335	1	YML016C
YJL089W	0.851137713630451	-1	YML016C
YJL103C	0.128456019803167	1	YML016C
YJL110C	0.999994827972366	1	YML016C
YJL127C	0.96661694270288	1	YML016C
YJL206C	0.984887672595809	-1	YML016C
YJR060W	0.000826419096633397	1	YML016C
YJR094C	0.170021319187084	-1	YML016C
YJR127C	0.906545530222212	1	YML016C
YJR140C	0.998378016405434	-1	YML016C
YJR147W	0.854585005430599	-1	YML016C
YKL005C	0.9907938641443	-1	YML016C
YKL015W	0.00014909719556533	1	YML016C
YKL020C	2.47308959872529e-08	1	YML016C
YKL032C	0.000107549436627976	-1	YML016C
YKL038W	0.956779378784759	-1	YML016C
YKL043W	2.63956229123465e-05	1	YML016C
YKL062W	1.94787941134645e-08	1	YML016C
YKL072W	0.676860628734198	1	YML016C
YKL109W	0.996330679198668	-1	YML016C
YKL112W	0.796288904374686	1	YML016C
YKL185W	8.07162633061454e-10	-1	YML016C
YKL222C	0.958343607887124	-1	YML016C
YKR034W	0.999703599116106	-1	YML016C
YKR064W	0.973101742291728	-1	YML016C
YKR099W	0.152675802211612	-1	YML016C
YLR013W	0.972868433433002	1	YML016C
YLR014C	0.570615860276011	-1	YML016C
YLR098C	0.99564918296628	-1	YML016C
YLR131C	3.59539096185714e-05	1	YML016C
YLR176C	0.215295839211592	-1	YML016C
YLR182W	7.0638782201543e-05	1	YML016C
YLR183C	0.23354511400434	-1	YML016C
YLR228C	0.0386338592052368	-1	YML016C
YLR256W	1.08184789657008e-08	1	YML016C
YLR266C	0.268499762924002	-1	YML016C
YLR278C	0.980969602736978	1	YML016C
YLR403W	0.030630108639567	1	YML016C
YLR451W	0.092535363949694	-1	YML016C
YML007W	0.00156836725515376	-1	YML016C
YML027W	0.611121445142143	-1	YML016C
YML051W	0.997873443852088	-1	YML016C
YML076C	0.957591267915614	-1	YML016C
YML081W	0.0307298049129694	1	YML016C
YML099C	0.942898665651626	-1	YML016C
YML113W	0.997366646730697	1	YML016C
YMR016C	6.88932049409544e-10	1	YML016C
YMR019W	0.914274628396557	-1	YML016C
YMR021C	0.18138858591838	-1	YML016C
YMR037C	6.82174504059464e-23	1	YML016C
YMR042W	0.082587391554066	-1	YML016C
YMR043W	0.0100349726166139	-1	YML016C
YMR053C	0.984334201264876	-1	YML016C
YMR070W	0.232968359459443	1	YML016C
YMR075W	0.958402714438993	-1	YML016C
YMR164C	0.585861125295529	-1	YML016C
YMR172W	2.28761084478469e-08	-1	YML016C
YMR182C	0.964053758048376	1	YML016C
YMR280C	0.253138704304894	-1	YML016C
YNL027W	5.72702580450839e-06	1	YML016C
YNL068C	4.32509467207868e-09	1	YML016C
YNL139C	0.822453462674701	-1	YML016C
YNL167C	1.6310661703132e-08	-1	YML016C
YNL199C	0.125543004920117	1	YML016C
YNL216W	6.41602142900673e-05	1	YML016C
YNL257C	0.978000235808483	-1	YML016C
YNL309W	0.498261861268893	1	YML016C
YNL314W	0.170160949289572	1	YML016C
YNR063W	0.836686242584972	-1	YML016C
YOL028C	0.118070707784673	-1	YML016C
YOL067C	0.929018548772704	-1	YML016C
YOL089C	0.995027256536179	1	YML016C
YOL108C	9.14850238030526e-10	-1	YML016C
YOL116W	0.192374023308759	-1	YML016C
YOR028C	1.80924442678926e-05	1	YML016C
YOR032C	0.265417409654338	1	YML016C
YOR038C	0.234203383177433	1	YML016C
YOR113W	0.10164908926368	-1	YML016C
YOR140W	0.890650067488991	-1	YML016C
YOR162C	0.120960338220531	1	YML016C
YOR229W	0.95462128819314	1	YML016C
YOR230W	0.992480117673703	-1	YML016C
YOR337W	0.0175401484683	1	YML016C
YOR344C	0.147160274208123	1	YML016C
YOR358W	0.136983731096259	-1	YML016C
YOR363C	0.113154704873828	1	YML016C
YOR380W	0.985031631265316	-1	YML016C
YPL038W	0.122563572722555	-1	YML016C
YPL049C	0.580349937113969	-1	YML016C
YPL075W	0.973992420784199	1	YML016C
YPL089C	0.105382882886193	1	YML016C
YPL133C	9.11297752144787e-09	-1	YML016C
YPL139C	0.999538646003672	-1	YML016C
YPL177C	0.525427546695311	1	YML016C
YPL202C	0.115562278039727	1	YML016C
YPL230W	0.940235033415939	1	YML016C
YPL248C	0.996765707713339	-1	YML016C
YPR008W	0.977431408048797	-1	YML016C
YPR009W	0.295889084638438	-1	YML016C
YPR022C	0.993237652874274	-1	YML016C
YPR065W	0.000534734838261771	-1	YML016C
YPR196W	0.342681581096575	1	YML016C
YPR199C	0.854168967307024	-1	YML016C
