TF	p	sign	KP
YAL051W	2.27596221023563e-05	-1	YML057W
YBL005W	0.695357707988225	-1	YML057W
YBL008W	0.428079429096077	1	YML057W
YBL021C	0.931941459399637	1	YML057W
YBL054W	0.495033635715393	1	YML057W
YBL103C	0.232674929847787	1	YML057W
YBR033W	0.992854586778661	1	YML057W
YBR049C	0.750486720102904	-1	YML057W
YBR083W	0.137530735583072	1	YML057W
YBR112C	0.00491662535973108	1	YML057W
YBR150C	0.318470916786755	-1	YML057W
YBR182C	0.379441928321847	1	YML057W
YBR239C	0.921832967134785	1	YML057W
YBR240C	0.993052671814486	1	YML057W
YBR297W	0.508451390431366	-1	YML057W
YCL055W	0.060378873149138	1	YML057W
YCR065W	0.511702718776067	1	YML057W
YCR084C	0.299983783434623	1	YML057W
YCR106W	0.962101363539469	-1	YML057W
YDL020C	0.994222223661602	-1	YML057W
YDL048C	0.989839915995615	1	YML057W
YDL056W	0.0126599868598845	-1	YML057W
YDL106C	0.000436733134852769	-1	YML057W
YDL170W	0.777712242650736	1	YML057W
YDR009W	0.987343787829129	1	YML057W
YDR026C	0.839972710054054	1	YML057W
YDR034C	0.614468304743302	1	YML057W
YDR043C	0.000425285117581081	-1	YML057W
YDR049W	0.854462130041115	-1	YML057W
YDR123C	1.87332192202579e-14	-1	YML057W
YDR146C	0.781568144101547	1	YML057W
YDR174W	0.21726335812301	-1	YML057W
YDR207C	0.000365400865604154	-1	YML057W
YDR213W	0.820343527290549	-1	YML057W
YDR216W	0.00212392987075538	-1	YML057W
YDR253C	7.4210337191864e-05	-1	YML057W
YDR259C	3.91509911364724e-08	-1	YML057W
YDR266C	0.977314117471125	1	YML057W
YDR277C	0.00273229954517851	-1	YML057W
YDR310C	0.999988826511105	1	YML057W
YDR421W	0.262738808029789	1	YML057W
YDR423C	0.000144393833995384	1	YML057W
YDR451C	0.890426785541712	1	YML057W
YDR463W	0.892935599982756	-1	YML057W
YDR501W	0.0787264758267015	1	YML057W
YDR520C	0.983444216886975	1	YML057W
YEL009C	0.00185868527715586	-1	YML057W
YER028C	0.999561674112748	1	YML057W
YER040W	0.0763770075746683	-1	YML057W
YER045C	0.973452121751238	1	YML057W
YER051W	0.878616780673592	1	YML057W
YER068W	0.128609478097868	1	YML057W
YER088C	0.00540841681827314	-1	YML057W
YER109C	0.000173491794577158	-1	YML057W
YER111C	0.000203558237217707	-1	YML057W
YER130C	0.97928216877909	1	YML057W
YER161C	0.896782446906749	1	YML057W
YER169W	0.981292503454783	-1	YML057W
YER184C	0.998948308368493	-1	YML057W
YFL021W	0.0902220479516545	-1	YML057W
YFL031W	0.997031324073275	1	YML057W
YFL044C	0.994161124925399	1	YML057W
YFL052W	0.999097058855248	1	YML057W
YFR034C	0.00479845617828442	-1	YML057W
YGL013C	0.43625608206283	1	YML057W
YGL035C	0.280771333139687	1	YML057W
YGL071W	0.349374837618466	-1	YML057W
YGL073W	0.00810450812247429	-1	YML057W
YGL096W	0.814719162824678	-1	YML057W
YGL131C	0.631090278085143	1	YML057W
YGL162W	0.00190780953583384	1	YML057W
YGL166W	0.956864336058326	1	YML057W
YGL181W	0.177510970131896	1	YML057W
YGL192W	0.978508699899434	1	YML057W
YGL197W	0.832587856071116	1	YML057W
YGL209W	0.998597321018409	1	YML057W
YGL237C	0.101260125004911	1	YML057W
YGL252C	0.921938133191425	1	YML057W
YGL254W	0.954595841795922	1	YML057W
YGR044C	0.184261004966541	1	YML057W
YGR067C	0.887038867855509	-1	YML057W
YGR089W	0.867832402033466	1	YML057W
YGR097W	0.999350496738286	1	YML057W
YGR249W	0.52208882733944	-1	YML057W
YGR288W	0.744576474545641	1	YML057W
YHL009C	0.945973873205302	1	YML057W
YHL020C	0.985104000960414	1	YML057W
YHL027W	0.611711715469055	1	YML057W
YHR006W	0.95388969332873	1	YML057W
YHR084W	1.33208733269524e-11	-1	YML057W
YHR124W	7.43220736858486e-06	-1	YML057W
YHR178W	0.118269067845876	-1	YML057W
YHR206W	1.70642676372754e-10	-1	YML057W
YIL036W	0.980835879591325	1	YML057W
YIL101C	0.0220990056318424	-1	YML057W
YIL119C	0.998921714782636	1	YML057W
YIL122W	0.0711182350145073	-1	YML057W
