TF	p	sign	KP
YAL051W	5.09993629100068e-05	-1	YMR139W
YBL005W	0.376606777917819	-1	YMR139W
YBL008W	0.695453980303012	1	YMR139W
YBL021C	0.0973600004418245	-1	YMR139W
YBL054W	0.449888918521376	1	YMR139W
YBL103C	0.689839149397651	1	YMR139W
YBR033W	0.783031527100137	1	YMR139W
YBR049C	0.0624193298713166	1	YMR139W
YBR083W	0.267217442087469	1	YMR139W
YBR112C	0.355289578439774	1	YMR139W
YBR150C	0.323489166542526	1	YMR139W
YBR182C	0.713204101862639	1	YMR139W
YBR239C	0.516000007642968	1	YMR139W
YBR240C	0.851684137763716	1	YMR139W
YBR297W	0.0654577426562316	-1	YMR139W
YCL055W	0.518398835837246	1	YMR139W
YCR065W	0.333277904349098	1	YMR139W
YCR084C	0.909449145189171	1	YMR139W
YCR106W	0.183121008120201	1	YMR139W
YDL020C	0.696528986100731	1	YMR139W
YDL048C	0.954860026925336	1	YMR139W
YDL056W	0.253966961185699	-1	YMR139W
YDL106C	0.0157209966462244	-1	YMR139W
YDL170W	0.548663345574882	1	YMR139W
YDR009W	0.59187405066391	1	YMR139W
YDR026C	0.859876408667532	1	YMR139W
YDR034C	0.708139053980532	-1	YMR139W
YDR043C	0.00213859836116954	-1	YMR139W
YDR049W	0.919531810145979	1	YMR139W
YDR123C	1.09935715332e-09	-1	YMR139W
YDR146C	0.940560819337511	-1	YMR139W
YDR174W	0.493969803549443	-1	YMR139W
YDR207C	0.00186101397754834	-1	YMR139W
YDR213W	0.669185675150111	1	YMR139W
YDR216W	1.0955654903024e-05	-1	YMR139W
YDR253C	0.0043166660727744	-1	YMR139W
YDR259C	2.14535528019859e-06	-1	YMR139W
YDR266C	0.962191303018733	1	YMR139W
YDR277C	9.62217669111239e-05	-1	YMR139W
YDR310C	0.995267501699028	1	YMR139W
YDR421W	0.748899934879094	1	YMR139W
YDR423C	0.000269169716765825	-1	YMR139W
YDR451C	0.463526039947934	1	YMR139W
YDR463W	0.9642375866946	1	YMR139W
YDR501W	0.168136244306643	-1	YMR139W
YDR520C	0.966368273768846	-1	YMR139W
YEL009C	0.218677507701256	-1	YMR139W
YER028C	0.99991760257527	1	YMR139W
YER040W	0.0765415135656319	-1	YMR139W
YER045C	0.905427249488276	1	YMR139W
YER051W	0.70140015584994	1	YMR139W
YER068W	0.141431587754629	1	YMR139W
YER088C	0.0310391410260026	-1	YMR139W
YER109C	0.000727136709973839	-1	YMR139W
YER111C	0.000774644765843679	-1	YMR139W
YER130C	0.932011576306109	1	YMR139W
YER161C	0.993527373251606	1	YMR139W
YER169W	0.849713130529459	-1	YMR139W
YER184C	0.892495589806502	-1	YMR139W
YFL021W	0.144468940599603	-1	YMR139W
YFL031W	0.938119340659696	-1	YMR139W
YFL044C	0.965109690276076	1	YMR139W
YFL052W	0.889121840487424	1	YMR139W
YFR034C	0.137544576976867	1	YMR139W
YGL013C	0.879958389472039	1	YMR139W
YGL035C	0.514550304677758	-1	YMR139W
YGL071W	0.388360456725928	-1	YMR139W
YGL073W	0.0071219129097217	-1	YMR139W
YGL096W	0.111708658823409	-1	YMR139W
YGL131C	0.98952031837155	1	YMR139W
YGL162W	0.00111232982389407	-1	YMR139W
YGL166W	0.130234281554032	1	YMR139W
YGL181W	0.375951576097215	1	YMR139W
YGL192W	0.994978617064121	1	YMR139W
YGL197W	0.973761902215944	1	YMR139W
YGL209W	0.923251451573865	1	YMR139W
YGL237C	0.00673787015955468	-1	YMR139W
YGL252C	0.0705914297470602	-1	YMR139W
YGL254W	0.922922967146335	-1	YMR139W
YGR044C	0.915122156752169	1	YMR139W
YGR067C	0.832173358752502	1	YMR139W
YGR089W	0.555550749943698	1	YMR139W
YGR097W	0.998603882412683	1	YMR139W
YGR249W	0.0961485992420404	-1	YMR139W
YGR288W	0.938263034036609	-1	YMR139W
YHL009C	0.716289419218407	1	YMR139W
YHL020C	0.992936169677125	1	YMR139W
YHL027W	0.00832888591639479	1	YMR139W
YHR006W	0.992964468695376	1	YMR139W
YHR084W	1.11048914124633e-06	-1	YMR139W
YHR124W	6.06942801760463e-07	-1	YMR139W
YHR178W	0.432504607771177	1	YMR139W
YHR206W	2.42885634661118e-10	-1	YMR139W
YIL036W	0.853042480168982	1	YMR139W
YIL101C	0.000220592250426016	-1	YMR139W
YIL119C	0.929140876574657	1	YMR139W
YIL122W	0.101480947828081	1	YMR139W
YIL128W	0.997862824798795	1	YMR139W
YIL131C	0.000286694236781081	-1	YMR139W
YIR017C	0.32450629229143	-1	YMR139W
YIR018W	0.000403997134412378	-1	YMR139W
YIR023W	0.230672844968579	-1	YMR139W
YIR033W	0.0430366980300567	1	YMR139W
YJL056C	0.975863549722103	1	YMR139W
YJL089W	0.965523102681188	1	YMR139W
YJL103C	0.0703315857200122	-1	YMR139W
YJL110C	0.956642543185602	1	YMR139W
YJL127C	0.950344954173091	1	YMR139W
YJL206C	0.910880737857529	1	YMR139W
YJR060W	0.0242307544350192	-1	YMR139W
YJR094C	0.370996866413687	-1	YMR139W
YJR127C	0.555067673047871	-1	YMR139W
YJR140C	0.99775630947994	1	YMR139W
YJR147W	0.626409186472557	1	YMR139W
YKL005C	0.841588485864316	1	YMR139W
YKL015W	0.0376124030101976	-1	YMR139W
YKL020C	2.18874487352188e-11	-1	YMR139W
YKL032C	0.00599563105092669	-1	YMR139W
YKL038W	0.799286807426602	1	YMR139W
YKL043W	0.00716465333232617	-1	YMR139W
YKL062W	0.000737938801688341	-1	YMR139W
YKL072W	0.891806105148526	1	YMR139W
YKL109W	0.398209795263844	1	YMR139W
YKL112W	0.168697672370343	1	YMR139W
YKL185W	0.00155447528667272	-1	YMR139W
YKL222C	0.947378352109386	1	YMR139W
YKR034W	0.957129695099553	1	YMR139W
YKR064W	0.900902999473626	1	YMR139W
YKR099W	0.772558435110255	1	YMR139W
YLR013W	0.998734977717959	1	YMR139W
YLR014C	0.495050651464196	1	YMR139W
YLR098C	0.868932468936192	1	YMR139W
YLR131C	0.0200102690339708	-1	YMR139W
YLR176C	0.121057528809848	-1	YMR139W
YLR182W	0.0206787967389209	-1	YMR139W
YLR183C	0.273585133829767	-1	YMR139W
YLR228C	0.73249084984197	-1	YMR139W
YLR256W	7.73215420867639e-06	-1	YMR139W
YLR266C	0.406660484698171	1	YMR139W
YLR278C	0.600184259059133	1	YMR139W
YLR403W	0.933596938662089	1	YMR139W
YLR451W	0.685504145499885	1	YMR139W
YML007W	6.40771308697132e-05	-1	YMR139W
YML027W	0.786422177047312	1	YMR139W
YML051W	0.758502358638482	1	YMR139W
YML076C	0.377561750251633	1	YMR139W
YML081W	0.956942892514569	1	YMR139W
YML099C	0.857764224816005	1	YMR139W
YML113W	0.999997167107755	1	YMR139W
YMR016C	0.000264248687088853	-1	YMR139W
YMR019W	0.833402766315844	1	YMR139W
YMR021C	0.322812733892286	1	YMR139W
YMR037C	2.95313892949125e-10	-1	YMR139W
YMR042W	0.531422583963695	1	YMR139W
YMR043W	0.167514910349268	-1	YMR139W
YMR053C	0.98340036258185	1	YMR139W
YMR070W	0.147911244065137	1	YMR139W
YMR075W	0.825333499426311	1	YMR139W
YMR164C	0.9133906398299	1	YMR139W
YMR172W	1.94094384276261e-08	-1	YMR139W
YMR182C	0.992423623530986	1	YMR139W
YMR280C	0.650858319010356	-1	YMR139W
YNL027W	0.000486215999487767	-1	YMR139W
YNL068C	0.0108439343647031	-1	YMR139W
YNL139C	0.740749679394296	1	YMR139W
YNL167C	5.87010337472836e-13	-1	YMR139W
YNL199C	0.904259790808058	1	YMR139W
YNL216W	0.00189822637357733	1	YMR139W
YNL257C	0.449246838073895	1	YMR139W
YNL309W	0.769338272898601	-1	YMR139W
YNL314W	0.0185695378966467	-1	YMR139W
YNR063W	0.59317231022856	1	YMR139W
YOL028C	0.0069202791991095	-1	YMR139W
YOL067C	0.791954397915122	1	YMR139W
YOL089C	0.971308212084882	-1	YMR139W
YOL108C	3.95009921608343e-06	-1	YMR139W
YOL116W	0.510814193920587	-1	YMR139W
YOR028C	1.38516865068084e-06	-1	YMR139W
YOR032C	0.92275946565315	-1	YMR139W
YOR038C	0.959875789604982	1	YMR139W
YOR113W	0.289112112769086	1	YMR139W
YOR140W	0.685959503082705	1	YMR139W
YOR162C	0.879171442327344	-1	YMR139W
YOR229W	0.753399074141359	1	YMR139W
YOR230W	0.900596826358649	1	YMR139W
YOR337W	0.016496535583301	-1	YMR139W
YOR344C	0.0805072024557938	1	YMR139W
YOR358W	0.0550977088338822	-1	YMR139W
YOR363C	0.0383285256946467	-1	YMR139W
YOR380W	0.797921219611947	1	YMR139W
YPL038W	0.999806547151749	1	YMR139W
YPL049C	0.876690599204203	-1	YMR139W
YPL075W	0.999486138565929	1	YMR139W
YPL089C	0.387484788769045	1	YMR139W
YPL133C	5.68580714463217e-10	-1	YMR139W
YPL139C	0.97025499104663	1	YMR139W
YPL177C	0.280176516656216	1	YMR139W
YPL202C	0.862496333374642	-1	YMR139W
YPL230W	0.536794349752032	1	YMR139W
YPL248C	0.997420672736475	1	YMR139W
YPR008W	0.695629341113062	-1	YMR139W
YPR009W	0.656580174288857	-1	YMR139W
YPR022C	0.878523789868214	1	YMR139W
YPR065W	0.000331202269810225	1	YMR139W
YPR196W	0.786055816440708	-1	YMR139W
YPR199C	0.887410633907573	1	YMR139W
