TF	p	sign	KP
YAL051W	0.000187516602072865	-1	YMR216C
YBL005W	0.649220448341462	-1	YMR216C
YBL008W	0.905533942393425	-1	YMR216C
YBL021C	0.84372402237654	1	YMR216C
YBL054W	0.814729266534566	-1	YMR216C
YBL103C	0.511356554632529	1	YMR216C
YBR033W	0.959135941188396	-1	YMR216C
YBR049C	0.348457501598845	-1	YMR216C
YBR083W	0.155270747885733	1	YMR216C
YBR112C	0.0391920763290412	1	YMR216C
YBR150C	0.464847867121593	1	YMR216C
YBR182C	0.946949535361627	-1	YMR216C
YBR239C	0.364850371801666	-1	YMR216C
YBR240C	0.96835194009423	-1	YMR216C
YBR297W	0.822759170853135	1	YMR216C
YCL055W	0.0318079268580022	1	YMR216C
YCR065W	0.625168539791308	-1	YMR216C
YCR084C	0.215890437493319	1	YMR216C
YCR106W	0.915750135170452	-1	YMR216C
YDL020C	0.994053696176393	-1	YMR216C
YDL048C	0.674944265911896	-1	YMR216C
YDL056W	0.882454556236287	1	YMR216C
YDL106C	0.0433964394935595	1	YMR216C
YDL170W	0.995890389305692	-1	YMR216C
YDR009W	0.861424607507292	1	YMR216C
YDR026C	0.722992864684856	-1	YMR216C
YDR034C	0.698443250029041	-1	YMR216C
YDR043C	0.000613358191378374	1	YMR216C
YDR049W	0.956078433889285	1	YMR216C
YDR123C	7.81482712548423e-12	1	YMR216C
YDR146C	0.986640448164347	1	YMR216C
YDR174W	0.424572281376641	1	YMR216C
YDR207C	2.2901571952104e-05	1	YMR216C
YDR213W	0.5678523431752	1	YMR216C
YDR216W	0.0326159495219557	1	YMR216C
YDR253C	0.000173474158409439	1	YMR216C
YDR259C	0.0015868411515146	1	YMR216C
YDR266C	0.961820823153586	1	YMR216C
YDR277C	0.0064236190333493	1	YMR216C
YDR310C	0.442603435942674	1	YMR216C
YDR421W	0.966551669891803	1	YMR216C
YDR423C	0.000489032250706858	1	YMR216C
YDR451C	0.908855470420947	-1	YMR216C
