TF	p	sign	KP
YAL051W	7.86353958148375e-14	1	YNL025C
YBL005W	0.73887369373163	-1	YNL025C
YBL008W	0.891686764104101	-1	YNL025C
YBL021C	0.160147980168113	-1	YNL025C
YBL054W	0.978929588604788	-1	YNL025C
YBL103C	0.51464821341215	1	YNL025C
YBR033W	0.984756021754739	-1	YNL025C
YBR049C	0.688596804254054	1	YNL025C
YBR083W	3.31632812219689e-05	1	YNL025C
YBR112C	0.069902962096526	1	YNL025C
YBR150C	0.198126947816382	1	YNL025C
YBR182C	0.114973146706014	-1	YNL025C
YBR239C	0.121121449000827	-1	YNL025C
YBR240C	0.946257717634322	-1	YNL025C
YBR297W	0.446491447322213	1	YNL025C
YCL055W	0.460615147854608	1	YNL025C
YCR065W	0.687961424052991	-1	YNL025C
YCR084C	0.269504558176757	1	YNL025C
YCR106W	0.249259518373054	-1	YNL025C
YDL020C	0.999527394094189	-1	YNL025C
YDL048C	0.860713837515349	-1	YNL025C
YDL056W	0.294428186514108	1	YNL025C
YDL106C	4.52650315392682e-05	1	YNL025C
YDL170W	0.981139662905494	-1	YNL025C
YDR009W	0.81328699224026	-1	YNL025C
YDR026C	0.747510845067355	-1	YNL025C
YDR034C	0.108512675676113	-1	YNL025C
YDR043C	3.05740298930813e-09	1	YNL025C
YDR049W	0.59739382856858	-1	YNL025C
YDR123C	4.54224033426356e-32	1	YNL025C
YDR146C	0.696448923507426	1	YNL025C
YDR174W	0.0368036752308697	1	YNL025C
YDR207C	3.28963147591374e-11	1	YNL025C
YDR213W	0.668264136737894	-1	YNL025C
YDR216W	2.58232512493414e-05	1	YNL025C
YDR253C	4.69155363287944e-08	1	YNL025C
YDR259C	2.95493308033287e-19	1	YNL025C
YDR266C	0.5962231546549	-1	YNL025C
YDR277C	3.93212360221287e-07	1	YNL025C
YDR310C	0.882912104446654	-1	YNL025C
YDR421W	0.958078648275097	-1	YNL025C
YDR423C	6.69886193306566e-08	1	YNL025C
YDR451C	0.471017600153476	-1	YNL025C
YDR463W	0.592059333999908	-1	YNL025C
YDR501W	0.737380581586939	1	YNL025C
YDR520C	0.9778308296399	1	YNL025C
YEL009C	8.38413746993627e-06	1	YNL025C
YER028C	0.969102140165389	-1	YNL025C
YER040W	0.00265155247203774	1	YNL025C
YER045C	0.926564696092697	-1	YNL025C
YER051W	0.44994921994126	-1	YNL025C
YER068W	0.974026734283179	-1	YNL025C
YER088C	0.00415826305536365	1	YNL025C
YER109C	9.06478937677581e-11	1	YNL025C
YER111C	9.70240188309072e-06	1	YNL025C
YER130C	0.87654419715241	-1	YNL025C
YER161C	0.350912821210848	-1	YNL025C
YER169W	0.47770390246418	1	YNL025C
YER184C	0.999969302541192	-1	YNL025C
YFL021W	0.863894354415883	1	YNL025C
YFL031W	0.887573510185745	1	YNL025C
YFL044C	0.968317234643639	-1	YNL025C
YFL052W	0.994861394642904	-1	YNL025C
YFR034C	0.00493815682922662	1	YNL025C
YGL013C	0.857473157112033	-1	YNL025C
YGL035C	0.800672843973947	1	YNL025C
YGL071W	0.836804499332442	-1	YNL025C
YGL073W	1.7938537979759e-05	1	YNL025C
YGL096W	0.644780618653471	1	YNL025C
YGL131C	0.378245088965745	1	YNL025C
YGL162W	4.76676375351524e-09	1	YNL025C
YGL166W	0.868316383602048	-1	YNL025C
YGL181W	0.656012697381424	-1	YNL025C
YGL192W	0.911279297438996	-1	YNL025C
YGL197W	0.302215018281718	-1	YNL025C
YGL209W	0.777231522831747	-1	YNL025C
YGL237C	0.0024092142081625	1	YNL025C
YGL252C	0.0865473013598914	1	YNL025C
YGL254W	0.958559752484842	-1	YNL025C
YGR044C	0.679582682400489	-1	YNL025C
YGR067C	0.984335034066083	-1	YNL025C
YGR089W	0.946927482931386	-1	YNL025C
YGR097W	0.974505961031528	-1	YNL025C
YGR249W	0.0198436895657259	-1	YNL025C
YGR288W	0.980442333454431	1	YNL025C
YHL009C	0.68089282358542	-1	YNL025C
YHL020C	0.931382444208772	-1	YNL025C
YHL027W	0.107265118800605	-1	YNL025C
YHR006W	0.932718379347383	-1	YNL025C
YHR084W	1.92110092793929e-17	1	YNL025C
YHR124W	5.3845658392701e-21	1	YNL025C
YHR178W	5.13852106497044e-06	1	YNL025C
YHR206W	1.01954483246999e-30	1	YNL025C
YIL036W	0.905977358828129	1	YNL025C
YIL101C	1.02191944169599e-05	1	YNL025C
YIL119C	0.931140390766636	-1	YNL025C
YIL122W	0.462196128766988	1	YNL025C
YIL128W	0.999997903699844	-1	YNL025C
YIL131C	3.63887988148548e-09	1	YNL025C
YIR017C	0.959835968662947	-1	YNL025C
YIR018W	0.00998936951282424	1	YNL025C
YIR023W	5.12652102677436e-06	1	YNL025C
YIR033W	0.0754892263546901	-1	YNL025C
YJL056C	0.943939531941846	-1	YNL025C
YJL089W	0.985246231940606	-1	YNL025C
YJL103C	0.00272939956577208	1	YNL025C
YJL110C	0.999972864059437	-1	YNL025C
YJL127C	0.675883714075331	-1	YNL025C
YJL206C	0.969552285101065	-1	YNL025C
YJR060W	0.000292976000759573	1	YNL025C
YJR094C	0.354150570787813	-1	YNL025C
YJR127C	0.999603064533556	1	YNL025C
YJR140C	0.964485283456952	-1	YNL025C
YJR147W	0.744191954392216	-1	YNL025C
YKL005C	0.999837177676799	-1	YNL025C
YKL015W	0.00103855907385508	1	YNL025C
YKL020C	1.27682458664935e-26	1	YNL025C
YKL032C	1.25535740864672e-06	1	YNL025C
YKL038W	0.924002804216153	1	YNL025C
YKL043W	2.42865725467239e-09	1	YNL025C
YKL062W	1.36733146308539e-18	1	YNL025C
YKL072W	0.698560919272932	-1	YNL025C
YKL109W	0.268298832455888	1	YNL025C
YKL112W	0.0919417311863842	1	YNL025C
YKL185W	4.00515470084692e-16	1	YNL025C
YKL222C	0.972947142055363	-1	YNL025C
YKR034W	0.9995298682891	-1	YNL025C
