TF	p	sign	KP
YAL051W	5.74901139726654e-07	1	YNL056W
YBL005W	0.218336568511704	-1	YNL056W
YBL008W	0.169656604945218	-1	YNL056W
YBL021C	0.369642491534104	1	YNL056W
YBL054W	0.986504361569109	-1	YNL056W
YBL103C	0.249300266498061	1	YNL056W
YBR033W	0.918805475295268	-1	YNL056W
YBR049C	0.863956455664434	-1	YNL056W
YBR083W	0.043067946377496	1	YNL056W
YBR112C	0.325013679763999	-1	YNL056W
YBR150C	0.316316732645659	-1	YNL056W
YBR182C	0.345219720319423	-1	YNL056W
YBR239C	0.385153216877759	1	YNL056W
YBR240C	0.976606215704357	1	YNL056W
YBR297W	0.582488127057452	1	YNL056W
YCL055W	0.0958897296251034	1	YNL056W
YCR065W	0.229625781657787	1	YNL056W
YCR084C	0.455532099316115	-1	YNL056W
YCR106W	0.877605210348575	-1	YNL056W
YDL020C	0.554424899798873	-1	YNL056W
YDL048C	0.462713576121969	-1	YNL056W
YDL056W	0.136439988840068	1	YNL056W
YDL106C	3.00301925523538e-05	1	YNL056W
YDL170W	0.990773068255165	1	YNL056W
YDR009W	0.99106648964262	-1	YNL056W
YDR026C	0.833800676264643	-1	YNL056W
YDR034C	0.143212779068803	1	YNL056W
YDR043C	0.000347093824757752	-1	YNL056W
YDR049W	0.621255533230222	-1	YNL056W
YDR123C	4.14711323281997e-12	1	YNL056W
YDR146C	0.557665654702268	1	YNL056W
YDR174W	0.407009919985377	-1	YNL056W
YDR207C	1.57620095220158e-07	1	YNL056W
YDR213W	0.626446345552137	-1	YNL056W
YDR216W	0.128258555976592	1	YNL056W
YDR253C	8.23339886256213e-08	-1	YNL056W
YDR259C	3.66940819285264e-11	1	YNL056W
YDR266C	0.565019964599589	1	YNL056W
YDR277C	0.000810514034203909	1	YNL056W
YDR310C	0.492247290513535	1	YNL056W
YDR421W	0.704799974439028	-1	YNL056W
YDR423C	0.00178321363788298	1	YNL056W
YDR451C	0.681852135723997	-1	YNL056W
YDR463W	0.94289502282297	-1	YNL056W
YDR501W	0.0388705148986739	-1	YNL056W
YDR520C	0.98383600208666	1	YNL056W
YEL009C	0.00544780174308246	-1	YNL056W
YER028C	0.997828799796819	1	YNL056W
YER040W	0.0536020771728462	1	YNL056W
YER045C	0.9795850857891	1	YNL056W
YER051W	0.715413628572379	-1	YNL056W
YER068W	0.937050989079818	-1	YNL056W
YER088C	9.18992210279413e-05	1	YNL056W
YER109C	0.000370320324833598	1	YNL056W
YER111C	0.00143643185287585	1	YNL056W
YER130C	0.704134797391323	-1	YNL056W
YER161C	0.269331664492123	-1	YNL056W
YER169W	0.757391375495051	1	YNL056W
YER184C	0.954906261092688	-1	YNL056W
YFL021W	0.439948011136427	1	YNL056W
YFL031W	0.94894152615121	1	YNL056W
YFL044C	0.995139090804542	-1	YNL056W
YFL052W	0.983272627730467	-1	YNL056W
YFR034C	0.00316342247103838	1	YNL056W
YGL013C	0.267062190299095	-1	YNL056W
YGL035C	0.557211327690237	-1	YNL056W
YGL071W	0.825620859938214	-1	YNL056W
YGL073W	0.000107499909694487	-1	YNL056W
YGL096W	0.603478900494709	-1	YNL056W
YGL131C	0.834989299539459	1	YNL056W
YGL162W	0.0029643381639196	1	YNL056W
YGL166W	0.741359444253507	-1	YNL056W
YGL181W	0.940047444654636	-1	YNL056W
YGL192W	0.993588041284123	1	YNL056W
YGL197W	0.588427700598852	-1	YNL056W
YGL209W	0.997742071040939	1	YNL056W
YGL237C	0.181486572650924	1	YNL056W
YGL252C	0.226827786692299	1	YNL056W
YGL254W	0.982937021687102	-1	YNL056W
YGR044C	0.38697166262237	-1	YNL056W
YGR067C	0.995057468956416	-1	YNL056W
YGR089W	0.598131904715147	-1	YNL056W
YGR097W	0.999528401002847	-1	YNL056W
YGR249W	0.0309912083262539	-1	YNL056W
