TF	p	sign	KP
YAL051W	2.2468904903873e-08	-1	YNR031C
YBL005W	0.619166184377314	1	YNR031C
YBL008W	0.673495741018893	1	YNR031C
YBL021C	0.773240485769393	1	YNR031C
YBL054W	0.972237961612836	1	YNR031C
YBL103C	0.234983532563168	-1	YNR031C
YBR033W	0.998372838894009	1	YNR031C
YBR049C	0.460071134146841	-1	YNR031C
YBR083W	9.65889296680674e-06	1	YNR031C
YBR112C	0.0271616874156152	-1	YNR031C
YBR150C	0.243249900263416	1	YNR031C
YBR182C	0.0718686611664023	1	YNR031C
YBR239C	0.749820791791106	1	YNR031C
YBR240C	0.939016769118401	1	YNR031C
YBR297W	0.747042851494418	-1	YNR031C
YCL055W	0.0918282450798225	1	YNR031C
YCR065W	0.0568367186439346	1	YNR031C
YCR084C	0.0423797088672185	1	YNR031C
YCR106W	0.384712628859288	1	YNR031C
YDL020C	0.999016967270285	1	YNR031C
YDL048C	0.839946205820948	1	YNR031C
YDL056W	0.450971539621978	-1	YNR031C
YDL106C	0.0229828659309049	-1	YNR031C
YDL170W	0.666140789959144	1	YNR031C
YDR009W	0.999080308665448	1	YNR031C
YDR026C	0.705485102433812	-1	YNR031C
YDR034C	0.776905778108579	-1	YNR031C
YDR043C	3.67616243970833e-11	-1	YNR031C
YDR049W	0.905858843064527	1	YNR031C
YDR123C	1.81690557015958e-18	-1	YNR031C
YDR146C	0.350338615025106	-1	YNR031C
YDR174W	0.309949088708175	1	YNR031C
YDR207C	6.87026808779321e-06	-1	YNR031C
YDR213W	0.919034094666627	1	YNR031C
YDR216W	0.00685182036547803	-1	YNR031C
YDR253C	3.38012139147252e-06	1	YNR031C
YDR259C	1.44186748174412e-10	-1	YNR031C
YDR266C	0.940863304607693	1	YNR031C
YDR277C	4.50660448049245e-06	-1	YNR031C
YDR310C	0.190673087724266	1	YNR031C
YDR421W	0.884605175023034	1	YNR031C
YDR423C	0.00202879888399194	1	YNR031C
YDR451C	0.683258838012331	-1	YNR031C
YDR463W	0.716551473705449	1	YNR031C
YDR501W	0.388361059535275	-1	YNR031C
YDR520C	0.960948676984232	1	YNR031C
YEL009C	0.484916283731402	1	YNR031C
YER028C	0.703830471929011	-1	YNR031C
YER040W	0.174052194956737	1	YNR031C
YER045C	0.95919768442757	1	YNR031C
YER051W	0.958705028882419	1	YNR031C
YER068W	0.936691854643612	1	YNR031C
YER088C	0.194255114041392	-1	YNR031C
YER109C	1.77124465877687e-06	-1	YNR031C
YER111C	5.44336968329417e-06	-1	YNR031C
YER130C	0.989399684288543	1	YNR031C
YER161C	0.54248455665734	-1	YNR031C
YER169W	0.952008331441818	-1	YNR031C
YER184C	0.911537491378676	-1	YNR031C
YFL021W	0.162011727482507	-1	YNR031C
YFL031W	0.944160291953055	-1	YNR031C
YFL044C	0.998948639469745	1	YNR031C
YFL052W	0.997100664701246	-1	YNR031C
YFR034C	0.140662082616922	-1	YNR031C
YGL013C	0.434353552879675	1	YNR031C
YGL035C	0.0925476693289933	-1	YNR031C
YGL071W	0.849035161319412	1	YNR031C
YGL073W	0.00275210349736111	-1	YNR031C
YGL096W	0.733508806470188	-1	YNR031C
YGL131C	0.941026557557456	1	YNR031C
YGL162W	3.71369859041996e-07	-1	YNR031C
YGL166W	0.84855649020737	1	YNR031C
YGL181W	0.713117369962063	-1	YNR031C
YGL192W	0.969765299813158	1	YNR031C
YGL197W	0.978993737682861	1	YNR031C
YGL209W	0.999079248235951	1	YNR031C
YGL237C	0.427118318018183	-1	YNR031C
YGL252C	0.257645079852804	-1	YNR031C
YGL254W	0.747263027544408	1	YNR031C
