TF	p	sign	KP
YAL051W	9.8036401898238e-08	1	YNR032W
YBL005W	0.960628091558296	1	YNR032W
YBL008W	0.413338082068618	1	YNR032W
YBL021C	0.0437922975406298	1	YNR032W
YBL054W	0.978213931162081	-1	YNR032W
YBL103C	0.214645170387845	-1	YNR032W
YBR033W	0.9867302295638	-1	YNR032W
YBR049C	0.506891470049911	-1	YNR032W
YBR083W	4.4058990602763e-05	-1	YNR032W
YBR112C	0.030184474715141	1	YNR032W
YBR150C	0.203488458818758	1	YNR032W
YBR182C	0.112784492909838	-1	YNR032W
YBR239C	0.269270474842709	1	YNR032W
YBR240C	0.190381956814086	-1	YNR032W
YBR297W	0.375111121326626	-1	YNR032W
YCL055W	0.185309703883925	-1	YNR032W
YCR065W	0.339221060501032	-1	YNR032W
YCR084C	0.00670593640545278	-1	YNR032W
YCR106W	0.85596583795775	1	YNR032W
YDL020C	0.886208711135456	1	YNR032W
YDL048C	0.810929636303732	-1	YNR032W
YDL056W	0.000208963536174836	-1	YNR032W
YDL106C	4.08078903670842e-06	-1	YNR032W
YDL170W	0.884401926192551	1	YNR032W
YDR009W	0.98659506427795	-1	YNR032W
YDR026C	0.933523484764177	-1	YNR032W
YDR034C	0.79761070762671	1	YNR032W
YDR043C	4.81944573431766e-10	-1	YNR032W
YDR049W	0.962927396841678	1	YNR032W
YDR123C	1.86039197383092e-18	-1	YNR032W
YDR146C	0.964693156187253	-1	YNR032W
YDR174W	0.0592557710750289	-1	YNR032W
YDR207C	1.68482804219498e-08	1	YNR032W
YDR213W	0.896553441399145	1	YNR032W
YDR216W	0.00115192024381588	1	YNR032W
YDR253C	5.58679263604739e-05	-1	YNR032W
YDR259C	3.40335189139939e-18	1	YNR032W
YDR266C	0.971964215612096	1	YNR032W
YDR277C	8.42105782994375e-06	1	YNR032W
YDR310C	0.940659196907295	1	YNR032W
YDR421W	0.939653490541514	1	YNR032W
YDR423C	0.00258435738328395	1	YNR032W
YDR451C	0.973468167900146	-1	YNR032W
YDR463W	0.557968585619842	1	YNR032W
YDR501W	0.091905807777484	-1	YNR032W
YDR520C	0.651936543628471	1	YNR032W
YEL009C	0.00118387457517606	-1	YNR032W
YER028C	0.990768829215669	-1	YNR032W
YER040W	0.102519045059608	1	YNR032W
YER045C	0.761589180835317	1	YNR032W
YER051W	0.840029337952986	-1	YNR032W
YER068W	0.521235770137656	-1	YNR032W
YER088C	0.340919615183154	1	YNR032W
YER109C	1.78376676967587e-10	-1	YNR032W
YER111C	1.72573396382607e-08	-1	YNR032W
YER130C	0.932323761973976	1	YNR032W
YER161C	0.978532121190873	1	YNR032W
YER169W	0.434755350244243	1	YNR032W
YER184C	0.998253824515061	-1	YNR032W
YFL021W	0.000383523672280321	1	YNR032W
YFL031W	0.991865534022291	-1	YNR032W
YFL044C	0.998898510353558	1	YNR032W
YFL052W	0.995220322218795	-1	YNR032W
YFR034C	0.473425509203546	-1	YNR032W
YGL013C	0.664019922109524	1	YNR032W
YGL035C	0.800992638841357	1	YNR032W
YGL071W	0.80008580008391	-1	YNR032W
YGL073W	1.79611258348127e-05	-1	YNR032W
YGL096W	0.905629881256103	-1	YNR032W
YGL131C	0.97929605766839	1	YNR032W
YGL162W	2.91714715989508e-06	-1	YNR032W
YGL166W	0.442024542781359	-1	YNR032W
YGL181W	0.812201142516134	1	YNR032W
YGL192W	0.868491011956689	1	YNR032W
YGL197W	0.961608942102009	1	YNR032W
YGL209W	0.993225524593825	1	YNR032W
YGL237C	0.00355741793248232	1	YNR032W
YGL252C	0.378471736886203	-1	YNR032W
