TF	p	sign	KP
YAL051W	0.00169568172045984	1	YOL016C
YBL005W	0.477110344709626	-1	YOL016C
YBL008W	0.728883176185643	1	YOL016C
YBL021C	0.615986815165372	-1	YOL016C
YBL054W	0.95183593823137	-1	YOL016C
YBL103C	0.92514453742427	1	YOL016C
YBR033W	0.314538669238179	1	YOL016C
YBR049C	0.562328742980016	-1	YOL016C
YBR083W	0.536125206570493	1	YOL016C
YBR112C	0.189741344379969	1	YOL016C
YBR150C	0.696300031996533	1	YOL016C
YBR182C	0.988859667706391	1	YOL016C
YBR239C	0.202487162177188	-1	YOL016C
YBR240C	0.839303806672847	-1	YOL016C
YBR297W	0.816056870353956	-1	YOL016C
YCL055W	0.796409141271976	1	YOL016C
YCR065W	0.607171407349623	1	YOL016C
YCR084C	0.129625804838008	1	YOL016C
YCR106W	0.413969372902043	-1	YOL016C
YDL020C	0.669322097745351	1	YOL016C
YDL048C	0.954384664363511	1	YOL016C
YDL056W	0.25890045338978	-1	YOL016C
YDL106C	0.443035437329151	1	YOL016C
YDL170W	0.901685351068992	1	YOL016C
YDR009W	0.189992817106234	-1	YOL016C
YDR026C	0.334378790285024	-1	YOL016C
YDR034C	0.643615125657075	-1	YOL016C
YDR043C	0.0303011113784611	1	YOL016C
YDR049W	0.810197689324071	-1	YOL016C
YDR123C	5.20967043360502e-06	1	YOL016C
YDR146C	0.923845304224858	1	YOL016C
YDR174W	0.14207682532794	1	YOL016C
YDR207C	0.000681037919962761	1	YOL016C
YDR213W	0.846999546081409	1	YOL016C
YDR216W	0.220522151001114	-1	YOL016C
YDR253C	0.0684342039852667	1	YOL016C
YDR259C	0.00356448328558052	1	YOL016C
YDR266C	0.88085694235345	-1	YOL016C
YDR277C	0.0219365261660606	1	YOL016C
YDR310C	0.995838985955759	1	YOL016C
YDR421W	0.850041375564724	1	YOL016C
YDR423C	0.00196447289998951	-1	YOL016C
YDR451C	0.256868508708094	-1	YOL016C
YDR463W	0.614447443345486	1	YOL016C
YDR501W	0.257588351674106	-1	YOL016C
YDR520C	0.730674057533196	-1	YOL016C
YEL009C	0.64582037513104	1	YOL016C
YER028C	0.575353619259838	-1	YOL016C
YER040W	0.283940423717217	1	YOL016C
YER045C	0.37071219115986	-1	YOL016C
YER051W	0.666331465703716	-1	YOL016C
YER068W	0.667954563312734	-1	YOL016C
YER088C	0.004628008548037	1	YOL016C
YER109C	0.0953184121141295	1	YOL016C
YER111C	0.00981890145676289	1	YOL016C
YER130C	0.910728145285067	-1	YOL016C
YER161C	0.694485575906103	1	YOL016C
YER169W	0.789716517924439	-1	YOL016C
YER184C	0.920920289787052	-1	YOL016C
YFL021W	0.37342865623285	1	YOL016C
YFL031W	0.983578932864114	-1	YOL016C
YFL044C	0.882285517819805	-1	YOL016C
YFL052W	0.417493016543853	-1	YOL016C
YFR034C	0.187167165716248	1	YOL016C
YGL013C	0.942354875716898	1	YOL016C
YGL035C	0.669765075307714	-1	YOL016C
YGL071W	0.460973267674407	1	YOL016C
YGL073W	0.000731969596600581	1	YOL016C
YGL096W	0.843598080185712	1	YOL016C
YGL131C	0.986871108552326	1	YOL016C
YGL162W	0.0769018503646475	-1	YOL016C
YGL166W	0.576980562392142	-1	YOL016C
YGL181W	0.96869604767297	1	YOL016C
YGL192W	0.697738297936981	1	YOL016C
YGL197W	0.618752044426526	-1	YOL016C
YGL209W	0.67423648813473	-1	YOL016C
YGL237C	0.635910163012544	-1	YOL016C
YGL252C	0.252391007667653	-1	YOL016C
YGL254W	0.969909149138844	-1	YOL016C
YGR044C	0.918212652699906	1	YOL016C
YGR067C	0.132224171844361	-1	YOL016C
YGR089W	0.0487074665496059	-1	YOL016C
YGR097W	0.980480532489872	1	YOL016C
YGR249W	0.482005612606003	-1	YOL016C
YGR288W	0.958585708285591	1	YOL016C
YHL009C	0.714577892806587	-1	YOL016C
YHL020C	0.777504235366582	-1	YOL016C
YHL027W	0.0991183927581518	-1	YOL016C
YHR006W	0.674591617563337	-1	YOL016C
YHR084W	5.19365828285096e-08	1	YOL016C
YHR124W	0.000123662035367911	1	YOL016C
YHR178W	0.447926221780468	1	YOL016C
YHR206W	0.00540017632278591	1	YOL016C
YIL036W	0.98183342553449	1	YOL016C
