TF	p	sign	KP
YAL051W	0.000773736456731729	-1	YOL045W
YBL005W	0.365319743554873	1	YOL045W
YBL008W	0.881858206399787	-1	YOL045W
YBL021C	0.421109261509839	1	YOL045W
YBL054W	0.931958598584825	1	YOL045W
YBL103C	0.0801287561378774	1	YOL045W
YBR033W	0.332790468904032	1	YOL045W
YBR049C	0.963522384044488	1	YOL045W
YBR083W	0.733655037450123	-1	YOL045W
YBR112C	0.126172925506909	-1	YOL045W
YBR150C	0.656528268156892	1	YOL045W
YBR182C	0.0741491032929966	-1	YOL045W
YBR239C	0.611564145067559	1	YOL045W
YBR240C	0.60210650112513	1	YOL045W
YBR297W	0.512842976803517	1	YOL045W
YCL055W	0.421674860301679	1	YOL045W
YCR065W	0.111316957216796	1	YOL045W
YCR084C	0.381464624021246	-1	YOL045W
YCR106W	0.308888085662848	1	YOL045W
YDL020C	0.842769237103568	1	YOL045W
YDL048C	0.959895284445883	1	YOL045W
YDL056W	0.490837408289385	-1	YOL045W
YDL106C	0.453759580838553	-1	YOL045W
YDL170W	0.857395698602529	1	YOL045W
YDR009W	0.677832108441273	1	YOL045W
YDR026C	0.361316172862217	1	YOL045W
YDR034C	0.554355807410906	-1	YOL045W
YDR043C	0.000210716910080743	1	YOL045W
YDR049W	0.74376596954053	1	YOL045W
YDR123C	9.61470416167046e-09	-1	YOL045W
YDR146C	0.505086803919648	-1	YOL045W
YDR174W	0.974278377798918	-1	YOL045W
YDR207C	0.00143092504878622	-1	YOL045W
YDR213W	0.624763966000819	1	YOL045W
YDR216W	0.0945339132258863	-1	YOL045W
YDR253C	0.000489071312131444	-1	YOL045W
YDR259C	1.4621095376496e-07	-1	YOL045W
YDR266C	0.824120641761071	1	YOL045W
YDR277C	0.000707021389066352	-1	YOL045W
YDR310C	0.868234395428332	-1	YOL045W
YDR421W	0.917539676263308	1	YOL045W
YDR423C	0.0156169514768473	1	YOL045W
YDR451C	0.495856813293534	1	YOL045W
YDR463W	0.463603658742076	1	YOL045W
YDR501W	0.304361568895556	1	YOL045W
YDR520C	0.32628152379894	1	YOL045W
YEL009C	0.00299571736364108	1	YOL045W
YER028C	0.934169782241411	1	YOL045W
YER040W	0.555526868814706	1	YOL045W
YER045C	0.588928249579932	1	YOL045W
YER051W	0.791539772396466	1	YOL045W
YER068W	0.86109625669351	1	YOL045W
YER088C	0.0480645416047531	-1	YOL045W
YER109C	0.000371207617226158	-1	YOL045W
YER111C	0.00120443723578073	-1	YOL045W
YER130C	0.629976739481461	1	YOL045W
YER161C	0.643496012878092	-1	YOL045W
YER169W	0.19477059436853	-1	YOL045W
YER184C	0.963944091093141	1	YOL045W
YFL021W	0.27661657287786	1	YOL045W
YFL031W	0.449073951147413	1	YOL045W
YFL044C	0.732665218715223	1	YOL045W
YFL052W	0.243306884363723	1	YOL045W
YFR034C	0.740304291057071	-1	YOL045W
YGL013C	0.143523234465588	1	YOL045W
YGL035C	0.962818482746378	-1	YOL045W
YGL071W	0.608185632370433	1	YOL045W
YGL073W	0.00278854671695225	-1	YOL045W
YGL096W	0.837510547303114	1	YOL045W
YGL131C	0.808740639291143	-1	YOL045W
YGL162W	0.00620863653865179	-1	YOL045W
YGL166W	0.547642241116993	1	YOL045W
YGL181W	0.675926824952061	1	YOL045W
YGL192W	0.63512158387639	1	YOL045W
YGL197W	0.300044158498331	1	YOL045W
YGL209W	0.337278090706907	1	YOL045W
YGL237C	0.683392001536034	-1	YOL045W
YGL252C	0.688805142702446	-1	YOL045W
YGL254W	0.937724016514047	1	YOL045W
YGR044C	0.744717437552793	1	YOL045W
YGR067C	0.725869712104032	1	YOL045W
YGR089W	0.0267163712499241	1	YOL045W
YGR097W	0.367292487604778	1	YOL045W
YGR249W	0.199548700740772	1	YOL045W
YGR288W	0.331696893512816	1	YOL045W
YHL009C	0.940513627879651	1	YOL045W
YHL020C	0.948817019580544	1	YOL045W
YHL027W	0.0253692139169607	1	YOL045W
YHR006W	0.992610692612688	1	YOL045W
YHR084W	2.31469506568437e-11	-1	YOL045W
YHR124W	2.62769574786646e-07	-1	YOL045W
YHR178W	0.0371847476670988	1	YOL045W
YHR206W	2.90079966429064e-10	-1	YOL045W
YIL036W	0.609938333527245	1	YOL045W
YIL101C	0.0132535361160516	-1	YOL045W
YIL119C	0.462495421238986	1	YOL045W
YIL122W	0.480317537977376	1	YOL045W
YIL128W	0.942994062567927	1	YOL045W
YIL131C	9.3658051430558e-07	-1	YOL045W
YIR017C	0.840550242633183	-1	YOL045W
YIR018W	0.00229301917927478	-1	YOL045W
YIR023W	0.0709739701486727	-1	YOL045W
YIR033W	0.0349623666086599	-1	YOL045W
YJL056C	0.870289173549072	-1	YOL045W
YJL089W	0.517374101914914	1	YOL045W
YJL103C	0.150762256597119	1	YOL045W
YJL110C	0.849589381226608	1	YOL045W
YJL127C	0.773823670098184	1	YOL045W
YJL206C	0.680765380558574	1	YOL045W
YJR060W	0.0762217054353051	-1	YOL045W
YJR094C	0.196716577023826	1	YOL045W
YJR127C	0.884718811993187	-1	YOL045W
YJR140C	0.933296324250336	1	YOL045W
YJR147W	0.914803156636212	1	YOL045W
YKL005C	0.944553312112585	1	YOL045W
YKL015W	0.161795792867638	-1	YOL045W
YKL020C	2.13970467602594e-11	-1	YOL045W
YKL032C	0.0341702477452937	-1	YOL045W
YKL038W	0.35855563594117	1	YOL045W
YKL043W	0.055748033129737	-1	YOL045W
YKL062W	2.88213607821445e-06	-1	YOL045W
YKL072W	0.717650869865201	1	YOL045W
YKL109W	0.856943297867717	1	YOL045W
YKL112W	0.844915641921973	-1	YOL045W
YKL185W	4.28275809616018e-07	-1	YOL045W
YKL222C	0.793120931991556	1	YOL045W
YKR034W	0.730673916349346	1	YOL045W
YKR064W	0.378658797414827	1	YOL045W
YKR099W	0.4322047252974	-1	YOL045W
YLR013W	0.940590882048654	-1	YOL045W
YLR014C	0.390780895419675	1	YOL045W
YLR098C	0.938236119839788	1	YOL045W
YLR131C	0.00788439365005672	-1	YOL045W
YLR176C	0.233411140333144	-1	YOL045W
YLR182W	0.0844306107202721	-1	YOL045W
YLR183C	0.239325477372106	-1	YOL045W
YLR228C	0.77409113571328	1	YOL045W
YLR256W	0.000144569912389975	-1	YOL045W
YLR266C	0.676562652907163	-1	YOL045W
YLR278C	0.147112785783881	1	YOL045W
YLR403W	0.349043749224945	-1	YOL045W
YLR451W	0.657369887466997	-1	YOL045W
YML007W	0.000543901156314193	1	YOL045W
YML027W	0.495406495226693	1	YOL045W
YML051W	0.590959224541093	1	YOL045W
YML076C	0.12217609762767	1	YOL045W
YML081W	0.805705507786673	-1	YOL045W
YML099C	0.744974437690118	1	YOL045W
YML113W	0.994096345567001	1	YOL045W
YMR016C	9.26775995769079e-06	-1	YOL045W
YMR019W	0.552223107869028	1	YOL045W
YMR021C	0.079548854827468	1	YOL045W
YMR037C	4.28403527456881e-15	-1	YOL045W
YMR042W	0.687905902217985	-1	YOL045W
YMR043W	0.251058577746408	-1	YOL045W
YMR053C	0.553562163898956	1	YOL045W
YMR070W	0.516721431641588	1	YOL045W
YMR075W	0.280490012702499	1	YOL045W
YMR164C	0.363688090421846	-1	YOL045W
YMR172W	7.04960092664375e-06	-1	YOL045W
YMR182C	0.765938251569906	-1	YOL045W
YMR280C	0.0567997942539104	-1	YOL045W
YNL027W	0.00700692516884574	-1	YOL045W
YNL068C	2.51933032386885e-05	-1	YOL045W
YNL139C	0.884453776728026	1	YOL045W
YNL167C	4.89311896856873e-09	-1	YOL045W
YNL199C	0.0225000652256888	-1	YOL045W
YNL216W	3.63834519412079e-07	-1	YOL045W
YNL257C	0.313745972175694	1	YOL045W
YNL309W	0.945472067781681	-1	YOL045W
YNL314W	0.189333437566548	1	YOL045W
YNR063W	0.185958711345186	1	YOL045W
YOL028C	0.620310945290058	1	YOL045W
YOL067C	0.859470441336251	1	YOL045W
YOL089C	0.622902930250126	-1	YOL045W
YOL108C	0.000215607521345341	-1	YOL045W
YOL116W	0.00249473749062599	-1	YOL045W
YOR028C	0.00741336862956264	-1	YOL045W
YOR032C	0.717265418940228	-1	YOL045W
YOR038C	0.802264465677478	-1	YOL045W
YOR113W	0.0716001293487438	-1	YOL045W
YOR140W	0.707095606904556	1	YOL045W
YOR162C	0.0783034635217412	-1	YOL045W
YOR229W	0.627827440650157	1	YOL045W
YOR230W	0.72890227914837	1	YOL045W
YOR337W	0.00350542811910748	-1	YOL045W
YOR344C	0.288067674255133	-1	YOL045W
YOR358W	0.204805512601547	-1	YOL045W
YOR363C	0.167761901650039	1	YOL045W
YOR380W	0.469422832274434	1	YOL045W
YPL038W	0.927952486371993	-1	YOL045W
YPL049C	0.528500235059535	-1	YOL045W
YPL075W	0.986599004426019	-1	YOL045W
YPL089C	0.283527121251617	1	YOL045W
YPL133C	6.88134004113279e-08	-1	YOL045W
YPL139C	0.0596283791594808	1	YOL045W
YPL177C	0.380935107902368	-1	YOL045W
YPL202C	0.840631861638135	1	YOL045W
YPL230W	0.352208422898012	1	YOL045W
YPL248C	0.938723257704869	1	YOL045W
YPR008W	0.817534303511132	-1	YOL045W
YPR009W	0.0978669946119334	1	YOL045W
YPR022C	0.038049241864545	1	YOL045W
YPR065W	0.0312548240550928	1	YOL045W
YPR196W	0.985473179095099	-1	YOL045W
YPR199C	0.909095541069583	1	YOL045W
