TF	p	sign	KP
YAL051W	0.00036376716997507	-1	YOR090C
YBL005W	0.654458305192959	1	YOR090C
YBL008W	0.750652302455188	1	YOR090C
YBL021C	0.666048120389978	1	YOR090C
YBL054W	0.936585259457499	1	YOR090C
YBL103C	0.400116384213486	-1	YOR090C
YBR033W	0.994027859892447	1	YOR090C
YBR049C	0.148585284711854	1	YOR090C
YBR083W	0.00852720973471578	-1	YOR090C
YBR112C	0.299180515488434	-1	YOR090C
YBR150C	0.395756890504912	1	YOR090C
YBR182C	0.20924170113251	1	YOR090C
YBR239C	0.882037141082656	1	YOR090C
YBR240C	0.96996968991734	1	YOR090C
YBR297W	0.649417326816682	-1	YOR090C
YCL055W	0.416138421694079	-1	YOR090C
YCR065W	0.0953750757897309	1	YOR090C
YCR084C	0.0757276929548899	1	YOR090C
YCR106W	0.691442660248117	1	YOR090C
YDL020C	0.993073131015069	1	YOR090C
YDL048C	0.810918347117615	-1	YOR090C
YDL056W	4.46130498272664e-07	-1	YOR090C
YDL106C	0.00421711995793464	1	YOR090C
YDL170W	0.98648452483937	-1	YOR090C
YDR009W	0.969328860750269	1	YOR090C
YDR026C	0.91698670193689	1	YOR090C
YDR034C	0.949457949276602	1	YOR090C
YDR043C	4.73328827582615e-05	1	YOR090C
YDR049W	0.976904872946969	1	YOR090C
YDR123C	1.42646098972182e-14	-1	YOR090C
YDR146C	0.821225606210523	-1	YOR090C
YDR174W	0.594456028919052	1	YOR090C
YDR207C	1.47195311103534e-05	-1	YOR090C
YDR213W	0.855657965765104	1	YOR090C
YDR216W	0.06646350514545	-1	YOR090C
YDR253C	8.48635302480316e-07	-1	YOR090C
YDR259C	1.10597783698126e-13	1	YOR090C
YDR266C	0.977735810381124	1	YOR090C
YDR277C	0.0104207090660303	-1	YOR090C
YDR310C	0.995381666850282	-1	YOR090C
YDR421W	0.820023554638226	1	YOR090C
YDR423C	0.015731210963914	-1	YOR090C
YDR451C	0.394041712969556	1	YOR090C
YDR463W	0.78123933288189	1	YOR090C
YDR501W	0.811063122746531	-1	YOR090C
YDR520C	0.959341105948419	1	YOR090C
YEL009C	0.000477538513406945	1	YOR090C
YER028C	0.999725770171233	1	YOR090C
YER040W	0.444408526294292	1	YOR090C
YER045C	0.939893928813301	1	YOR090C
YER051W	0.999292810856793	1	YOR090C
YER068W	0.78253150563955	1	YOR090C
YER088C	0.0537975746557075	-1	YOR090C
YER109C	5.2696833768251e-05	-1	YOR090C
YER111C	3.09502818136969e-10	-1	YOR090C
YER130C	0.970341825270637	1	YOR090C
YER161C	0.952925703052941	1	YOR090C
YER169W	0.290440938158259	1	YOR090C
YER184C	0.959663858837821	-1	YOR090C
YFL021W	0.723928043313859	-1	YOR090C
YFL031W	0.996982094473601	1	YOR090C
YFL044C	0.950975540879762	1	YOR090C
YFL052W	0.936751357828391	1	YOR090C
YFR034C	0.349683532187711	-1	YOR090C
YGL013C	0.1212280591996	1	YOR090C
YGL035C	0.515190940735555	1	YOR090C
YGL071W	0.867786036001902	-1	YOR090C
YGL073W	3.77523899136155e-05	1	YOR090C
YGL096W	0.809130453045967	-1	YOR090C
YGL131C	0.874636930610569	-1	YOR090C
YGL162W	0.000226769550969267	1	YOR090C
YGL166W	0.0404390265678071	-1	YOR090C
YGL181W	0.827921018644869	1	YOR090C
YGL192W	0.99467251066034	1	YOR090C
YGL197W	0.990012039459982	1	YOR090C
YGL209W	0.853789530443205	1	YOR090C
YGL237C	0.746156868091026	1	YOR090C
YGL252C	0.107860720696744	-1	YOR090C
YGL254W	0.977552210793973	1	YOR090C
YGR044C	0.271377061476582	1	YOR090C
YGR067C	0.874616593672443	1	YOR090C
YGR089W	0.781384587110979	-1	YOR090C
YGR097W	0.990170481549543	1	YOR090C
YGR249W	0.182342886216087	1	YOR090C
YGR288W	0.913820880100524	-1	YOR090C
YHL009C	0.970235970887427	-1	YOR090C
YHL020C	0.995363443112475	-1	YOR090C
YHL027W	0.648901017941427	1	YOR090C
YHR006W	0.984187490600485	1	YOR090C
YHR084W	6.97692431426672e-11	-1	YOR090C
YHR124W	1.44049784344569e-14	-1	YOR090C
YHR178W	0.170199910695484	1	YOR090C
YHR206W	6.45573776041829e-14	-1	YOR090C
YIL036W	0.979249922203883	1	YOR090C
YIL101C	0.00222049440609685	-1	YOR090C
YIL119C	0.905796888922096	-1	YOR090C
YIL122W	0.0653683195902715	-1	YOR090C
YIL128W	0.999917230429696	1	YOR090C
YIL131C	1.80382941193998e-06	-1	YOR090C
YIR017C	0.997380382820413	-1	YOR090C
YIR018W	0.00948995524578242	-1	YOR090C
YIR023W	0.0379175378079542	-1	YOR090C
YIR033W	0.192112148219976	1	YOR090C
YJL056C	0.99528399493617	1	YOR090C
YJL089W	0.996123266095543	-1	YOR090C
YJL103C	0.674386992021841	-1	YOR090C
