TF	p	sign	KP
YAL051W	0.00141537762920738	-1	YOR208W
YBL005W	0.206982843441694	1	YOR208W
YBL008W	0.092887077712479	1	YOR208W
YBL021C	0.998969590665012	1	YOR208W
YBL054W	0.273487564741809	1	YOR208W
YBL103C	0.35152514199562	-1	YOR208W
YBR033W	0.905068166467931	1	YOR208W
YBR049C	0.00100285015570087	1	YOR208W
YBR083W	0.686236263986692	-1	YOR208W
YBR112C	0.00502086845766283	1	YOR208W
YBR150C	0.11037502903796	-1	YOR208W
YBR182C	0.262334674888555	1	YOR208W
YBR239C	0.661843954869071	1	YOR208W
YBR240C	0.36449504032618	1	YOR208W
YBR297W	0.812638531992335	-1	YOR208W
YCL055W	0.371282221555396	-1	YOR208W
YCR065W	0.442582344968667	-1	YOR208W
YCR084C	0.23922792292863	1	YOR208W
YCR106W	0.99571397271334	1	YOR208W
YDL020C	0.349368067296977	1	YOR208W
YDL048C	0.999530414642799	-1	YOR208W
YDL056W	0.495466400914274	-1	YOR208W
YDL106C	0.000424099596745225	-1	YOR208W
YDL170W	0.818263391625418	-1	YOR208W
YDR009W	0.657006146877212	1	YOR208W
YDR026C	0.680390558705192	1	YOR208W
YDR034C	0.637492061697307	-1	YOR208W
YDR043C	0.0866423107877613	-1	YOR208W
YDR049W	0.966947865250769	1	YOR208W
YDR123C	4.44323717883857e-13	-1	YOR208W
YDR146C	0.807381809275324	-1	YOR208W
YDR174W	0.43644910784356	1	YOR208W
YDR207C	0.0476263106924342	-1	YOR208W
YDR213W	0.902753467195237	1	YOR208W
YDR216W	0.00122486329310914	-1	YOR208W
YDR253C	2.5951461227772e-06	-1	YOR208W
YDR259C	1.55522062877828e-05	-1	YOR208W
YDR266C	0.923457694319614	1	YOR208W
YDR277C	0.0523862098545829	-1	YOR208W
YDR310C	0.997188142492872	1	YOR208W
YDR421W	0.0883207300984626	1	YOR208W
YDR423C	0.0191543225366568	-1	YOR208W
YDR451C	0.180808666176255	1	YOR208W
YDR463W	0.158454108727237	1	YOR208W
YDR501W	0.17035463699354	-1	YOR208W
YDR520C	0.882137746744281	1	YOR208W
YEL009C	0.143535192768532	-1	YOR208W
YER028C	0.999943769981169	-1	YOR208W
YER040W	0.209511402434059	-1	YOR208W
YER045C	0.625709363102796	1	YOR208W
YER051W	0.897476509964208	1	YOR208W
YER068W	0.0605830331600948	1	YOR208W
YER088C	0.0547532571357231	-1	YOR208W
YER109C	0.00524386562206008	-1	YOR208W
YER111C	0.0808964815627915	-1	YOR208W
YER130C	0.969440003900118	1	YOR208W
YER161C	0.125285615122722	1	YOR208W
YER169W	0.268386365162569	-1	YOR208W
YER184C	0.998359670437934	1	YOR208W
YFL021W	0.676419175429421	-1	YOR208W
YFL031W	0.997598160187126	-1	YOR208W
YFL044C	0.965688200835934	1	YOR208W
YFL052W	0.954523848863034	1	YOR208W
YFR034C	0.00489144646869789	-1	YOR208W
YGL013C	0.616504440853213	-1	YOR208W
YGL035C	0.294550220953336	-1	YOR208W
YGL071W	0.180824269906954	1	YOR208W
YGL073W	0.000538552824252152	-1	YOR208W
YGL096W	0.368114714199162	-1	YOR208W
YGL131C	0.989991939622218	-1	YOR208W
YGL162W	0.0860817492730318	-1	YOR208W
YGL166W	0.369239791650351	1	YOR208W
YGL181W	0.981060698500814	1	YOR208W
YGL192W	0.846214059133771	1	YOR208W
YGL197W	0.89294027852104	1	YOR208W
YGL209W	0.766796321891624	1	YOR208W
YGL237C	0.353180495554217	-1	YOR208W
YGL252C	0.0513383813079652	-1	YOR208W
YGL254W	0.907253836478094	1	YOR208W
YGR044C	0.402510338321688	1	YOR208W
YGR067C	0.882698376263581	1	YOR208W
YGR089W	0.841164008118164	1	YOR208W
YGR097W	0.782563278101835	1	YOR208W
YGR249W	0.447889131656101	1	YOR208W
YGR288W	0.915404329244667	-1	YOR208W
YHL009C	0.774310362879808	1	YOR208W
YHL020C	0.827643396071509	-1	YOR208W
YHL027W	0.97357743310789	-1	YOR208W
YHR006W	0.351894704684062	1	YOR208W
YHR084W	7.23543688377137e-07	-1	YOR208W
YHR124W	8.12221400138722e-06	-1	YOR208W
YHR178W	0.196178002901886	1	YOR208W
YHR206W	6.49354194221459e-08	-1	YOR208W
YIL036W	0.820143420909694	1	YOR208W
YIL101C	0.00318034272601121	-1	YOR208W
YIL119C	0.949670985544794	1	YOR208W
YIL122W	0.0651684128509692	1	YOR208W
YIL128W	0.997782197109762	1	YOR208W
YIL131C	1.19012432356269e-07	-1	YOR208W
YIR017C	0.985980548066963	1	YOR208W
YIR018W	0.0267687512393882	-1	YOR208W
YIR023W	0.00676328247325232	-1	YOR208W
YIR033W	0.333517774695069	1	YOR208W
YJL056C	0.97680602383917	-1	YOR208W
YJL089W	0.906130489488618	-1	YOR208W
YJL103C	0.613705380995033	-1	YOR208W
YJL110C	0.999458448079522	1	YOR208W
YJL127C	0.89981864260719	1	YOR208W
YJL206C	0.977098870896043	1	YOR208W
YJR060W	0.000524398668234585	1	YOR208W
YJR094C	0.852575424504307	-1	YOR208W
