TF	p	sign	KP
YAL051W	1.69710987244888e-05	-1	YPL140C
YBL005W	0.444910911569756	1	YPL140C
YBL008W	0.716816455112021	1	YPL140C
YBL021C	0.22632790247679	1	YPL140C
YBL054W	0.755723879401467	1	YPL140C
YBL103C	0.721019211519752	1	YPL140C
YBR033W	0.944282114732152	1	YPL140C
YBR049C	0.153292425542581	-1	YPL140C
YBR083W	0.0318307623267876	-1	YPL140C
YBR112C	0.0300774048541036	1	YPL140C
YBR150C	0.129036198941765	1	YPL140C
YBR182C	0.655601063329937	1	YPL140C
YBR239C	0.76611894033226	1	YPL140C
YBR240C	0.957631632428794	1	YPL140C
YBR297W	0.799983260224702	-1	YPL140C
YCL055W	0.329078594315545	-1	YPL140C
YCR065W	0.0161707183017406	1	YPL140C
YCR084C	0.107998490783009	1	YPL140C
YCR106W	0.827208045877972	1	YPL140C
YDL020C	0.00117060075605444	-1	YPL140C
YDL048C	0.805691809109691	1	YPL140C
YDL056W	0.00110527908762591	-1	YPL140C
YDL106C	0.00701939668890881	-1	YPL140C
YDL170W	0.994128505212393	1	YPL140C
YDR009W	0.999388068303854	1	YPL140C
YDR026C	0.469430429860745	1	YPL140C
YDR034C	0.756183297930546	-1	YPL140C
YDR043C	3.19735984475107e-08	-1	YPL140C
YDR049W	0.232225784112778	1	YPL140C
YDR123C	1.202564118726e-14	-1	YPL140C
YDR146C	0.850303050395134	-1	YPL140C
YDR174W	0.23934640859437	-1	YPL140C
YDR207C	1.29025663027675e-06	-1	YPL140C
YDR213W	0.341197904681186	1	YPL140C
YDR216W	0.000332079216407926	-1	YPL140C
YDR253C	0.000628818845212621	-1	YPL140C
YDR259C	4.9804525860227e-10	-1	YPL140C
YDR266C	0.474065354958956	1	YPL140C
YDR277C	0.000670181042461738	-1	YPL140C
YDR310C	0.999950000974018	1	YPL140C
YDR421W	0.960385013912641	1	YPL140C
YDR423C	0.00323653667197808	1	YPL140C
YDR451C	0.656923400707312	1	YPL140C
YDR463W	0.799710121993205	-1	YPL140C
YDR501W	0.179400032573819	-1	YPL140C
YDR520C	0.909640215547473	1	YPL140C
YEL009C	0.0424315504740859	1	YPL140C
YER028C	0.999368099222262	1	YPL140C
YER040W	0.0984900396023263	-1	YPL140C
YER045C	0.74444012494984	1	YPL140C
YER051W	0.920612559584217	1	YPL140C
YER068W	0.515299768758206	1	YPL140C
YER088C	0.132453857799034	1	YPL140C
YER109C	1.35088697325411e-06	-1	YPL140C
YER111C	0.000116060475689097	-1	YPL140C
YER130C	0.422888157800409	1	YPL140C
YER161C	0.908162619867908	1	YPL140C
YER169W	0.648421435279208	-1	YPL140C
YER184C	0.965712148490064	1	YPL140C
YFL021W	0.736573033739261	-1	YPL140C
YFL031W	0.99925841438885	1	YPL140C
YFL044C	0.990274898048769	1	YPL140C
YFL052W	0.796054679445409	1	YPL140C
YFR034C	0.0636457247057221	1	YPL140C
YGL013C	0.540607342307116	1	YPL140C
YGL035C	0.684176382873004	-1	YPL140C
YGL071W	0.784808360904219	-1	YPL140C
YGL073W	0.000867564262150707	-1	YPL140C
YGL096W	0.765663892639263	-1	YPL140C
YGL131C	0.993264589160369	1	YPL140C
YGL162W	2.68615386085669e-06	-1	YPL140C
YGL166W	0.564774693837444	1	YPL140C
YGL181W	0.995046295028917	1	YPL140C
YGL192W	0.944748287924008	1	YPL140C
YGL197W	0.968279161378956	1	YPL140C
YGL209W	0.933081206280334	1	YPL140C
YGL237C	0.363337269828984	-1	YPL140C
YGL252C	0.224697524501767	-1	YPL140C
YGL254W	0.88274895313034	1	YPL140C
YGR044C	0.663438918477011	1	YPL140C
YGR067C	0.951455902217687	1	YPL140C
YGR089W	0.853980729616136	1	YPL140C
YGR097W	0.991548976038823	1	YPL140C
YGR249W	0.382753224436368	-1	YPL140C
YGR288W	0.76729257291545	1	YPL140C
YHL009C	0.973039452372808	1	YPL140C
YHL020C	0.850545237334318	-1	YPL140C
YHL027W	0.979974815118315	-1	YPL140C
YHR006W	0.999615297008453	1	YPL140C
YHR084W	6.81207997140761e-07	-1	YPL140C
YHR124W	3.30311309918889e-11	-1	YPL140C
YHR178W	0.508213770245226	1	YPL140C
YHR206W	8.3860150381729e-15	-1	YPL140C
YIL036W	0.968467420691239	1	YPL140C
YIL101C	0.00392263749311461	-1	YPL140C
YIL119C	0.955204793452792	1	YPL140C
YIL122W	0.0877631605113989	-1	YPL140C
YIL128W	0.999997062032136	1	YPL140C
YIL131C	6.03293197714032e-06	-1	YPL140C
