TF	p	sign	KP
YAL051W	3.06268059111402e-07	-1	YPL203W
YBL005W	0.335066613752289	1	YPL203W
YBL008W	0.433961210137207	1	YPL203W
YBL021C	0.0318390231585157	-1	YPL203W
YBL054W	0.910181508211965	1	YPL203W
YBL103C	0.709085817254825	1	YPL203W
YBR033W	0.994453041174319	1	YPL203W
YBR049C	0.208109535460707	1	YPL203W
YBR083W	0.0708611951196565	-1	YPL203W
YBR112C	0.159720270671867	1	YPL203W
YBR150C	0.119434142134684	-1	YPL203W
YBR182C	0.645683968166174	1	YPL203W
YBR239C	0.851041795582372	1	YPL203W
YBR240C	0.999489925552313	1	YPL203W
YBR297W	0.600516283788072	1	YPL203W
YCL055W	0.977857145115586	1	YPL203W
YCR065W	0.225446032584387	1	YPL203W
YCR084C	0.175257063445318	1	YPL203W
YCR106W	0.638313059523446	-1	YPL203W
YDL020C	0.887708812548828	1	YPL203W
YDL048C	0.382554981852883	1	YPL203W
YDL056W	0.113682062464486	-1	YPL203W
YDL106C	0.000454185496736785	-1	YPL203W
YDL170W	0.692263400014234	1	YPL203W
YDR009W	0.952845945277164	1	YPL203W
YDR026C	0.774012838337606	1	YPL203W
YDR034C	0.818617970061584	1	YPL203W
YDR043C	2.131261242556e-07	-1	YPL203W
YDR049W	0.994520996089292	1	YPL203W
YDR123C	9.22416980417826e-14	-1	YPL203W
YDR146C	0.848249775098939	-1	YPL203W
YDR174W	0.147890137871529	1	YPL203W
YDR207C	1.38598223750116e-07	-1	YPL203W
YDR213W	0.858918873535247	1	YPL203W
YDR216W	0.1109859356425	-1	YPL203W
YDR253C	0.000127033221860084	-1	YPL203W
YDR259C	1.13439884190315e-16	-1	YPL203W
YDR266C	0.957797171706222	1	YPL203W
YDR277C	0.00468747654042679	-1	YPL203W
YDR310C	0.985506261518685	1	YPL203W
YDR421W	0.765839691943238	1	YPL203W
YDR423C	5.9229160125586e-05	-1	YPL203W
YDR451C	0.548614595326322	1	YPL203W
YDR463W	0.953228680275911	-1	YPL203W
YDR501W	0.0663968650847345	1	YPL203W
YDR520C	0.98791132019705	1	YPL203W
YEL009C	0.0109503719358118	1	YPL203W
YER028C	0.986111446012585	-1	YPL203W
YER040W	0.0461601386415142	-1	YPL203W
YER045C	0.710918562699834	1	YPL203W
YER051W	0.967214517341826	1	YPL203W
YER068W	0.656087009419353	1	YPL203W
YER088C	0.001646145698423	-1	YPL203W
YER109C	1.12187897370291e-06	-1	YPL203W
YER111C	5.81182260058429e-08	-1	YPL203W
YER130C	0.998489787074041	1	YPL203W
YER161C	0.736613503547827	1	YPL203W
YER169W	0.444247613267283	-1	YPL203W
YER184C	0.999315028211885	1	YPL203W
YFL021W	0.101885535658818	-1	YPL203W
YFL031W	0.950371487009796	-1	YPL203W
YFL044C	0.997893900961741	-1	YPL203W
YFL052W	0.996984490072276	1	YPL203W
YFR034C	0.016010502697405	1	YPL203W
YGL013C	0.924289922931262	1	YPL203W
YGL035C	0.294491023818067	1	YPL203W
YGL071W	0.854558060643484	1	YPL203W
YGL073W	1.63858965231493e-06	-1	YPL203W
YGL096W	0.742244968885183	-1	YPL203W
YGL131C	0.939808468612247	1	YPL203W
YGL162W	0.0119033352356443	-1	YPL203W
YGL166W	0.350944398550473	1	YPL203W
YGL181W	0.870285216861135	1	YPL203W
YGL192W	0.958543708748224	-1	YPL203W
YGL197W	0.999687005701369	1	YPL203W
YGL209W	0.976580366371956	-1	YPL203W
YGL237C	0.0246842265706185	-1	YPL203W
YGL252C	0.431586730651228	-1	YPL203W
YGL254W	0.698686019784401	-1	YPL203W
YGR044C	0.434011308697539	1	YPL203W
YGR067C	0.936634075106425	-1	YPL203W
YGR089W	0.791814577596886	1	YPL203W
YGR097W	0.970467361326761	-1	YPL203W
YGR249W	0.0574399208449921	-1	YPL203W
YGR288W	0.94584175901394	-1	YPL203W
YHL009C	0.404405020158214	1	YPL203W
YHL020C	0.780855431219987	1	YPL203W
YHL027W	0.25441225638603	-1	YPL203W
YHR006W	0.982410768584154	-1	YPL203W
YHR084W	2.06560730328948e-10	-1	YPL203W
YHR124W	3.14067202098834e-11	-1	YPL203W
YHR178W	0.00290302440372983	-1	YPL203W
YHR206W	1.0075358459439e-11	-1	YPL203W
YIL036W	0.875875820380905	-1	YPL203W
YIL101C	1.66498610759686e-07	-1	YPL203W
YIL119C	0.98079405402694	1	YPL203W
YIL122W	0.616606016604797	-1	YPL203W
YIL128W	0.99742921691209	1	YPL203W
YIL131C	4.17530716128239e-05	-1	YPL203W
YIR017C	0.468785235515419	-1	YPL203W
YIR018W	0.052110962199177	-1	YPL203W
YIR023W	0.0332864491039616	1	YPL203W
YIR033W	0.0214631663282285	1	YPL203W
YJL056C	0.91103188547437	1	YPL203W
YJL089W	0.993388970982558	1	YPL203W
YJL103C	0.383588960839352	-1	YPL203W
YJL110C	0.998481653714255	1	YPL203W
YJL127C	0.993864070349901	1	YPL203W
YJL206C	0.970418449347357	1	YPL203W
YJR060W	1.19434058832872e-07	1	YPL203W
YJR094C	0.204496006292407	1	YPL203W
YJR127C	0.734292247488624	-1	YPL203W
YJR140C	0.981852849811846	-1	YPL203W
YJR147W	0.720149551024896	-1	YPL203W
YKL005C	0.775971111025604	1	YPL203W
YKL015W	0.00220241671135298	-1	YPL203W
YKL020C	1.73356805624128e-12	-1	YPL203W
YKL032C	0.000427690634100626	-1	YPL203W
YKL038W	0.514432434500119	-1	YPL203W
YKL043W	1.00918980577407e-05	-1	YPL203W
YKL062W	1.86098236579858e-06	-1	YPL203W
YKL072W	0.965425708133595	1	YPL203W
YKL109W	0.699365975675549	1	YPL203W
YKL112W	0.128612411646266	1	YPL203W
YKL185W	9.457833900624e-08	-1	YPL203W
YKL222C	0.985812032839967	1	YPL203W
YKR034W	0.976628742729748	1	YPL203W
YKR064W	0.988484437816058	1	YPL203W
YKR099W	0.872952834627922	1	YPL203W
YLR013W	0.99920464586335	1	YPL203W
YLR014C	0.893899841869329	1	YPL203W
YLR098C	0.836181492000052	-1	YPL203W
YLR131C	0.00541907114180989	-1	YPL203W
YLR176C	0.0247907066308793	-1	YPL203W
YLR182W	0.00764775036209263	-1	YPL203W
YLR183C	0.254593643585056	-1	YPL203W
YLR228C	0.780387974037271	-1	YPL203W
