TF	p	sign	KP
YAL051W	8.72402986802603e-05	-1	YPR054W
YBL005W	0.97631452450962	1	YPR054W
YBL008W	0.789524023015273	1	YPR054W
YBL021C	0.332848452269855	1	YPR054W
YBL054W	0.987914295623003	-1	YPR054W
YBL103C	0.000733547272081223	-1	YPR054W
YBR033W	0.944399047693891	1	YPR054W
YBR049C	0.983058546524892	-1	YPR054W
YBR083W	2.99431470942475e-06	-1	YPR054W
YBR112C	0.497579895743814	-1	YPR054W
YBR150C	0.783831269437481	1	YPR054W
YBR182C	0.261037124671782	-1	YPR054W
YBR239C	0.119674587763187	1	YPR054W
YBR240C	0.171286156168552	-1	YPR054W
YBR297W	0.00865336937476243	-1	YPR054W
YCL055W	0.350885150863108	-1	YPR054W
YCR065W	0.525399772983567	-1	YPR054W
YCR084C	0.775413934400267	1	YPR054W
YCR106W	0.818854386394677	1	YPR054W
YDL020C	0.766346207754161	-1	YPR054W
YDL048C	0.140399315307901	-1	YPR054W
YDL056W	0.114350802906402	-1	YPR054W
YDL106C	0.0567236980570619	-1	YPR054W
YDL170W	0.204278663361112	-1	YPR054W
YDR009W	0.597367110991613	1	YPR054W
YDR026C	0.875451164295713	-1	YPR054W
YDR034C	0.29392236845477	-1	YPR054W
YDR043C	0.00235374173118753	1	YPR054W
YDR049W	0.996871376741599	1	YPR054W
YDR123C	0.000305046393274212	-1	YPR054W
YDR146C	0.0151666048820553	-1	YPR054W
YDR174W	0.849029149449448	1	YPR054W
YDR207C	0.00290860589127348	1	YPR054W
YDR213W	0.99581058094789	1	YPR054W
YDR216W	0.417752702394246	1	YPR054W
YDR253C	0.0572449647352385	-1	YPR054W
YDR259C	0.00359052739212278	1	YPR054W
YDR266C	0.994831637955807	1	YPR054W
YDR277C	0.000512889302853868	-1	YPR054W
YDR310C	0.581441638902603	-1	YPR054W
YDR421W	0.557404482064464	1	YPR054W
YDR423C	0.311621695599061	1	YPR054W
YDR451C	0.946489766909478	1	YPR054W
YDR463W	0.646577026376015	1	YPR054W
YDR501W	0.694437444948917	1	YPR054W
YDR520C	0.943002346377484	1	YPR054W
YEL009C	0.00100951196923888	-1	YPR054W
YER028C	0.170641474300901	-1	YPR054W
YER040W	0.0111211760362803	1	YPR054W
YER045C	0.937764313031807	1	YPR054W
YER051W	0.781372264828129	1	YPR054W
YER068W	0.950663287514417	1	YPR054W
