TF	p	sign	KP
YAL051W	0.000180842491013912	1	YPR120C
YBL005W	0.386366492073253	1	YPR120C
YBL008W	0.513222638645772	-1	YPR120C
YBL021C	0.0698829859413578	1	YPR120C
YBL054W	0.583922640673158	-1	YPR120C
YBL103C	0.640570739128908	-1	YPR120C
YBR033W	0.690412665079709	-1	YPR120C
YBR049C	0.0265972318007455	-1	YPR120C
YBR083W	0.646318865503116	-1	YPR120C
YBR112C	0.0213843199990131	-1	YPR120C
YBR150C	0.323777717063714	1	YPR120C
YBR182C	0.995033212133327	1	YPR120C
YBR239C	0.164368222827721	1	YPR120C
YBR240C	0.996492623077885	1	YPR120C
YBR297W	0.236611852935446	-1	YPR120C
YCL055W	0.630739496465142	-1	YPR120C
YCR065W	0.164844240320579	-1	YPR120C
YCR084C	0.751786322221853	-1	YPR120C
YCR106W	0.615897364266977	1	YPR120C
YDL020C	0.104153387806829	1	YPR120C
YDL048C	0.834656552248327	-1	YPR120C
YDL056W	0.0119892428902511	1	YPR120C
YDL106C	2.45798065578785e-09	1	YPR120C
YDL170W	0.982125523397948	-1	YPR120C
YDR009W	0.995683454104025	-1	YPR120C
YDR026C	0.716796793745482	1	YPR120C
YDR034C	0.742963589550098	1	YPR120C
YDR043C	0.000188902351704999	1	YPR120C
YDR049W	0.739046536754638	1	YPR120C
YDR123C	2.4948466341355e-12	1	YPR120C
YDR146C	0.245284827341988	-1	YPR120C
YDR174W	0.706135691474264	1	YPR120C
YDR207C	0.00116859872602171	1	YPR120C
YDR213W	0.624020737402424	1	YPR120C
YDR216W	0.000467953571144794	1	YPR120C
YDR253C	0.000544392507483221	1	YPR120C
YDR259C	3.73020583997828e-07	1	YPR120C
YDR266C	0.96596697605696	-1	YPR120C
YDR277C	0.00377634238091567	1	YPR120C
YDR310C	0.982731192914037	-1	YPR120C
YDR421W	0.971881665162077	-1	YPR120C
YDR423C	3.1410299383582e-05	-1	YPR120C
YDR451C	0.5110829505222	-1	YPR120C
YDR463W	0.807206906880952	1	YPR120C
YDR501W	0.17554290263928	1	YPR120C
YDR520C	0.997867247900747	1	YPR120C
YEL009C	0.000261725117399489	-1	YPR120C
YER028C	0.992938356247115	1	YPR120C
YER040W	0.280525152753732	1	YPR120C
YER045C	0.958195359723938	1	YPR120C
YER051W	0.710055395936568	-1	YPR120C
YER068W	0.930190299278066	-1	YPR120C
YER088C	0.0140820863323661	-1	YPR120C
YER109C	6.93663550460147e-06	1	YPR120C
YER111C	0.0031987542893369	1	YPR120C
YER130C	0.7427243335239	1	YPR120C
YER161C	0.727732354044051	-1	YPR120C
YER169W	0.435479173709824	1	YPR120C
YER184C	0.885896967042089	-1	YPR120C
YFL021W	0.116705784063996	-1	YPR120C
YFL031W	0.984253498407186	1	YPR120C
YFL044C	0.976336390070035	-1	YPR120C
YFL052W	0.977371375544538	-1	YPR120C
YFR034C	0.00260788513700873	1	YPR120C
YGL013C	0.962299076474907	1	YPR120C
YGL035C	0.447291104298499	1	YPR120C
YGL071W	0.680095880856034	-1	YPR120C
YGL073W	3.15733566660369e-06	1	YPR120C
YGL096W	0.15519414143007	1	YPR120C
YGL131C	0.988309613097248	-1	YPR120C
YGL162W	0.0105521448033777	1	YPR120C
YGL166W	0.0655785563819158	-1	YPR120C
YGL181W	0.738441181442019	-1	YPR120C
YGL192W	0.994120554226709	-1	YPR120C
YGL197W	0.963273368414267	1	YPR120C
YGL209W	0.784000218271412	1	YPR120C
YGL237C	0.0728412587818142	1	YPR120C
YGL252C	0.0621656529458916	1	YPR120C
YGL254W	0.484805715090283	1	YPR120C
YGR044C	0.685288314372231	-1	YPR120C
YGR067C	0.952299979050869	-1	YPR120C
YGR089W	0.490094159729962	-1	YPR120C
YGR097W	0.99355158817826	-1	YPR120C
YGR249W	0.0595177267438628	1	YPR120C
YGR288W	0.91763929001422	-1	YPR120C
YHL009C	0.999249130257252	-1	YPR120C
YHL020C	0.868003192806883	1	YPR120C
YHL027W	0.461063187514357	1	YPR120C
YHR006W	0.936153158010955	-1	YPR120C
YHR084W	5.88091694066106e-07	1	YPR120C
YHR124W	1.07019651939989e-08	1	YPR120C
YHR178W	0.00803467886098455	1	YPR120C
YHR206W	3.7275928488043e-10	1	YPR120C
YIL036W	0.936888387045391	1	YPR120C
YIL101C	0.0401368373787649	1	YPR120C
YIL119C	0.980322995039721	-1	YPR120C
YIL122W	0.0210383278288251	1	YPR120C
YIL128W	0.999983695952587	-1	YPR120C
YIL131C	2.58907845595516e-07	1	YPR120C
YIR017C	0.549783380896282	-1	YPR120C
YIR018W	0.00161860708277071	1	YPR120C
YIR023W	0.0622662819644021	-1	YPR120C
YIR033W	0.00115874412435835	-1	YPR120C
YJL056C	0.985556495536985	1	YPR120C
YJL089W	0.835053604311336	-1	YPR120C
YJL103C	0.0697424977598504	1	YPR120C
YJL110C	0.999827036055807	-1	YPR120C
YJL127C	0.834303872834361	-1	YPR120C
YJL206C	0.992056274221092	1	YPR120C
YJR060W	8.0150821939505e-08	-1	YPR120C
YJR094C	0.705903449575378	1	YPR120C
YJR127C	0.557113234316768	-1	YPR120C
YJR140C	0.719074043531972	1	YPR120C
YJR147W	0.610809707371897	1	YPR120C
YKL005C	0.993712757036055	-1	YPR120C
YKL015W	0.0337500734730648	-1	YPR120C
YKL020C	3.83850233088657e-12	1	YPR120C
YKL032C	0.0119899080479625	1	YPR120C
YKL038W	0.227223915105094	-1	YPR120C
YKL043W	0.0012979017387584	1	YPR120C
YKL062W	1.63330065433428e-06	1	YPR120C
YKL072W	0.993181464336588	-1	YPR120C
YKL109W	0.266124303935869	1	YPR120C
YKL112W	0.000176620471402484	-1	YPR120C
YKL185W	0.000290989613204043	1	YPR120C
YKL222C	0.591596793415419	-1	YPR120C
YKR034W	0.995343288270686	-1	YPR120C
YKR064W	0.751979388485146	-1	YPR120C
YKR099W	0.760548420568578	-1	YPR120C
YLR013W	0.997511500339293	1	YPR120C
YLR014C	0.943266569444733	-1	YPR120C
YLR098C	0.706773063576069	-1	YPR120C
YLR131C	0.00135193542129075	-1	YPR120C
YLR176C	0.0490737206266175	1	YPR120C
YLR182W	0.000619570231593912	1	YPR120C
YLR183C	0.177410737946463	1	YPR120C
YLR228C	0.326526017399131	1	YPR120C
YLR256W	2.63692973524575e-08	1	YPR120C
YLR266C	0.339261636764118	-1	YPR120C
YLR278C	0.890006212716926	-1	YPR120C
YLR403W	0.486622126025835	-1	YPR120C
YLR451W	0.491822770742908	-1	YPR120C
YML007W	1.55732497158508e-06	-1	YPR120C
YML027W	0.709181628980779	1	YPR120C
YML051W	0.997924559576731	-1	YPR120C
YML076C	0.716664077729329	-1	YPR120C
YML081W	0.951882322884662	-1	YPR120C
YML099C	0.886608792374518	-1	YPR120C
YML113W	0.999996551959775	-1	YPR120C
YMR016C	0.000282601316256216	1	YPR120C
YMR019W	0.644634257913616	-1	YPR120C
YMR021C	0.987140857255036	-1	YPR120C
YMR037C	7.24735783081288e-19	1	YPR120C
YMR042W	0.0569437368592755	-1	YPR120C
YMR043W	0.0150046413774269	1	YPR120C
YMR053C	0.99873731860564	-1	YPR120C
YMR070W	0.809003236857145	1	YPR120C
YMR075W	0.551214206855545	1	YPR120C
YMR164C	0.951477637899332	1	YPR120C
YMR172W	1.04465609232153e-09	1	YPR120C
YMR182C	0.999462183472259	1	YPR120C
YMR280C	0.0119650544190466	-1	YPR120C
YNL027W	0.00238047972439604	1	YPR120C
YNL068C	2.04341293772142e-06	1	YPR120C
YNL139C	0.520018734729024	1	YPR120C
YNL167C	8.82777785235426e-10	1	YPR120C
YNL199C	0.449183054212048	-1	YPR120C
YNL216W	0.00302835252192815	-1	YPR120C
YNL257C	0.929187121243613	-1	YPR120C
YNL309W	0.611929343374797	1	YPR120C
YNL314W	0.60556878657584	1	YPR120C
YNR063W	0.620921473328412	-1	YPR120C
YOL028C	0.00539993497555924	-1	YPR120C
YOL067C	0.756240753784311	-1	YPR120C
YOL089C	0.828184422406507	1	YPR120C
YOL108C	1.47841957345317e-06	1	YPR120C
YOL116W	0.82995269832616	-1	YPR120C
YOR028C	4.893038010692e-06	1	YPR120C
YOR032C	0.798589730351541	1	YPR120C
YOR038C	0.718900811185212	-1	YPR120C
YOR113W	0.107712205514644	-1	YPR120C
YOR140W	0.98085003494263	-1	YPR120C
YOR162C	0.0140977474779549	-1	YPR120C
YOR229W	0.941665281669671	-1	YPR120C
YOR230W	0.999249420410008	1	YPR120C
YOR337W	0.0183096696454466	1	YPR120C
YOR344C	0.0668683358806064	-1	YPR120C
YOR358W	0.000895315372029328	1	YPR120C
YOR363C	0.0288013941687748	1	YPR120C
YOR380W	0.524512420797848	-1	YPR120C
YPL038W	0.93434862544565	-1	YPR120C
YPL049C	0.994676511005235	-1	YPR120C
YPL075W	0.725287062481843	-1	YPR120C
YPL089C	0.740632634843766	-1	YPR120C
YPL133C	5.38549803941176e-12	1	YPR120C
YPL139C	0.990693417998974	1	YPR120C
YPL177C	0.396469190894525	1	YPR120C
YPL202C	0.609704792562893	1	YPR120C
YPL230W	0.897820802257417	1	YPR120C
YPL248C	0.999581612025048	-1	YPR120C
YPR008W	0.968159834532486	1	YPR120C
YPR009W	0.936254722163409	1	YPR120C
YPR022C	0.714035397252059	-1	YPR120C
YPR065W	0.083077369604181	1	YPR120C
YPR196W	0.958619551712083	1	YPR120C
YPR199C	0.995597753339863	1	YPR120C
