TF	Target	Pval	Mode
MAL63	YBL010C	0.01408	
MAL63	YBR053C	0.007088	
MAL63	YBR101C	0.03001	
MAL63	YBR276C	0.02081	
MAL63	YBR279W	0.0208	
MAL63	YBR299W	0.00219	
MAL63	YDL204W	0.009147	
MAL63	YDL205C	0.01881	
MAL63	YDR207C	0.01352	
MAL63	YDR208W	0.0223	
MAL63	YDR463W	0.02664	
MAL63	YDR493W	0.01413	
MAL63	YEL009C	0.008781	
MAL63	YGL008C	0.01157	
MAL63	YGL047W	0.02021	
MAL63	YGL048C	0.02022	
MAL63	YGR141W	0.009126	
MAL63	YGR206W	0.02021	
MAL63	YHR011W	0.0275	
MAL63	YHR091C	0.01418	
MAL63	YHR114W	0.01402	
MAL63	YIL031W	0.01127	
MAL63	YIL033C	0.01575	
MAL63	YJR070C	0.01659	
MAL63	YKL088W	0.01761	
MAL63	YKL117W	0.02502	
MAL63	YKR006C	0.004165	
MAL63	YKR008W	0.003925	
MAL63	YKR100C	0.009243	
MAL63	YKR101W	0.0187	
MAL63	YLL026W	0.02246	
MAL63	YLR097C	0.0236	
MAL63	YLR131C	0.02139	
MAL63	YLR134W	0.001067	
MAL63	YLR193C	0.02581	
MAL63	YLR237W	0.02616	
MAL63	YLR396C	0.02644	
MAL63	YLR423C	0.01301	
MAL63	YML037C	0.02834	
MAL63	YNL024C	0.02272	
MAL63	YNL234W	0.02023	
MAL63	YNL289W	0.02895	
MAL63	YNL291C	0.006764	
MAL63	YNL298W	0.0313	
MAL63	YNL299W	0.02961	
MAL63	YOL005C	0.02448	
MAL63	YOR145C	0.0003934	
MAL63	YPL098C	0.001263	
MATA1	YAL048C	0.00461098544582478	
MATA1	YBL018C	0.000372	
MATA1	YBL106C	0.047	
MATA1	YBR012C	0.0127	
MATA1	YBR013C	0.0127	
MATA1	YBR034C	0.0331	
MATA1	YBR061C	0.0409	
MATA1	YBR063C	0.0215	
MATA1	YBR098W	0.00595	
MATA1	YBR100W	0.00595	
MATA1	YBR102C	0.0082	
MATA1	YBR103W	0.0082	
MATA1	YBR122C	0.0443	
MATA1	YBR124W	0.0443	
MATA1	YBR143C	0.0186	
MATA1	YBR192W	0.0155	
MATA1	YBR199W	7.29468248075632e-05	
MATA1	YBR210W	0.0136	
MATA1	YBR232C	0.0257	
MATA1	YBR281C	0.000925	
MATA1	YBR282W	0.000925	
MATA1	YBR292C	0.0361	
MATA1	YCL021W-A	0.03131	
MATA1	YCL055W	0.0459	
MATA1	YCL056C	0.0459	
MATA1	YCL065W	0.0362	
MATA1	YCL066W	0.0362	
MATA1	YCL067C	0.0362	
MATA1	YCR017C	0.0255	
