TF	Target	Pval	Mode
CSRE	YAL053W	1.803e-05	
CSRE	YAL054C	0.0001185	
CSRE	YER065C	5.672e-06	
CSRE	YKR097W	0.0001551	
CSRE	YLR154C	0.003131	
CSRE	YNL023C	0.002918	
CSRE	YPR166C	0.001514	
CSRE	YPR168W	0.001262	
MAL63	YBR299W	0.00219	
MAL63	YLR134W	0.001067	
MAL63	YOR145C	0.0003934	
MAL63	YPL098C	0.001263	
MATA1	YBL018C	0.000372	
MATA1	YBR199W	7.29468248075632e-05	
MATA1	YBR281C	0.000925	
MATA1	YBR282W	0.000925	
MATA1	YCR083W	7.18e-05	
MATA1	YDL227C	0.00253489078462767	
MATA1	YDR177W	0.00123	
MATA1	YDR235W	0.00205	
MATA1	YDR363W-A	0.0016	
MATA1	YDR372C	0.00181	
MATA1	YDR373W	0.00181	
MATA1	YDR473C	0.00298	
MATA1	YEL018W	0.00299	
MATA1	YEL019C	0.00299	
MATA1	YEL055C	0.0013	
MATA1	YER007W	0.00156	
MATA1	YER008C	0.00138	
MATA1	YER009W	0.00138	
MATA1	YGL170C	1.58e-05	
MATA1	YGR166W	0.0019	
MATA1	YLR277C	0.00104	
MATA1	YMR066W	0.00274	
MATA1	YNL101W	0.00151	
MATA1	YNL105W	0.000463	
MATA1	YNL187W	0.00147	
MATA1	YNL245C	0.002	
MATA1	YNL253W	0.00324	
MATA1	YNL254C	0.00324	
MATA1	YOL077W-A	0.00232	
MATA1	YOL078W	0.00232	
MATA1	YOL080C	0.00232	
MATA1	YOR035C	0.00142	
MATA1	YOR036W	0.00142	
MATA1	YOR156C	0.00289	
MATA1	YPR110C	0.00225	
MATA1	YPR111W	0.00225	
MATA2	YDL161W	0.0008227	
MATA2	YDL235C	0.002261	
MATA2	YER049W	0.0016	
MATA2	YFL027C	0.002624	
MATA2	YGR112W	0.002204	
MATA2	YKL208W	0.0005016	
MATA2	YKL209C	0.002051	
MATA2	YML001W	0.001394	
MATA2	YML032C	0.0004075	
MCB	YDR058C	0.0004573	
MCB	YGR165W	0.0005115	
MCB	YHL034C	1.304e-05	
MCB	YJL039C	0.0005028	
MCB	YJL045W	0.00167	
MCB	YJR055W	0.001606	
MCB	YKL113C	0.001643	
MCB	YKR044W	0.002988	
MCB	YML071C	8.303e-05	
MCB	YNL298W	0.001548	
STRE	YBR126C	0.001633	
STRE	YCL051W	0.001114	
STRE	YCL052C	0.001727	
STRE	YGR254W	0.002886	
STRE	YNL234W	0.003207	
STRE	YPR074C	0.002375	
YAL051W	YAL016W	0.000179	
YAL051W	YAL034W-A	2.54e-05	
YAL051W	YAL035C-A	0.000282	
YAL051W	YAL035W	1.06064703400791e-05	
YAL051W	YAL036C	2.54e-05	
YAL051W	YBL089W	0.000405	
YAL051W	YBR019C	0.000103	
YAL051W	YBR020W	0.000103	
YAL051W	YBR127C	1.55e-05	
YAL051W	YBR150C	6.82e-05	
YAL051W	YBR151W	6.82e-05	
YAL051W	YBR187W	0.000141	
YAL051W	YBR214W	1.5900084947895e-06	
YAL051W	YBR230C	0.00182	
YAL051W	YCR020C-A	0.000373	
YAL051W	YCR081W	0.000166	
YAL051W	YDL058W	0.00184	
YAL051W	YDL059C	0.00184	
YAL051W	YDR048C	0.000101	
YAL051W	YDR207C	0.00023	activator
YAL051W	YDR208W	0.00023	
YAL051W	YDR256C	4.27815213366915e-06	
YAL051W	YDR476C	0.00253	
YAL051W	YDR477W	0.00253	
YAL051W	YEL011W	3.57e-05	inhibitor
YAL051W	YER015W	0.000395	activator
YAL051W	YER134C	0.00276	
