ORF	Node	TF_amigo	TFA_amigo	TFR_amigo	PK_amigo	PP_amigo	BioGRID_PK	BioGRID_PP	Fasolo_KP	Fiedler_PK	Fiedler_PP	Parca_KP	Balaji_2006_TF	Balaji_2008_TF	Harbison_YPD_TF	Harbison_conds_TF	Horak_TF	workman_TF	YEASTRACT_bind_TF	YEASTRACT_expr_TFA	YEASTRACT_expr_TFR	STRING_TFA	STRING_TFR	Measured	Perturbations	Chua_TFKO	Chua_TFOE	Fiedler_KPKO	Goncalves_KPKOKP	Goncalves_KPKOTF	Holstege_2010_KO	Holstege_2014_KO	Luscombe_KP	Luscombe_TF	Zelezniak_KP	SGD_PK	SGD_PP	Amigo_PK	Amigo_PP	protein_type2	protein_type	TF	PP	PK	TR	TA	KP	protein_type0
CSRE	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
ECB	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
MAL63	TFA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TFA	TF	1	0	0	0	1	0	TF
MATA1	TFR	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	225	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TFR	TF	1	0	0	1	0	0	TF
MATA2	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
MCB	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
MSE	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0010	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0017	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0032	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0045	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0050	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0055	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0060	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0065	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0070	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0075	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0080	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0085	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0092	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0105	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0110	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0115	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0120	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0130	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0140	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
Q0142	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0143	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0144	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
Q0160	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA
