TF	Mode
MAL63	
MATA1	
YAL051W	activator
YBL005W	activator
YBL008W	repressor
YBL021C	activator
YBL054W	
YBL103C	activator
YBR033W	
YBR049C	
YBR083W	activator
YBR112C	
YBR150C	
YBR182C	activator
YBR239C	repressor
YBR240C	activator
YBR267W	
YBR297W	
YCL055W	
YCL066W	
YCL067C	repressor
YCR018C	
YCR040W	
YCR065W	activator
YCR084C	
YCR096C	
YCR097W	
YCR106W	
YDL020C	activator
YDL048C	
YDL056W	activator
YDL106C	activator
YDL166C	
YDL170W	activator
YDR009W	
YDR026C	
YDR034C	activator
YDR043C	repressor
YDR049W	
YDR081C	activator
YDR123C	activator
YDR146C	
YDR207C	repressor
YDR213W	activator
YDR216W	activator
YDR253C	
YDR259C	repressor
YDR266C	
YDR277C	
YDR310C	repressor
YDR421W	activator
YDR423C	activator
YDR451C	repressor
YDR463W	activator
YDR501W	
YDR520C	
YEL009C	repressor
YER028C	repressor
YER040W	
YER045C	activator
YER051W	activator
YER068W	activator
YER088C	
YER108C	
YER109C	activator
YER111C	activator
YER130C	
YER161C	repressor
YER169W	repressor
YER184C	activator
YFL021W	activator
YFL031W	activator
YFL044C	
YFL052W	activator
YFR034C	activator
YGL013C	activator
YGL035C	repressor
YGL071W	activator
YGL073W	activator
YGL096W	
YGL131C	
YGL162W	
YGL166W	activator
YGL181W	activator
YGL192W	
YGL197W	
YGL209W	repressor
YGL237C	activator
YGL252C	activator
YGL254W	activator
YGR044C	activator
YGR067C	
YGR089W	
YGR097W	
YGR249W	
YGR288W	
YHL009C	
YHL020C	
YHL027W	repressor
YHR006W	activator
YHR084W	
YHR124W	activator
YHR178W	
YHR206W	
YIL036W	activator
YIL101C	repressor
YIL119C	activator
YIL122W	activator
YIL128W	
YIL131C	repressor
YIR017C	
YIR018W	activator
YIR023W	
YIR033W	activator
YJL056C	activator
YJL089W	activator
YJL103C	
YJL110C	repressor
YJL127C	repressor
YJL206C	
YJR060W	
YJR094C	activator
YJR127C	
YJR140C	
YJR147W	
YKL005C	repressor
YKL015W	activator
YKL020C	activator
YKL032C	repressor
YKL038W	activator
YKL043W	activator
YKL062W	activator
YKL072W	
YKL109W	
YKL112W	activator
YKL185W	repressor
YKL222C	
YKR034W	repressor
YKR064W	repressor
YKR099W	activator
YLR013W	
YLR014C	activator
YLR098C	
YLR131C	
YLR176C	repressor
YLR182W	activator
YLR183C	
YLR223C	
YLR228C	activator
YLR256W	activator
YLR266C	activator
YLR278C	
YLR403W	activator
YLR451W	activator
YML007W	
YML027W	
YML051W	repressor
YML076C	
YML081W	
YML099C	
YML113W	repressor
YMR016C	
YMR019W	
YMR021C	activator
YMR037C	activator
YMR042W	activator
YMR043W	activator
YMR053C	
YMR070W	
YMR075W	activator
YMR164C	activator
YMR172W	activator
YMR182C	activator
YMR280C	activator
YNL027W	activator
YNL068C	activator
YNL103W	activator
YNL132W	
YNL139C	
YNL167C	repressor
YNL199C	repressor
YNL216W	activator
YNL257C	activator
YNL309W	activator
YNL314W	
YNR054C	
YNR063W	
YOL028C	
YOL067C	activator
YOL089C	activator
YOL108C	activator
YOL116W	activator
YOR028C	
YOR032C	
YOR038C	repressor
YOR077W	
YOR113W	activator
YOR140W	activator
YOR162C	activator
YOR229W	activator
YOR230W	activator
YOR298C-A	activator
YOR344C	
YOR358W	activator
YOR363C	activator
YOR372C	
YOR380W	
YPL038W	
YPL049C	
YPL075W	activator
YPL089C	activator
YPL128C	
YPL133C	activator
YPL139C	activator
YPL177C	
YPL202C	activator
YPL230W	
YPL248C	activator
YPR008W	activator
YPR009W	
YPR022C	
YPR065W	repressor
YPR104C	
YPR196W	
YPR199C	activator
