Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.40053	0.09754	0.46425	13.77334	0.9808	0.0712	0.6892	0.3108	51	23
0.36837	0.08404	0.46243	13.15378	0.6923	0.0526	0.6792	0.3208	36	17
0.35917	0.07795	0.46223	12.78840	0.6731	0.0526	0.6731	0.3269	35	17
0.35177	0.07708	0.46183	11.73285	0.6538	0.0557	0.6538	0.3462	34	18
0.33912	0.07158	0.46172	10.24900	0.6346	0.0619	0.6226	0.3774	33	20
0.33912	0.07158	0.46172	10.24900	0.6346	0.0619	0.6226	0.3774	33	20
0.32922	0.06967	0.46056	9.16938	0.5962	0.0650	0.5962	0.4038	31	21
0.32140	0.05408	0.46040	9.16938	0.5962	0.0650	0.5962	0.4038	31	21
0.31633	0.05276	0.46040	8.75259	0.5962	0.0681	0.5849	0.4151	31	22
0.30567	0.04977	0.45898	7.83192	0.5577	0.0712	0.5577	0.4423	29	23
0.29778	0.04896	0.45797	7.24678	0.5385	0.0743	0.5385	0.4615	28	24
0.28990	0.04820	0.45759	7.24678	0.5385	0.0743	0.5385	0.4615	28	24
0.28202	0.04782	0.45698	6.70845	0.5192	0.0774	0.5192	0.4808	27	25
0.27409	0.04460	0.45625	6.70845	0.5192	0.0774	0.5192	0.4808	27	25
0.26611	0.04102	0.45576	6.21152	0.5000	0.0805	0.5000	0.5000	26	26
0.25810	0.03914	0.45502	5.75141	0.4808	0.0836	0.4808	0.5192	25	27
0.25002	0.03527	0.45477	5.32417	0.4615	0.0867	0.4615	0.5385	24	28
0.24193	0.03416	0.45377	4.92638	0.4423	0.0898	0.4423	0.5577	23	29
0.23385	0.03358	0.44663	4.55512	0.4231	0.0929	0.4231	0.5769	22	30
0.22591	0.03347	0.44550	4.20781	0.4038	0.0960	0.4038	0.5962	21	31
0.21796	0.03228	0.44273	3.88221	0.3846	0.0991	0.3846	0.6154	20	32
0.20344	0.03086	0.44235	3.37197	0.3654	0.1084	0.3519	0.6481	19	35
0.18655	0.03056	0.43139	3.28846	0.3462	0.1053	0.3462	0.6538	18	34
0.17883	0.02969	0.40986	3.01703	0.3269	0.1084	0.3269	0.6731	17	35
0.17151	0.02944	0.40372	2.76068	0.3077	0.1115	0.3077	0.6923	16	36
0.16430	0.02898	0.39450	2.51819	0.2885	0.1146	0.2885	0.7115	15	37
0.15479	0.02738	0.39326	2.22978	0.2692	0.1207	0.2642	0.7358	14	39
0.14789	0.02728	0.39232	2.01875	0.2500	0.1238	0.2453	0.7547	13	40
0.14319	0.02728	0.39134	1.86346	0.2308	0.1238	0.2308	0.7692	12	40
0.13183	0.02152	0.39093	1.58900	0.2115	0.1331	0.2037	0.7963	11	43
0.12695	0.02152	0.38075	1.44454	0.1923	0.1331	0.1887	0.8113	10	43
0.12206	0.02152	0.37499	1.30009	0.1731	0.1331	0.1731	0.8269	9	43
0.11525	0.02069	0.36062	1.12937	0.1538	0.1362	0.1538	0.8462	8	44
0.10869	0.01932	0.36045	0.96624	0.1346	0.1393	0.1346	0.8654	7	45
0.10211	0.01836	0.34924	0.81020	0.1154	0.1424	0.1154	0.8846	6	46
0.09572	0.01708	0.34748	0.81020	0.1154	0.1424	0.1154	0.8846	6	46
