Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.20648	0.00667	0.46425	2.51020	1.0000	0.3984	0.0392	0.9608	6	147
0.20263	0.00600	0.46425	2.46000	1.0000	0.4065	0.0385	0.9615	6	150
0.18197	0.00391	0.46413	2.26380	1.0000	0.4417	0.0355	0.9645	6	163
0.14950	0.00376	0.46298	2.07770	0.8333	0.4011	0.0327	0.9673	5	148
0.14670	0.00349	0.46298	2.03642	0.8333	0.4092	0.0321	0.9679	5	151
0.13530	0.00253	0.46243	1.99675	0.8333	0.4173	0.0314	0.9686	5	154
0.12249	0.00253	0.46056	1.23000	0.5000	0.4065	0.0196	0.9804	3	150
0.11873	0.00235	0.46040	1.22185	0.5000	0.4092	0.0195	0.9805	3	151
0.11506	0.00201	0.46040	1.18269	0.5000	0.4228	0.0189	0.9811	3	156
0.10420	0.00192	0.45759	0.78846	0.3333	0.4228	0.0127	0.9873	2	156
0.09380	0.00144	0.45576	0.77358	0.3333	0.4309	0.0124	0.9876	2	159
0.07189	0.00130	0.43563	0.40196	0.1667	0.4146	0.0065	0.9935	1	153
0.05854	0.00041	0.43139	0.33978	0.1667	0.4905	0.0055	0.9945	1	181
0.01621	0.00038	0.12606	0.00000	0.0000	0.4336	0.0000	1.0000	0	160
0.01482	0.00038	0.11677	0.00000	0.0000	0.4282	0.0000	1.0000	0	158
0.01391	0.00034	0.09754	0.00000	0.0000	0.4336	0.0000	1.0000	0	160
0.01323	0.00033	0.08404	0.00000	0.0000	0.4363	0.0000	1.0000	0	161
0.01240	0.00032	0.07795	0.00000	0.0000	0.4472	0.0000	1.0000	0	165
0.01193	0.00030	0.07708	0.00000	0.0000	0.4472	0.0000	1.0000	0	165
0.01140	0.00028	0.07163	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.01108	0.00026	0.07163	0.00000	0.0000	0.4634	0.0000	1.0000	0	171
0.01036	0.00026	0.06967	0.00000	0.0000	0.4580	0.0000	1.0000	0	169
0.00995	0.00025	0.05408	0.00000	0.0000	0.4580	0.0000	1.0000	0	169
0.00969	0.00025	0.05276	0.00000	0.0000	0.4553	0.0000	1.0000	0	168
0.00937	0.00024	0.04977	0.00000	0.0000	0.4553	0.0000	1.0000	0	168
0.00913	0.00024	0.04896	0.00000	0.0000	0.4526	0.0000	1.0000	0	167
0.00889	0.00024	0.04820	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00865	0.00024	0.04782	0.00000	0.0000	0.4472	0.0000	1.0000	0	165
0.00832	0.00022	0.04460	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00810	0.00022	0.04102	0.00000	0.0000	0.4472	0.0000	1.0000	0	165
0.00780	0.00021	0.03914	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00757	0.00019	0.03527	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00736	0.00018	0.03416	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00715	0.00018	0.03358	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00695	0.00018	0.03347	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00671	0.00017	0.03228	0.00000	0.0000	0.4526	0.0000	1.0000	0	167
0.00656	0.00017	0.03193	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00656	0.00017	0.03193	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00617	0.00015	0.03086	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00592	0.00014	0.03056	0.00000	0.0000	0.4553	0.0000	1.0000	0	168
0.00577	0.00014	0.02969	0.00000	0.0000	0.4526	0.0000	1.0000	0	167
0.00563	0.00014	0.02944	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00548	0.00014	0.02898	0.00000	0.0000	0.4472	0.0000	1.0000	0	165
0.00528	0.00011	0.02741	0.00000	0.0000	0.4499	0.0000	1.0000	0	166
0.00507	0.00009	0.02741	0.00000	0.0000	0.4688	0.0000	1.0000	0	173
0.00483	0.00009	0.02738	0.00000	0.0000	0.4770	0.0000	1.0000	0	176
0.00452	0.00008	0.02154	0.00000	0.0000	0.4770	0.0000	1.0000	0	176
0.00452	0.00008	0.02154	0.00000	0.0000	0.4770	0.0000	1.0000	0	176
0.00452	0.00008	0.02154	0.00000	0.0000	0.4770	0.0000	1.0000	0	176
0.00422	0.00008	0.02069	0.00000	0.0000	0.4688	0.0000	1.0000	0	173
0.00393	0.00005	0.01932	0.00000	0.0000	0.4905	0.0000	1.0000	0	181
0.00382	0.00005	0.01836	0.00000	0.0000	0.4905	0.0000	1.0000	0	181
0.00370	0.00005	0.01708	0.00000	0.0000	0.4932	0.0000	1.0000	0	182
0.00356	0.00004	0.01677	0.00000	0.0000	0.4986	0.0000	1.0000	0	184
0.00349	0.00004	0.01655	0.00000	0.0000	0.4959	0.0000	1.0000	0	183
0.00307	0.00002	0.01606	0.00000	0.0000	0.5501	0.0000	1.0000	0	203
0.00293	0.00001	0.01589	0.00000	0.0000	0.5610	0.0000	1.0000	0	207
0.00285	0.00001	0.01589	0.00000	0.0000	0.5772	0.0000	1.0000	0	213
0.00257	0.00001	0.01572	0.00000	0.0000	0.6070	0.0000	1.0000	0	224
0.00227	0.00000	0.01546	0.00000	0.0000	0.6694	0.0000	1.0000	0	247
0.00220	0.00000	0.01546	0.00000	0.0000	0.6911	0.0000	1.0000	0	255
0.00207	0.00000	0.01470	0.00000	0.0000	0.6938	0.0000	1.0000	0	256
0.00202	0.00000	0.01413	0.00000	0.0000	0.6911	0.0000	1.0000	0	255
0.00197	0.00000	0.01356	0.00000	0.0000	0.6883	0.0000	1.0000	0	254
0.00192	0.00000	0.01343	0.00000	0.0000	0.6856	0.0000	1.0000	0	253
0.00188	0.00000	0.01333	0.00000	0.0000	0.6829	0.0000	1.0000	0	252
0.00183	0.00000	0.01314	0.00000	0.0000	0.6802	0.0000	1.0000	0	251
0.00183	0.00000	0.01314	0.00000	0.0000	0.6802	0.0000	1.0000	0	251
0.00174	0.00000	0.01280	0.00000	0.0000	0.6748	0.0000	1.0000	0	249
0.00170	0.00000	0.01255	0.00000	0.0000	0.6721	0.0000	1.0000	0	248
0.00165	0.00000	0.01240	0.00000	0.0000	0.6694	0.0000	1.0000	0	247
0.00161	0.00000	0.01164	0.00000	0.0000	0.6667	0.0000	1.0000	0	246
0.00157	0.00000	0.01105	0.00000	0.0000	0.6640	0.0000	1.0000	0	245
0.00153	0.00000	0.01092	0.00000	0.0000	0.6612	0.0000	1.0000	0	244
0.00149	0.00000	0.01073	0.00000	0.0000	0.6585	0.0000	1.0000	0	243
0.00145	0.00000	0.01057	0.00000	0.0000	0.6558	0.0000	1.0000	0	242
0.00145	0.00000	0.01057	0.00000	0.0000	0.6558	0.0000	1.0000	0	242
0.00138	0.00000	0.00986	0.00000	0.0000	0.6504	0.0000	1.0000	0	240
0.00134	0.00000	0.00956	0.00000	0.0000	0.6477	0.0000	1.0000	0	239
0.00134	0.00000	0.00956	0.00000	0.0000	0.6477	0.0000	1.0000	0	239
0.00127	0.00000	0.00927	0.00000	0.0000	0.6423	0.0000	1.0000	0	237
0.00124	0.00000	0.00883	0.00000	0.0000	0.6396	0.0000	1.0000	0	236
0.00124	0.00000	0.00883	0.00000	0.0000	0.6396	0.0000	1.0000	0	236
0.00117	0.00000	0.00816	0.00000	0.0000	0.6341	0.0000	1.0000	0	234
0.00114	0.00000	0.00790	0.00000	0.0000	0.6314	0.0000	1.0000	0	233
0.00112	0.00000	0.00772	0.00000	0.0000	0.6287	0.0000	1.0000	0	232
0.00109	0.00000	0.00758	0.00000	0.0000	0.6260	0.0000	1.0000	0	231
0.00106	0.00000	0.00743	0.00000	0.0000	0.6233	0.0000	1.0000	0	230
0.00106	0.00000	0.00743	0.00000	0.0000	0.6233	0.0000	1.0000	0	230
0.00100	0.00000	0.00702	0.00000	0.0000	0.6179	0.0000	1.0000	0	228
0.00100	0.00000	0.00702	0.00000	0.0000	0.6179	0.0000	1.0000	0	228
0.00098	0.00000	0.00697	0.00000	0.0000	0.6152	0.0000	1.0000	0	227
0.00092	0.00000	0.00673	0.00000	0.0000	0.6098	0.0000	1.0000	0	225
0.00092	0.00000	0.00673	0.00000	0.0000	0.6098	0.0000	1.0000	0	225
0.00092	0.00000	0.00673	0.00000	0.0000	0.6098	0.0000	1.0000	0	225
0.00084	0.00000	0.00656	0.00000	0.0000	0.6016	0.0000	1.0000	0	222
0.00082	0.00000	0.00623	0.00000	0.0000	0.5989	0.0000	1.0000	0	221
0.00079	0.00000	0.00600	0.00000	0.0000	0.5962	0.0000	1.0000	0	220
0.00077	0.00000	0.00587	0.00000	0.0000	0.5935	0.0000	1.0000	0	219
0.00075	0.00000	0.00557	0.00000	0.0000	0.5908	0.0000	1.0000	0	218
0.00072	0.00000	0.00527	0.00000	0.0000	0.5881	0.0000	1.0000	0	217
0.00070	0.00000	0.00509	0.00000	0.0000	0.5854	0.0000	1.0000	0	216
0.00070	0.00000	0.00509	0.00000	0.0000	0.5854	0.0000	1.0000	0	216
0.00070	0.00000	0.00509	0.00000	0.0000	0.5854	0.0000	1.0000	0	216
0.00070	0.00000	0.00509	0.00000	0.0000	0.5854	0.0000	1.0000	0	216
0.00062	0.00000	0.00474	0.00000	0.0000	0.5745	0.0000	1.0000	0	212
0.00060	0.00000	0.00464	0.00000	0.0000	0.5718	0.0000	1.0000	0	211
0.00060	0.00000	0.00464	0.00000	0.0000	0.5718	0.0000	1.0000	0	211
0.00056	0.00000	0.00427	0.00000	0.0000	0.5664	0.0000	1.0000	0	209
0.00055	0.00000	0.00416	0.00000	0.0000	0.5637	0.0000	1.0000	0	208
0.00055	0.00000	0.00416	0.00000	0.0000	0.5637	0.0000	1.0000	0	208
0.00053	0.00000	0.00412	0.00000	0.0000	0.5610	0.0000	1.0000	0	207
