Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.06209	0.04222	0.07544	2.36842	0.3158	0.1333	0.2857	0.7143	12	30
0.06154	0.03836	0.07544	2.29202	0.3158	0.1378	0.2791	0.7209	12	31
0.06099	0.03757	0.07544	2.22039	0.3158	0.1422	0.2727	0.7273	12	32
0.05994	0.03675	0.07544	2.08978	0.3158	0.1511	0.2609	0.7391	12	34
0.05994	0.03675	0.07544	2.08978	0.3158	0.1511	0.2609	0.7391	12	34
0.05236	0.02822	0.07544	2.01568	0.4211	0.2089	0.2540	0.7460	16	47
0.04244	0.02806	0.06296	1.31579	0.2105	0.1600	0.1818	0.8182	8	36
0.04078	0.02768	0.05891	1.18421	0.1842	0.1556	0.1667	0.8333	7	35
0.04003	0.02756	0.05864	1.18421	0.1842	0.1556	0.1667	0.8333	7	35
0.02551	0.02209	0.05724	0.82158	0.7632	0.9289	0.1218	0.8782	29	209
0.02215	0.02209	0.02251	0.78947	0.4737	0.6000	0.1176	0.8824	18	135
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
0.02210	0.02209	0.02218	0.76754	0.3684	0.4800	0.1148	0.8852	14	108
