Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.08090	0.02021	0.11017	6.15379	1.0000	0.1625	0.5185	0.4815	14	13
0.07865	0.01809	0.11017	5.71424	1.0000	0.1750	0.5000	0.5000	14	14
0.07632	0.01090	0.11017	5.33329	1.0000	0.1875	0.4828	0.5172	14	15
0.07412	0.01039	0.11017	4.99996	1.0000	0.2000	0.4667	0.5333	14	16
0.06287	0.00885	0.10943	3.21427	0.6429	0.2000	0.3600	0.6400	9	16
0.05689	0.00831	0.10927	2.53968	0.5714	0.2250	0.3077	0.6923	8	18
0.05479	0.00831	0.10857	2.22222	0.5000	0.2250	0.2800	0.7200	7	18
0.05078	0.00820	0.10841	1.80451	0.4286	0.2375	0.2400	0.7600	6	19
0.04675	0.00782	0.10829	1.42857	0.3571	0.2500	0.2000	0.8000	5	20
0.04261	0.00464	0.10688	1.08844	0.2857	0.2625	0.1600	0.8400	4	21
0.03846	0.00316	0.10514	1.08844	0.2857	0.2625	0.1600	0.8400	4	21
0.03308	0.00179	0.10469	1.03896	0.2857	0.2750	0.1538	0.8462	4	22
0.03021	0.00179	0.08722	0.77922	0.2143	0.2750	0.1200	0.8800	3	22
0.02489	0.00126	0.08087	0.45714	0.1429	0.3125	0.0741	0.9259	2	25
0.01676	0.00087	0.06964	0.22857	0.0714	0.3125	0.0385	0.9615	1	25
0.01122	0.00040	0.06197	0.17857	0.0714	0.4000	0.0303	0.9697	1	32
0.00455	0.00036	0.02021	0.00000	0.0000	0.3375	0.0000	1.0000	0	27
0.00381	0.00034	0.01809	0.00000	0.0000	0.3375	0.0000	1.0000	0	27
0.00296	0.00026	0.01090	0.00000	0.0000	0.3625	0.0000	1.0000	0	29
0.00251	0.00025	0.01039	0.00000	0.0000	0.3750	0.0000	1.0000	0	30
0.00211	0.00019	0.00885	0.00000	0.0000	0.3875	0.0000	1.0000	0	31
0.00188	0.00019	0.00836	0.00000	0.0000	0.3750	0.0000	1.0000	0	30
0.00183	0.00017	0.00836	0.00000	0.0000	0.3875	0.0000	1.0000	0	31
0.00138	0.00017	0.00820	0.00000	0.0000	0.3625	0.0000	1.0000	0	29
0.00114	0.00017	0.00782	0.00000	0.0000	0.3500	0.0000	1.0000	0	28
0.00067	0.00013	0.00464	0.00000	0.0000	0.4750	0.0000	1.0000	0	38
0.00040	0.00012	0.00316	0.00000	0.0000	0.7250	0.0000	1.0000	0	58
0.00035	0.00012	0.00186	0.00000	0.0000	0.7125	0.0000	1.0000	0	57
0.00035	0.00012	0.00186	0.00000	0.0000	0.7125	0.0000	1.0000	0	57
0.00030	0.00012	0.00134	0.00000	0.0000	0.6875	0.0000	1.0000	0	55
0.00030	0.00012	0.00134	0.00000	0.0000	0.6875	0.0000	1.0000	0	55
0.00030	0.00012	0.00134	0.00000	0.0000	0.6875	0.0000	1.0000	0	55
0.00024	0.00012	0.00089	0.00000	0.0000	0.6500	0.0000	1.0000	0	52
0.00024	0.00012	0.00089	0.00000	0.0000	0.6500	0.0000	1.0000	0	52
0.00022	0.00012	0.00062	0.00000	0.0000	0.6250	0.0000	1.0000	0	50
0.00022	0.00012	0.00062	0.00000	0.0000	0.6250	0.0000	1.0000	0	50
0.00022	0.00012	0.00062	0.00000	0.0000	0.6250	0.0000	1.0000	0	50
0.00022	0.00012	0.00062	0.00000	0.0000	0.6250	0.0000	1.0000	0	50
0.00022	0.00012	0.00062	0.00000	0.0000	0.6250	0.0000	1.0000	0	50
0.00020	0.00012	0.00057	0.00000	0.0000	0.6000	0.0000	1.0000	0	48
0.00018	0.00012	0.00048	0.00000	0.0000	0.5625	0.0000	1.0000	0	45
0.00018	0.00012	0.00048	0.00000	0.0000	0.5625	0.0000	1.0000	0	45
0.00017	0.00012	0.00044	0.00000	0.0000	0.5500	0.0000	1.0000	0	44
0.00016	0.00012	0.00040	0.00000	0.0000	0.5375	0.0000	1.0000	0	43
0.00016	0.00012	0.00036	0.00000	0.0000	0.5250	0.0000	1.0000	0	42
0.00016	0.00012	0.00036	0.00000	0.0000	0.5250	0.0000	1.0000	0	42
0.00016	0.00012	0.00036	0.00000	0.0000	0.5250	0.0000	1.0000	0	42
0.00015	0.00012	0.00034	0.00000	0.0000	0.5125	0.0000	1.0000	0	41
0.00015	0.00012	0.00034	0.00000	0.0000	0.5125	0.0000	1.0000	0	41
0.00015	0.00012	0.00029	0.00000	0.0000	0.5000	0.0000	1.0000	0	40
0.00015	0.00012	0.00029	0.00000	0.0000	0.5000	0.0000	1.0000	0	40
0.00014	0.00012	0.00026	0.00000	0.0000	0.4750	0.0000	1.0000	0	38
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
0.00013	0.00012	0.00023	0.00000	0.0000	0.4375	0.0000	1.0000	0	35
