Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.14327	0.13152	0.15187	1.67808	0.2500	0.1490	0.1205	0.8795	10	73
0.13543	0.11113	0.15187	1.47845	0.3500	0.2367	0.1077	0.8923	14	116
0.12829	0.11100	0.14277	1.45066	0.2250	0.1551	0.1059	0.8941	9	76
0.12809	0.11089	0.14277	1.43182	0.2250	0.1571	0.1047	0.8953	9	77
0.12717	0.11060	0.14176	1.12829	0.1750	0.1551	0.0843	0.9157	7	76
0.12679	0.10998	0.14149	1.12829	0.1750	0.1551	0.0843	0.9157	7	76
0.12640	0.10904	0.14045	1.12829	0.1750	0.1551	0.0843	0.9157	7	76
0.12619	0.10882	0.14045	1.11364	0.1750	0.1571	0.0833	0.9167	7	77
0.12597	0.10786	0.14045	1.09936	0.1750	0.1592	0.0824	0.9176	7	78
0.12481	0.10755	0.14017	1.09936	0.1750	0.1592	0.0824	0.9176	7	78
0.07430	0.03029	0.13925	1.01757	0.6500	0.6388	0.0767	0.9233	26	313
0.03563	0.03004	0.04297	0.86471	0.1500	0.1735	0.0659	0.9341	6	85
0.02979	0.02392	0.04151	0.73869	0.3000	0.4061	0.0569	0.9431	12	199
